Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Neuronal System	85/411	5.796732774509034E-34	8.057458556567557E-31	0	0	6.188204901778521	473.58702612095544	GABRB3;GABRB2;GABRB1;PRKAG1;PRKAG2;ABAT;IL1RAP;GRIK2;PRKAG3;SLC6A3;SLC6A4;RPS6KA3;TUBB1;KCNH2;PRKAB2;CHRNB4;KCND1;CHRNB3;KCND2;SLC32A1;KCND3;PDPK1;CACNA2D1;CACNA2D3;HTR3C;CACNA2D2;HTR3D;HTR3B;GABRG3;PRKAB1;GABRG2;CACNB1;KCNMA1;KCNQ2;KCNQ3;KCNQ4;KCNQ5;KCNA10;GRIA1;CHRNA1;PRKAA1;CHRNA3;PRKAA2;CHRNA2;CHRNA5;CHRNA7;NRXN1;CHRNA6;SLC1A1;CACNA1B;CHRNA9;SLC1A2;NRXN2;GLRA1;GRIN2A;GLRA2;CHRNG;KCNN3;CACNG2;KCNJ1;GRIA4;KCNJ3;MAPK3;GABRA2;GABRQ;GABRA1;KCNJ5;GABBR2;KCNJ6;GABBR1;NLGN4X;GABRA6;GABRA5;KCNJ9;GABRA4;NTRK3;GAD1;GABRA3;GRIN2C;GRIN2B;GRIN2D;GRIN1;GRIN3B;GRIN3A;GLRB
Transmission Across Chemical Synapses	68/269	5.804763758340276E-33	4.034310812046492E-30	0	0	7.912821553542547	587.3420709906223	GABRB3;GABRB2;GABRB1;PRKAG1;PRKAG2;ABAT;GRIK2;PRKAG3;SLC6A3;SLC6A4;RPS6KA3;TUBB1;PRKAB2;CHRNB4;CHRNB3;SLC32A1;PDPK1;CACNA2D1;CACNA2D3;HTR3C;CACNA2D2;HTR3D;HTR3B;GABRG3;PRKAB1;GABRG2;CACNB1;CHRNA1;GRIA1;CHRNA3;PRKAA1;CHRNA2;PRKAA2;CHRNA5;CHRNA7;CHRNA6;SLC1A1;CACNA1B;CHRNA9;SLC1A2;GLRA1;GRIN2A;GLRA2;CHRNG;CACNG2;GRIA4;KCNJ3;MAPK3;GABRA2;GABRQ;GABBR2;GABRA1;KCNJ5;GABBR1;KCNJ6;GABRA6;GABRA5;KCNJ9;GABRA4;GAD1;GABRA3;GRIN2C;GRIN2B;GRIN2D;GRIN1;GRIN3B;GRIN3A;GLRB
Neurotransmitter Receptors and Postsynaptic Signal Transmission	56/204	2.547659632361143E-29	1.1804156296606629E-26	0	0	8.745103203081278	575.7757807219767	GABRB3;GABRB2;GABRB1;PRKAG1;PRKAG2;GRIK2;PRKAG3;RPS6KA3;TUBB1;PRKAB2;CHRNB4;CHRNB3;PDPK1;HTR3C;HTR3D;HTR3B;GABRG3;PRKAB1;GABRG2;CHRNA1;GRIA1;CHRNA3;PRKAA1;CHRNA2;PRKAA2;CHRNA5;CHRNA7;CHRNA6;CHRNA9;GLRA1;GRIN2A;GLRA2;CHRNG;CACNG2;GRIA4;KCNJ3;MAPK3;GABRA2;GABRQ;GABBR2;GABRA1;KCNJ5;GABBR1;KCNJ6;GABRA6;GABRA5;KCNJ9;GABRA4;GABRA3;GRIN2C;GRIN2B;GRIN2D;GRIN1;GRIN3B;GRIN3A;GLRB
Amine Ligand-Binding Receptors	21/43	1.0093443440153887E-17	3.5074715954534758E-15	0	0	21.2999681393373	833.5667049607009	CHRM2;CHRM3;CHRM1;CHRM4;CHRM5;HTR1D;HTR2B;HTR1A;HTR2C;HTR1B;ADRA1D;HTR2A;ADRA1B;ADRA1A;HRH1;HTR6;HTR7;ADRB3;HRH2;HRH4;DRD2
Extracellular Matrix Organization	49/300	1.3729622419390072E-15	3.81683503259044E-13	0	0	4.449487075851184	152.2694824810616	ITGB1;APP;ITGB5;ELN;NCAN;ITGB3;ITGB2;CTSV;FGF2;CTSS;HAPLN1;ICAM1;CAPN8;CAPNS1;CTSL;TNN;CTSK;CAPN3;ITGB8;ITGAV;ITGB7;MADCAM1;CAPN1;ITGB6;CTSD;CTSB;FGB;FGA;ITGA4;PHYKPL;CTRB2;CTRB1;FGG;MMP11;CEACAM1;VCAN;PXDN;ITGA6;CD47;CEACAM8;ITGA5;CD44;NRXN1;PSEN1;NCSTN;ELANE;VCAM1;MFAP4;CAPN11
Class A 1 (Rhodopsin-like Receptors)	50/333	2.193626919558671E-14	5.081902363644254E-12	0	0	4.024935801846685	126.58678680353209	CHRM2;APP;CHRM3;CXCL6;CHRM1;CXCL8;PTGDR2;CHRM4;CHRM5;HTR2B;HTR2C;ADRA1D;CXCL1;HTR2A;ADRA1B;CXCL3;ADRA1A;CXCL2;CXCL5;EDNRA;HTR6;HTR7;C3AR1;PROK2;ANXA1;NPY5R;TACR3;OPRM1;ADRB3;OPRD1;PTGER4;PTGER1;PTGER2;PTGER3;OPRL1;CXCR4;HRH1;HRH2;HRH4;PPY;CGA;DRD2;HTR1D;HTR1A;HTR1B;OPRK1;PPBP;POMC;GNRH1;PF4
Signal Transduction	193/2613	5.652501285598061E-14	1.1224252552830436E-11	0	0	1.9475128075008459	59.407112089475824	APP;VIPR2;MYLK;RPS6KA3;HTR6;GJA1;EDNRA;HTR7;C3AR1;PROK2;GOLGA7;SKP1;MED1;PRKAB2;PRKAB1;GABRG3;GABRG2;NISCH;AR;TIAM1;TP53;CFTR;IQGAP2;CRHR2;NCSTN;CD19;RDH16;PPY;ATP6V0A2;CGA;NGFR;FZD3;ICMT;PPBP;GRIN2B;GRIN2D;NET1;CYLD;PDE3A;GNRH1;GRB2;GABRB3;GABRB2;GABRB1;PTGDR2;PRKAG1;PRKAG2;PTPRJ;PCSK5;PRKAG3;GPRC6A;IKBKB;C1QBP;RSPO3;CTSD;RSPO4;ANXA1;MST1;TACR3;GAB2;KREMEN2;SORCS3;ADRB3;ANGPTL3;PLIN3;PPARG;MGLL;PPARD;OPRD1;PTGER4;PTGER1;PTGER2;PTGER3;XIAP;CXCR4;EGFR;GABRQ;GABBR2;GABRA1;GABBR1;GCGR;AKR1C3;VEGFC;GRIN1;APITD1;CENPL;TACC3;PF4;CHRM2;CHRM3;DGKE;CHRM1;EPO;CHRM4;SPPL2B;CHRM5;PLAT;IL1RAP;NR3C1;FGF1;FGF2;TNF;FGF4;ABHD12;CDH5;TUBB1;IL6R;RAG1;RBX1;PGR;RTN4R;PSEN2;CSF2RB;PSEN1;CSF2RA;KLC3;HRH1;KLC2;DDRGK1;HRH2;HRH4;DRD2;HTR1D;HTR1A;HTR1B;TNFRSF10A;SMAD5;ESR1;NFKB1;NFKBIA;IL6;GNAS;CNTN1;BCL2;MYD88;BCL2L1;ITGB1;CXCL6;FLT1;CXCL8;ITGB5;ITGB3;HTR2B;HTR2C;ADRA1D;CXCL1;HTR2A;ADRA1B;CXCL3;ADRA1A;CXCL2;CXCL5;IFT52;ITGB8;PDE4A;ITGAV;ITGB6;FGB;FGA;TRPC6;NPY5R;PDPK1;FGG;OPRM1;AKT1S1;ITGA5;PPP1R12B;ITGB3BP;PRKAA1;PRKAA2;OPRL1;ABHD17C;IL1RL1;ERBB3;E2F3;TAS1R2;E2F4;BUB1;MAPK3;NTRK1;NTRK2;ANGPT1;NTRK3;OPRK1;PTPN12;MAPK14;MAPK13;POMC;MAPK11;FMNL2;ABHD17B;LEP;BCAR1
GPCR Ligand Binding	59/467	2.4171956509363925E-13	4.199877443501982E-11	0	0	3.3084789539287596	96.11461601169898	CHRM2;CHRM3;APP;CXCL6;CHRM1;VIPR2;CXCL8;PTGDR2;CHRM4;CHRM5;HTR2B;HTR2C;ADRA1D;CXCL1;HTR2A;ADRA1B;CXCL3;ADRA1A;CXCL2;CXCL5;GPRC6A;HTR6;EDNRA;HTR7;C3AR1;PROK2;ANXA1;NPY5R;TACR3;OPRM1;ADRB3;OPRD1;PTGER4;PTGER1;PTGER2;PTGER3;OPRL1;CXCR4;CRHR2;HRH1;HRH2;HRH4;PPY;TAS1R2;CGA;DRD2;GABBR2;FZD3;GABBR1;GCGR;HTR1D;HTR1A;HTR1B;OPRK1;PPBP;POMC;GNAS;GNRH1;PF4
GPCR Downstream Signalling	71/633	3.316236946605858E-13	5.121743728646826E-11	0	0	2.9092990295205885	83.59805452990551	CHRM2;ITGB1;CHRM3;APP;CXCL6;DGKE;CHRM1;VIPR2;CXCL8;PTGDR2;CHRM4;CHRM5;HTR2B;HTR2C;ADRA1D;CXCL1;HTR2A;ADRA1B;CXCL3;ADRA1A;CXCL2;CXCL5;GPRC6A;ABHD12;RPS6KA3;HTR6;EDNRA;HTR7;C3AR1;PROK2;PDE4A;ANXA1;TRPC6;NPY5R;PDPK1;TACR3;OPRM1;TIAM1;ADRB3;ITGA5;MGLL;OPRD1;PTGER4;PTGER1;PTGER2;PTGER3;OPRL1;CXCR4;EGFR;CRHR2;HRH1;HRH2;HRH4;PPY;TAS1R2;CGA;MAPK3;GABBR2;GABBR1;GCGR;HTR1D;HTR1B;OPRK1;PPBP;NET1;POMC;PDE3A;GNAS;GNRH1;GRB2;PF4
Signaling by Interleukins	57/452	6.734186866194931E-13	9.360519744010955E-11	0	0	3.295757949984563	92.36826072908603	ITGB1;APP;CNTF;CXCL8;ITGB2;CXCL1;IL1RAP;FGF2;TNF;CXCL2;ICAM1;IKBKB;RPS6KA3;CA1;IL18RAP;IL6R;SKP1;RAG1;IKBIP;IL11;ANXA1;SERPINB2;IL1R1;IRAK3;GAB2;OPRM1;OSMR;RBX1;IL1B;PRTN3;TP53;OPRD1;CTF1;CSF2RB;PTGS2;CSF2RA;IL22RA2;IL1RL1;IL1RL2;ALOX5;MAPK3;VCAM1;OSM;PTPN12;MAPK14;NFKB1;NFKB2;NFKBIA;POMC;MAPK11;IL6;CD4;BCL2;GRB2;MYD88;IL18R1;BCL2L1
