Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
Neurotransmitter Receptors and Postsynaptic Signal Transmission	53/204	1.5458174573185253E-62	1.2196499738243165E-59	0	0	51.11763551631101	7275.303309989201	GABRB3;GABRB2;GABRB1;PRKAG1;PRKAG2;GRIK2;PRKAG3;RPS6KA3;TUBB1;CHRNB4;PRKAB2;CHRNB3;PDPK1;HTR3C;HTR3D;HTR3B;GABRG3;PRKAB1;GABRG2;CHRNA1;GRIA1;CHRNA3;PRKAA1;CHRNA2;PRKAA2;CHRNA5;CHRNA7;CHRNA6;CHRNA9;GLRA1;GRIN2A;GLRA2;CACNG2;KCNJ3;MAPK3;GABRA2;GABRQ;GABBR2;GABRA1;KCNJ5;GABBR1;KCNJ6;GABRA6;GABRA5;KCNJ9;GABRA4;GABRA3;GRIN2C;GRIN2B;GRIN2D;GRIN1;GRIN3B;GRIN3A
Transmission Across Chemical Synapses	57/269	7.666465537373726E-62	3.024420654493935E-59	0	0	40.22756733400547	5660.960856456919	GABRB3;GABRB2;GABRB1;PRKAG1;PRKAG2;GRIK2;PRKAG3;SLC6A3;SLC6A4;RPS6KA3;TUBB1;CHRNB4;PRKAB2;CHRNB3;PDPK1;HTR3C;HTR3D;HTR3B;GABRG3;PRKAB1;GABRG2;CACNB1;CHRNA1;GRIA1;CHRNA3;PRKAA1;CHRNA2;PRKAA2;CHRNA5;CHRNA7;CHRNA6;CACNA1B;CHRNA9;GLRA1;GRIN2A;GLRA2;CACNG2;KCNJ3;MAPK3;GABRA2;GABRQ;GABBR2;GABRA1;KCNJ5;GABBR1;KCNJ6;GABRA6;GABRA5;KCNJ9;GABRA4;GABRA3;GRIN2C;GRIN2B;GRIN2D;GRIN1;GRIN3B;GRIN3A
Neuronal System	64/411	1.0625616819349537E-60	2.7945372234889283E-58	0	0	28.95231012364042	3998.1525583175085	GABRB3;GABRB2;GABRB1;PRKAG1;PRKAG2;GRIK2;PRKAG3;SLC6A3;SLC6A4;RPS6KA3;TUBB1;KCNH2;CHRNB4;PRKAB2;CHRNB3;KCND2;KCND3;PDPK1;HTR3C;HTR3D;HTR3B;GABRG3;PRKAB1;GABRG2;CACNB1;KCNQ2;KCNMA1;KCNQ3;CHRNA1;GRIA1;CHRNA3;PRKAA1;CHRNA2;PRKAA2;CHRNA5;CHRNA7;CHRNA6;CACNA1B;CHRNA9;GLRA1;GRIN2A;GLRA2;CACNG2;KCNJ1;KCNJ3;MAPK3;GABRA2;GABRQ;GABBR2;GABRA1;KCNJ5;GABBR1;KCNJ6;GABRA6;GABRA5;KCNJ9;GABRA4;GABRA3;GRIN2C;GRIN2B;GRIN2D;GRIN1;GRIN3B;GRIN3A
Amine Ligand-Binding Receptors	21/43	7.601093142741486E-32	1.499315622405758E-29	0	0	113.11649428415896	8105.298023819684	CHRM2;CHRM3;CHRM1;CHRM4;CHRM5;HTR1D;HTR2B;HTR1A;HTR2C;HTR1B;ADRA1D;HTR2A;ADRA1B;ADRA1A;HRH1;HTR6;HTR7;ADRB3;HRH2;HRH4;DRD2
Class A 1 (Rhodopsin-like Receptors)	33/333	2.66371484099316E-24	4.2033420190872067E-22	0	0	13.847225806451613	751.6595496297028	CHRM2;OPRD1;PTGER4;CHRM3;CHRM1;PTGDR2;PTGER1;CHRM4;PTGER2;CHRM5;PTGER3;HTR2B;HTR2C;CXCR4;ADRA1D;HTR2A;ADRA1B;ADRA1A;EDNRA;HTR6;HRH1;HTR7;HRH2;HRH4;DRD2;HTR1D;HTR1A;HTR1B;TACR3;OPRM1;POMC;ADRB3;PNOC
Signal Transduction	79/2613	4.767912586829018E-23	6.2698050516801585E-21	0	0	4.941826028399094	253.99774318356518	CHRM2;GABRB3;CHRM3;GABRB2;GABRB1;CHRM1;PTGDR2;CHRM4;CHRM5;HTR2B;PRKAG1;HTR2C;PRKAG2;PLAT;ADRA1D;HTR2A;FGF1;NR3C1;ADRA1B;FGF2;TNF;ADRA1A;PRKAG3;FGF4;IKBKB;RPS6KA3;EDNRA;HTR6;HTR7;C1QBP;TUBB1;PDE4A;PRKAB2;PDPK1;TACR3;OPRM1;GABRG3;PRKAB1;GABRG2;ADRB3;PGR;PPARG;TP53;CFTR;PPARD;OPRD1;PTGER4;PRKAA1;PRKAA2;PTGER1;PTGER2;PTGER3;CXCR4;HRH1;HRH2;HRH4;DRD2;MAPK3;GABRQ;NTRK1;GABBR2;GABRA1;NTRK2;GABBR1;HTR1D;HTR1A;AKR1C3;HTR1B;MAPK14;ESR1;GRIN2B;NFKB1;GRIN2D;GRIN1;NFKBIA;POMC;PNOC;BCL2;PDE3A
GABA Receptor Activation	18/60	9.388811680698849E-23	1.0582532022959132E-20	0	0	49.84033613445378	2527.898778835329	GABRB3;GABRA2;GABRQ;GABRB2;GABBR2;GABRA1;KCNJ5;GABRB1;GABBR1;KCNJ6;GABRA6;GABRA5;KCNJ9;GABRA4;GABRA3;GABRG3;GABRG2;KCNJ3
GPCR Ligand Binding	35/467	1.0787209470592293E-21	1.0638885340371649E-19	0	0	10.262345679012345	495.4507679481471	CHRM2;OPRD1;PTGER4;CHRM3;CHRM1;PTGDR2;PTGER1;CHRM4;PTGER2;CHRM5;PTGER3;HTR2B;HTR2C;CXCR4;ADRA1D;HTR2A;ADRA1B;ADRA1A;EDNRA;HTR6;HRH1;HTR7;HRH2;HRH4;DRD2;GABBR2;GABBR1;HTR1D;HTR1A;HTR1B;TACR3;OPRM1;POMC;ADRB3;PNOC
Activation of NMDA Receptors and Postsynaptic Events	19/93	1.9192354919762688E-20	1.6825297812991958E-18	0	0	29.98736606428914	1361.419670194155	GRIA1;PRKAB2;PRKAA1;PRKAA2;PDPK1;PRKAG1;PRKAG2;GRIN2C;PRKAB1;GRIN2B;PRKAG3;GRIN1;GRIN2D;RPS6KA3;GRIN2A;GRIN3B;GRIN3A;TUBB1;MAPK3
Signaling by GPCR	40/706	2.6206754751822718E-20	2.0677129499188126E-18	0	0	7.769661553445337	350.3205960686074	CHRM2;OPRD1;PTGER4;CHRM3;CHRM1;PTGDR2;PTGER1;CHRM4;PTGER2;CHRM5;PTGER3;HTR2B;HTR2C;CXCR4;ADRA1D;HTR2A;ADRA1B;ADRA1A;RPS6KA3;EDNRA;HTR6;HRH1;HTR7;HRH2;HRH4;PDE4A;DRD2;MAPK3;GABBR2;GABBR1;PDPK1;HTR1D;HTR1A;HTR1B;TACR3;OPRM1;POMC;ADRB3;PNOC;PDE3A
GPCR Downstream Signalling	38/633	3.700142545047994E-20	2.654011334584425E-18	0	0	8.182028011204482	366.09118359063547	CHRM2;OPRD1;PTGER4;CHRM3;CHRM1;PTGDR2;PTGER1;CHRM4;PTGER2;CHRM5;PTGER3;HTR2B;HTR2C;CXCR4;ADRA1D;HTR2A;ADRA1B;ADRA1A;RPS6KA3;EDNRA;HTR6;HRH1;HTR7;HRH2;HRH4;PDE4A;MAPK3;GABBR2;GABBR1;PDPK1;HTR1D;HTR1B;TACR3;OPRM1;POMC;ADRB3;PNOC;PDE3A
Post NMDA Receptor Activation Events	17/80	1.0144528567914057E-18	6.670027533403492E-17	0	0	31.16429963798385	1291.2049427336947	GRIA1;PRKAB2;PRKAA1;PRKAA2;PDPK1;PRKAG1;PRKAG2;GRIN2C;PRKAB1;GRIN2B;PRKAG3;GRIN1;GRIN2D;RPS6KA3;GRIN2A;TUBB1;MAPK3
Highly Calcium Permeable Postsynaptic Nicotinic Acetylcholine Receptors	9/11	2.555757935252001E-17	1.5511484699337144E-15	0	0	498.01675977653633	19027.027998467132	CHRNA1;CHRNA3;CHRNB4;CHRNA2;CHRNB3;CHRNA5;CHRNA7;CHRNA6;CHRNA9
Acetylcholine Binding and Downstream Events	9/14	9.081005133893997E-16	4.776608700428242E-14	0	0	199.17653631284915	6898.5145105391975	CHRNA1;CHRNA3;CHRNB4;CHRNA2;CHRNB3;CHRNA5;CHRNA7;CHRNA6;CHRNA9
Postsynaptic Nicotinic Acetylcholine Receptors	9/14	9.081005133893997E-16	4.776608700428242E-14	0	0	199.17653631284915	6898.5145105391975	CHRNA1;CHRNA3;CHRNB4;CHRNA2;CHRNB3;CHRNA5;CHRNA7;CHRNA6;CHRNA9
Serotonin Receptors	8/12	2.5148677815111492E-14	1.2401441747576855E-12	0	0	220.0888888888889	6891.857099871607	HTR6;HTR7;HTR1D;HTR1A;HTR2B;HTR1B;HTR2C;HTR2A
Highly Calcium Permeable Nicotinic Acetylcholine Receptors	7/9	2.053470211666561E-13	9.530517629440686E-12	0	0	383.0662983425414	11190.927593019262	CHRNA1;CHRNA3;CHRNB4;CHRNA2;CHRNB3;CHRNA5;CHRNA6
Activation of PPARGC1A (PGC-1alpha) by Phosphorylation	7/10	6.790908083928818E-13	2.976681376788799E-11	0	0	255.3646408839779	7154.8120082966525	PRKAB2;PRKAA2;PRKAG1;PRKAG2;MAPK14;PRKAB1;PRKAG3
Presynaptic Nicotinic Acetylcholine Receptors	7/12	4.411504351029495E-12	1.8319352278748798E-10	0	0	153.20331491712707	4005.7772559446457	CHRNA1;CHRNA3;CHRNB4;CHRNA2;CHRNB3;CHRNA5;CHRNA6
Potassium Channels	13/103	1.5077335633985705E-11	5.948008907607361E-10	0	0	16.27847619047619	405.62427715887384	KCNH2;GABBR2;KCNJ5;GABBR1;KCNJ6;KCND2;KCND3;KCNJ9;KCNQ2;KCNMA1;KCNQ3;KCNJ1;KCNJ3
Lipophagy	6/9	5.224654529399121E-11	1.9629773446170983E-9	0	0	217.6813186813187	5153.615526129699	PRKAB2;PRKAA2;PRKAG1;PRKAG2;PRKAB1;PRKAG3
Muscarinic Acetylcholine Receptors	5/5	6.957542291704676E-11	2.495227667343177E-9	0	0	99060.0	2316875.679849572	CHRM2;CHRM3;CHRM1;CHRM4;CHRM5
Activation of AMPK Downstream of NMDARs	8/28	1.3890002550147857E-10	4.7648747878550685E-9	0	0	43.98222222222222	998.2762270699358	PRKAA1;PRKAB2;PRKAA2;TUBB1;PRKAG1;PRKAG2;PRKAB1;PRKAG3
Interleukin-4 and Interleukin-13 Signaling	12/112	6.515667444454109E-10	2.1420256723642883E-8	0	0	13.44	284.2780587664523	OPRD1;POMC;VCAM1;IL1B;ALOX5;BCL2;OPRM1;PTGS2;FGF2;TNF;TP53;ICAM1
G Alpha (Q) Signalling Events	15/219	2.5373853149609757E-9	8.007988054016838E-8	0	0	8.33390003400204	164.9456469615501	CHRM3;CHRM1;PTGER1;CHRM5;HTR2B;HTR2C;TACR3;ADRA1D;HTR2A;ADRA1B;ADRA1A;RPS6KA3;EDNRA;HRH1;MAPK3
Signaling by ERBB4	9/58	3.3859809524631662E-9	1.0275149890359378E-7	0	0	20.278987572682706	395.51371178276366	GABRB3;GABRQ;GABRB2;GABRA1;GABRB1;PGR;GABRG3;ESR1;GABRG2
Assembly and Cell Surface Presentation of NMDA Receptors	8/43	5.746033808719898E-9	1.679118768548148E-7	0	0	25.113650793650795	476.5253958912849	GRIN2A;GRIN3B;GRIN3A;TUBB1;GRIN2C;GRIN2B;GRIN1;GRIN2D
Energy Dependent Regulation of mTOR by LKB1-AMPK	7/29	7.596586133317362E-9	2.140609449709785E-7	0	0	34.789050728277246	650.4010247059325	PRKAA1;PRKAB2;PRKAA2;PRKAG1;PRKAG2;PRKAB1;PRKAG3
Prostanoid Ligand Receptors	5/9	8.502983082853685E-9	2.3133978111626062E-7	0	0	135.30054644808743	2514.269595050237	PTGER4;PTGDR2;PTGER1;PTGER2;PTGER3
Signaling by Interleukins	20/452	1.0609876036410248E-8	2.7903973975758955E-7	0	0	5.340608465608466	98.06147856280506	OPRD1;VCAM1;OPRM1;PTGS2;MAPK14;FGF2;TNF;NFKB1;ICAM1;NFKB2;NFKBIA;IKBKB;POMC;RPS6KA3;CA1;IL1B;ALOX5;BCL2;TP53;MAPK3
Interaction Between L1 and Ankyrins	7/31	1.259712385287992E-8	3.2061711999749215E-7	0	0	31.886740331491712	580.0133436559852	SCN10A;SCN8A;KCNQ2;KCNQ3;L1CAM;SCN2A;SCN1A
L1CAM Interactions	11/120	1.7998474036211174E-8	4.4377487545533173E-7	0	0	11.233763541180739	200.33146773025274	RPS6KA3;SCN10A;SCN8A;NCAN;TUBB1;KCNQ2;KCNQ3;L1CAM;SCN2A;SCN1A;MAPK3
Synaptic Adhesion-Like Molecules	6/21	3.0730127245449616E-8	7.035205412855202E-7	0	0	43.50989010989011	752.6350502640635	GRIA1;GRIN2A;GRIN2C;GRIN2B;GRIN1;GRIN2D
Unblocking of NMDA Receptors, Glutamate Binding and Activation	6/21	3.0730127245449616E-8	7.035205412855202E-7	0	0	43.50989010989011	752.6350502640635	GRIA1;GRIN2A;GRIN2C;GRIN2B;GRIN1;GRIN2D
Inwardly Rectifying K+ Channels	7/35	3.120813554498505E-8	7.035205412855202E-7	0	0	27.325966850828728	472.26340004537775	GABBR2;KCNJ5;GABBR1;KCNJ6;KCNJ9;KCNJ1;KCNJ3
Long-term Potentiation	6/23	5.628070156073091E-8	1.2334853758726859E-6	0	0	38.38720103425986	640.7942509104695	GRIA1;GRIN2A;GRIN2C;GRIN2B;GRIN1;GRIN2D
MTOR Signalling	7/41	9.948980005458253E-8	2.1215527633260975E-6	0	0	22.49691257718557	362.72246180755553	PRKAA1;PRKAB2;PRKAA2;PRKAG1;PRKAG2;PRKAB1;PRKAG3
TP53 Regulates Metabolic Genes	9/86	1.166503639929349E-7	2.4220299260638326E-6	0	0	12.88652688094029	205.72160684938606	PRKAB2;PRKAA1;PRKAA2;PRKAG1;PRKAG2;MT-CO2;PRKAB1;TP53;PRKAG3
Signaling by Receptor Tyrosine Kinases	20/536	1.7328683402932403E-7	3.505725949977863E-6	0	0	4.451827242524917	69.30746047982394	GABRB3;GABRQ;NTRK1;GABRB2;GABRA1;NTRK2;GABRB1;PDPK1;PLAT;FGF1;MAPK14;FGF2;GABRG3;ESR1;GRIN2B;GABRG2;FGF4;RPS6KA3;PGR;MAPK3
Eicosanoid Ligand-Binding Receptors	5/15	1.9357573960520554E-7	3.81828146371268E-6	0	0	54.10382513661202	836.3151241416274	PTGER4;PTGDR2;PTGER1;PTGER2;PTGER3
CREB1 Phosphorylation Through NMDA Receptor-Mediated Activation of RAS Signaling	6/28	2.019979552317543E-7	3.887228943362296E-6	0	0	29.655344655344656	457.1373828808681	RPS6KA3;PDPK1;GRIN2B;MAPK3;GRIN1;GRIN2D
Regulation of TP53 Activity Through Phosphorylation	9/92	2.0996673481306918E-7	3.944375089702657E-6	0	0	11.95133607053914	183.76752870069652	PRKAB2;PRKAA1;PRKAA2;PRKAG1;PRKAG2;MAPK14;PRKAB1;TP53;PRKAG3
Activation of G Protein Gated Potassium Channels	6/29	2.5271206425764435E-7	4.430884859984032E-6	0	0	28.36454849498328	430.8862839890313	GABBR2;KCNJ5;GABBR1;KCNJ6;KCNJ9;KCNJ3
G Protein Gated Potassium Channels	6/29	2.5271206425764435E-7	4.430884859984032E-6	0	0	28.36454849498328	430.8862839890313	GABBR2;KCNJ5;GABBR1;KCNJ6;KCNJ9;KCNJ3
Inhibition of Voltage Gated Ca2+ Channels via Gbeta Gamma Subunits	6/29	2.5271206425764435E-7	4.430884859984032E-6	0	0	28.36454849498328	430.8862839890313	GABBR2;KCNJ5;GABBR1;KCNJ6;KCNJ9;KCNJ3
IkBA Variant Leads to EDA-ID	4/7	2.588752724168943E-7	4.440273694281078E-6	0	0	143.54347826086956	2177.1123744971987	IKBKB;NFKBIA;NFKB1;NFKB2
G Alpha (I) Signalling Events	15/316	3.27565117134458E-7	5.498912285512497E-6	0	0	5.6202830641599295	83.91970041013808	CHRM2;OPRD1;GABBR2;GABBR1;PTGDR2;CHRM4;HTR1D;PTGER3;HTR1B;CXCR4;OPRM1;POMC;HRH4;PNOC;PDE4A
TRAF6 Mediated Induction of NFkB and MAP Kinases Upon TLR7 8 or 9 Activation	9/102	5.106955794113695E-7	8.394558586574386E-6	0	0	10.660839790953325	154.4488328826744	NFKBIA;IKBKB;RPS6KA3;LY96;MAPK14;TP53;NFKB1;NFKB2;MAPK3
MyD88 Dependent Cascade Initiated on Endosome	9/103	5.551007480711698E-7	8.938254902615367E-6	0	0	10.546891715202662	151.91865393713064	NFKBIA;IKBKB;RPS6KA3;LY96;MAPK14;TP53;NFKB1;NFKB2;MAPK3
Toll Like Receptor 7 8 (TLR7 8) Cascade	9/107	7.678819181876399E-7	1.2117176669000956E-5	0	0	10.114354121536882	142.40636238491416	NFKBIA;IKBKB;RPS6KA3;LY96;MAPK14;TP53;NFKB1;NFKB2;MAPK3
Adrenoceptors	4/9	9.183091086088591E-7	1.4182997461349098E-5	0	0	86.11739130434782	1197.0947584066157	ADRB3;ADRA1D;ADRA1B;ADRA1A
MyD88-independent TLR4 Cascade	9/110	9.706994460238927E-7	1.4182997461349098E-5	0	0	9.812434316057304	135.85559588117232	NFKBIA;IKBKB;RPS6KA3;LY96;MAPK14;TP53;NFKB1;NFKB2;MAPK3
TRIF (TICAM1)-mediated TLR4 Signaling	9/110	9.706994460238927E-7	1.4182997461349098E-5	0	0	9.812434316057304	135.85559588117232	NFKBIA;IKBKB;RPS6KA3;LY96;MAPK14;TP53;NFKB1;NFKB2;MAPK3
Toll Like Receptor 9 (TLR9) Cascade	9/110	9.706994460238927E-7	1.4182997461349098E-5	0	0	9.812434316057304	135.85559588117232	NFKBIA;IKBKB;RPS6KA3;LY96;MAPK14;TP53;NFKB1;NFKB2;MAPK3
Negative Regulation of NMDA Receptor-Mediated Neuronal Transmission	5/21	1.2529808650899564E-6	1.7974580046472284E-5	0	0	33.80464480874317	459.40462106826476	GRIN2A;GRIN2C;GRIN2B;GRIN1;GRIN2D
MyD88 MAL(TIRAP) Cascade Initiated on Plasma Membrane	9/115	1.4120529125952129E-6	1.954578505329163E-5	0	0	9.347211974280594	125.91130059039384	NFKBIA;IKBKB;RPS6KA3;LY96;MAPK14;TP53;NFKB1;NFKB2;MAPK3
Toll Like Receptor TLR6 TLR2 Cascade	9/115	1.4120529125952129E-6	1.954578505329163E-5	0	0	9.347211974280594	125.91130059039384	NFKBIA;IKBKB;RPS6KA3;LY96;MAPK14;TP53;NFKB1;NFKB2;MAPK3
Toll Like Receptor 2 (TLR2) Cascade	9/118	1.7524708326499028E-6	2.3435584524758872E-5	0	0	9.08856542463226	120.46424374458662	NFKBIA;IKBKB;RPS6KA3;LY96;MAPK14;TP53;NFKB1;NFKB2;MAPK3
Toll Like Receptor TLR1 TLR2 Cascade	9/118	1.7524708326499028E-6	2.3435584524758872E-5	0	0	9.08856542463226	120.46424374458662	NFKBIA;IKBKB;RPS6KA3;LY96;MAPK14;TP53;NFKB1;NFKB2;MAPK3
Selective Autophagy	8/89	1.936448938451749E-6	2.54643035406405E-5	0	0	10.82633744855967	142.41673086964406	PRKAB2;PRKAA2;TUBB1;PRKAG1;PRKAG2;PRKAB1;PRKAG3;CFTR
Regulation of TP53 Activity	10/160	2.850031232113175E-6	3.6415947967529815E-5	0	0	7.3640449438202245	94.02545582682576	PRKAB2;PRKAA1;PRKAA2;PDPK1;PRKAG1;PRKAG2;MAPK14;PRKAB1;TP53;PRKAG3
Activation of GABAB Receptors	6/43	2.9077372901829893E-6	3.6415947967529815E-5	0	0	17.61954261954262	224.61631399130195	GABBR2;KCNJ5;GABBR1;KCNJ6;KCNJ9;KCNJ3
GABA B Receptor Activation	6/43	2.9077372901829893E-6	3.6415947967529815E-5	0	0	17.61954261954262	224.61631399130195	GABBR2;KCNJ5;GABBR1;KCNJ6;KCNJ9;KCNJ3
Mitochondrial Biogenesis	8/97	3.7171328737015704E-6	4.582527870860217E-5	0	0	9.849188514357055	123.14004986301393	PRKAB2;PRKAA2;PRKAG1;PRKAG2;PPARA;MAPK14;PRKAB1;PRKAG3
Cardiac Conduction	9/130	3.918065036529848E-6	4.658970822988954E-5	0	0	8.182233713467843	101.86809492585708	KCNH2;CACNB1;SCN10A;KCND2;KCND3;SCN8A;SCN2A;SCN1A;CES1
MyD88 Cascade Initiated on Plasma Membrane	8/98	4.015336070510125E-6	4.658970822988954E-5	0	0	9.73925925925926	121.01408983838434	NFKBIA;IKBKB;RPS6KA3;MAPK14;TP53;NFKB1;NFKB2;MAPK3
Toll Like Receptor 10 (TLR10) Cascade	8/98	4.015336070510125E-6	4.658970822988954E-5	0	0	9.73925925925926	121.01408983838434	NFKBIA;IKBKB;RPS6KA3;MAPK14;TP53;NFKB1;NFKB2;MAPK3
Toll Like Receptor 5 (TLR5) Cascade	8/98	4.015336070510125E-6	4.658970822988954E-5	0	0	9.73925925925926	121.01408983838434	NFKBIA;IKBKB;RPS6KA3;MAPK14;TP53;NFKB1;NFKB2;MAPK3
Cytokine Signaling in Immune System	22/776	4.091266159697753E-6	4.678273913045692E-5	0	0	3.3498130452845865	41.559978322567595	OPRD1;VCAM1;OPRM1;PTGS2;MAPK14;FGF2;TNF;NFKB1;ICAM1;NFKB2;NFKBIA;IKBKB;POMC;RPS6KA3;CA1;IL1B;ALOX5;TUBB1;BCL2;TP53;CD44;MAPK3
Translocation of SLC2A4 (GLUT4) to the Plasma Membrane	7/71	4.6409261567514405E-6	5.230986768109838E-5	0	0	11.93335635359116	146.54873556865834	PRKAB2;PRKAA2;TUBB1;PRKAG1;PRKAG2;PRKAB1;PRKAG3
Fatty Acid Metabolism	10/176	6.6697768984972066E-6	7.411907004104642E-5	0	0	6.648842561256261	79.24040131104441	FAAH;PRKAB2;PRKAA2;ALOX5;AKR1C3;PRKAG2;PTGS2;PTGR2;PPARD;PTGS1
Carnitine Shuttle	4/14	7.031517915917162E-6	7.705371716192557E-5	0	0	43.04782608695652	510.7671037794383	PRKAB2;PRKAA2;PRKAG2;PPARD
Toll Like Receptor 3 (TLR3) Cascade	8/106	7.21875594535243E-6	7.802189645045298E-5	0	0	8.940589569160998	105.84610147204475	NFKBIA;IKBKB;RPS6KA3;MAPK14;TP53;NFKB1;NFKB2;MAPK3
Acetylcholine Inhibits Contraction of Outer Hair Cells	3/5	8.061436702747379E-6	8.59523453846984E-5	0	0	160.6216216216216	1883.837641311702	KCNMA1;CHRNA9;CHRNA10
SUMOylation of Intracellular Receptors	5/30	8.192707705149034E-6	8.618728505816783E-5	0	0	21.62513661202186	253.279354526915	PGR;PPARG;NR3C1;PPARA;ESR1
Macroautophagy	9/143	8.542735146658045E-6	8.868707935148945E-5	0	0	7.383557074960393	86.16928102265987	PRKAB2;PRKAA1;PRKAA2;TUBB1;PRKAG1;PRKAG2;PRKAB1;CFTR;PRKAG3
Synthesis of Prostaglandins (PG) and Thromboxanes (TX)	4/15	9.51807062826197E-6	9.752932111297006E-5	0	0	39.13241106719368	452.46139631504474	AKR1C3;PTGS2;PTGR2;PTGS1
Nuclear Receptor Transcription Pathway	6/53	1.0129044924300381E-5	1.024591851958077E-4	0	0	13.863689501987375	159.4338645259186	PGR;PPARG;NR3C1;PPARA;ESR1;PPARD
Toll Like Receptor 4 (TLR4) Cascade	9/148	1.1280062406650047E-5	1.1245310425411466E-4	0	0	7.1161528877456695	81.07058518388135	NFKBIA;IKBKB;RPS6KA3;LY96;MAPK14;TP53;NFKB1;NFKB2;MAPK3
Phase 0 - Rapid Depolarisation	5/32	1.140208915124103E-5	1.1245310425411466E-4	0	0	20.021250758955677	227.87614926933426	CACNB1;SCN10A;SCN8A;SCN2A;SCN1A
Axon Guidance	17/541	1.4794719194995795E-5	1.441115240105146E-4	0	0	3.6593902057943843	40.69695765451136	NCAN;CXCR4;CACNA1D;L1CAM;GRIN2B;GRIN1;CACNB1;RPS6KA3;SCN10A;SCN8A;TUBB1;KCNQ2;KCNQ3;CACNA1S;SCN2A;SCN1A;MAPK3
RIP-mediated NFkB Activation via ZBP1	4/17	1.6353020808154666E-5	1.5734796850773209E-4	0	0	33.108695652173914	364.89417674563794	IKBKB;NFKBIA;NFKB1;NFKB2
Diseases Associated With the TLR Signaling Cascade	5/35	1.7965780234252188E-5	1.6875000720029733E-4	0	0	18.016393442622952	196.8658825670951	IKBKB;NFKBIA;LY96;NFKB1;NFKB2
Diseases of Immune System	5/35	1.7965780234252188E-5	1.6875000720029733E-4	0	0	18.016393442622952	196.8658825670951	IKBKB;NFKBIA;LY96;NFKB1;NFKB2
Arachidonate Metabolism	6/59	1.89728203100325E-5	1.727687194170157E-4	0	0	12.290483101803856	133.628315784051	FAAH;ALOX5;AKR1C3;PTGS2;PTGR2;PTGS1
Autophagy	9/158	1.9050543205678537E-5	1.727687194170157E-4	0	0	6.635184282554085	72.11393599986114	PRKAB2;PRKAA1;PRKAA2;TUBB1;PRKAG1;PRKAG2;PRKAB1;CFTR;PRKAG3
G Alpha (S) Signalling Events	9/158	1.9050543205678537E-5	1.727687194170157E-4	0	0	6.635184282554085	72.11393599986114	PTGER4;POMC;HTR6;HTR7;ADRB3;HRH2;PTGER2;PDE3A;PDE4A
