Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
ZMYND10,amygdala,5.6,2.7300518134715026,1.0364984949251246,High
C6,amygdala,0.5,0.1538860103626943,1.700066010705707,High
MCOLN3,amygdala,0.8,0.2948186528497409,1.4401721946524855,High
DMRT3,amygdala,0.9,0.3119170984455959,1.528762361648465,High
PTPN3,amygdala,16.0,6.590155440414509,1.2796875058508477,High
ATP2A3,amygdala,8.3,3.3854922279792743,1.2937457291517103,High
NOX3,amygdala,0.1,0.004663212435233161,4.42253200633067,High
SPAG6,amygdala,6.2,3.0886010362694303,1.0053146896606882,High
CHRNA3,amygdala,7.6,2.6124352331606215,1.5406041478168848,High
FETUB,amygdala,0.1,0.043523316062176166,1.2001396126172514,High
SMPX,amygdala,3.2,1.4880829015544041,1.1046170033931635,High
PVALB,amygdala,167.9,66.54041450777201,1.3352994717679232,High
PAGE4,amygdala,0.2,0.02901554404145078,2.785102110959678,High
ZNRF4,amygdala,0.1,0.027979274611398965,1.8375695313910079,High
PPP1R17,amygdala,13.9,4.007772020725389,1.7942125336295716,High
TULP1,amygdala,0.1,0.04248704663212436,1.23490503069708,High
ADGRG6,amygdala,5.2,2.506735751295337,1.0527017013994389,High
C6orf118,amygdala,5.3,2.1974093264248706,1.2701887241964112,High
ACADL,amygdala,0.3,0.06476683937823834,2.211635251580527,High
ADGB,amygdala,1.1,0.3922279792746114,1.4877391656829797,High
CASQ2,amygdala,3.0,1.1134715025906736,1.4298978653673378,High
IFNA8,amygdala,0.4,0.19378238341968912,1.0455625769966252,High
CHRNA2,amygdala,27.4,10.399481865284974,1.3976642425997907,High
C20orf85,amygdala,0.5,0.2010362694300518,1.314472289539225,High
IL17C,amygdala,0.1,0.039378238341968914,1.3445295216035038,High
SCGB1D2,amygdala,3.0,1.4968911917098444,1.002993144263694,High
CSN1S1,amygdala,0.1,0.0305699481865285,1.7098139846296097,High
TRPV5,amygdala,0.2,0.09533678756476685,1.0688950804191535,High
FIBCD1,amygdala,8.5,2.9186528497409325,1.5421602171337767,High
FSHB,amygdala,0.3,0.12849740932642487,1.2232232269605172,High
POSTN,amygdala,2.4,0.7694300518134715,1.641172322173719,High
STOML3,amygdala,1.5,0.4968911917098446,1.5939606276643035,High
GSC,amygdala,0.1,0.04507772020725388,1.1495135396615859,High
TSHB,amygdala,0.7,0.24300518134715024,1.5263678464227182,High
FGFBP2,amygdala,0.3,0.13523316062176166,1.14951354083343,High
CCDC33,amygdala,0.8,0.23471502590673574,1.769089796787524,High
IL22RA1,amygdala,0.1,0.04248704663212436,1.23490503069708,High
SYTL1,amygdala,4.5,1.2253886010362693,1.8766856652853239,High
RGS16,amygdala,71.2,22.647668393782382,1.6525147105571034,High
DQX1,amygdala,0.1,0.0227979274611399,2.133025413745293,High
GC,amygdala,0.1,0.017098445595854925,2.5480629109147417,High
TRIM50,amygdala,0.1,0.03730569948186529,1.4225320334012386,High
LCN9,amygdala,0.1,0.017098445595854925,2.5480629109147417,High
LRIT1,amygdala,0.1,0.0383419689119171,1.383003669319121,High
TCF7L2,amygdala,74.5,34.20362694300518,1.1230911093722484,High
LYPD6B,amygdala,3.4,1.573056994818653,1.1119638030536727,High
CACNA2D4,amygdala,0.1,0.03523316062176166,1.5049941933657278,High
MAT1A,amygdala,0.6,0.1673575129533679,1.8420291826737167,High
ADAMTS12,amygdala,1.5,0.655958549222798,1.1932859433245002,High
SLC25A31,amygdala,0.1,0.04922279792746114,1.0226014274488786,High
RBM46,amygdala,0.2,0.07098445595854923,1.4944249529964915,High
G6PC2,amygdala,0.4,0.19948186528497408,1.0037424013232696,High
CAPSL,amygdala,3.8,1.417616580310881,1.4225320357619646,High
PLEKHG4B,amygdala,3.3,0.9730569948186529,1.761869808868213,High
SPAG17,amygdala,3.2,1.327461139896373,1.2694022768628375,High
DNAH3,amygdala,0.7,0.24974093264248706,1.4869226227241454,High
FCN2,amygdala,0.3,0.12331606217616581,1.2826017739922748,High
LRRC71,amygdala,1.3,0.5673575129533679,1.19618160077733,High
CCDC42,amygdala,0.1,0.017098445595854925,2.5480629109147417,High
TTLL10,amygdala,0.9,0.36683937823834195,1.294776488394418,High
C1orf87,amygdala,3.6,1.550259067357513,1.2154875787697694,High
NTNG1,amygdala,32.5,14.66476683937824,1.1480855848074012,High
TEKT4,amygdala,0.2,0.05803108808290155,1.7851021134457514,High
PROK2,amygdala,1.3,0.566839378238342,1.197499732473077,High
CXCL3,amygdala,0.6,0.1979274611398964,1.599990709465036,High
CFAP100,amygdala,8.3,3.873056994818653,1.0996386046223081,High
ZDHHC19,amygdala,0.1,0.04093264248704664,1.2886762870091135,High
ADGRV1,amygdala,47.2,22.730569948186528,1.0541530007200386,High
CARTPT,amygdala,207.0,38.795854922279794,2.4156563442822496,High
KCNK5,amygdala,0.3,0.0766839378238342,1.9679661709598328,High
DEFB1,amygdala,2.2,0.5031088082901554,2.128561170265007,High
DCSTAMP,amygdala,1.5,0.5253886010362695,1.513505695694842,High
OTX2,amygdala,6.1,2.7481865284974094,1.1503293146895333,High
DNAAF3,amygdala,1.6,0.7098445595854922,1.1724968593071188,High
OR2B2,amygdala,0.1,0.04093264248704664,1.2886762870091135,High
