Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
TSPAN6,amygdala,4.5,4.400518134715026,0.03225159897012705,Normal
TNMD,amygdala,0.2,0.23160621761658032,-0.21167398381679844,Normal
DPM1,amygdala,6.6,7.684974093264249,-0.2195743719959109,Normal
SCYL3,amygdala,3.6,4.762694300518135,-0.40378104392593706,Normal
C1orf112,amygdala,1.3,1.570984455958549,-0.2731572827427761,Normal
FGR,amygdala,5.1,5.487564766839378,-0.10566881503276733,Normal
CFH,amygdala,3.8,3.8818652849740936,-0.030750633530579025,Normal
FUCA2,amygdala,15.5,18.162694300518137,-0.22871001607476524,Normal
GCLC,amygdala,22.0,22.676683937823835,-0.043706163433355635,Normal
NFYA,amygdala,17.5,20.393264248704664,-0.22073779682197167,Normal
STPG1,amygdala,6.3,5.942487046632125,0.08428497521081411,Normal
NIPAL3,amygdala,49.5,63.58549222797927,-0.3612691101545978,Normal
LAS1L,amygdala,6.0,8.107772020725388,-0.4343430220693838,Normal
ENPP4,amygdala,16.6,21.013471502590672,-0.3401312786403045,Normal
SEMA3F,amygdala,12.7,9.034715025906737,0.49127749573719687,Normal
CFTR,amygdala,0.7,0.9606217616580311,-0.45661356924393065,Normal
ANKIB1,amygdala,80.1,92.06269430051813,-0.20081442235986852,Normal
CYP51A1,amygdala,32.7,52.538860103626945,-0.6840942640102362,Normal
KRIT1,amygdala,1.0,1.2792746113989637,-0.35532598895584394,Normal
RAD52,amygdala,9.2,12.552331606217615,-0.4482496046062301,Normal
BAD,amygdala,41.1,44.86839378238342,-0.12656114482804237,Normal
LAP3,amygdala,23.6,23.438341968911917,0.009916342635479329,Normal
CD99,amygdala,106.8,111.22124352331606,-0.058520725556036414,Normal
HS3ST1,amygdala,6.2,8.067357512953368,-0.37982797630605747,Normal
AOC1,amygdala,0.8,0.9020725388601036,-0.17324345036261493,Normal
WNT16,amygdala,0.4,0.45906735751295336,-0.19870585124053047,Normal
HECW1,amygdala,12.7,21.23264248704663,-0.7414554345672282,Normal
MAD1L1,amygdala,9.3,13.16839378238342,-0.5017767619551379,Normal
LASP1,amygdala,51.4,52.163730569948186,-0.021278690408723325,Normal
SNX11,amygdala,9.8,11.129533678756477,-0.1835394914877276,Normal
TMEM176A,amygdala,25.9,22.318652849740932,0.2147021489540677,Normal
M6PR,amygdala,34.8,45.06528497409327,-0.37292920764963844,Normal
KLHL13,amygdala,5.4,6.045595854922279,-0.16292513146377538,Normal
CYP26B1,amygdala,7.2,13.907772020725387,-0.9498225117185977,Normal
ICA1,amygdala,13.3,16.170466321243524,-0.2819350378849736,Normal
DBNDD1,amygdala,38.9,37.79481865284974,0.04158168838939872,Normal
ALS2,amygdala,5.9,9.649740932642487,-0.7097752562688604,Normal
CASP10,amygdala,7.6,7.541450777202073,0.011157331701390404,Normal
CFLAR,amygdala,59.5,62.12176165803109,-0.062209074042267935,Normal
TFPI,amygdala,6.6,8.954922279792745,-0.4402148865681036,Normal
NDUFAF7,amygdala,5.7,7.664766839378238,-0.427279986782965,Normal
RBM5,amygdala,35.5,43.61139896373057,-0.29688624522508555,Normal
MTMR7,amygdala,12.8,16.96165803108808,-0.40613339247448244,Normal
SLC7A2,amygdala,12.8,14.484455958549223,-0.1783616872472331,Normal
ARF5,amygdala,53.3,62.829533678756476,-0.2373073394460906,Normal
SARM1,amygdala,6.1,7.946632124352332,-0.381534316211364,Normal
POLDIP2,amygdala,29.7,36.29637305699482,-0.2893624619843811,Normal
PLXND1,amygdala,19.4,28.462176165803108,-0.5529893194843176,Normal
AK2,amygdala,21.2,24.96839378238342,-0.23603875084090667,Normal
CD38,amygdala,3.7,4.446632124352332,-0.2651877828448085,Normal
FKBP4,amygdala,101.9,104.51450777202072,-0.03654916676414939,Normal
KDM1A,amygdala,6.2,7.800518134715026,-0.3313017399523098,Normal
RBM6,amygdala,20.6,26.12642487046632,-0.34286538294142177,Normal
CAMKK1,amygdala,17.4,28.18860103626943,-0.6960245745229668,Normal
RECQL,amygdala,5.9,7.605181347150259,-0.36626769524693575,Normal
VPS50,amygdala,5.5,7.686528497409326,-0.4829005555674276,Normal
HSPB6,amygdala,30.3,31.811917098445594,-0.07024952269581095,Normal
ARHGAP33,amygdala,15.1,20.03886010362694,-0.408251894628246,Normal
NDUFAB1,amygdala,34.5,45.40414507772021,-0.39622764950308126,Normal
PDK4,amygdala,47.1,42.192746113989635,0.15873207144837473,Normal
SLC22A16,amygdala,0.1,0.11606217616580312,-0.21489788458986508,Normal
ABCB5,amygdala,0.6,0.8435233160621762,-0.49146544620759347,Normal
ARX,amygdala,7.8,8.053367875647668,-0.04611811284032598,Normal
SLC25A13,amygdala,5.6,9.719689119170985,-0.7954833432956866,Normal
ST7,amygdala,19.6,25.44715025906736,-0.37665044842997497,Normal
CDC27,amygdala,18.6,23.976683937823836,-0.3663295212674477,Normal
SLC4A1,amygdala,0.6,0.9766839378238342,-0.7029292700740546,Normal
CALCR,amygdala,0.7,0.6927461139896373,0.015028209230173612,Normal
HCCS,amygdala,5.5,6.896373056994818,-0.32640620000120274,Normal
DVL2,amygdala,10.3,12.344559585492227,-0.2612310292310478,Normal
UPF1,amygdala,18.6,21.89326424870466,-0.23518445261451368,Normal
SKAP2,amygdala,6.6,11.908808290155442,-0.8514911208962457,Normal
SLC25A5,amygdala,59.0,61.59585492227979,-0.062118313908571386,Normal
MCUB,amygdala,2.1,2.0409326424870464,0.041160758430809546,Normal
POLR2J,amygdala,22.1,23.896891191709848,-0.11277657687220288,Normal
DHX33,amygdala,6.1,6.769430051813472,-0.15022512937407775,Normal
THSD7A,amygdala,6.7,6.089119170984456,0.13792754716741268,Normal
LIG3,amygdala,7.3,8.474093264248705,-0.21516254281930486,Normal
RPAP3,amygdala,8.1,10.560103626943004,-0.3826301789064872,Normal
ACSM3,amygdala,7.4,8.994818652849741,-0.2815689244313547,Normal
REXO5,amygdala,2.2,3.5507772020725388,-0.6906313157309746,Normal
CIAPIN1,amygdala,13.7,18.45181347150259,-0.4295867202664323,Normal
SPPL2B,amygdala,15.2,20.760621761658033,-0.44977832807006374,Normal
ATOSB,amygdala,16.5,18.606735751295336,-0.17335895577825408,Normal
COPZ2,amygdala,6.7,6.445077720207254,0.05596333963871882,Normal
PRKAR2B,amygdala,2.0,3.217098445595855,-0.685760084175935,Normal
MSL3,amygdala,7.9,9.8,-0.31092909593456475,Normal
CREBBP,amygdala,40.6,49.83523316062177,-0.2956863508941203,Normal
TSPOAP1,amygdala,31.3,32.66321243523316,-0.061504030142847714,Normal
MPO,amygdala,0.1,0.14715025906735751,-0.5572900817743297,Normal
PON1,amygdala,0.6,0.6880829015544042,-0.1976198933269079,Normal
GCFC2,amygdala,13.5,14.551295336787565,-0.1081881783501013,Normal
WDR54,amygdala,3.8,4.3818652849740936,-0.2055457125748708,Normal
CROT,amygdala,4.3,5.605181347150259,-0.3824243901755069,Normal
ABCB4,amygdala,0.6,0.5777202072538861,0.05459154317229627,Normal
KMT2E,amygdala,19.8,23.47461139896373,-0.24560084525446108,Normal
RHBDD2,amygdala,106.9,136.90362694300518,-0.35689881489119724,Normal
SOX8,amygdala,40.6,50.478756476683934,-0.31419664315062507,Normal
IBTK,amygdala,3.7,4.437305699481866,-0.2621586774820004,Normal
ZNF195,amygdala,7.0,9.22901554404145,-0.39882184222487876,Normal
MYCBP2,amygdala,23.7,31.990155440414508,-0.43274094341194913,Normal
FBXL3,amygdala,23.0,25.15854922279793,-0.12941486989354142,Normal
PDK2,amygdala,27.0,29.965284974093265,-0.15033268693059593,Normal
ITGA3,amygdala,6.0,8.67979274611399,-0.5326980940467857,Normal
ZFX,amygdala,29.2,30.555958549222797,-0.06548537038840477,Normal
LAMP2,amygdala,100.4,121.9476683937824,-0.2805029051724669,Normal
ITGA2B,amygdala,0.7,1.1580310880829014,-0.7262471566634779,Normal
ASB4,amygdala,5.0,5.805699481865285,-0.21554180135094633,Normal
GDE1,amygdala,22.0,25.78704663212435,-0.22914302823733107,Normal
REX1BD,amygdala,30.1,33.72487046632124,-0.16404941495884784,Normal
CRLF1,amygdala,13.8,13.183419689119171,0.06594362286250915,Normal
OSBPL7,amygdala,3.8,5.326943005181347,-0.48730842651778195,Normal
TMEM98,amygdala,32.1,48.09585492227979,-0.5833392652375865,Normal
YBX2,amygdala,0.5,0.7316062176165803,-0.5491392410243942,Normal
MAP3K14,amygdala,6.4,6.509844559585493,-0.024551190383503903,Normal
ABCC8,amygdala,2.7,4.313471502590674,-0.675890017394451,Normal
TMEM132A,amygdala,71.7,80.20518134715026,-0.16172232052566293,Normal
AP2B1,amygdala,83.6,99.7056994818653,-0.25417303352268517,Normal
ZNF263,amygdala,10.5,12.848186528497408,-0.2911754151070177,Normal
CX3CL1,amygdala,31.7,32.534715025906735,-0.03749707674408529,Normal
SPATA20,amygdala,16.0,16.424870466321245,-0.03781008775845602,Normal
CACNA1G,amygdala,18.2,16.619689119170985,0.13104505450178855,Normal
TNFRSF12A,amygdala,4.9,5.321243523316062,-0.11898167981993807,Normal
DLX6,amygdala,1.8,1.7507772020725387,0.04000140354433791,Normal
MAP3K9,amygdala,13.2,21.096891191709844,-0.676492491489508,Normal
RALA,amygdala,16.0,20.43419689119171,-0.3529136382751354,Normal
