Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
ARX,"anterior cingulate cortex, supragenual-dorsal",20.5,8.053367875647668,1.3479597677914132,High
CRLF1,"anterior cingulate cortex, supragenual-dorsal",40.3,13.183419689119171,1.612055194605433,High
ROS1,"anterior cingulate cortex, supragenual-dorsal",2.2,1.0585492227979276,1.0554151671014373,High
ITIH1,"anterior cingulate cortex, supragenual-dorsal",0.1,0.0383419689119171,1.383003669319121,High
LTK,"anterior cingulate cortex, supragenual-dorsal",1.0,0.38238341968911915,1.3869081258620262,High
GLP2R,"anterior cingulate cortex, supragenual-dorsal",3.1,1.344041450777202,1.2056905833424547,High
PKP1,"anterior cingulate cortex, supragenual-dorsal",0.9,0.31813471502590673,1.5002871930470272,High
CPXM1,"anterior cingulate cortex, supragenual-dorsal",0.9,0.2792746113989637,1.6882405756016003,High
SIRPG,"anterior cingulate cortex, supragenual-dorsal",0.3,0.14352331606217616,1.0636773714157475,High
FETUB,"anterior cingulate cortex, supragenual-dorsal",0.1,0.043523316062176166,1.2001396126172514,High
SLC26A4,"anterior cingulate cortex, supragenual-dorsal",15.9,7.021761658031088,1.179121833208765,High
TPSD1,"anterior cingulate cortex, supragenual-dorsal",0.9,0.43989637305699486,1.0327612949896912,High
DSP,"anterior cingulate cortex, supragenual-dorsal",3.8,1.8792746113989636,1.0158235207025832,High
ASB2,"anterior cingulate cortex, supragenual-dorsal",2.2,1.0476683937823834,1.0703213739302349,High
CHRDL1,"anterior cingulate cortex, supragenual-dorsal",14.1,5.964248704663212,1.2412828393289677,High
FGL1,"anterior cingulate cortex, supragenual-dorsal",1.1,0.5238341968911917,1.0703213738581066,High
THEG,"anterior cingulate cortex, supragenual-dorsal",0.8,0.3207253886010363,1.3186614377843302,High
KCNN1,"anterior cingulate cortex, supragenual-dorsal",36.3,17.79740932642487,1.0283022971338682,High
PCOLCE,"anterior cingulate cortex, supragenual-dorsal",2.6,1.0264248704663212,1.3408835904346192,High
LHX2,"anterior cingulate cortex, supragenual-dorsal",61.3,23.671502590673576,1.3727357873028234,High
CCL1,"anterior cingulate cortex, supragenual-dorsal",0.2,0.09637305699481866,1.0532982253844068,High
COL1A1,"anterior cingulate cortex, supragenual-dorsal",5.4,2.2155440414507774,1.2852984016726579,High
RCVRN,"anterior cingulate cortex, supragenual-dorsal",2.1,0.9010362694300519,1.220732242648838,High
CPZ,"anterior cingulate cortex, supragenual-dorsal",1.7,0.5082901554404144,1.7418105521002125,High
SLC1A2,"anterior cingulate cortex, supragenual-dorsal",785.7,356.7025906735752,1.1392568665045044,High
NR2E1,"anterior cingulate cortex, supragenual-dorsal",16.4,7.676165803108808,1.0952380360275218,High
C7,"anterior cingulate cortex, supragenual-dorsal",3.1,1.1694300518134715,1.4064626443862909,High
HGD,"anterior cingulate cortex, supragenual-dorsal",0.6,0.2694300518134715,1.1550517246657692,High
OTX1,"anterior cingulate cortex, supragenual-dorsal",3.1,1.5476683937823834,1.0021718252974863,High
DLX2,"anterior cingulate cortex, supragenual-dorsal",1.9,0.8253886010362695,1.2028539990874976,High
TNNT2,"anterior cingulate cortex, supragenual-dorsal",6.7,1.8476683937823835,1.8584552400443088,High
ELOVL3,"anterior cingulate cortex, supragenual-dorsal",0.4,0.18652849740932642,1.1006039405256347,High
TNN,"anterior cingulate cortex, supragenual-dorsal",0.1,0.046632124352331605,1.1006039392873215,High
RGSL1,"anterior cingulate cortex, supragenual-dorsal",0.1,0.02849740932642487,1.8110973201235676,High
FMOD,"anterior cingulate cortex, supragenual-dorsal",2.7,1.1808290155440415,1.1931593300975085,High
ACTRT1,"anterior cingulate cortex, supragenual-dorsal",0.1,0.012953367875647668,2.948600837798445,High
KCNS1,"anterior cingulate cortex, supragenual-dorsal",18.4,6.872020725388601,1.4208994736367178,High
IL17C,"anterior cingulate cortex, supragenual-dorsal",0.1,0.039378238341968914,1.3445295216035038,High
CXCL6,"anterior cingulate cortex, supragenual-dorsal",0.6,0.2927461139896373,1.0353124804343212,High
TRIM51,"anterior cingulate cortex, supragenual-dorsal",0.4,0.1689119170984456,1.2437288825435657,High
MYH2,"anterior cingulate cortex, supragenual-dorsal",0.1,0.02901554404145078,1.7851021116810257,High
OVOL2,"anterior cingulate cortex, supragenual-dorsal",0.5,0.14248704663212436,1.81109732301945,High
CSN1S1,"anterior cingulate cortex, supragenual-dorsal",0.1,0.0305699481865285,1.7098139846296097,High
SIX1,"anterior cingulate cortex, supragenual-dorsal",0.3,0.14093264248704665,1.0899566961961182,High
IL22,"anterior cingulate cortex, supragenual-dorsal",0.1,0.03678756476683938,1.4427099152844012,High
EPO,"anterior cingulate cortex, supragenual-dorsal",0.1,0.02849740932642487,1.8110973201235676,High
TNNT3,"anterior cingulate cortex, supragenual-dorsal",0.1,0.0383419689119171,1.383003669319121,High
CCL25,"anterior cingulate cortex, supragenual-dorsal",0.2,0.08186528497409327,1.2886762880500455,High
CBLIF,"anterior cingulate cortex, supragenual-dorsal",0.1,0.010880829015544042,3.200139602672961,High
TESPA1,"anterior cingulate cortex, supragenual-dorsal",45.3,19.55440414507772,1.2120174748223147,High
EMX1,"anterior cingulate cortex, supragenual-dorsal",23.7,10.949740932642488,1.1139903225880219,High
FGFBP2,"anterior cingulate cortex, supragenual-dorsal",0.4,0.13523316062176166,1.564551039992049,High
ITPKA,"anterior cingulate cortex, supragenual-dorsal",21.4,9.949222797927462,1.1049550602587392,High
STRA6,"anterior cingulate cortex, supragenual-dorsal",0.1,0.032642487046632127,1.6151771107911739,High
SULT6B1,"anterior cingulate cortex, supragenual-dorsal",0.4,0.18756476683937826,1.092611149776377,High
ERP27,"anterior cingulate cortex, supragenual-dorsal",6.1,2.5761658031088084,1.2435837937461307,High
RLBP1,"anterior cingulate cortex, supragenual-dorsal",4.4,1.9595854922279792,1.1669550079147823,High
KIF2B,"anterior cingulate cortex, supragenual-dorsal",0.3,0.08134715025906736,1.8827987878050039,High
GATA6,"anterior cingulate cortex, supragenual-dorsal",0.1,0.04404145077720207,1.1830660992973074,High
SLC13A5,"anterior cingulate cortex, supragenual-dorsal",7.5,3.0896373056994815,1.2794531063123327,High
CBLC,"anterior cingulate cortex, supragenual-dorsal",0.2,0.021761658031088083,3.20013960858114,High
OSR1,"anterior cingulate cortex, supragenual-dorsal",2.3,0.42020725388601043,2.4524608888272166,High
AHSG,"anterior cingulate cortex, supragenual-dorsal",0.1,0.029533678756476684,1.7595670196611188,High
CXCL14,"anterior cingulate cortex, supragenual-dorsal",44.2,20.68082901554404,1.0957523506602433,High
PRSS35,"anterior cingulate cortex, supragenual-dorsal",2.6,0.8378238341968911,1.633792791818804,High
FATE1,"anterior cingulate cortex, supragenual-dorsal",0.4,0.12383419689119173,1.691590228482984,High
RGS20,"anterior cingulate cortex, supragenual-dorsal",9.1,4.266839378238342,1.0926987428351014,High
SLC39A4,"anterior cingulate cortex, supragenual-dorsal",5.8,2.5295336787564766,1.1971814525823385,High
ANKRD30A,"anterior cingulate cortex, supragenual-dorsal",0.1,0.031606217616580314,1.6617196965832965,High
FREM2,"anterior cingulate cortex, supragenual-dorsal",2.6,1.0082901554404144,1.3666007605404662,High
TDO2,"anterior cingulate cortex, supragenual-dorsal",0.7,0.24196891191709846,1.5325332192258903,High
MCHR2,"anterior cingulate cortex, supragenual-dorsal",4.0,1.95440414507772,1.0332711714425962,High
G6PC2,"anterior cingulate cortex, supragenual-dorsal",0.4,0.19948186528497408,1.0037424013232696,High
ODF1,"anterior cingulate cortex, supragenual-dorsal",0.1,0.03316062176165803,1.5924570343601483,High
PDZD9,"anterior cingulate cortex, supragenual-dorsal",0.1,0.031088082901554404,1.6855664384615878,High
WIF1,"anterior cingulate cortex, supragenual-dorsal",30.8,8.366321243523316,1.8802650512626877,High
LYZL4,"anterior cingulate cortex, supragenual-dorsal",0.4,0.1746113989637306,1.1958522556206637,High
CDCP2,"anterior cingulate cortex, supragenual-dorsal",0.3,0.14974093264248706,1.0024938550059952,High
CABP1,"anterior cingulate cortex, supragenual-dorsal",147.3,71.75284974093263,1.0376493941621123,High
FCN2,"anterior cingulate cortex, supragenual-dorsal",0.3,0.12331606217616581,1.2826017739922748,High
LCN1,"anterior cingulate cortex, supragenual-dorsal",0.2,0.07823834196891191,1.354052296820375,High
