Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
TSPAN6,"anterior cingulate cortex, supragenual-dorsal",3.2,4.400518134715026,-0.4596014973465231,Normal
TNMD,"anterior cingulate cortex, supragenual-dorsal",0.2,0.23160621761658032,-0.21167398381679844,Normal
DPM1,"anterior cingulate cortex, supragenual-dorsal",4.8,7.684974093264249,-0.679005990625011,Normal
SCYL3,"anterior cingulate cortex, supragenual-dorsal",4.3,4.762694300518135,-0.1474412906726755,Normal
C1orf112,"anterior cingulate cortex, supragenual-dorsal",1.2,1.570984455958549,-0.3886345001534642,Normal
FGR,"anterior cingulate cortex, supragenual-dorsal",4.0,5.487564766839378,-0.4561660621091213,Normal
CFH,"anterior cingulate cortex, supragenual-dorsal",5.4,3.8818652849740936,0.4762093551780552,Normal
FUCA2,"anterior cingulate cortex, supragenual-dorsal",12.0,18.162694300518137,-0.5979438257377695,Normal
GCLC,"anterior cingulate cortex, supragenual-dorsal",14.1,22.676683937823835,-0.6855145245555473,Normal
NFYA,"anterior cingulate cortex, supragenual-dorsal",13.7,20.393264248704664,-0.573916825691487,Normal
STPG1,"anterior cingulate cortex, supragenual-dorsal",3.7,5.942487046632125,-0.6835415826440606,Normal
NIPAL3,"anterior cingulate cortex, supragenual-dorsal",33.0,63.58549222797927,-0.9462316108742965,Normal
LAS1L,"anterior cingulate cortex, supragenual-dorsal",4.8,8.107772020725388,-0.756271116950735,Normal
ENPP4,"anterior cingulate cortex, supragenual-dorsal",10.6,21.013471502590672,-0.9872502554191108,Normal
CFTR,"anterior cingulate cortex, supragenual-dorsal",0.5,0.9606217616580311,-0.9420403963317324,Normal
ANKIB1,"anterior cingulate cortex, supragenual-dorsal",66.0,92.06269430051813,-0.4801506405223779,Normal
CYP51A1,"anterior cingulate cortex, supragenual-dorsal",29.4,52.538860103626945,-0.8375687446714595,Normal
KRIT1,"anterior cingulate cortex, supragenual-dorsal",1.0,1.2792746113989637,-0.35532598895584394,Normal
RAD52,"anterior cingulate cortex, supragenual-dorsal",9.5,12.552331606217615,-0.40195595233279025,Normal
BAD,"anterior cingulate cortex, supragenual-dorsal",43.1,44.86839378238342,-0.05801166942079012,Normal
LAP3,"anterior cingulate cortex, supragenual-dorsal",15.5,23.438341968911917,-0.5966023014489297,Normal
HS3ST1,"anterior cingulate cortex, supragenual-dorsal",4.9,8.067357512953368,-0.7193144425715512,Normal
AOC1,"anterior cingulate cortex, supragenual-dorsal",0.6,0.9020725388601036,-0.5882809495813466,Normal
WNT16,"anterior cingulate cortex, supragenual-dorsal",0.5,0.45906735751295336,0.12322224357469697,Normal
HECW1,"anterior cingulate cortex, supragenual-dorsal",23.8,21.23264248704663,0.16467764196325146,Normal
MAD1L1,"anterior cingulate cortex, supragenual-dorsal",11.3,13.16839378238342,-0.22075661065072713,Normal
LASP1,"anterior cingulate cortex, supragenual-dorsal",51.8,52.163730569948186,-0.010094951916069132,Normal
SNX11,"anterior cingulate cortex, supragenual-dorsal",7.8,11.129533678756477,-0.5128471167369131,Normal
TMEM176A,"anterior cingulate cortex, supragenual-dorsal",13.4,22.318652849740932,-0.7360169482695176,Normal
M6PR,"anterior cingulate cortex, supragenual-dorsal",32.9,45.06528497409327,-0.4539289297628857,Normal
CYP26B1,"anterior cingulate cortex, supragenual-dorsal",11.1,13.907772020725387,-0.32533164681784427,Normal
ICA1,"anterior cingulate cortex, supragenual-dorsal",16.4,16.170466321243524,0.020334531229869952,Normal
DBNDD1,"anterior cingulate cortex, supragenual-dorsal",38.8,37.79481865284974,0.03786818559034391,Normal
ALS2,"anterior cingulate cortex, supragenual-dorsal",8.0,9.649740932642487,-0.2704902107497581,Normal
CASP10,"anterior cingulate cortex, supragenual-dorsal",7.3,7.541450777202073,-0.04694562286139781,Normal
CFLAR,"anterior cingulate cortex, supragenual-dorsal",47.8,62.12176165803109,-0.37808812425623184,Normal
TFPI,"anterior cingulate cortex, supragenual-dorsal",8.9,8.954922279792745,-0.008875574965808134,Normal
NDUFAF7,"anterior cingulate cortex, supragenual-dorsal",6.4,7.664766839378238,-0.260170000950475,Normal
RBM5,"anterior cingulate cortex, supragenual-dorsal",30.3,43.61139896373057,-0.5253874761434818,Normal
MTMR7,"anterior cingulate cortex, supragenual-dorsal",10.8,16.96165803108808,-0.6512458903089268,Normal
SLC7A2,"anterior cingulate cortex, supragenual-dorsal",12.2,14.484455958549223,-0.24762434968379268,Normal
ARF5,"anterior cingulate cortex, supragenual-dorsal",60.3,62.829533678756476,-0.05928487030549593,Normal
SARM1,"anterior cingulate cortex, supragenual-dorsal",7.9,7.946632124352332,-0.0084909056025361,Normal
POLDIP2,"anterior cingulate cortex, supragenual-dorsal",32.0,36.29637305699482,-0.18175348789813336,Normal
PLXND1,"anterior cingulate cortex, supragenual-dorsal",22.1,28.462176165803108,-0.36499960228092215,Normal
AK2,"anterior cingulate cortex, supragenual-dorsal",14.0,24.96839378238342,-0.8346761884556395,Normal
CD38,"anterior cingulate cortex, supragenual-dorsal",2.9,4.446632124352332,-0.6166601533354298,Normal
FKBP4,"anterior cingulate cortex, supragenual-dorsal",80.2,104.51450777202072,-0.3820290764746599,Normal
KDM1A,"anterior cingulate cortex, supragenual-dorsal",6.8,7.800518134715026,-0.19803520909089883,Normal
RBM6,"anterior cingulate cortex, supragenual-dorsal",25.3,26.12642487046632,-0.04637233543163113,Normal
CAMKK1,"anterior cingulate cortex, supragenual-dorsal",38.0,28.18860103626943,0.4308875379547584,Normal
RECQL,"anterior cingulate cortex, supragenual-dorsal",5.0,7.605181347150259,-0.6050545548296509,Normal
VPS50,"anterior cingulate cortex, supragenual-dorsal",6.7,7.686528497409326,-0.19817107863901273,Normal
HSPB6,"anterior cingulate cortex, supragenual-dorsal",17.2,31.811917098445594,-0.8871587514630378,Normal
ARHGAP33,"anterior cingulate cortex, supragenual-dorsal",25.4,20.03886010362694,0.3420280528149664,Normal
NDUFAB1,"anterior cingulate cortex, supragenual-dorsal",33.0,45.40414507772021,-0.4603579869226067,Normal
ABCB5,"anterior cingulate cortex, supragenual-dorsal",0.8,0.8435233160621762,-0.07642794698886177,Normal
ST7,"anterior cingulate cortex, supragenual-dorsal",24.0,25.44715025906736,-0.08446969693801427,Normal
CDC27,"anterior cingulate cortex, supragenual-dorsal",18.3,23.976683937823836,-0.38978849409130956,Normal
SLC4A1,"anterior cingulate cortex, supragenual-dorsal",1.0,0.9766839378238342,0.034036323995971854,Normal
HCCS,"anterior cingulate cortex, supragenual-dorsal",5.2,6.896373056994818,-0.40732619538325693,Normal
DVL2,"anterior cingulate cortex, supragenual-dorsal",10.2,12.344559585492227,-0.2753062144426334,Normal
