Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
TSPAN6,"anterior cingulate cortex, supragenual-ventral",2.9,4.400518134715026,-0.6016205022142873,Normal
TNMD,"anterior cingulate cortex, supragenual-ventral",0.2,0.23160621761658032,-0.21167398381679844,Normal
DPM1,"anterior cingulate cortex, supragenual-ventral",4.3,7.684974093264249,-0.8377037366405743,Normal
SCYL3,"anterior cingulate cortex, supragenual-ventral",4.1,4.762694300518135,-0.21615404075505312,Normal
C1orf112,"anterior cingulate cortex, supragenual-ventral",1.0,1.570984455958549,-0.651668905963213,Normal
FGR,"anterior cingulate cortex, supragenual-ventral",3.2,5.487564766839378,-0.7780941569874666,Normal
CFH,"anterior cingulate cortex, supragenual-ventral",2.8,3.8818652849740936,-0.4713232249030012,Normal
FUCA2,"anterior cingulate cortex, supragenual-ventral",11.9,18.162694300518137,-0.6100166580382435,Normal
GCLC,"anterior cingulate cortex, supragenual-ventral",16.8,22.676683937823835,-0.43274845417722513,Normal
NFYA,"anterior cingulate cortex, supragenual-ventral",16.0,20.393264248704664,-0.35002081376616534,Normal
STPG1,"anterior cingulate cortex, supragenual-ventral",3.2,5.942487046632125,-0.892994948266918,Normal
NIPAL3,"anterior cingulate cortex, supragenual-ventral",41.1,63.58549222797927,-0.629559241439291,Normal
LAS1L,"anterior cingulate cortex, supragenual-ventral",6.6,8.107772020725388,-0.29683949832163475,Normal
ENPP4,"anterior cingulate cortex, supragenual-ventral",12.1,21.013471502590672,-0.7963074727094027,Normal
CFTR,"anterior cingulate cortex, supragenual-ventral",0.8,0.9606217616580311,-0.26396849132729694,Normal
ANKIB1,"anterior cingulate cortex, supragenual-ventral",80.1,92.06269430051813,-0.20081442235986852,Normal
KRIT1,"anterior cingulate cortex, supragenual-ventral",0.9,1.2792746113989637,-0.5073290823848641,Normal
RAD52,"anterior cingulate cortex, supragenual-ventral",10.2,12.552331606217615,-0.29938621869328474,Normal
BAD,"anterior cingulate cortex, supragenual-ventral",39.2,44.86839378238342,-0.19484588439434686,Normal
LAP3,"anterior cingulate cortex, supragenual-ventral",13.7,23.438341968911917,-0.7746946237614178,Normal
AOC1,"anterior cingulate cortex, supragenual-ventral",1.0,0.9020725388601036,0.14868464448868,Normal
WNT16,"anterior cingulate cortex, supragenual-ventral",0.5,0.45906735751295336,0.12322224357469697,Normal
HECW1,"anterior cingulate cortex, supragenual-ventral",21.2,21.23264248704663,-0.002219666780749601,Normal
MAD1L1,"anterior cingulate cortex, supragenual-ventral",11.8,13.16839378238342,-0.1582925237046146,Normal
LASP1,"anterior cingulate cortex, supragenual-ventral",46.2,52.163730569948186,-0.17515419818622774,Normal
SNX11,"anterior cingulate cortex, supragenual-ventral",8.0,11.129533678756477,-0.47632124071226123,Normal
TMEM176A,"anterior cingulate cortex, supragenual-ventral",11.2,22.318652849740932,-0.9947512166675712,Normal
M6PR,"anterior cingulate cortex, supragenual-ventral",29.8,45.06528497409327,-0.5967041830355094,Normal
CYP26B1,"anterior cingulate cortex, supragenual-ventral",8.2,13.907772020725387,-0.7621955085452701,Normal
ICA1,"anterior cingulate cortex, supragenual-ventral",13.3,16.170466321243524,-0.2819350378849736,Normal
DBNDD1,"anterior cingulate cortex, supragenual-ventral",30.5,37.79481865284974,-0.30937922414552316,Normal
ALS2,"anterior cingulate cortex, supragenual-ventral",7.1,9.649740932642487,-0.44267118613015244,Normal
CASP10,"anterior cingulate cortex, supragenual-ventral",6.8,7.541450777202073,-0.1493073404896224,Normal
CFLAR,"anterior cingulate cortex, supragenual-ventral",49.4,62.12176165803109,-0.3305877006524004,Normal
TFPI,"anterior cingulate cortex, supragenual-ventral",7.9,8.954922279792745,-0.18082825775305117,Normal
NDUFAF7,"anterior cingulate cortex, supragenual-ventral",5.7,7.664766839378238,-0.427279986782965,Normal
RBM5,"anterior cingulate cortex, supragenual-ventral",36.0,43.61139896373057,-0.27670836328751175,Normal
MTMR7,"anterior cingulate cortex, supragenual-ventral",11.0,16.96165803108808,-0.6247736789479784,Normal
SLC7A2,"anterior cingulate cortex, supragenual-ventral",8.7,14.484455958549223,-0.7354181913931932,Normal
ARF5,"anterior cingulate cortex, supragenual-ventral",47.3,62.829533678756476,-0.4096026888655279,Normal
SARM1,"anterior cingulate cortex, supragenual-ventral",7.2,7.946632124352332,-0.14234665233555124,Normal
