Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
CFH,"anterior insular cortex, dorsal",16.9,3.8818652849740936,2.1222012892785904,High
WNT16,"anterior insular cortex, dorsal",1.3,0.45906735751295336,1.5017338666508642,High
ARX,"anterior insular cortex, dorsal",22.6,8.053367875647668,1.488658630700501,High
CRLF1,"anterior insular cortex, dorsal",32.2,13.183419689119171,1.2883360441929832,High
CACNG3,"anterior insular cortex, dorsal",31.1,14.792227979274612,1.0720752153665998,High
CCL26,"anterior insular cortex, dorsal",0.4,0.19896373056994818,1.0074945361824936,High
CD79B,"anterior insular cortex, dorsal",0.1,0.04455958549222798,1.1661922807710012,High
DCN,"anterior insular cortex, dorsal",106.3,43.31347150259067,1.2952538851105875,High
MARCO,"anterior insular cortex, dorsal",2.5,0.782901554404145,1.6750252817514084,High
SNAI2,"anterior insular cortex, dorsal",2.4,1.0968911917098445,1.1296139839102337,High
R3HDM1,"anterior insular cortex, dorsal",115.6,57.293782383419696,1.0126909089138019,High
PTGER3,"anterior insular cortex, dorsal",8.0,2.5367875647668394,1.6569972894239537,High
LTK,"anterior insular cortex, dorsal",1.0,0.38238341968911915,1.3869081258620262,High
AHRR,"anterior insular cortex, dorsal",6.1,2.8865284974093264,1.07947377414806,High
CCN5,"anterior insular cortex, dorsal",2.5,0.8792746113989638,1.5075423773937715,High
BORCS8-MEF2B,"anterior insular cortex, dorsal",0.1,0.03212435233160622,1.63826072383293,High
GLP2R,"anterior insular cortex, dorsal",4.6,1.344041450777202,1.7750562289974166,High
CAMK2A,"anterior insular cortex, dorsal",388.6,192.0,1.0171795899764462,High
PTGS2,"anterior insular cortex, dorsal",3.7,1.3010362694300517,1.5078640895536342,High
PKP1,"anterior insular cortex, dorsal",0.8,0.31813471502590673,1.3303621916247526,High
GRHL2,"anterior insular cortex, dorsal",0.5,0.19430051813471502,1.3636383463182316,High
PPP1R15A,"anterior insular cortex, dorsal",83.7,40.65129533678756,1.0419262988576115,High
TFAP2C,"anterior insular cortex, dorsal",1.8,0.8124352331606218,1.1476721944977575,High
CPXM1,"anterior insular cortex, dorsal",1.2,0.2792746113989637,2.1032780748403694,High
SIRPG,"anterior insular cortex, dorsal",0.3,0.14352331606217616,1.0636773714157475,High
KCNH4,"anterior insular cortex, dorsal",4.0,1.9181347150259067,1.0602959522457225,High
FETUB,"anterior insular cortex, dorsal",0.1,0.043523316062176166,1.2001396126172514,High
THPO,"anterior insular cortex, dorsal",3.7,1.655958549222798,1.1598587099209239,High
SLC26A4,"anterior insular cortex, dorsal",19.4,7.021761658031088,1.4661517201098997,High
TBX15,"anterior insular cortex, dorsal",0.9,0.39689119170984455,1.1811814565822365,High
CDC6,"anterior insular cortex, dorsal",3.8,1.594818652849741,1.2526070343309597,High
DSP,"anterior insular cortex, dorsal",6.6,1.8792746113989636,1.8122901266013445,High
ASB2,"anterior insular cortex, dorsal",3.5,1.0476683937823834,1.7401727722135467,High
MYL9,"anterior insular cortex, dorsal",44.4,11.567357512953368,1.9405003487130161,High
CHRDL1,"anterior insular cortex, dorsal",14.1,5.964248704663212,1.2412828393289677,High
BMX,"anterior insular cortex, dorsal",0.4,0.16839378238341968,1.2481611288561985,High
RS1,"anterior insular cortex, dorsal",0.2,0.08290155440414508,1.270528941361815,High
HTR2A,"anterior insular cortex, dorsal",18.9,8.311917098445596,1.185133064188919,High
