Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
WNT16,"anterior insular cortex, ventral",1.2,0.45906735751295336,1.3862566492401762,High
ARX,"anterior insular cortex, ventral",21.9,8.053367875647668,1.4432667278866906,High
PRKAR2B,"anterior insular cortex, ventral",6.9,3.217098445595855,1.1008362776636458,High
CRLF1,"anterior insular cortex, ventral",35.9,13.183419689119171,1.4452591999009556,High
CACNG3,"anterior insular cortex, ventral",40.9,14.792227979274612,1.4672614781766347,High
CD79B,"anterior insular cortex, ventral",0.1,0.04455958549222798,1.1661922807710012,High
CAMK1G,"anterior insular cortex, ventral",43.9,16.364248704663215,1.4236735710991222,High
TFAP2D,"anterior insular cortex, ventral",0.6,0.15492227979274611,1.9534178631003427,High
SLC6A7,"anterior insular cortex, ventral",23.4,9.71139896373057,1.2687574883982697,High
DPF1,"anterior insular cortex, ventral",34.3,15.38238341968912,1.156929517738194,High
SYT7,"anterior insular cortex, ventral",103.9,49.9720207253886,1.05600319141934,High
MATR3,"anterior insular cortex, ventral",184.4,86.07538860103627,1.099165961567534,High
NPC1L1,"anterior insular cortex, ventral",2.1,0.900518134715026,1.2215620931409332,High
KCNG1,"anterior insular cortex, ventral",32.9,10.934715025906737,1.5891719617429685,High
BMAL2,"anterior insular cortex, ventral",12.3,6.1450777202072535,1.0011551531622065,High
MYOM2,"anterior insular cortex, ventral",3.2,1.305699481865285,1.2932490188153938,High
RTN4R,"anterior insular cortex, ventral",38.2,16.298963730569948,1.228792395780738,High
CDH10,"anterior insular cortex, ventral",25.2,11.081347150259067,1.1852904544195317,High
RAB27B,"anterior insular cortex, ventral",23.1,10.964248704663213,1.075085892991914,High
ROS1,"anterior insular cortex, ventral",2.5,1.0585492227979276,1.2398397382309954,High
LMO3,"anterior insular cortex, ventral",103.5,41.891709844559585,1.3048940924201768,High
R3HDM1,"anterior insular cortex, ventral",129.7,57.293782383419696,1.1787279906646866,High
PTGER3,"anterior insular cortex, ventral",8.1,2.5367875647668394,1.6749191974209934,High
POLQ,"anterior insular cortex, ventral",1.2,0.5989637305699481,1.0024938553679175,High
OPN3,"anterior insular cortex, ventral",6.3,2.9367875647668393,1.1011129178237533,High
NPFFR2,"anterior insular cortex, ventral",1.9,0.7414507772020725,1.3575765938663522,High
PSD,"anterior insular cortex, ventral",230.8,104.64507772020725,1.1411387720704371,High
STYK1,"anterior insular cortex, ventral",14.5,7.0,1.0506260730593076,High
