Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
TSPAN6,"anterior insular cortex, ventral",3.6,4.400518134715026,-0.2896764959092202,Normal
TNMD,"anterior insular cortex, ventral",0.2,0.23160621761658032,-0.21167398381679844,Normal
DPM1,"anterior insular cortex, ventral",8.0,7.684974093264249,0.05795960352917259,Normal
SCYL3,"anterior insular cortex, ventral",5.0,4.762694300518135,0.07015014439525429,Normal
C1orf112,"anterior insular cortex, ventral",1.7,1.570984455958549,0.11386584034035893,Normal
FGR,"anterior insular cortex, ventral",4.0,5.487564766839378,-0.4561660621091213,Normal
CFH,"anterior insular cortex, ventral",3.0,3.8818652849740936,-0.3717875513555217,Normal
FUCA2,"anterior insular cortex, ventral",16.4,18.162694300518137,-0.1472824167314303,Normal
GCLC,"anterior insular cortex, ventral",20.6,22.676683937823835,-0.138565349774351,Normal
NFYA,"anterior insular cortex, ventral",21.0,20.393264248704664,0.04229660901044822,Normal
STPG1,"anterior insular cortex, ventral",6.0,5.942487046632125,0.013895647320561208,Normal
NIPAL3,"anterior insular cortex, ventral",55.4,63.58549222797927,-0.19881165907269174,Normal
LAS1L,"anterior insular cortex, ventral",9.1,8.107772020725388,0.16656102251260269,Normal
ENPP4,"anterior insular cortex, ventral",19.1,21.013471502590672,-0.1377418819526181,Normal
SEMA3F,"anterior insular cortex, ventral",6.3,9.034715025906737,-0.5201272675235122,Normal
CFTR,"anterior insular cortex, ventral",0.9,0.9606217616580311,-0.09404348990502204,Normal
ANKIB1,"anterior insular cortex, ventral",90.9,92.06269430051813,-0.018336370574685353,Normal
CYP51A1,"anterior insular cortex, ventral",40.8,52.538860103626945,-0.3648157475376992,Normal
KRIT1,"anterior insular cortex, ventral",1.4,1.2792746113989637,0.13010083817317777,Normal
RAD52,"anterior insular cortex, ventral",15.2,12.552331606217615,0.27611595277415235,Normal
BAD,"anterior insular cortex, ventral",54.1,44.86839378238342,0.26992905531624645,Normal
LAP3,"anterior insular cortex, ventral",18.6,23.438341968911917,-0.3335678956166872,Normal
CD99,"anterior insular cortex, ventral",59.5,111.22124352331606,-0.9024707990472107,Normal
HS3ST1,"anterior insular cortex, ventral",7.1,8.067357512953368,-0.18427716719120052,Normal
AOC1,"anterior insular cortex, ventral",0.9,0.9020725388601036,-0.0033184489403400184,Normal
