Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
TSPAN6,basal amygdala,3.1,4.400518134715026,-0.5054051869581936,Normal
TNMD,basal amygdala,0.2,0.23160621761658032,-0.21167398381679844,Normal
DPM1,basal amygdala,5.1,7.684974093264249,-0.5915431493764398,Normal
SCYL3,basal amygdala,3.4,4.762694300518135,-0.4862432041155529,Normal
C1orf112,basal amygdala,1.0,1.570984455958549,-0.651668905963213,Normal
FGR,basal amygdala,4.7,5.487564766839378,-0.22350530532421792,Normal
CFH,basal amygdala,2.3,3.8818652849740936,-0.7551161908923913,Normal
FUCA2,basal amygdala,13.0,18.162694300518137,-0.4824666083187584,Normal
GCLC,basal amygdala,16.6,22.676683937823835,-0.4500264456089571,Normal
NFYA,basal amygdala,17.1,20.393264248704664,-0.25409639376820975,Normal
STPG1,basal amygdala,4.3,5.942487046632125,-0.4667301935763533,Normal
NIPAL3,basal amygdala,40.8,63.58549222797927,-0.6401284831494527,Normal
LAS1L,basal amygdala,6.7,8.107772020725388,-0.27514442722264193,Normal
ENPP4,basal amygdala,12.2,21.013471502590672,-0.7844333724212086,Normal
SEMA3F,basal amygdala,10.0,9.034715025906737,0.14644899874282302,Normal
CFTR,basal amygdala,0.5,0.9606217616580311,-0.9420403963317324,Normal
ANKIB1,basal amygdala,69.6,92.06269430051813,-0.4035293589195786,Normal
CYP51A1,basal amygdala,26.4,52.538860103626945,-0.9928469701488128,Normal
KRIT1,basal amygdala,1.0,1.2792746113989637,-0.35532598895584394,Normal
RAD52,basal amygdala,9.6,12.552331606217615,-0.3868490599427401,Normal
BAD,basal amygdala,39.5,44.86839378238342,-0.18384688544511785,Normal
LAP3,basal amygdala,17.8,23.438341968911917,-0.3969932757579723,Normal
CD99,basal amygdala,81.1,111.22124352331606,-0.4556585530258895,Normal
HS3ST1,basal amygdala,5.7,8.067357512953368,-0.5011342725261498,Normal
AOC1,basal amygdala,0.8,0.9020725388601036,-0.17324345036261493,Normal
WNT16,basal amygdala,0.6,0.45906735751295336,0.386256649360401,Normal
HECW1,basal amygdala,15.9,21.23264248704663,-0.4172571660573248,Normal
MAD1L1,basal amygdala,11.7,13.16839378238342,-0.1705708534829471,Normal
LASP1,basal amygdala,52.2,52.163730569948186,0.0010027569672402025,Normal
SNX11,basal amygdala,8.4,11.129533678756477,-0.40593191282172203,Normal
TMEM176A,basal amygdala,19.6,22.318652849740932,-0.18739629461548757,Normal
M6PR,basal amygdala,35.5,45.06528497409327,-0.34419748910640385,Normal
KLHL13,basal amygdala,4.0,6.045595854922279,-0.5958845387305309,Normal
CYP26B1,basal amygdala,16.0,13.907772020725387,0.20218058171543157,Normal
ICA1,basal amygdala,13.9,16.170466321243524,-0.21827640066312393,Normal
DBNDD1,basal amygdala,35.7,37.79481865284974,-0.08226439256736079,Normal
ALS2,basal amygdala,6.3,9.649740932642487,-0.6151383821323377,Normal
CASP10,basal amygdala,7.1,7.541450777202073,-0.08702306223617633,Normal
CFLAR,basal amygdala,57.6,62.12176165803109,-0.1090299307951814,Normal
TFPI,basal amygdala,7.3,8.954922279792745,-0.2947844470486358,Normal
NDUFAF7,basal amygdala,6.3,7.664766839378238,-0.28289007745020084,Normal
RBM5,basal amygdala,33.6,43.61139896373057,-0.37624403683813973,Normal
MTMR7,basal amygdala,14.9,16.96165803108808,-0.18696487201390938,Normal
SLC7A2,basal amygdala,17.3,14.484455958549223,0.2562665403865595,Normal
ARF5,basal amygdala,57.4,62.829533678756476,-0.13039213552977189,Normal
SARM1,basal amygdala,7.4,7.946632124352332,-0.10281828814945525,Normal
POLDIP2,basal amygdala,28.7,36.29637305699482,-0.33877465610928975,Normal
PLXND1,basal amygdala,20.0,28.462176165803108,-0.5090459718969437,Normal
AK2,basal amygdala,18.4,24.96839378238342,-0.4403972493460575,Normal
CD38,basal amygdala,2.9,4.446632124352332,-0.6166601533354298,Normal
FKBP4,basal amygdala,85.4,104.51450777202072,-0.29139524330919936,Normal
KDM1A,basal amygdala,6.1,7.800518134715026,-0.3547607127759174,Normal
RBM6,basal amygdala,23.9,26.12642487046632,-0.1284991021448588,Normal
