Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
KLHL13,caudate nucleus,17.4,6.045595854922279,1.5251308622030588,High
PRSS22,caudate nucleus,0.1,0.0025906735751295338,5.270528888135385,High
PRKAR2B,caudate nucleus,6.7,3.217098445595855,1.058401011343873,High
TAC1,caudate nucleus,64.0,14.263730569948187,2.165720548085791,High
DLX6,caudate nucleus,13.6,1.7507772020725387,2.9575392432828234,High
TTC22,caudate nucleus,5.4,2.0,1.4329594072306882,High
PRSS21,caudate nucleus,0.1,0.007772020725388601,3.685566424539581,High
CD79B,caudate nucleus,0.1,0.04455958549222798,1.1661922807710012,High
CAMK1G,caudate nucleus,33.3,16.364248704663215,1.0249748086360722,High
MRC2,caudate nucleus,11.5,5.595336787564768,1.039336985319954,High
LDAF1,caudate nucleus,9.3,2.889119170984456,1.6866010024732663,High
CCDC88C,caudate nucleus,35.9,3.975647668393782,3.174722031496198,High
NPC1L1,caudate nucleus,1.9,0.900518134715026,1.0771721838129897,High
ISL1,caudate nucleus,1.9,0.5512953367875648,1.7851021150247157,High
NCDN,caudate nucleus,678.5,245.82538860103628,1.4647148921329656,High
HSD17B6,caudate nucleus,11.1,4.4839378238341965,1.307721498177118,High
LRRC7,caudate nucleus,61.1,24.11139896373057,1.341457020286827,High
CYP46A1,caudate nucleus,129.7,33.141450777202074,1.9684698161128389,High
DTNBP1,caudate nucleus,45.9,22.561139896373057,1.0246541922245123,High
LMO3,caudate nucleus,96.4,41.891709844559585,1.2023683762635538,High
GUCA1A,caudate nucleus,3.7,1.8124352331606217,1.0295958289347695,High
RCN1,caudate nucleus,48.7,24.10466321243523,1.0146094995977646,High
NNAT,caudate nucleus,149.3,46.44922279792746,1.6844878031460122,High
ITIH1,caudate nucleus,0.1,0.0383419689119171,1.383003669319121,High
LAMC2,caudate nucleus,1.7,0.5440414507772021,1.643746265784618,High
CAMK2B,caudate nucleus,185.1,91.87305699481865,1.0105911562092367,High
PSD,caudate nucleus,267.3,104.64507772020725,1.3529553856679477,High
LZTS1,caudate nucleus,26.1,10.565803108808291,1.3046473758076362,High
WNT8A,caudate nucleus,2.5,1.0005181347150258,1.321180778005668,High
DGAT2,caudate nucleus,17.6,3.843523316062176,2.1950741033730297,High
LTK,caudate nucleus,1.7,0.38238341968911915,2.152442872165598,High
SEZ6,caudate nucleus,78.8,26.572020725388597,1.5682876848889784,High
CA11,caudate nucleus,153.9,76.57046632124353,1.0071332830696773,High
SNCAIP,caudate nucleus,12.1,5.87461139896373,1.0424417207106136,High
POU1F1,caudate nucleus,0.3,0.13212435233160622,1.1830661005193548,High
COL17A1,caudate nucleus,1.4,0.49740932642487046,1.4929213635301737,High
SLC9A7,caudate nucleus,76.1,19.35181347150259,1.9754276850924506,High
NGEF,caudate nucleus,218.5,52.29119170984456,2.062993425208717,High
EML1,caudate nucleus,61.3,21.377720207253883,1.519779066552994,High
INPP5A,caudate nucleus,101.1,32.41243523316062,1.6411636738509021,High
RASGRP2,caudate nucleus,39.4,11.105699481865285,1.8268953671577357,High
CHAT,caudate nucleus,4.2,1.8943005181347152,1.148724104946961,High
SLC12A3,caudate nucleus,1.5,0.5699481865284974,1.3960598243076292,High
ATP2B1,caudate nucleus,174.1,56.410362694300524,1.6258840849952187,High
ACTN1,caudate nucleus,67.9,32.31968911917098,1.070998253493907,High
SCARB1,caudate nucleus,30.6,13.829533678756476,1.1457791421712957,High
CA12,caudate nucleus,58.6,6.107772020725388,3.2621825465451697,High
WSCD2,caudate nucleus,24.4,9.811917098445596,1.314274198148173,High
SEMA3A,caudate nucleus,15.1,7.326943005181347,1.043265251141664,High
WNT8B,caudate nucleus,1.5,0.749740932642487,1.0004984262486285,High
CACNG4,caudate nucleus,44.6,12.350259067357513,1.8525024050663026,High
RAP1GAP,caudate nucleus,166.4,55.41865284974093,1.5862118870259962,High
RARB,caudate nucleus,21.8,4.727461139896373,2.20519063070897,High
ACTN2,caudate nucleus,8.6,1.3062176165803108,2.718941389017966,High
FKBP6,caudate nucleus,0.1,0.029533678756476684,1.7595670196611188,High
RBFOX1,caudate nucleus,134.0,64.36683937823834,1.057843466014626,High
MOXD1,caudate nucleus,9.2,3.9207253886010367,1.2305132635117233,High
EPHA6,caudate nucleus,36.4,16.1559585492228,1.171872100732775,High
KCNK2,caudate nucleus,15.7,5.2792746113989635,1.5723529415295379,High
SERTAD4,caudate nucleus,2.5,1.1139896373056994,1.1661922824941835,High
TRAF5,caudate nucleus,6.1,2.7082901554404146,1.171426930841455,High
ITGAE,caudate nucleus,0.8,0.19326424870466324,2.049425216446691,High
IGSF9,caudate nucleus,0.9,0.22227979274611398,2.017548200722102,High
FKBP1A,caudate nucleus,167.4,66.57512953367876,1.330244292317558,High
LZTS3,caudate nucleus,121.5,58.803626943005185,1.046979267068537,High
TESC,caudate nucleus,30.5,7.603626943005182,2.0040495868193084,High
NOS1,caudate nucleus,21.9,10.16839378238342,1.106839063307939,High
KCNH4,caudate nucleus,19.0,1.9181347150259067,3.308223465660834,High
OSBPL8,caudate nucleus,84.8,38.33471502590674,1.1454128096653369,High
JPH4,caudate nucleus,201.2,95.01295336787565,1.0824341867373288,High
MYH7,caudate nucleus,3.6,1.1787564766839378,1.6107312086546555,High
TBL1Y,caudate nucleus,2.0,0.27202072538860106,2.87821151914373,High
MYO3A,caudate nucleus,2.6,0.205699481865285,3.6599015576203424,High
NCR2,caudate nucleus,0.4,0.15284974093264247,1.3878858924356858,High
CBARP,caudate nucleus,25.9,11.896373056994818,1.1224303033850271,High
YPEL1,caudate nucleus,47.8,12.588082901554404,1.9249520332357384,High
C22orf31,caudate nucleus,1.3,0.5031088082901554,1.3695692698142012,High
RASD2,caudate nucleus,232.2,24.927979274611403,3.219530128045045,High
PNPLA5,caudate nucleus,7.2,2.8108808290155443,1.3569746164599006,High
KCTD17,caudate nucleus,94.7,35.531088082901555,1.4142825561109265,High
COCH,caudate nucleus,103.2,6.565284974093264,3.9744415261240085,High
ISM2,caudate nucleus,1.7,0.23523316062176164,2.853371390699065,High
SERPINA4,caudate nucleus,0.1,0.004663212435233161,4.42253200633067,High
MTHFD1,caudate nucleus,11.6,5.550777202072538,1.063363113074877,High
HRH3,caudate nucleus,56.2,20.162694300518137,1.4788816942687153,High
C20orf27,caudate nucleus,163.0,33.21709844559585,2.2948740017224805,High
SPEF1,caudate nucleus,12.9,2.712953367875648,2.249434910704099,High
SEL1L2,caudate nucleus,1.6,0.5264248704663212,1.6037723503120278,High
PDYN,caudate nucleus,27.3,9.040932642487046,1.5943574404954868,High
SLC32A1,caudate nucleus,66.5,14.517098445595856,2.1956012120973774,High
WFDC2,caudate nucleus,10.3,2.9383419689119172,1.8095701234518606,High
PPP1R16B,caudate nucleus,93.1,44.27979274611399,1.0721326982566917,High
TNNC2,caudate nucleus,3.0,1.3870466321243522,1.1129462091798992,High
CHRDL1,caudate nucleus,17.4,5.964248704663212,1.5446749827769615,High
PCDH11X,caudate nucleus,17.3,5.6139896373057,1.62367373190641,High
KLF5,caudate nucleus,12.1,1.5575129533678758,2.957690980545605,High
DGKH,caudate nucleus,48.8,12.708290155440414,1.9411112126537977,High
MT4,caudate nucleus,0.1,0.035233160621761656,1.504994193365728,High
SMPD3,caudate nucleus,42.5,11.472538860103626,1.8892781477458143,High
NECAB2,caudate nucleus,71.5,25.93937823834197,1.4627993429922104,High
CRYM,caudate nucleus,69.5,17.497927461139895,1.9898289254070005,High
EYA1,caudate nucleus,16.2,4.348704663212435,1.8973361746566075,High
CALB1,caudate nucleus,79.2,36.62590673575129,1.112635953990298,High
JPH1,caudate nucleus,12.4,3.8378238341968913,1.6919797257650606,High
GML,caudate nucleus,3.5,0.2088082901554404,4.067104025035381,High
AMH,caudate nucleus,2.7,1.2642487046632125,1.0946791069206188,High
ICAM5,caudate nucleus,39.6,16.277720207253886,1.2826017746760736,High
