Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
HS3ST1,caudate nucleus,3.4,8.067357512953368,-1.2465614454234304,Low
CYP26B1,caudate nucleus,5.7,13.907772020725387,-1.2868574989908952,Low
CALCR,caudate nucleus,0.0,0.6927461139896373,-32.68967956701979,Low
SKAP2,caudate nucleus,5.3,11.908808290155442,-1.1679647856861382,Low
ITGAL,caudate nucleus,0.0,0.4393782383419689,-32.03281627160973,Low
CACNA1G,caudate nucleus,6.2,16.619689119170985,-1.42255327529469,Low
MYH13,caudate nucleus,0.0,0.009326424870466322,-26.47482083362939,Low
CEACAM21,caudate nucleus,0.3,1.1466321243523316,-1.9343681974566969,Low
SLC13A2,caudate nucleus,0.0,0.0051813471502590676,-25.626823939449558,Low
BAIAP3,caudate nucleus,25.4,55.08756476683938,-1.1168981906899662,Low
SELE,caudate nucleus,0.8,1.7186528497409326,-1.103206259423548,Low
TFAP2B,caudate nucleus,0.0,0.8544041450777202,-32.9922715003245,Low
TFAP2D,caudate nucleus,0.0,0.15492227979274611,-30.528897491847523,Low
MMP25,caudate nucleus,0.2,0.46632124352331605,-1.221324153536987,Low
PAX7,caudate nucleus,0.3,1.0088082901554403,-1.7496176303931692,Low
BTK,caudate nucleus,0.6,1.2849740932642486,-1.098704867156826,Low
FMO1,caudate nucleus,0.0,0.0005181347150259067,-22.3048960951583,Low
SLC6A7,caudate nucleus,2.0,9.71139896373057,-2.279679136231803,Low
ANLN,caudate nucleus,45.1,95.27927461139898,-1.0790349961080032,Low
GABRA3,caudate nucleus,4.0,10.769948186528497,-1.4289394040580274,Low
LTF,caudate nucleus,1.5,6.5595854922279795,-2.128642151364919,Low
CLDN11,caudate nucleus,17.8,46.5160621761658,-1.385851729230599,Low
CD6,caudate nucleus,0.4,1.2854922279792746,-1.6842489823759057,Low
SLC11A1,caudate nucleus,2.1,6.488082901554405,-1.627402925787687,Low
SYT13,caudate nucleus,9.2,30.581865284974093,-1.7329706376361014,Low
OSBPL5,caudate nucleus,12.0,25.93575129533679,-1.1119077558162793,Low
CD44,caudate nucleus,34.1,95.5119170984456,-1.48590901134343,Low
