Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
TSPAN6,caudate nucleus,4.3,4.400518134715026,-0.033336742655958526,Normal
TNMD,caudate nucleus,0.2,0.23160621761658032,-0.21167398381679844,Normal
DPM1,caudate nucleus,8.1,7.684974093264249,0.07588151152621239,Normal
SCYL3,caudate nucleus,4.4,4.762694300518135,-0.11427442673823852,Normal
C1orf112,caudate nucleus,1.5,1.570984455958549,-0.06670640529014685,Normal
FGR,caudate nucleus,3.7,5.487564766839378,-0.5686407913646093,Normal
CFH,caudate nucleus,4.6,3.8818652849740936,0.24488380907624557,Normal
FUCA2,caudate nucleus,16.1,18.162694300518137,-0.17391754323473285,Normal
GCLC,caudate nucleus,26.2,22.676683937823835,0.2083571245783838,Normal
NFYA,caudate nucleus,18.1,20.393264248704664,-0.17210302157136828,Normal
STPG1,caudate nucleus,5.0,5.942487046632125,-0.24913875850842354,Normal
NIPAL3,caudate nucleus,50.1,63.58549222797927,-0.3438870319263962,Normal
LAS1L,caudate nucleus,5.7,8.107772020725388,-0.508343603511895,Normal
ENPP4,caudate nucleus,13.3,21.013471502590672,-0.6598882744838832,Normal
SEMA3F,caudate nucleus,6.2,9.034715025906737,-0.5432108806361843,Normal
CFTR,caudate nucleus,1.8,0.9606217616580311,0.9059565100148282,Normal
ANKIB1,caudate nucleus,87.2,92.06269430051813,-0.07828852999179886,Normal
CYP51A1,caudate nucleus,27.9,52.538860103626945,-0.9131197776783724,Normal
KRIT1,caudate nucleus,1.3,1.2792746113989637,0.023185634264592914,Normal
RAD52,caudate nucleus,11.7,12.552331606217615,-0.10144684108318927,Normal
BAD,caudate nucleus,44.8,44.86839378238342,-0.002200806452411328,Normal
LAP3,caudate nucleus,22.4,23.438341968911917,-0.06537178466843063,Normal
CD99,caudate nucleus,68.0,111.22124352331606,-0.7098257211051179,Normal
AOC1,caudate nucleus,0.8,0.9020725388601036,-0.17324345036261493,Normal
WNT16,caudate nucleus,0.7,0.45906735751295336,0.6086490706624988,Normal
HECW1,caudate nucleus,17.6,21.23264248704663,-0.2707085027052594,Normal
MAD1L1,caudate nucleus,13.5,13.16839378238342,0.035880023982835275,Normal
LASP1,caudate nucleus,50.2,52.163730569948186,-0.05535968565176211,Normal
SNX11,caudate nucleus,11.3,11.129533678756477,0.021929626810297604,Normal
TMEM176A,caudate nucleus,22.0,22.318652849740932,-0.020746425206839104,Normal
M6PR,caudate nucleus,43.4,45.06528497409327,-0.05432147105470881,Normal
ICA1,caudate nucleus,24.9,16.170466321243524,0.6227844586768642,Normal
DBNDD1,caudate nucleus,27.0,37.79481865284974,-0.4852290595443278,Normal
ALS2,caudate nucleus,8.6,9.649740932642487,-0.1661535509362807,Normal
CASP10,caudate nucleus,7.6,7.541450777202073,0.011157331701390404,Normal
CFLAR,caudate nucleus,61.8,62.12176165803109,-0.007491904333289516,Normal
TFPI,caudate nucleus,8.4,8.954922279792745,-0.09229158315248076,Normal
NDUFAF7,caudate nucleus,6.8,7.664766839378238,-0.17270715970146178,Normal
RBM5,caudate nucleus,37.4,43.61139896373057,-0.22166699972969975,Normal
MTMR7,caudate nucleus,16.1,16.96165803108808,-0.07521651436217579,Normal
SLC7A2,caudate nucleus,10.8,14.484455958549223,-0.4234741850816772,Normal
ARF5,caudate nucleus,74.6,62.829533678756476,0.2477327580491985,Normal
SARM1,caudate nucleus,9.2,7.946632124352332,0.21129030227479317,Normal
POLDIP2,caudate nucleus,36.1,36.29637305699482,-0.007826555898836792,Normal
PLXND1,caudate nucleus,17.4,28.462176165803108,-0.7099586658218623,Normal
AK2,caudate nucleus,19.9,24.96839378238342,-0.3273345848600127,Normal
CD38,caudate nucleus,5.4,4.446632124352332,0.28024635367743517,Normal
FKBP4,caudate nucleus,121.5,104.51450777202072,0.2172530955629516,Normal
KDM1A,caudate nucleus,8.0,7.800518134715026,0.036430044542941784,Normal
