Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
MYH13,corticomedial amygdala,0.2,0.009326424870466322,4.422532021078219,High
CD79B,corticomedial amygdala,0.1,0.04455958549222798,1.1661922807710012,High
TFAP2D,corticomedial amygdala,0.7,0.15492227979274611,2.175810284402441,High
KCNG1,corticomedial amygdala,33.6,10.934715025906737,1.619545610786396,High
TG,corticomedial amygdala,3.9,0.527979274611399,2.8849209197282586,High
MAGEC2,corticomedial amygdala,0.1,0.0005181347150259067,7.592456760270659,High
ARHGAP6,corticomedial amygdala,13.6,3.705699481865285,1.8757888573067782,High
PTGER3,corticomedial amygdala,7.7,2.5367875647668394,1.6018557352321954,High
NNAT,corticomedial amygdala,164.7,46.44922279792746,1.8261141927377351,High
LAMA3,corticomedial amygdala,11.1,3.1352331606217616,1.8239150342510504,High
CBLN4,corticomedial amygdala,20.8,7.594818652849741,1.4534961064087002,High
MCOLN3,corticomedial amygdala,0.9,0.2948186528497409,1.6100971960747605,High
ITIH1,corticomedial amygdala,0.1,0.0383419689119171,1.383003669319121,High
PSD,corticomedial amygdala,209.6,104.64507772020725,1.002134264962468,High
SEZ6,corticomedial amygdala,54.7,26.572020725388597,1.0416328882259653,High
BORCS8-MEF2B,corticomedial amygdala,0.1,0.03212435233160622,1.63826072383293,High
CNGB1,corticomedial amygdala,29.5,8.235233160621762,1.8408335524138775,High
NOX3,corticomedial amygdala,0.2,0.004663212435233161,5.422532005609322,High
FAP,corticomedial amygdala,1.9,0.7880829015544041,1.2695801128800366,High
MOXD1,corticomedial amygdala,23.0,3.9207253886010367,2.552441358389677,High
OPRK1,corticomedial amygdala,11.9,4.6922279792746115,1.3426165577255187,High
THPO,corticomedial amygdala,4.4,1.655958549222798,1.409836962923068,High
PITPNM3,corticomedial amygdala,42.0,17.605699481865287,1.2543467806645088,High
ESR1,corticomedial amygdala,7.9,2.773056994818653,1.5103753847699588,High
DSP,corticomedial amygdala,6.4,1.8792746113989636,1.7678960072435743,High
PALMD,corticomedial amygdala,10.5,4.9186528497409325,1.0940541871023597,High
PCDH11Y,corticomedial amygdala,14.3,5.563730569948186,1.3618906844700909,High
RASL10A,corticomedial amygdala,24.9,11.658549222797927,1.0947574699830658,High
PDYN,corticomedial amygdala,82.5,9.040932642487046,3.1898506087052767,High
PCDH11X,corticomedial amygdala,21.4,5.6139896373057,1.9305124906692346,High
TAF7L,corticomedial amygdala,2.4,1.0487046632124353,1.1944259632174694,High
KLF5,corticomedial amygdala,6.7,1.5575129533678758,2.104916933738393,High
MT4,corticomedial amygdala,0.3,0.035233160621761656,3.089956693125088,High
ENTREP2,corticomedial amygdala,4.9,1.6176165803108808,1.5989120593456363,High
SLC17A7,corticomedial amygdala,267.7,129.0279792746114,1.0529331959354233,High
CEACAM4,corticomedial amygdala,0.2,0.09740932642487048,1.037868184830726,High
ICAM5,corticomedial amygdala,48.2,16.277720207253886,1.5661344908257755,High
MEIS3,corticomedial amygdala,78.2,30.38860103626943,1.363638346769297,High
ZNRF4,corticomedial amygdala,0.1,0.027979274611398965,1.8375695313910079,High
PITX3,corticomedial amygdala,0.6,0.14766839378238342,2.022601428200599,High
DLX4,corticomedial amygdala,0.2,0.09378238341968913,1.0926111493678794,High
CACNG1,corticomedial amygdala,0.6,0.2632124352331606,1.1887348509094091,High
MMD,corticomedial amygdala,78.0,36.10880829015544,1.1111233165982193,High
MYH1,corticomedial amygdala,0.5,0.018134715025906734,4.785102107543583,High
ANXA10,corticomedial amygdala,0.1,0.04974093264248705,1.0074945350892008,High
CYP27B1,corticomedial amygdala,0.1,0.04818652849740933,1.0532982246087639,High
NT5DC3,corticomedial amygdala,33.1,15.372538860103628,1.1064757632285538,High
CDH9,corticomedial amygdala,25.4,11.393264248704664,1.1566473486513384,High
OTOF,corticomedial amygdala,34.3,2.9000000000000004,3.564083770999698,High
SLC30A3,corticomedial amygdala,33.8,15.755440414507772,1.1011731636834106,High
TPSG1,corticomedial amygdala,0.8,0.25025906735751297,1.6765776580361635,High
ST6GALNAC5,corticomedial amygdala,5.3,2.5870466321243524,1.0346863004726414,High
PLPPR4,corticomedial amygdala,37.8,18.166321243523317,1.0571199371083324,High
IRAG2,corticomedial amygdala,13.4,5.070466321243523,1.402042660275126,High
MYB,corticomedial amygdala,2.7,0.32694300518134717,3.045848344061165,High
ELOVL3,corticomedial amygdala,1.0,0.18652849740932642,2.4225320351965927,High
CRHR1,corticomedial amygdala,4.6,2.151813471502591,1.0960808368646153,High
RGSL1,corticomedial amygdala,0.1,0.02849740932642487,1.8110973201235676,High
GHSR,corticomedial amygdala,1.1,0.5404145077720207,1.0253652132498055,High
OCM,corticomedial amygdala,2.1,0.6911917098445596,1.60323150872223,High
NPY,corticomedial amygdala,39.3,16.160103626943005,1.2820928630524429,High
H2BW1,corticomedial amygdala,0.1,0.01450777202072539,2.7851021067088806,High
MC3R,corticomedial amygdala,2.3,0.4284974093264249,2.4242754738798573,High
ZNF831,corticomedial amygdala,5.0,1.4165803108808288,1.8195156993637558,High
OR2B6,corticomedial amygdala,0.1,0.04922279792746114,1.0226014274488786,High
WNT1,corticomedial amygdala,1.9,0.9113989637305699,1.0598447831573417,High
AMELX,corticomedial amygdala,1.9,0.6792746113989637,1.4839325803534549,High
MYH2,corticomedial amygdala,0.8,0.02901554404145078,4.785102110418667,High
TGM3,corticomedial amygdala,0.3,0.01606217616580311,4.223223219101319,High
GFRA4,corticomedial amygdala,0.2,0.07202072538860103,1.4735159632627544,High
BPIFB1,corticomedial amygdala,0.5,0.21398963730569948,1.2243871603503473,High
PRKCG,corticomedial amygdala,81.2,27.66321243523316,1.5535110258979443,High
ELK1,corticomedial amygdala,88.6,34.376683937823834,1.365876313275044,High
BCL11B,corticomedial amygdala,15.4,5.422279792746114,1.5059588868026719,High
CRYGN,corticomedial amygdala,1.4,0.5569948186528497,1.3296910146928975,High
APOL5,corticomedial amygdala,0.1,0.046632124352331605,1.1006039392873215,High
AP1M2,corticomedial amygdala,0.4,0.14093264248704662,1.504994195354738,High
PLPPR3,corticomedial amygdala,31.6,13.67461139896373,1.208424722874268,High
MAS1,corticomedial amygdala,5.1,2.1958549222797927,1.2157145068299935,High
TNNT3,corticomedial amygdala,0.1,0.0383419689119171,1.383003669319121,High
FIBCD1,corticomedial amygdala,11.4,2.9186528497409325,1.965659295156499,High
DUSP9,corticomedial amygdala,4.1,1.7927461139896372,1.1934527193167905,High
CCL25,corticomedial amygdala,0.2,0.08186528497409327,1.2886762880500455,High
BARX1,corticomedial amygdala,0.8,0.010362694300518135,6.270528928639048,High
FSHB,corticomedial amygdala,0.4,0.12849740932642487,1.6382607261191364,High
SSTR4,corticomedial amygdala,1.0,0.39326424870466326,1.3464290565173946,High
MYH8,corticomedial amygdala,0.3,0.007772020725388601,5.27052892429894,High
POSTN,corticomedial amygdala,7.7,0.7694300518134715,3.322996362106088,High
MTNR1B,corticomedial amygdala,3.1,1.254922279792746,1.3046701978922028,High
COL4A2,corticomedial amygdala,42.1,19.675129533678756,1.0974470993603003,High
LACRT,corticomedial amygdala,0.1,0.026424870466321245,1.920031691279669,High
KCNH3,corticomedial amygdala,42.4,17.78341968911917,1.253531488751669,High
PCDH8,corticomedial amygdala,19.8,9.88341968911917,1.0024182207311239,High
KIF12,corticomedial amygdala,2.6,0.894300518134715,1.5396800061243847,High
STRA6,corticomedial amygdala,0.1,0.032642487046632127,1.6151771107911739,High
SULT6B1,corticomedial amygdala,0.4,0.18756476683937826,1.092611149776377,High
ERP27,corticomedial amygdala,6.1,2.5761658031088084,1.2435837937461307,High
CDH13,corticomedial amygdala,37.8,15.8279792746114,1.2559091531026434,High
CBLC,corticomedial amygdala,0.1,0.021761658031088083,2.200139609302488,High
GPR32,corticomedial amygdala,0.1,0.035751295336787565,1.483932577897242,High
SYTL1,corticomedial amygdala,5.0,1.2253886010362693,2.028688758727168,High
TRIM43B,corticomedial amygdala,0.2,0.0072538860103626935,4.785102096043243,High
TRIM43,corticomedial amygdala,0.1,0.004145077720207254,4.592457003905758,High
