Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
ZMYND10,corticomedial amygdala,1.3,2.7300518134715026,-1.0704167089061734,Low
SLC25A13,corticomedial amygdala,4.0,9.719689119170985,-1.2809101704556232,Low
CALCR,corticomedial amygdala,0.1,0.6927461139896373,-2.792326711590835,Low
PRSS22,corticomedial amygdala,0.0,0.0025906735751295338,-24.62682396729357,Low
ITGAL,corticomedial amygdala,0.0,0.4393782383419689,-32.03281627160973,Low
TMEM98,corticomedial amygdala,20.1,48.09585492227979,-1.258717061178278,Low
TAC1,corticomedial amygdala,2.0,14.263730569948187,-2.8342794518443286,Low
ALDH3B1,corticomedial amygdala,1.5,3.4678756476683934,-1.2090896660341197,Low
CCL26,corticomedial amygdala,0.0,0.19896373056994818,-30.889858318164443,Low
PRSS21,corticomedial amygdala,0.0,0.007772020725388601,-26.211786430889376,Low
SLC13A2,corticomedial amygdala,0.0,0.0051813471502590676,-25.626823939449558,Low
CACNA2D2,corticomedial amygdala,3.8,11.62901554404145,-1.6136576467328552,Low
TFAP2B,corticomedial amygdala,0.0,0.8544041450777202,-32.9922715003245,Low
SYPL1,corticomedial amygdala,13.2,30.810880829015545,-1.2229019974964062,Low
PAX7,corticomedial amygdala,0.3,1.0088082901554403,-1.7496176303931692,Low
CD9,corticomedial amygdala,23.3,65.31554404145078,-1.4870964157989528,Low
HHATL,corticomedial amygdala,41.6,100.72227979274612,-1.2757274096574098,Low
FMO1,corticomedial amygdala,0.0,0.0005181347150259067,-22.3048960951583,Low
MRC2,corticomedial amygdala,2.7,5.595336787564768,-1.0512655634200647,Low
ANLN,corticomedial amygdala,28.9,95.27927461139898,-1.7210929368609125,Low
CD22,corticomedial amygdala,21.3,46.670466321243524,-1.131656452017273,Low
SEMA3B,corticomedial amygdala,26.2,78.03471502590673,-1.5745492616174919,Low
CLDN11,corticomedial amygdala,9.8,46.5160621761658,-2.246875316075172,Low
ISL1,corticomedial amygdala,0.0,0.5512953367875648,-32.36017825248106,Low
MARCO,corticomedial amygdala,0.2,0.782901554404145,-1.9688309073596761,Low
CPS1,corticomedial amygdala,1.8,4.333678756476684,-1.267595307832327,Low
GLRX2,corticomedial amygdala,1.9,6.2658031088082895,-1.7215000178076634,Low
