Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
TNMD,frontal eye field,0.1,0.23160621761658032,-1.211673983095451,Low
ENPP4,frontal eye field,10.0,21.013471502590672,-1.0713145202067684,Low
CFTR,frontal eye field,0.4,0.9606217616580311,-1.26396849114696,Low
CD99,frontal eye field,47.4,111.22124352331606,-1.2304734083436384,Low
KLHL13,frontal eye field,2.2,6.045595854922279,-1.4583810149510863,Low
PDK4,frontal eye field,20.2,42.192746113989635,-1.062639695408535,Low
ZMYND10,frontal eye field,0.7,2.7300518134715026,-1.9635015048945388,Low
SLC25A13,frontal eye field,4.2,9.719689119170985,-1.2105208425659426,Low
CALCR,frontal eye field,0.0,0.6927461139896373,-32.68967956701979,Low
PRSS22,frontal eye field,0.0,0.0025906735751295338,-24.62682396729357,Low
MCUB,frontal eye field,1.0,2.0409326424870464,-1.0292285693850187,Low
WDR54,frontal eye field,1.1,4.3818652849740936,-1.9940416072879703,Low
SOX8,frontal eye field,24.8,50.478756476683934,-1.0253362499466623,Low
ITGAL,frontal eye field,0.0,0.4393782383419689,-32.03281627160973,Low
LAMP2,frontal eye field,54.5,121.9476683937824,-1.16193403945774,Low
TMEM98,frontal eye field,18.5,48.09585492227979,-1.378387291840274,Low
TAC1,frontal eye field,2.2,14.263730569948187,-2.6967759281009513,Low
TNFRSF12A,frontal eye field,1.7,5.321243523316062,-1.6462286826293853,Low
ALDH3B1,frontal eye field,1.2,3.4678756476683934,-1.5310177608974371,Low
USH1C,frontal eye field,1.7,4.6585492227979275,-1.4543459906624152,Low
SCIN,frontal eye field,4.8,9.676165803108809,-1.011401084559579,Low
MYH13,frontal eye field,0.0,0.009326424870466322,-26.47482083362939,Low
PRSS21,frontal eye field,0.0,0.007772020725388601,-26.211786430889376,Low
CEACAM21,frontal eye field,0.3,1.1466321243523316,-1.9343681974566969,Low
DNAH9,frontal eye field,4.0,8.067357512953368,-1.0120961917927724,Low
SLC13A2,frontal eye field,0.0,0.0051813471502590676,-25.626823939449558,Low
CD79B,frontal eye field,0.0,0.04455958549222798,-28.731160574657956,Low
SCN4A,frontal eye field,0.0,0.06528497409326425,-29.28217574242794,Low
TKTL1,frontal eye field,0.0,0.15595854922279795,-30.538515494402933,Low
SELE,frontal eye field,0.7,1.7186528497409326,-1.2958513373401817,Low
TFAP2B,frontal eye field,0.0,0.8544041450777202,-32.9922715003245,Low
TFAP2D,frontal eye field,0.0,0.15492227979274611,-30.528897491847523,Low
SYPL1,frontal eye field,10.5,30.810880829015545,-1.5530505991859265,Low
CD9,frontal eye field,24.7,65.31554404145078,-1.4029153288689065,Low
HHATL,frontal eye field,45.4,100.72227979274612,-1.1496186405078772,Low
GIPR,frontal eye field,2.0,4.22020725388601,-1.077313851219488,Low
BTK,frontal eye field,0.3,1.2849740932642486,-2.098704866916377,Low
FMO1,frontal eye field,0.0,0.0005181347150259067,-22.3048960951583,Low
ANOS1,frontal eye field,6.4,13.462176165803108,-1.0727678307545483,Low
ANLN,frontal eye field,40.8,95.27927461139898,-1.2235932773915517,Low
TYROBP,frontal eye field,13.8,34.91502590673576,-1.3391797761836834,Low
SEMA3B,frontal eye field,31.2,78.03471502590673,-1.3225700442935764,Low
LTF,frontal eye field,0.4,6.5595854922279795,-4.0355327467089435,Low
ALOX5,frontal eye field,1.1,2.90880829015544,-1.40292469252559,Low
CLDN11,frontal eye field,10.1,46.5160621761658,-2.203373677439023,Low
DPEP1,frontal eye field,0.0,0.22487046632124352,-31.06644704980423,Low
ISL1,frontal eye field,0.0,0.5512953367875648,-32.36017825248106,Low
SLC11A1,frontal eye field,1.8,6.488082901554405,-1.8497953471126851,Low
CD74,frontal eye field,127.1,415.8253886010363,-1.7100138156126254,Low
CPS1,frontal eye field,1.7,4.333678756476684,-1.3500574680195854,Low
DEF6,frontal eye field,0.2,0.8155440414507772,-2.027762787694958,Low
TYMP,frontal eye field,7.7,17.90103626943005,-1.2171127548544571,Low
RNASET2,frontal eye field,6.5,16.83937823834197,-1.3733272473803786,Low
CD44,frontal eye field,21.1,95.5119170984456,-2.178437751657811,Low
SLAMF7,frontal eye field,0.0,0.1616580310880829,-30.590298036472866,Low
BTN3A1,frontal eye field,4.8,11.167875647668394,-1.2182484716304682,Low
INSRR,frontal eye field,0.4,1.878756476683938,-2.231706172192194,Low
TNFRSF1B,frontal eye field,7.3,16.08341968911917,-1.1396058187442755,Low
IBSP,frontal eye field,0.0,0.161139896373057,-30.58566658774409,Low
MUSK,frontal eye field,0.9,2.27720207253886,-1.339265411223428,Low
MYOC,frontal eye field,0.0,0.05233160621761658,-28.96310730222681,Low
DEPDC1B,frontal eye field,0.2,0.6818652849740933,-1.769486735957394,Low
SLC18A1,frontal eye field,0.0,0.10880829015544041,-30.01914133571021,Low
HOXC8,frontal eye field,0.0,0.07927461139896373,-29.5622836612307,Low
AGA,frontal eye field,2.6,5.226943005181347,-1.0074558048911602,Low
DNAH5,frontal eye field,0.6,1.2528497409326425,-1.062178991134591,Low
SOX30,frontal eye field,0.0,0.13989637305699482,-30.38171141480027,Low
TNC,frontal eye field,2.6,27.999481865284974,-3.4288166017071013,Low
CAPG,frontal eye field,10.0,25.95699481865285,-1.376123364407057,Low
ZPBP,frontal eye field,0.0,0.07512953367875648,-29.48480490865339,Low
ADAM28,frontal eye field,5.4,12.330051813471501,-1.191147549857781,Low
OFD1,frontal eye field,0.0,0.2787564766839378,-31.37635817979235,Low
MAGEC2,frontal eye field,0.0,0.0005181347150259067,-22.3048960951583,Low
CP,frontal eye field,3.7,9.649222797927461,-1.3828874736118684,Low
RRM2B,frontal eye field,6.8,14.678238341968912,-1.1100721771972208,Low
COL9A2,frontal eye field,13.8,33.295336787564764,-1.2706518663064035,Low
UTS2,frontal eye field,0.5,2.8958549222797925,-2.5339893272686314,Low
ELN,frontal eye field,33.1,86.29222797927461,-1.3823994100320378,Low
CYBA,frontal eye field,22.6,61.65440414507771,-1.4478811813724386,Low
PLEKHH1,frontal eye field,27.4,66.16321243523316,-1.2718533904718548,Low
RELT,frontal eye field,6.0,16.091709844559585,-1.4232832237057458,Low
MCOLN3,frontal eye field,0.1,0.2948186528497409,-1.5598278040851565,Low
ITIH1,frontal eye field,0.0,0.0383419689119171,-28.514349186109836,Low
GYG2,frontal eye field,5.3,14.601036269430052,-1.4620064993483795,Low
TMCC3,frontal eye field,10.3,24.821243523316063,-1.2689310576640307,Low
TBXAS1,frontal eye field,3.5,8.40259067357513,-1.2634792838671371,Low
MPC1,frontal eye field,19.8,41.32072538860103,-1.0613651507421038,Low
BCAT1,frontal eye field,9.8,21.49481865284974,-1.1331352843170803,Low
GSC2,frontal eye field,0.0,0.02072538860103627,-27.626823918566547,Low
NGFR,frontal eye field,1.6,13.49740932642487,-3.0765387147056726,Low
CHI3L2,frontal eye field,4.3,15.019170984455958,-1.8043966174333588,Low
NTN1,frontal eye field,4.4,9.452331606217616,-1.1031667189863077,Low
ERBB3,frontal eye field,8.7,22.238341968911918,-1.3539619225169803,Low
PACC1,frontal eye field,6.3,14.210362694300517,-1.1735196435444466,Low
FAM107B,frontal eye field,41.0,85.30155440414508,-1.0569481215029193,Low
CD84,frontal eye field,2.3,4.6233160621761655,-1.00729413121213,Low
ELOVL1,frontal eye field,16.4,53.09585492227979,-1.6949034225172597,Low
FGFR2,frontal eye field,47.9,98.93367875647668,-1.0464360672850865,Low
ISOC1,frontal eye field,4.4,9.237823834196892,-1.0700495104092498,Low
IDI1,frontal eye field,16.4,34.1160621761658,-1.0567553193002968,Low
