Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
SEMA3F,habenula,39.0,9.034715025906737,2.1099231227069812,High
DBNDD1,habenula,100.1,37.79481865284974,1.4051816022369328,High
ZMYND10,habenula,7.9,2.7300518134715026,1.5329243210371228,High
MCUB,habenula,7.5,2.0409326424870464,1.8776620260984662,High
CACNA1G,habenula,72.9,16.619689119170985,2.133025418624082,High
CCL26,habenula,0.4,0.19896373056994818,1.0074945361824936,High
DLEC1,habenula,4.4,1.8984455958549222,1.212684867765229,High
SLC6A7,habenula,20.8,9.71139896373057,1.098832486956728,High
EXTL3,habenula,44.3,21.278238341968912,1.05792798593161,High
IL20RA,habenula,4.8,2.116580310880829,1.1812991749180852,High
PRKCH,habenula,35.2,17.326943005181345,1.022558286783685,High
MUSK,habenula,4.8,2.27720207253886,1.0757720879251724,High
LRRC7,habenula,54.9,24.11139896373057,1.1870907894735627,High
CLXN,habenula,11.2,4.537823834196891,1.3034262248541222,High
DNAH5,habenula,3.7,1.2528497409326425,1.5623118735717454,High
C6,habenula,1.8,0.1538860103626943,3.5480629170522677,High
ZPBP,habenula,0.3,0.07512953367875648,1.9975104465349238,High
ZIC2,habenula,37.1,14.303626943005181,1.3750381720582852,High
KITLG,habenula,17.4,5.721243523316063,1.6046866473079442,High
HEBP2,habenula,30.6,11.705181347150258,1.3863843667638804,High
ENTPD2,habenula,35.9,12.718652849740932,1.4970379745133033,High
KCNH2,habenula,26.4,13.081865284974095,1.0129696666075116,High
MCOLN3,habenula,1.1,0.2948186528497409,1.8996038132406001,High
CREB3L3,habenula,1.1,0.3974093264248705,1.4688058881705734,High
SNCAIP,habenula,13.4,5.87461139896373,1.1896676738926348,High
RORA,habenula,102.0,42.43108808290155,1.2653755721848505,High
PTPN3,habenula,49.9,6.590155440414509,2.9206554162946206,High
CLTCL1,habenula,10.1,4.880829015544041,1.0491571755044555,High
ST6GALNAC2,habenula,4.8,1.1305699481865283,2.085984151568078,High
EPHA8,habenula,5.5,2.4518134715025908,1.1655823924203403,High
ATP2A3,habenula,12.7,3.3854922279792743,1.907390984570929,High
CA12,habenula,31.6,6.107772020725388,2.371206440302128,High
IPCEF1,habenula,34.8,15.567875647668393,1.1605152146815572,High
TXK,habenula,0.9,0.4212435233160622,1.0952704964531796,High
CACNG5,habenula,9.2,4.039378238341969,1.1875006180471688,High
CACNG4,habenula,41.6,12.350259067357513,1.7520422232873232,High
SPAG6,habenula,10.8,3.0886010362694303,1.8060058814273705,High
FAP,habenula,2.3,0.7880829015544041,1.5452145554802585,High
CHRNA3,habenula,12.4,2.6124352331606215,2.2468729447528264,High
COL4A4,habenula,7.8,2.503626943005181,1.6394545167661219,High
CACNA1S,habenula,0.9,0.1772020725388601,2.344529523170642,High
KCNK2,habenula,15.3,5.2792746113989635,1.535120035330803,High
OPRK1,habenula,12.8,4.6922279792746115,1.4477987944167228,High
TRPM3,habenula,76.5,32.689119170984455,1.2266492445052692,High
PTHLH,habenula,10.9,3.5031088082901554,1.6376204302050277,High
SULT2B1,habenula,1.3,0.433160621761658,1.5855376231062042,High
SLC15A1,habenula,3.4,1.271502590673575,1.4190003447844832,High
SLC4A11,habenula,7.9,3.101554404145078,1.348861221918829,High
RPH3A,habenula,134.1,56.7559585492228,1.2404654698013466,High
OTUB2,habenula,4.7,1.7906735751295337,1.392158386732378,High
LAMB1,habenula,4.0,1.8730569948186528,1.0946052002760065,High
SMPX,habenula,7.9,1.4880829015544041,2.408397751543444,High
SLC17A6,habenula,59.9,17.93937823834197,1.7394261143123053,High
EFNA2,habenula,4.9,1.8865284974093266,1.377047855891743,High
SUSD2,habenula,19.1,4.946632124352332,1.9490541213009598,High
SEZ6L,habenula,131.3,58.046113989637306,1.177595524827625,High
RASD2,habenula,56.4,24.927979274611403,1.177929223580209,High
PVALB,habenula,165.5,66.54041450777201,1.3145284585254855,High
KCTD17,habenula,78.6,35.531088082901555,1.1454474429014598,High
IL2RB,habenula,0.6,0.23108808290155441,1.3765196376850757,High
SLC8A3,habenula,21.5,9.39119170984456,1.1949565121718673,High
HRH3,habenula,97.8,20.162694300518137,2.278146028998931,High
CHRNA4,habenula,46.9,10.524870466321243,2.1557854451386773,High
ISM1,habenula,5.1,1.11139896373057,2.198120446751147,High
RSPO4,habenula,13.1,5.005699481865285,1.3879232254815244,High
PLCB4,habenula,24.3,11.734715025906736,1.0501735069617568,High
LIPG,habenula,7.9,3.005181347150259,1.3944006005131415,High
LAMA1,habenula,3.8,1.4699481865284973,1.3702341153771267,High
PAGE4,habenula,0.2,0.02901554404145078,2.785102110959678,High
MCF2,habenula,22.8,7.916580310880829,1.526084548802236,High
DGKH,habenula,27.9,12.708290155440414,1.1344951869223137,High
ACOD1,habenula,0.1,0.007772020725388601,3.685566424539581,High
MT4,habenula,0.1,0.035233160621761656,1.504994193365728,High
ZNF423,habenula,42.0,18.576683937823834,1.1768963338858414,High
CCL17,habenula,0.5,0.244559585492228,1.0317420824922245,High
TOX3,habenula,16.1,6.091709844559586,1.4021415570446096,High
NOMO1,habenula,7.0,2.6170984455958552,1.4193867277473282,High
SYT17,habenula,40.8,17.780310880829013,1.1982886029227475,High
ENTREP2,habenula,5.5,1.6176165803108808,1.7655619287518756,High
EYA1,habenula,9.9,4.348704663212435,1.18684279185726,High
CALB1,habenula,74.0,36.62590673575129,1.0146607944271284,High
DKK4,habenula,1.3,0.42590673575129534,1.6099021714997312,High
ESRP1,habenula,0.4,0.03730569948186529,3.4225320323192174,High
NCALD,habenula,98.5,46.7720207253886,1.0744779646683438,High
SHD,habenula,16.4,6.006735751295337,1.4490427115879592,High
ZNRF4,habenula,0.1,0.027979274611398965,1.8375695313910079,High
GRIN2D,habenula,16.6,5.004663212435233,1.7298383499151808,High
CAPS,habenula,78.8,31.464248704663213,1.324482134663322,High
SLC5A5,habenula,7.5,2.3108808290155443,1.6984477329130994,High
DNAH11,habenula,3.6,1.3518134715025905,1.413100809826293,High
WNT2,habenula,2.7,0.19585492227979273,3.7851021145272954,High
LFNG,habenula,50.7,19.722279792746114,1.362159417841817,High
PPP1R17,habenula,23.5,4.007772020725389,2.5517884074668236,High
ECM2,habenula,15.1,6.2896373056994825,1.2634998184732407,High
CDH23,habenula,33.6,14.406217616580312,1.2217696304551422,High
WNT3,habenula,8.1,1.78860103626943,2.1790902909109007,High
ALDH3A1,habenula,2.2,0.4481865284974093,2.2953323331249718,High
KRT32,habenula,0.1,0.015544041450777202,2.685566433820919,High
FAM20A,habenula,5.0,1.217616580310881,2.0378681855008116,High
CWH43,habenula,0.2,0.004663212435233161,5.422532005609322,High
NMU,habenula,11.0,0.833678756476684,3.7218681399093576,High
PF4V1,habenula,0.1,0.03005181347150259,1.7344760387825113,High
ANXA10,habenula,0.1,0.04974093264248705,1.0074945350892008,High
FOLR1,habenula,14.8,4.2575129533678755,1.797514351446358,High
PITPNM1,habenula,103.5,42.38238341968912,1.2880941410848914,High
GLI1,habenula,5.6,1.4134715025906737,1.9861840302252067,High
TRPV4,habenula,1.2,0.5528497409326425,1.1180750770240802,High
CUX2,habenula,24.2,10.169948186528497,1.2506947184662232,High
SCNN1A,habenula,2.6,0.8207253886010363,1.6635401352092682,High
ADGRD1,habenula,6.2,2.0564766839378237,1.5920935006082384,High
SLCO1B3,habenula,0.3,0.11968911917098445,1.3256704958487089,High
RSPH4A,habenula,3.9,1.6829015544041452,1.2125233388964178,High
UST,habenula,38.7,10.905699481865286,1.8272512602371005,High
OPRM1,habenula,34.8,11.99740932642487,1.5363643965178735,High
ADGRG6,habenula,6.2,2.506735751295337,1.3064582936407472,High
PHACTR2,habenula,41.9,17.35958549222798,1.2712177440317562,High
C6orf118,habenula,5.6,2.1974093264248706,1.349623191689358,High
CLIC5,habenula,7.8,2.665284974093264,1.5491843287667486,High
ENPP5,habenula,29.3,14.566839378238342,1.0082127802384562,High
GZMK,habenula,0.2,0.09378238341968913,1.0926111493678794,High
PRLR,habenula,18.2,7.81761658031088,1.2191377167811526,High
C9,habenula,0.1,0.002072538860103627,5.592456969100741,High
RBP1,habenula,48.4,23.932642487046632,1.0160273488032285,High
SERPINI2,habenula,10.4,4.781347150259067,1.1210944667098888,High
EFEMP1,habenula,97.4,46.29740932642487,1.0729903057424781,High
KCNJ13,habenula,15.5,6.273575129533678,1.3049084827011161,High
OTX1,habenula,4.6,1.5476683937823834,1.5715374709524483,High
SDC1,habenula,5.1,1.5129533678756477,1.7531297254051283,High
DLGAP3,habenula,142.8,52.00984455958549,1.4571393480556694,High
WLS,habenula,196.2,68.6041450777202,1.5159573894560145,High
RPE65,habenula,5.9,1.4461139896373059,2.0285336774885434,High
CRYZ,habenula,31.9,15.911398963730571,1.0034957379515703,High
RIMS3,habenula,209.0,64.35284974093264,1.69942700038423,High
ACADM,habenula,3.4,1.3642487046632126,1.3174280724090388,High
ARTN,habenula,9.8,2.8569948186528498,1.7782833293373226,High
CRYGD,habenula,0.9,0.3673575129533679,1.2927402212384536,High
TTR,habenula,2375.3,689.5455958549222,1.7843918796094806,High
ADGB,habenula,2.1,0.3922279792746114,2.420624969761988,High
RXYLT1,habenula,0.1,0.035751295336787565,1.483932577897242,High
CASQ2,habenula,8.6,1.1134715025906736,2.949272024429603,High
BSPRY,habenula,10.6,3.032642487046632,1.805416928467135,High
TECTB,habenula,0.1,0.04093264248704664,1.2886762870091135,High
CFAP58,habenula,1.7,0.7896373056994819,1.1062726909272589,High
SFRP5,habenula,27.6,4.184974093264249,2.721377669942543,High
IFNA8,habenula,0.5,0.19378238341968912,1.3674906718118527,High
CCDC170,habenula,3.9,1.6191709844559585,1.268218781641408,High
TNN,habenula,0.1,0.046632124352331605,1.1006039392873215,High
CHRNA2,habenula,48.3,10.399481865284974,2.215511538472759,High
RGSL1,habenula,0.1,0.02849740932642487,1.8110973201235676,High
GJB6,habenula,83.3,29.64041450777202,1.4907508723661524,High
CPXM2,habenula,19.1,8.596891191709846,1.151685686481375,High
RASL11A,habenula,4.1,1.6761658031088082,1.2904590449554108,High
NXPH1,habenula,38.2,12.166839378238341,1.6506181953902583,High
DNAI1,habenula,4.7,1.9813471502590672,1.246179080922851,High
CIT,habenula,26.0,10.644559585492228,1.288395363166227,High
TNFAIP6,habenula,2.0,0.9398963730569948,1.08942639154556,High
TOX2,habenula,31.1,12.130569948186528,1.3582672440612464,High
EDN3,habenula,11.6,2.244559585492228,2.3696205047354875,High
C20orf85,habenula,0.5,0.2010362694300518,1.314472289539225,High
GRM4,habenula,13.4,6.623834196891191,1.0164945347868621,High
OR2B6,habenula,0.1,0.04922279792746114,1.0226014274488786,High
COL21A1,habenula,10.2,4.28860103626943,1.2499901371456505,High
NRN1,habenula,77.3,36.94093264248705,1.0652481238508569,High
SCGB1D2,habenula,6.1,1.4968911917098444,2.0268398861936228,High
KRT36,habenula,0.1,0.011917098445595856,3.0688950705476694,High
RGS13,habenula,0.1,0.0025906735751295338,5.270528888135385,High
SYNGR3,habenula,167.1,74.40103626943005,1.167317112726862,High
GNG13,habenula,14.5,5.078238341968912,1.513652887105336,High
SPINK2,habenula,0.2,0.08652849740932642,1.2087527438480699,High
FOXP2,habenula,19.7,6.667875647668394,1.562896525474072,High
CCDC136,habenula,118.9,33.02538860103627,1.8481012725838035,High
LRRC17,habenula,2.4,1.0880829015544042,1.1412459253632732,High
MYO1B,habenula,20.9,7.368911917098446,1.5039794284026389,High
CHAC1,habenula,26.8,11.890673575129535,1.1724025584291788,High
FOXA1,habenula,1.0,0.17512953367875647,2.5135056951937407,High
FOXJ1,habenula,30.6,10.525906735751295,1.5395871358332904,High
LBP,habenula,0.4,0.08549222797927461,2.2261348216954224,High
KCNA5,habenula,10.1,3.573575129533679,1.4989152685544518,High
ATP8B3,habenula,0.3,0.14974093264248706,1.0024938550059952,High
FBP2,habenula,3.5,0.5461139896373056,2.6800809023528775,High
ABHD12B,habenula,18.4,5.30880829015544,1.7932458168511947,High
MATN3,habenula,8.5,3.1580310880829017,1.4284374678694973,High
SLC6A11,habenula,148.9,45.95958549222798,1.6959060623747861,High
HHLA1,habenula,0.4,0.07202072538860103,2.4735159629020806,High
SERPINF1,habenula,80.3,30.240932642487046,1.408897354201047,High
RNF17,habenula,0.2,0.08497409326424872,1.2349050316735386,High
GPR12,habenula,14.6,6.754922279792746,1.1119572935719848,High
CHRM3,habenula,30.8,13.23056994818653,1.2190551393569833,High
LGR6,habenula,18.9,4.304663212435233,2.134413960618624,High
RXFP2,habenula,0.3,0.07098445595854921,2.0793874534771986,High
STOML3,habenula,1.7,0.4968911917098446,1.7745328732948091,High
MYO18B,habenula,1.1,0.22020725388601037,2.3205696243563145,High
NTS,habenula,37.3,3.095336787564767,3.591007335169787,High
LRRIQ1,habenula,6.1,2.505181347150259,1.2838942004328253,High
PEBP4,habenula,29.2,9.017098445595854,1.695233191429979,High
GSTM1,habenula,44.6,21.520725388601036,1.0513170032094674,High
TSPAN2,habenula,8.1,3.125906735751295,1.3736471730978552,High
HMGCS2,habenula,0.1,0.03730569948186529,1.4225320334012386,High
VTCN1,habenula,0.4,0.14922279792746115,1.4225320352196356,High
MTNR1B,habenula,2.7,1.254922279792746,1.1053613896756909,High
CYP2J2,habenula,32.1,13.783937823834197,1.219585198316164,High
TES,habenula,4.1,2.0316062176165803,1.0130031153337495,High
MRAP2,habenula,29.1,11.590673575129534,1.3280547442223936,High
RGS8,habenula,115.5,18.269430051813472,2.660389319357309,High
NPL,habenula,35.7,12.015025906735751,1.5710843150438067,High
WDR38,habenula,5.4,2.04300518134715,1.402266544279833,High
GABBR2,habenula,101.8,45.76010362694301,1.1535753370957933,High
GMPR,habenula,61.9,18.425906735751294,1.7482037935880783,High
KIAA0319,habenula,25.1,10.984974093264249,1.1921558968256123,High
FGFBP2,habenula,0.3,0.13523316062176166,1.14951354083343,High
TTC29,habenula,2.0,0.9797927461139896,1.0294514841305713,High
GGH,habenula,8.7,2.526943005181347,1.7836222760404312,High
SULF1,habenula,42.4,7.859585492227979,2.4315391316650485,High
