Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
CACNG3,"hippocampus, CA3",45.3,14.792227979274612,1.6146716852807783,High
MYH13,"hippocampus, CA3",0.1,0.009326424870466322,3.422532021799566,High
SLC13A2,"hippocampus, CA3",0.1,0.0051813471502590676,4.2705289159793995,High
IDS,"hippocampus, CA3",685.3,325.56528497409323,1.073788813764017,High
NCDN,"hippocampus, CA3",510.0,245.82538860103628,1.0528633235730394,High
TOMM34,"hippocampus, CA3",44.6,20.261658031088082,1.138291474040425,High
MIPEP,"hippocampus, CA3",14.8,5.982383419689119,1.3068048928748777,High
LRRC7,"hippocampus, CA3",53.9,24.11139896373057,1.1605699132209184,High
SLC4A7,"hippocampus, CA3",39.8,14.621761658031089,1.4446512903208608,High
STAP1,"hippocampus, CA3",0.7,0.07823834196891193,3.16140721836273,High
TLL1,"hippocampus, CA3",13.6,4.3699481865284975,1.6379185722168803,High
TG,"hippocampus, CA3",1.2,0.527979274611399,1.1844812016703987,High
ATP6V1H,"hippocampus, CA3",68.9,33.865803108808294,1.0246747740484745,High
POLQ,"hippocampus, CA3",1.2,0.5989637305699481,1.0024938553679175,High
THOC3,"hippocampus, CA3",72.3,28.208808290155442,1.3578499280841978,High
NNAT,"hippocampus, CA3",134.2,46.44922279792746,1.530658309211763,High
MCOLN3,"hippocampus, CA3",5.2,0.2948186528497409,4.140611912640985,High
PKP2,"hippocampus, CA3",11.0,2.817616580310881,1.9649563147298927,High
CAMK2B,"hippocampus, CA3",225.9,91.87305699481865,1.2979705317316064,High
PSD,"hippocampus, CA3",306.0,104.64507772020725,1.5480272010048153,High
RIMBP2,"hippocampus, CA3",49.8,19.774093264248705,1.3325342004689489,High
CDH3,"hippocampus, CA3",5.1,2.2310880829015547,1.1927497750359668,High
AHRR,"hippocampus, CA3",9.0,2.8865284974093264,1.6405895329072278,High
DMRT3,"hippocampus, CA3",1.4,0.3119170984455959,2.1661922822065067,High
CNGB1,"hippocampus, CA3",31.0,8.235233160621762,1.9123868134386748,High
ST6GALNAC2,"hippocampus, CA3",2.4,1.1305699481865283,1.085984151598134,High
CAMK2A,"hippocampus, CA3",689.9,192.0,1.8452809495533824,High
EPHA8,"hippocampus, CA3",5.3,2.4518134715025908,1.11214313345987,High
SLC12A3,"hippocampus, CA3",1.6,0.5699481865284974,1.4891692286930995,High
LMCD1,"hippocampus, CA3",17.7,8.006735751295336,1.1444632618967636,High
CDHR2,"hippocampus, CA3",3.4,1.694300518134715,1.0048449580902572,High
SCARF1,"hippocampus, CA3",0.5,0.24404145077720207,1.0348018822400304,High
WSCD2,"hippocampus, CA3",24.4,9.811917098445596,1.314274198148173,High
ATP12A,"hippocampus, CA3",0.1,0.025906735751295335,1.948600843367248,High
ITGA8,"hippocampus, CA3",11.0,2.129015544041451,2.3692451355704356,High
MOXD1,"hippocampus, CA3",9.3,3.9207253886010367,1.2461101185625736,High
KCNN2,"hippocampus, CA3",35.2,15.36217616580311,1.1961928299055014,High
IL12RB2,"hippocampus, CA3",9.0,1.9119170984455958,2.234905032590569,High
DLG3,"hippocampus, CA3",26.2,11.175129533678758,1.2292752576162684,High
SEMA5B,"hippocampus, CA3",11.6,4.197927461139897,1.466375662687286,High
TESC,"hippocampus, CA3",23.1,7.603626943005182,1.6031331957866326,High
TBX5,"hippocampus, CA3",0.7,0.1067357512953368,2.713311430996914,High
LAMB1,"hippocampus, CA3",4.4,1.8730569948186528,1.2321087240226627,High
JPH4,"hippocampus, CA3",200.3,95.01295336787565,1.0759663027445128,High
CYP26A1,"hippocampus, CA3",0.5,0.1823834196891192,1.4549535130156612,High
DSP,"hippocampus, CA3",4.6,1.8792746113989636,1.2914579633094079,High
NRP1,"hippocampus, CA3",61.0,26.703108808290153,1.1918015306767,High
CBARP,"hippocampus, CA3",26.0,11.896373056994818,1.1279898287269063,High
SEZ6L,"hippocampus, CA3",117.3,58.046113989637306,1.0149316219633782,High
CABP7,"hippocampus, CA3",57.5,11.229533678756477,2.356263936884644,High
CPNE6,"hippocampus, CA3",86.3,41.19067357512954,1.0670428411701658,High
SPEF1,"hippocampus, CA3",6.0,2.712953367875648,1.145098250902225,High
PDYN,"hippocampus, CA3",51.1,9.040932642487046,2.4987797805107945,High
PAGE4,"hippocampus, CA3",0.1,0.02901554404145078,1.7851021116810257,High
BRS3,"hippocampus, CA3",0.4,0.04870466321243524,3.0378681829889875,High
TAF7L,"hippocampus, CA3",2.5,1.0487046632124353,1.2533196522686334,High
NDFIP2,"hippocampus, CA3",29.7,10.563730569948186,1.4913435201546699,High
MT4,"hippocampus, CA3",0.1,0.035233160621761656,1.504994193365728,High
SMPD3,"hippocampus, CA3",37.3,11.472538860103626,1.7009909369764609,High
NAGPA,"hippocampus, CA3",11.9,5.652331606217617,1.0740435614380832,High
CRYM,"hippocampus, CA3",52.0,17.497927461139895,1.5713275708252836,High
AQP8,"hippocampus, CA3",0.7,0.31088082901554404,1.170993268571836,High
AQP9,"hippocampus, CA3",3.7,1.162176165803109,1.6706964977256122,High
ENTREP2,"hippocampus, CA3",4.8,1.6176165803108808,1.5691647159521973,High
TRPA1,"hippocampus, CA3",1.6,0.40880829015544046,1.9685755469918877,High
JPH1,"hippocampus, CA3",8.7,3.8378238341968913,1.1807269112318617,High
GML,"hippocampus, CA3",1.8,0.2088082901554404,3.107746009571657,High
SLC17A7,"hippocampus, CA3",476.9,129.0279792746114,1.8860028396887667,High
ICAM5,"hippocampus, CA3",88.2,16.277720207253886,2.437880000151977,High
MEIS3,"hippocampus, CA3",74.6,30.38860103626943,1.2956453697172714,High
SYNGR4,"hippocampus, CA3",0.9,0.36683937823834195,1.294776488394418,High
PLPPR2,"hippocampus, CA3",126.7,45.476165803108806,1.4782339968406613,High
SLC5A5,"hippocampus, CA3",15.8,2.3108808290155443,2.7734097905842168,High
KCNN1,"hippocampus, CA3",47.1,17.79740932642487,1.4040598087499894,High
PIK3R2,"hippocampus, CA3",65.2,28.743523316062177,1.1816350495246155,High
SIPA1L3,"hippocampus, CA3",51.9,18.54922279792746,1.4843757985819825,High
DNAH11,"hippocampus, CA3",4.1,1.3518134715025905,1.6007278129971767,High
ATP6V0A4,"hippocampus, CA3",0.9,0.3746113989637306,1.2645302015344568,High
MET,"hippocampus, CA3",14.8,4.653886010362695,1.6690893960962054,High
