Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
STPG1,"hippocampus, CA3",1.9,5.942487046632125,-1.6450674347924854,Low
NIPAL3,"hippocampus, CA3",29.6,63.58549222797927,-1.1031004594906604,Low
CFTR,"hippocampus, CA3",0.3,0.9606217616580311,-1.6790059903055794,Low
HECW1,"hippocampus, CA3",9.1,21.23264248704663,-1.2223454811362038,Low
PLXND1,"hippocampus, CA3",13.6,28.462176165803108,-1.0654393204179344,Low
HSPB6,"hippocampus, CA3",12.8,31.811917098445594,-1.3134235061622521,Low
SLC22A16,"hippocampus, CA3",0.0,0.11606217616580312,-30.112250740018823,Low
CALCR,"hippocampus, CA3",0.1,0.6927461139896373,-2.792326711590835,Low
PRSS22,"hippocampus, CA3",0.0,0.0025906735751295338,-24.62682396729357,Low
ITGAL,"hippocampus, CA3",0.0,0.4393782383419689,-32.03281627160973,Low
CACNA1G,"hippocampus, CA3",6.3,16.619689119170985,-1.3994696621820182,Low
PRSS21,"hippocampus, CA3",0.0,0.007772020725388601,-26.211786430889376,Low
CEACAM21,"hippocampus, CA3",0.5,1.1466321243523316,-1.19740260348285,Low
CD79B,"hippocampus, CA3",0.0,0.04455958549222798,-28.731160574657956,Low
CACNA2D2,"hippocampus, CA3",4.0,11.62901554404145,-1.5396570652909765,Low
TFAP2B,"hippocampus, CA3",0.0,0.8544041450777202,-32.9922715003245,Low
TFAP2D,"hippocampus, CA3",0.0,0.15492227979274611,-30.528897491847523,Low
MMP25,"hippocampus, CA3",0.2,0.46632124352331605,-1.221324153536987,Low
PAX7,"hippocampus, CA3",0.4,1.0088082901554403,-1.33458013123455,Low
HHATL,"hippocampus, CA3",46.6,100.72227979274612,-1.1119809831445937,Low
FMO1,"hippocampus, CA3",0.0,0.0005181347150259067,-22.3048960951583,Low
TSPAN9,"hippocampus, CA3",4.8,11.205181347150258,-1.2230596869714605,Low
ANLN,"hippocampus, CA3",32.2,95.27927461139898,-1.5651017412474857,Low
CD22,"hippocampus, CA3",19.4,46.670466321243524,-1.2664532300553202,Low
SEMA3B,"hippocampus, CA3",38.9,78.03471502590673,-1.0043459181705479,Low
LTF,"hippocampus, CA3",1.5,6.5595854922279795,-2.128642151364919,Low
CLDN11,"hippocampus, CA3",15.2,46.5160621761658,-1.6136576467520247,Low
CD6,"hippocampus, CA3",0.6,1.2854922279792746,-1.0992864817749741,Low
ISL1,"hippocampus, CA3",0.0,0.5512953367875648,-32.36017825248106,Low
MARCO,"hippocampus, CA3",0.3,0.782901554404145,-1.3838684068789695,Low
CYP24A1,"hippocampus, CA3",0.2,0.5637305699481865,-1.4950058035168303,Low
SAMD4A,"hippocampus, CA3",24.0,49.20310880829016,-1.0357150666506116,Low
OSBPL5,"hippocampus, CA3",12.3,25.93575129533679,-1.0762838460858513,Low
CPS1,"hippocampus, CA3",1.5,4.333678756476684,-1.5306297136500908,Low
DEF6,"hippocampus, CA3",0.3,0.8155440414507772,-1.4428002872142511,Low
INSRR,"hippocampus, CA3",0.1,1.878756476683938,-4.231706171110172,Low
ANK1,"hippocampus, CA3",3.5,16.292746113989637,-2.2188029608927535,Low
MUSK,"hippocampus, CA3",1.1,2.27720207253886,-1.0497587940575883,Low
MYOC,"hippocampus, CA3",0.0,0.05233160621761658,-28.96310730222681,Low
SLC18A1,"hippocampus, CA3",0.0,0.10880829015544041,-30.01914133571021,Low
HOXC8,"hippocampus, CA3",0.0,0.07927461139896373,-29.5622836612307,Low
ZPBP,"hippocampus, CA3",0.0,0.07512953367875648,-29.48480490865339,Low
OFD1,"hippocampus, CA3",0.0,0.2787564766839378,-31.37635817979235,Low
MAGEC2,"hippocampus, CA3",0.0,0.0005181347150259067,-22.3048960951583,Low
ROS1,"hippocampus, CA3",0.2,1.0585492227979276,-2.4040164508800896,Low
COL9A2,"hippocampus, CA3",13.0,33.295336787564764,-1.3568085100554748,Low
UTS2,"hippocampus, CA3",0.7,2.8958549222797925,-2.048562500180829,Low
EPN3,"hippocampus, CA3",1.2,6.19481865284974,-2.368027643591922,Low
ELN,"hippocampus, CA3",32.2,86.29222797927461,-1.4221699387245168,Low
COL23A1,"hippocampus, CA3",1.2,2.618134715025907,-1.1255049265635957,Low
OPN3,"hippocampus, CA3",1.1,2.9367875647668393,-1.4167353869306114,Low
PLEKHH1,"hippocampus, CA3",28.6,66.16321243523316,-1.2100141366542128,Low
CBLN4,"hippocampus, CA3",3.0,7.594818652849741,-1.3400530160827195,Low
ITIH1,"hippocampus, CA3",0.0,0.0383419689119171,-28.514349186109836,Low
NPFFR2,"hippocampus, CA3",0.2,0.7414507772020725,-1.8903509189318168,Low
CREB3L3,"hippocampus, CA3",0.1,0.3974093264248705,-1.990625729155183,Low
GSC2,"hippocampus, CA3",0.0,0.02072538860103627,-27.626823918566547,Low
DLX3,"hippocampus, CA3",0.0,0.10466321243523316,-29.963107300848392,Low
NGFR,"hippocampus, CA3",3.6,13.49740932642487,-1.9066137133134538,Low
BORCS8-MEF2B,"hippocampus, CA3",0.0,0.03212435233160622,-28.259092131596027,Low
BCAS1,"hippocampus, CA3",102.3,302.70725388601034,-1.5651171023309478,Low
GLP2R,"hippocampus, CA3",0.4,1.344041450777202,-1.7485057267302853,Low
TLE2,"hippocampus, CA3",8.8,17.857512953367877,-1.0209557389517432,Low
ASPM,"hippocampus, CA3",0.1,0.21606217616580312,-1.1114465354016103,Low
ELOVL1,"hippocampus, CA3",21.1,53.09585492227979,-1.3313562384301176,Low
FGFR2,"hippocampus, CA3",46.2,98.93367875647668,-1.0985688716050983,Low
STON1-GTF2A1L,"hippocampus, CA3",0.9,3.4590673575129536,-1.9423862005336143,Low
