Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
CD79B,lateral amygdala,0.1,0.04455958549222798,1.1661922807710012,High
TFAP2D,lateral amygdala,0.5,0.15492227979274611,1.6903834573146388,High
NPFFR2,lateral amygdala,1.8,0.7414507772020725,1.2795740818692973,High
LZTS1,lateral amygdala,21.9,10.565803108808291,1.051528438839985,High
ISM2,lateral amygdala,0.5,0.23523316062176164,1.0878366445397625,High
MT4,lateral amygdala,0.1,0.035233160621761656,1.504994193365728,High
ESRP1,lateral amygdala,0.1,0.03730569948186529,1.4225320334012386,High
PPP1R17,lateral amygdala,11.3,4.007772020725389,1.49545042332364,High
DNTT,lateral amygdala,0.1,0.0455958549222798,1.1330254169093854,High
TULP1,lateral amygdala,0.1,0.04248704663212436,1.23490503069708,High
TPSG1,lateral amygdala,0.7,0.25025906735751297,1.48393258011953,High
ELOVL3,lateral amygdala,0.4,0.18652849740932642,1.1006039405256347,High
CHRNA2,lateral amygdala,20.8,10.399481865284974,1.000071877782027,High
GFRA4,lateral amygdala,0.2,0.07202072538860103,1.4735159632627544,High
CTAG2,lateral amygdala,0.1,0.0305699481865285,1.7098139846296097,High
BCL11B,lateral amygdala,12.5,5.422279792746114,1.2049566307720307,High
AP1M2,lateral amygdala,0.6,0.14093264248704662,2.0899566959556695,High
SIX3,lateral amygdala,10.7,2.925906735751295,1.8706551076521136,High
GUCA1C,lateral amygdala,0.5,0.05803108808290155,3.107030207900305,High
SYTL1,lateral amygdala,4.6,1.2253886010362693,1.908394525011965,High
LRIT1,lateral amygdala,0.1,0.0383419689119171,1.383003669319121,High
SLC25A31,lateral amygdala,0.1,0.04922279792746114,1.0226014274488786,High
PTH,lateral amygdala,0.1,0.0010362694300518134,6.592456899490711,High
SIM2,lateral amygdala,1.3,0.5689119170984456,1.192234416261362,High
ZDHHC19,lateral amygdala,0.1,0.04093264248704664,1.2886762870091135,High
CALHM4,lateral amygdala,0.1,0.02901554404145078,1.7851021116810257,High
KCNK5,lateral amygdala,0.2,0.0766839378238342,1.383003670479126,High
DCSTAMP,lateral amygdala,2.3,0.5253886010362695,2.1301770561098823,High
UCMA,lateral amygdala,0.6,0.07512953367875648,2.9975104462944744,High
KLK13,lateral amygdala,0.1,0.02383419689119171,2.068895076600716,High
SHOX2,lateral amygdala,6.4,3.0797927461139896,1.0552386367051825,High
MOS,lateral amygdala,0.1,0.025388601036269432,1.977747188913115,High
HES3,lateral amygdala,0.4,0.166839378238342,1.2615401586494162,High
TEX36,lateral amygdala,0.1,0.009844559585492229,3.3445295106124457,High
NEUROG2,lateral amygdala,1.0,0.40362694300518137,1.3089056138806103,High
GSX2,lateral amygdala,0.9,0.2829015544041451,1.669624897440876,High
OTOL1,lateral amygdala,0.1,0.03626943005181347,1.4631740177880928,High
MAGEB17,lateral amygdala,0.1,0.015025906735751297,2.734476033981819,High
NKX2-5,lateral amygdala,0.1,0.04093264248704664,1.2886762870091135,High
SCN5A,lateral amygdala,1.1,0.5119170984455959,1.1035214241700322,High
TAFA3,lateral amygdala,2.2,0.8673575129533679,1.3428048432542787,High
MUC6,lateral amygdala,2.8,0.7658031088082902,1.8703814050426686,High
WDR86,lateral amygdala,6.5,2.7155440414507774,1.259198456627687,High
H2AP,lateral amygdala,0.7,0.3238341968911917,1.1120995795368303,High
FAM25A,lateral amygdala,0.1,0.046632124352331605,1.1006039392873215,High
TMEM215,lateral amygdala,1.2,0.582901554404145,1.0417102517575594,High
SPANXN4,lateral amygdala,0.1,0.027979274611398965,1.8375695313910079,High
CACNA1H,lateral amygdala,13.5,5.894300518134714,1.1955668846857068,High
GALP,lateral amygdala,0.4,0.031088082901554404,3.685566437379567,High
ELANE,lateral amygdala,0.2,0.09533678756476685,1.0688950804191535,High
SLC22A12,lateral amygdala,0.3,0.14507772020725387,1.0481365205307396,High
ZNF311,lateral amygdala,0.1,0.03471502590673575,1.5263678440971797,High
EPS8L3,lateral amygdala,0.2,0.08497409326424872,1.2349050316735386,High
IGLV3-9,lateral amygdala,0.1,0.02849740932642487,1.8110973201235676,High
IGLJ1,lateral amygdala,0.2,0.08963730569948188,1.1578288087432227,High
