Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
ZMYND10,lateral amygdala,1.1,2.7300518134715026,-1.3114248083897906,Low
CALCR,lateral amygdala,0.2,0.6927461139896373,-1.792326712312182,Low
PRSS22,lateral amygdala,0.0,0.0025906735751295338,-24.62682396729357,Low
PRKAR2B,lateral amygdala,1.6,3.217098445595855,-1.0076881790452636,Low
MPO,lateral amygdala,0.0,0.14715025906735751,-30.454642937203285,Low
ITGAL,lateral amygdala,0.1,0.4393782383419689,-2.1354634161807726,Low
CRLF1,lateral amygdala,4.8,13.183419689119171,-1.4576183331749022,Low
TAC1,lateral amygdala,1.4,14.263730569948187,-3.3488526246431722,Low
MYH13,lateral amygdala,0.0,0.009326424870466322,-26.47482083362939,Low
PRSS21,lateral amygdala,0.0,0.007772020725388601,-26.211786430889376,Low
CEACAM21,lateral amygdala,0.5,1.1466321243523316,-1.19740260348285,Low
NOS2,lateral amygdala,0.1,0.39896373056994816,-1.9962575972330987,Low
SLC13A2,lateral amygdala,0.0,0.0051813471502590676,-25.626823939449558,Low
TKTL1,lateral amygdala,0.0,0.15595854922279795,-30.538515494402933,Low
CACNA2D2,lateral amygdala,5.0,11.62901554404145,-1.2177289704108276,Low
TFAP2B,lateral amygdala,0.0,0.8544041450777202,-32.9922715003245,Low
PAX7,lateral amygdala,0.4,1.0088082901554403,-1.33458013123455,Low
BTK,lateral amygdala,0.6,1.2849740932642486,-1.098704867156826,Low
FMO1,lateral amygdala,0.0,0.0005181347150259067,-22.3048960951583,Low
SLC7A14,lateral amygdala,9.1,19.301554404145076,-1.0847785857061236,Low
CLDN11,lateral amygdala,21.6,46.5160621761658,-1.1066976580349541,Low
DPEP1,lateral amygdala,0.1,0.22487046632124352,-1.169094194375271,Low
ISL1,lateral amygdala,0.0,0.5512953367875648,-32.36017825248106,Low
MARCO,lateral amygdala,0.2,0.782901554404145,-1.9688309073596761,Low
HGF,lateral amygdala,2.0,4.4689119170984455,-1.1599236092449616,Low
CPS1,lateral amygdala,2.1,4.333678756476684,-1.045202886507329,Low
GLRX2,lateral amygdala,3.0,6.2658031088082895,-1.0625369356705716,Low
INSRR,lateral amygdala,0.2,1.878756476683938,-3.23170617183152,Low
ANK1,lateral amygdala,3.0,16.292746113989637,-2.441195382222331,Low
IBSP,lateral amygdala,0.0,0.161139896373057,-30.58566658774409,Low
STAP1,lateral amygdala,0.0,0.07823834196891193,-29.543300557887235,Low
MYOM2,lateral amygdala,0.6,1.305699481865285,-1.1217884802680853,Low
SLC18A1,lateral amygdala,0.0,0.10880829015544041,-30.01914133571021,Low
HOXC8,lateral amygdala,0.0,0.07927461139896373,-29.5622836612307,Low
