Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
KLHL13,nucleus accumbens,18.8,6.045595854922279,1.6367762180313505,High
ZMYND10,nucleus accumbens,7.7,2.7300518134715026,1.4959301135553957,High
PRKAR2B,nucleus accumbens,7.3,3.217098445595855,1.1821363797643478,High
CRLF1,nucleus accumbens,34.2,13.183419689119171,1.3752716809640022,High
TAC1,nucleus accumbens,55.0,14.263730569948187,1.9470802616108194,High
DLX6,nucleus accumbens,13.1,1.7507772020725387,2.903499403570339,High
TTC22,nucleus accumbens,7.3,2.0,1.867896463940283,High
PRSS21,nucleus accumbens,0.1,0.007772020725388601,3.685566424539581,High
CD79B,nucleus accumbens,0.1,0.04455958549222798,1.1661922807710012,High
NOX1,nucleus accumbens,0.4,0.15181347150259067,1.3977001822561987,High
CAMK1G,nucleus accumbens,42.9,16.364248704663215,1.3904302790633862,High
LDAF1,nucleus accumbens,14.0,2.889119170984456,2.276725208304993,High
CCDC88C,nucleus accumbens,33.7,3.975647668393782,3.083486778855268,High
MATR3,nucleus accumbens,175.0,86.07538860103627,1.023682227857929,High
ISL1,nucleus accumbens,2.7,0.5512953367875648,2.2920621037221007,High
NCDN,nucleus accumbens,837.3,245.82538860103628,1.7681107016139321,High
HSD17B6,nucleus accumbens,9.6,4.4839378238341965,1.0982681325501988,High
TOMM34,nucleus accumbens,47.2,20.261658031088082,1.2200346234817834,High
PRKCH,nucleus accumbens,41.5,17.326943005181345,1.2600941943800528,High
LRRC7,nucleus accumbens,62.9,24.11139896373057,1.383344657347319,High
CYP46A1,nucleus accumbens,112.9,33.141450777202074,1.7683368226343061,High
ADRB1,nucleus accumbens,23.0,9.610362694300518,1.2589710768291906,High
DTNBP1,nucleus accumbens,62.9,22.561139896373057,1.4792200556891442,High
ANO2,nucleus accumbens,5.8,2.7984455958549224,1.0514271994169828,High
LMO3,nucleus accumbens,112.8,41.891709844559585,1.429030392432168,High
GUCA1A,nucleus accumbens,6.4,1.8124352331606217,1.8201424632893701,High
RCN1,nucleus accumbens,61.3,24.10466321243523,1.346574801205595,High
NNAT,nucleus accumbens,286.9,46.44922279792746,2.6268216057796714,High
MCOLN3,nucleus accumbens,0.6,0.2948186528497409,1.0251346954337537,High
ITIH1,nucleus accumbens,0.1,0.0383419689119171,1.383003669319121,High
LAMC2,nucleus accumbens,4.0,0.5440414507772021,2.8782115193728437,High
PSD,nucleus accumbens,296.8,104.64507772020725,1.503986640045619,High
LZTS1,nucleus accumbens,28.6,10.565803108808291,1.4366127160156579,High
WNT8A,nucleus accumbens,2.3,1.0005181347150258,1.2008865442929741,High
DGAT2,nucleus accumbens,16.5,3.843523316062176,2.101964698982094,High
LTK,nucleus accumbens,1.1,0.38238341968911915,1.5244116495988456,High
SEZ6,nucleus accumbens,85.2,26.572020725388597,1.6809454856583028,High
BORCS8-MEF2B,nucleus accumbens,0.1,0.03212435233160622,1.63826072383293,High
