Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
TSPAN6,nucleus accumbens,4.6,4.400518134715026,0.06396045869676832,Normal
TNMD,nucleus accumbens,0.2,0.23160621761658032,-0.21167398381679844,Normal
DPM1,nucleus accumbens,8.0,7.684974093264249,0.05795960352917259,Normal
SCYL3,nucleus accumbens,5.1,4.762694300518135,0.09871929659145927,Normal
C1orf112,nucleus accumbens,2.0,1.570984455958549,0.3483310939646521,Normal
FGR,nucleus accumbens,3.7,5.487564766839378,-0.5686407913646093,Normal
CFH,nucleus accumbens,3.6,3.8818652849740936,-0.1087531455297428,Normal
FUCA2,nucleus accumbens,18.3,18.162694300518137,0.010865416933615374,Normal
GCLC,nucleus accumbens,30.2,22.676683937823835,0.4133388623652832,Normal
NFYA,nucleus accumbens,22.5,20.393264248704664,0.14183228256090472,Normal
STPG1,nucleus accumbens,4.4,5.942487046632125,-0.43356332964191624,Normal
NIPAL3,nucleus accumbens,62.0,63.58549222797927,-0.03642941984791978,Normal
LAS1L,nucleus accumbens,7.8,8.107772020725388,-0.055831398821202756,Normal
ENPP4,nucleus accumbens,17.7,21.013471502590672,-0.2475651599047722,Normal
SEMA3F,nucleus accumbens,5.3,9.034715025906737,-0.769486736455909,Normal
CFTR,nucleus accumbens,1.9,0.9606217616580311,0.9839590220118829,Normal
ANKIB1,nucleus accumbens,100.3,92.06269430051813,0.12363303584323944,Normal
CYP51A1,nucleus accumbens,33.9,52.538860103626945,-0.6320996263721311,Normal
KRIT1,nucleus accumbens,1.7,1.2792746113989637,0.4102087573477279,Normal
RAD52,nucleus accumbens,15.8,12.552331606217615,0.33196918750730947,Normal
BAD,nucleus accumbens,49.1,44.86839378238342,0.13002348580439568,Normal
LAP3,nucleus accumbens,21.4,23.438341968911917,-0.13125972032458683,Normal
CD99,nucleus accumbens,78.0,111.22124352331606,-0.5118863434934809,Normal
AOC1,nucleus accumbens,0.9,0.9020725388601036,-0.0033184489403400184,Normal
HECW1,nucleus accumbens,15.4,21.23264248704663,-0.46335358064648413,Normal
MAD1L1,nucleus accumbens,14.8,13.16839378238342,0.16851779256001573,Normal
LASP1,nucleus accumbens,54.6,52.163730569948186,0.06585390131708654,Normal
SNX11,nucleus accumbens,13.8,11.129533678756477,0.3102751211709661,Normal
TMEM176A,nucleus accumbens,22.4,22.318652849740932,0.005248783325988094,Normal
M6PR,nucleus accumbens,51.4,45.06528497409327,0.18975184569417267,Normal
ICA1,nucleus accumbens,25.1,16.170466321243524,0.6343260805595092,Normal
DBNDD1,nucleus accumbens,20.8,37.79481865284974,-0.8616049384524737,Normal
ALS2,nucleus accumbens,9.3,9.649740932642487,-0.053259494531609705,Normal
CASP10,nucleus accumbens,7.9,7.541450777202073,0.06701056643418718,Normal
CFLAR,nucleus accumbens,77.6,62.12176165803109,0.32095790994898826,Normal
TFPI,nucleus accumbens,9.4,8.954922279792745,0.06997984574456914,Normal
NDUFAF7,nucleus accumbens,7.9,7.664766839378238,0.043610747222347646,Normal
RBM5,nucleus accumbens,48.8,43.61139896373057,0.1621758779446486,Normal
MTMR7,nucleus accumbens,20.7,16.96165803108808,0.287353565020541,Normal
SLC7A2,nucleus accumbens,11.3,14.484455958549223,-0.3581827248305492,Normal
ARF5,nucleus accumbens,81.9,62.829533678756476,0.38242057943479724,Normal
SARM1,nucleus accumbens,10.4,7.946632124352332,0.3881680643570632,Normal
POLDIP2,nucleus accumbens,38.3,36.29637305699482,0.07751899913871976,Normal
PLXND1,nucleus accumbens,18.7,28.462176165803108,-0.6060077017835305,Normal
AK2,nucleus accumbens,21.9,24.96839378238342,-0.18917214580315014,Normal
CD38,nucleus accumbens,4.8,4.446632124352332,0.11032135223846223,Normal
FKBP4,nucleus accumbens,139.2,104.51450777202072,0.41345599291838525,Normal
KDM1A,nucleus accumbens,10.0,7.800518134715026,0.35835813942669736,Normal
RBM6,nucleus accumbens,25.0,26.12642487046632,-0.0635816254637858,Normal
CAMKK1,nucleus accumbens,42.0,28.18860103626943,0.5752774472895716,Normal
RECQL,nucleus accumbens,7.6,7.605181347150259,-0.0009832311706612963,Normal
VPS50,nucleus accumbens,9.8,7.686528497409326,0.3504495750116117,Normal
HSPB6,nucleus accumbens,26.5,31.811917098445594,-0.26357495671751763,Normal
ARHGAP33,nucleus accumbens,26.2,20.03886010362694,0.38676636758007743,Normal
NDUFAB1,nucleus accumbens,49.4,45.40414507772021,0.12168703041480375,Normal
PDK4,nucleus accumbens,45.8,42.192746113989635,0.11835260993262209,Normal
SLC22A16,nucleus accumbens,0.1,0.11606217616580312,-0.21489788458986508,Normal
ABCB5,nucleus accumbens,1.0,0.8435233160621762,0.24550014786243302,Normal
ARX,nucleus accumbens,11.3,8.053367875647668,0.48865863070688476,Normal
SLC25A13,nucleus accumbens,7.7,9.719689119170985,-0.33605172466541516,Normal
ST7,nucleus accumbens,26.6,25.44715025906736,0.06392214295406935,Normal
CDC27,nucleus accumbens,26.4,23.976683937823836,0.1389057869806827,Normal
SLC4A1,nucleus accumbens,1.0,0.9766839378238342,0.034036323995971854,Normal
CALCR,nucleus accumbens,0.4,0.6927461139896373,-0.7923267126728559,Normal
HCCS,nucleus accumbens,7.2,6.896373056994818,0.06215908791025669,Normal
DVL2,nucleus accumbens,14.3,12.344559585492227,0.21213978036020517,Normal
UPF1,nucleus accumbens,23.9,21.89326424870466,0.1265235442564832,Normal
SKAP2,nucleus accumbens,7.1,11.908808290155442,-0.7461381207515563,Normal
SLC25A5,nucleus accumbens,61.0,61.59585492227979,-0.01402402570760661,Normal
MCUB,nucleus accumbens,1.6,2.0409326424870464,-0.35115666432648207,Normal
POLR2J,nucleus accumbens,28.0,23.896891191709848,0.22860388067995643,Normal
DHX33,nucleus accumbens,8.1,6.769430051813472,0.2588875359418212,Normal
MEOX1,nucleus accumbens,0.4,0.2601036269430052,0.6209134831233206,Normal
THSD7A,nucleus accumbens,5.4,6.089119170984456,-0.17327414112170725,Normal
LIG3,nucleus accumbens,11.7,8.474093264248705,0.4653776178766502,Normal
RPAP3,nucleus accumbens,11.2,10.560103626943004,0.08487474026156243,Normal
ACSM3,nucleus accumbens,8.6,8.994818652849741,-0.06475753536092696,Normal
REXO5,nucleus accumbens,4.5,3.5507772020725388,0.3417901619278855,Normal
CIAPIN1,nucleus accumbens,16.4,18.45181347150259,-0.17006679861060933,Normal
SPPL2B,nucleus accumbens,18.1,20.760621761658033,-0.1978599544319646,Normal
ATOSB,nucleus accumbens,15.1,18.606735751295336,-0.30127643069818005,Normal
COPZ2,nucleus accumbens,4.8,6.445077720207254,-0.4251633500893741,Normal
MSL3,nucleus accumbens,10.9,9.8,0.1534744806602326,Normal
CREBBP,nucleus accumbens,60.5,49.83523316062177,0.2797690640814915,Normal
TSPOAP1,nucleus accumbens,46.4,32.66321243523316,0.5064581180506061,Normal
MPO,nucleus accumbens,0.1,0.14715025906735751,-0.5572900817743297,Normal
PON1,nucleus accumbens,0.9,0.6880829015544042,0.38734260731409853,Normal
GCFC2,nucleus accumbens,16.8,14.551295336787565,0.20731364737572885,Normal
WDR54,nucleus accumbens,8.6,4.3818652849740936,0.9727915286624516,Normal
CROT,nucleus accumbens,8.9,5.605181347150259,0.6670442860714519,Normal
ABCB4,nucleus accumbens,0.4,0.5777202072538861,-0.530370957428635,Normal
KMT2E,nucleus accumbens,26.1,23.47461139896373,0.15294853123405497,Normal
RHBDD2,nucleus accumbens,204.1,136.90362694300518,0.5761155144203886,Normal
SOX8,nucleus accumbens,63.0,50.478756476683934,0.319675458050214,Normal
IBTK,nucleus accumbens,4.7,4.437305699481866,0.08297680855839104,Normal
ZNF195,nucleus accumbens,9.1,9.22901554404145,-0.020310218975905195,Normal
MYCBP2,nucleus accumbens,37.9,31.990155440414508,0.24456984585860286,Normal
FBXL3,nucleus accumbens,29.0,25.15854922279793,0.20500416917572,Normal
PDK2,nucleus accumbens,47.2,29.965284974093265,0.655494765378128,Normal
ITGA3,nucleus accumbens,7.6,8.67979274611399,-0.1916611762167809,Normal
ZFX,nucleus accumbens,37.5,30.555958549222797,0.29543685611372783,Normal
LAMP2,nucleus accumbens,126.2,121.9476683937824,0.04944973585901642,Normal
ITGA2B,nucleus accumbens,1.3,1.1580310880829014,0.16683763932488735,Normal
ASB4,nucleus accumbens,6.5,5.805699481865285,0.1629698218961249,Normal
GDE1,nucleus accumbens,30.7,25.78704663212435,0.2515921036063304,Normal
REX1BD,nucleus accumbens,35.7,33.72487046632124,0.08211117230979834,Normal
OSBPL7,nucleus accumbens,5.1,5.326943005181347,-0.0628105979995495,Normal
TMEM98,nucleus accumbens,48.0,48.09585492227979,-0.0028781567528599976,Normal
MAP3K14,nucleus accumbens,8.5,6.509844559585493,0.38483974574862867,Normal
ABCC8,nucleus accumbens,4.0,4.313471502590674,-0.10884942468792311,Normal
CACNG3,nucleus accumbens,25.1,14.792227979274612,0.7628479991878783,Normal
TMEM132A,nucleus accumbens,64.4,80.20518134715026,-0.3166347511127226,Normal
AP2B1,nucleus accumbens,102.6,99.7056994818653,0.041282850003166685,Normal
ZNF263,nucleus accumbens,13.8,12.848186528497408,0.10310352400174314,Normal
CX3CL1,nucleus accumbens,40.9,32.534715025906735,0.3301209260572327,Normal
SPATA20,nucleus accumbens,12.6,16.424870466321245,-0.38245825914346865,Normal
MAP3K9,nucleus accumbens,12.4,21.096891191709844,-0.766690300460381,Normal
RALA,nucleus accumbens,24.8,20.43419689119171,0.27935457722117796,Normal
BAIAP2L1,nucleus accumbens,1.8,1.850259067357513,-0.03973037987349576,Normal
KDM7A,nucleus accumbens,4.1,5.381347150259067,-0.3923434681932523,Normal
ETV1,nucleus accumbens,20.2,16.318134715025906,0.30787913708624254,Normal
AGK,nucleus accumbens,6.1,6.069948186528498,0.007125041080351554,Normal
ALDH3B1,nucleus accumbens,3.0,3.4678756476683934,-0.2090896660822094,Normal
PHTF2,nucleus accumbens,10.0,9.587046632124352,0.060841645170888664,Normal
CCL26,nucleus accumbens,0.1,0.19896373056994818,-0.9925054627354852,Normal
FARP2,nucleus accumbens,19.2,19.60880829015544,-0.030395548595425818,Normal
USH1C,nucleus accumbens,4.0,4.6585492227979275,-0.21988073707418931,Normal
GGCT,nucleus accumbens,5.4,5.934715025906736,-0.1362193486911376,Normal
DBF4,nucleus accumbens,1.3,0.8575129533678757,0.6002812536573273,Normal
TBXA2R,nucleus accumbens,2.9,3.1445595854922277,-0.11680507287991751,Normal
IFRD1,nucleus accumbens,27.6,25.630569948186526,0.10680270673953503,Normal
LGALS14,nucleus accumbens,6.3,5.540932642487047,0.18522299936624137,Normal
COX10,nucleus accumbens,3.5,3.7497409326424873,-0.09943600205406138,Normal
GTF2IRD1,nucleus accumbens,11.3,13.02020725388601,-0.20442964066737282,Normal
PAF1,nucleus accumbens,24.2,26.097927461139893,-0.10892819376773577,Normal
VPS41,nucleus accumbens,41.8,38.99274611398964,0.10029718034995277,Normal
ARHGAP44,nucleus accumbens,32.7,33.82331606217616,-0.04872747381541791,Normal
