Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
TNMD,"orbitofrontal gyrus, anterior",0.1,0.23160621761658032,-1.211673983095451,Low
NIPAL3,"orbitofrontal gyrus, anterior",31.2,63.58549222797927,-1.027151606257612,Low
LAS1L,"orbitofrontal gyrus, anterior",3.2,8.107772020725388,-1.3412336176568629,Low
ENPP4,"orbitofrontal gyrus, anterior",9.6,21.013471502590672,-1.130208209259736,Low
SEMA3F,"orbitofrontal gyrus, anterior",3.9,9.034715025906737,-1.2120049721470882,Low
CYP51A1,"orbitofrontal gyrus, anterior",15.4,52.538860103626945,-1.7704545488084613,Low
CD99,"orbitofrontal gyrus, anterior",36.3,111.22124352331606,-1.6153909192452163,Low
HS3ST1,"orbitofrontal gyrus, anterior",3.6,8.067357512953368,-1.1640992852338148,Low
TMEM176A,"orbitofrontal gyrus, anterior",7.7,22.318652849740932,-1.5353195980244188,Low
KLHL13,"orbitofrontal gyrus, anterior",1.3,6.045595854922279,-2.2173729154018917,Low
CYP26B1,"orbitofrontal gyrus, anterior",6.0,13.907772020725387,-1.212856917548384,Low
DBNDD1,"orbitofrontal gyrus, anterior",17.1,37.79481865284974,-1.1441921417061671,Low
FKBP4,"orbitofrontal gyrus, anterior",27.6,104.51450777202072,-1.9209630461479832,Low
NDUFAB1,"orbitofrontal gyrus, anterior",16.8,45.40414507772021,-1.4343627783854467,Low
PDK4,"orbitofrontal gyrus, anterior",20.3,42.192746113989635,-1.0555152609751888,Low
SLC22A16,"orbitofrontal gyrus, anterior",0.0,0.11606217616580312,-30.112250740018823,Low
ZMYND10,"orbitofrontal gyrus, anterior",0.4,2.7300518134715026,-2.770856426797568,Low
CALCR,"orbitofrontal gyrus, anterior",0.0,0.6927461139896373,-32.68967956701979,Low
HCCS,"orbitofrontal gyrus, anterior",3.2,6.896373056994818,-1.107765913507009,Low
PRSS22,"orbitofrontal gyrus, anterior",0.0,0.0025906735751295338,-24.62682396729357,Low
SKAP2,"orbitofrontal gyrus, anterior",3.9,11.908808290155442,-1.6104830213773174,Low
SLC25A5,"orbitofrontal gyrus, anterior",28.1,61.59585492227979,-1.1322631379341601,Low
THSD7A,"orbitofrontal gyrus, anterior",3.0,6.089119170984456,-1.021271047655284,Low
CIAPIN1,"orbitofrontal gyrus, anterior",8.9,18.45181347150259,-1.0518853722548818,Low
WDR54,"orbitofrontal gyrus, anterior",1.9,4.3818652849740936,-1.2055457125369051,Low
RHBDD2,"orbitofrontal gyrus, anterior",58.8,136.90362694300518,-1.2192726077742195,Low
ITGAL,"orbitofrontal gyrus, anterior",0.2,0.4393782383419689,-1.13546341690212,Low
REX1BD,"orbitofrontal gyrus, anterior",16.8,33.72487046632124,-1.0053516689359951,Low
TAC1,"orbitofrontal gyrus, anterior",0.9,14.263730569948187,-3.986282545201214,Low
TNFRSF12A,"orbitofrontal gyrus, anterior",1.4,5.321243523316062,-1.9263366018039354,Low
MAP3K9,"orbitofrontal gyrus, anterior",8.8,21.096891191709844,-1.2614549922051994,Low
RALA,"orbitofrontal gyrus, anterior",9.3,20.43419689119171,-1.1356829220479703,Low
KDM7A,"orbitofrontal gyrus, anterior",2.2,5.381347150259067,-1.290463854143649,Low
ETV1,"orbitofrontal gyrus, anterior",7.3,16.318134715025906,-1.1605077867729139,Low
CCL26,"orbitofrontal gyrus, anterior",0.0,0.19896373056994818,-30.889858318164443,Low
USH1C,"orbitofrontal gyrus, anterior",2.3,4.6585492227979275,-1.0182468758778804,Low
IFRD1,"orbitofrontal gyrus, anterior",12.2,25.630569948186526,-1.0709844124691497,Low
ARHGAP44,"orbitofrontal gyrus, anterior",14.9,33.82331606217616,-1.1827057788460684,Low
MYH13,"orbitofrontal gyrus, anterior",0.0,0.009326424870466322,-26.47482083362939,Low
PRSS21,"orbitofrontal gyrus, anterior",0.0,0.007772020725388601,-26.211786430889376,Low
CEACAM21,"orbitofrontal gyrus, anterior",0.3,1.1466321243523316,-1.9343681974566969,Low
DNAH9,"orbitofrontal gyrus, anterior",2.0,8.067357512953368,-2.012096191756705,Low
SLC13A2,"orbitofrontal gyrus, anterior",0.0,0.0051813471502590676,-25.626823939449558,Low
CD79B,"orbitofrontal gyrus, anterior",0.0,0.04455958549222798,-28.731160574657956,Low
CACNA2D2,"orbitofrontal gyrus, anterior",4.5,11.62901554404145,-1.3697320638526715,Low
SELE,"orbitofrontal gyrus, anterior",0.5,1.7186528497409326,-1.7812781644279836,Low
DNAJC11,"orbitofrontal gyrus, anterior",5.1,10.669430051813471,-1.0649139589663594,Low
FMO3,"orbitofrontal gyrus, anterior",0.4,0.9471502590673576,-1.243593317581635,Low
TFAP2B,"orbitofrontal gyrus, anterior",0.0,0.8544041450777202,-32.9922715003245,Low
TFAP2D,"orbitofrontal gyrus, anterior",0.0,0.15492227979274611,-30.528897491847523,Low
DLEC1,"orbitofrontal gyrus, anterior",0.8,1.8984455958549222,-1.24674675072452,Low
ADAM22,"orbitofrontal gyrus, anterior",16.3,36.81658031088083,-1.1754836644630227,Low
SYPL1,"orbitofrontal gyrus, anterior",12.5,30.810880829015545,-1.3015118321921604,Low
CYB561,"orbitofrontal gyrus, anterior",10.7,23.588082901554404,-1.1404473730749687,Low
PLEKHG6,"orbitofrontal gyrus, anterior",1.7,3.7305699481865284,-1.133861312652425,Low
SS18L2,"orbitofrontal gyrus, anterior",4.0,9.104145077720206,-1.18652354765501,Low
CRY1,"orbitofrontal gyrus, anterior",3.7,9.235233160621762,-1.3196231144196313,Low
MMP25,"orbitofrontal gyrus, anterior",0.2,0.46632124352331605,-1.221324153536987,Low
MAPK8IP2,"orbitofrontal gyrus, anterior",31.1,66.46113989637306,-1.0955964570101717,Low
RPS20,"orbitofrontal gyrus, anterior",154.0,314.4860103626943,-1.0300654905741646,Low
TENM1,"orbitofrontal gyrus, anterior",2.7,6.039896373056995,-1.1615643900328998,Low
PAX7,"orbitofrontal gyrus, anterior",0.3,1.0088082901554403,-1.7496176303931692,Low
METTL13,"orbitofrontal gyrus, anterior",4.2,9.03782383419689,-1.1055861082751115,Low
UQCRC1,"orbitofrontal gyrus, anterior",27.5,63.51813471502591,-1.2077369280204742,Low
STARD3NL,"orbitofrontal gyrus, anterior",12.0,28.55077720207254,-1.2504956129632665,Low
FMO1,"orbitofrontal gyrus, anterior",0.0,0.0005181347150259067,-22.3048960951583,Low
NME1-NME2,"orbitofrontal gyrus, anterior",2.1,4.44300518134715,-1.0811464958644676,Low
TSPAN9,"orbitofrontal gyrus, anterior",5.5,11.205181347150258,-1.0266624741717822,Low
ABHD5,"orbitofrontal gyrus, anterior",3.8,8.189637305699481,-1.1078001420985895,Low
ANOS1,"orbitofrontal gyrus, anterior",4.9,13.462176165803108,-1.4580579866324395,Low
ANLN,"orbitofrontal gyrus, anterior",32.8,95.27927461139898,-1.5384666147441013,Low
LDAF1,"orbitofrontal gyrus, anterior",1.1,2.889119170984456,-1.3931261898818266,Low
LTF,"orbitofrontal gyrus, anterior",0.8,6.5595854922279795,-3.03553274688928,Low
ELOVL5,"orbitofrontal gyrus, anterior",32.7,68.52124352331606,-1.067260697958977,Low
ALOX5,"orbitofrontal gyrus, anterior",1.1,2.90880829015544,-1.40292469252559,Low
KDM5D,"orbitofrontal gyrus, anterior",0.1,17.36217616580311,-7.439803974074905,Low
PSMC4,"orbitofrontal gyrus, anterior",8.1,17.073575129533676,-1.0757713707061902,Low
SLC7A14,"orbitofrontal gyrus, anterior",9.0,19.301554404145076,-1.1007201295749691,Low
CLK1,"orbitofrontal gyrus, anterior",11.8,32.303108808290155,-1.4528861550604888,Low
HEBP1,"orbitofrontal gyrus, anterior",11.8,25.40777202072539,-1.1064830130201324,Low
TACC3,"orbitofrontal gyrus, anterior",0.5,1.2611398963730571,-1.3347283203841427,Low
CAPN1,"orbitofrontal gyrus, anterior",19.6,44.365803108808294,-1.1785944300173696,Low
ACP3,"orbitofrontal gyrus, anterior",0.7,2.0264248704663212,-1.5335098612723557,Low
MDH1,"orbitofrontal gyrus, anterior",60.9,177.11502590673572,-1.5401724779494295,Low
YAF2,"orbitofrontal gyrus, anterior",9.0,20.9419689119171,-1.21840018068669,Low
DPEP1,"orbitofrontal gyrus, anterior",0.0,0.22487046632124352,-31.06644704980423,Low
BID,"orbitofrontal gyrus, anterior",8.1,17.681865284974094,-1.1262766615779096,Low
NPC1L1,"orbitofrontal gyrus, anterior",0.1,0.900518134715026,-3.170755328263832,Low
RGPD5,"orbitofrontal gyrus, anterior",11.8,24.61502590673575,-1.060752398382693,Low
ISL1,"orbitofrontal gyrus, anterior",0.0,0.5512953367875648,-32.36017825248106,Low
IL20RA,"orbitofrontal gyrus, anterior",0.7,2.116580310880829,-1.5963084035694235,Low
CLCA4,"orbitofrontal gyrus, anterior",1.9,4.458549222797927,-1.2305749261723264,Low
ATP2C1,"orbitofrontal gyrus, anterior",29.1,66.92279792746115,-1.201478610107374,Low
IGF1,"orbitofrontal gyrus, anterior",1.3,2.6963730569948186,-1.0525084912511513,Low
WWTR1,"orbitofrontal gyrus, anterior",17.5,35.799481865284974,-1.032583785098292,Low
NCDN,"orbitofrontal gyrus, anterior",119.0,245.82538860103628,-1.0466723499769455,Low
SAMD4A,"orbitofrontal gyrus, anterior",16.8,49.20310880829016,-1.5502882394777935,Low
CPS1,"orbitofrontal gyrus, anterior",1.6,4.333678756476684,-1.4375203092646207,Low
SLC45A4,"orbitofrontal gyrus, anterior",7.6,16.121243523316064,-1.0848917077631555,Low
GLRX2,"orbitofrontal gyrus, anterior",1.1,6.2658031088082895,-2.5099959125587286,Low
DEF6,"orbitofrontal gyrus, anterior",0.4,0.8155440414507772,-1.0277627880556317,Low
GCLM,"orbitofrontal gyrus, anterior",4.3,10.588082901554404,-1.3000328309179174,Low
DEPDC1,"orbitofrontal gyrus, anterior",0.1,0.2787564766839378,-1.4790053243633956,Low
HSF2,"orbitofrontal gyrus, anterior",5.9,11.86580310880829,-1.0080228896373966,Low
