Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
TSPAN6,"orbitofrontal gyrus, anterior",2.3,4.400518134715026,-0.936039541271869,Normal
DPM1,"orbitofrontal gyrus, anterior",4.5,7.684974093264249,-0.7721153950144888,Normal
SCYL3,"orbitofrontal gyrus, anterior",3.6,4.762694300518135,-0.40378104392593706,Normal
C1orf112,"orbitofrontal gyrus, anterior",1.1,1.570984455958549,-0.5141653822263934,Normal
FGR,"orbitofrontal gyrus, anterior",4.7,5.487564766839378,-0.22350530532421792,Normal
CFH,"orbitofrontal gyrus, anterior",3.2,3.8818652849740936,-0.27867814696704585,Normal
FUCA2,"orbitofrontal gyrus, anterior",10.6,18.162694300518137,-0.7769139667815009,Normal
GCLC,"orbitofrontal gyrus, anterior",17.0,22.676683937823835,-0.4156749408183848,Normal
NFYA,"orbitofrontal gyrus, anterior",13.5,20.393264248704664,-0.5951333116010268,Normal
STPG1,"orbitofrontal gyrus, anterior",3.3,5.942487046632125,-0.8486008289098307,Normal
CFTR,"orbitofrontal gyrus, anterior",0.7,0.9606217616580311,-0.45661356924393065,Normal
ANKIB1,"orbitofrontal gyrus, anterior",72.7,92.06269430051813,-0.3406613008488008,Normal
KRIT1,"orbitofrontal gyrus, anterior",0.8,1.2792746113989637,-0.6772540838071389,Normal
RAD52,"orbitofrontal gyrus, anterior",8.7,12.552331606217615,-0.5288680648136135,Normal
BAD,"orbitofrontal gyrus, anterior",26.2,44.86839378238342,-0.7761327269702791,Normal
LAP3,"orbitofrontal gyrus, anterior",12.3,23.438341968911917,-0.930212201381506,Normal
AOC1,"orbitofrontal gyrus, anterior",0.7,0.9020725388601036,-0.36588852827924856,Normal
WNT16,"orbitofrontal gyrus, anterior",0.4,0.45906735751295336,-0.19870585124053047,Normal
HECW1,"orbitofrontal gyrus, anterior",15.0,21.23264248704663,-0.5013214308452549,Normal
MAD1L1,"orbitofrontal gyrus, anterior",9.9,13.16839378238342,-0.41157895298449976,Normal
LASP1,"orbitofrontal gyrus, anterior",36.1,52.163730569948186,-0.5310482127142406,Normal
SNX11,"orbitofrontal gyrus, anterior",5.7,11.129533678756477,-0.9653593214276053,Normal
M6PR,"orbitofrontal gyrus, anterior",27.2,45.06528497409327,-0.7284098622468689,Normal
ICA1,"orbitofrontal gyrus, anterior",10.4,16.170466321243524,-0.6367777552420464,Normal
ALS2,"orbitofrontal gyrus, anterior",6.3,9.649740932642487,-0.6151383821323377,Normal
