Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
ARX,posterior insular cortex,20.8,8.053367875647668,1.3689193864269578,High
CRLF1,posterior insular cortex,32.5,13.183419689119171,1.3017150739941417,High
CACNG3,posterior insular cortex,40.3,14.792227979274612,1.4459404737629056,High
SYN1,posterior insular cortex,289.9,135.93264248704662,1.09266339091138,High
CAMK1G,posterior insular cortex,34.8,16.364248704663215,1.0885399374133515,High
SLC6A7,posterior insular cortex,24.0,9.71139896373057,1.3052833644232298,High
DPF1,posterior insular cortex,33.9,15.38238341968912,1.1400062147017753,High
SYT7,posterior insular cortex,103.3,49.9720207253886,1.0476477913801958,High
NPC1L1,posterior insular cortex,2.3,0.900518134715026,1.3528066264132115,High
VSIG2,posterior insular cortex,8.8,3.770984455958549,1.2225623200418478,High
KCNG1,posterior insular cortex,23.0,10.934715025906737,1.0727182389539895,High
MYOM2,posterior insular cortex,3.0,1.305699481865285,1.2001396144269179,High
RTN4R,posterior insular cortex,36.7,16.298963730569948,1.1709998205883567,High
ROS1,posterior insular cortex,2.7,1.0585492227979276,1.3508710506154649,High
R3HDM1,posterior insular cortex,149.6,57.293782383419696,1.3846596863004759,High
POLQ,posterior insular cortex,1.3,0.5989637305699481,1.1179710727786052,High
LZTS1,posterior insular cortex,25.6,10.565803108808291,1.2767413792378597,High
WNT8A,posterior insular cortex,2.2,1.0005181347150258,1.1367562068761097,High
LTK,posterior insular cortex,1.2,0.38238341968911915,1.649942531671775,High
CA11,posterior insular cortex,163.6,76.57046632124353,1.09531279968316,High
AHRR,posterior insular cortex,6.7,2.8865284974093264,1.2148256270408282,High
DMRT3,posterior insular cortex,0.8,0.3119170984455959,1.35883736022619,High
GLP2R,posterior insular cortex,4.5,1.344041450777202,1.7433473692707755,High
NGEF,posterior insular cortex,131.0,52.29119170984456,1.3249269572460098,High
CAMK2A,posterior insular cortex,506.8,192.0,1.4003102135318242,High
LNX1,posterior insular cortex,16.1,7.779274611398964,1.0493531477141362,High
TRHDE,posterior insular cortex,16.7,7.274093264248705,1.1990087742556357,High
FNDC8,posterior insular cortex,0.4,0.1544041450777202,1.3732885162322297,High
GSDMB,posterior insular cortex,6.2,2.577720207253886,1.2661725373038835,High
KCNQ2,posterior insular cortex,217.4,104.53937823834197,1.05630545654645,High
ATP12A,posterior insular cortex,0.1,0.025906735751295335,1.948600843367248,High
FKBP6,posterior insular cortex,0.1,0.029533678756476684,1.7595670196611188,High
MEF2C,posterior insular cortex,191.5,71.37564766839378,1.4238405553700866,High
PKP1,posterior insular cortex,1.2,0.31813471502590673,1.9153246922857963,High
SEMA5B,posterior insular cortex,8.8,4.197927461139897,1.0678262862009684,High
GRHL2,posterior insular cortex,0.7,0.19430051813471502,1.8490651734060335,High
SIRPG,posterior insular cortex,0.3,0.14352331606217616,1.0636773714157475,High
KCNH4,posterior insular cortex,5.4,1.9181347150259067,1.493255359512478,High
ANKRD24,posterior insular cortex,26.7,11.83782383419689,1.1734358494669057,High
FETUB,posterior insular cortex,0.1,0.043523316062176166,1.2001396126172514,High
THPO,posterior insular cortex,3.9,1.655958549222798,1.2358075631522227,High
CHRD,posterior insular cortex,11.1,5.0025906735751295,1.1498123597643322,High
SLC26A4,posterior insular cortex,22.8,7.021761658031088,1.699128892086405,High
SLC26A3,posterior insular cortex,0.3,0.12797927461139896,1.229052305758169,High
PITPNM3,posterior insular cortex,35.7,17.605699481865287,1.019881527028092,High
CDC6,posterior insular cortex,3.9,1.594818652849741,1.2900817397486493,High
EPB41L4B,posterior insular cortex,22.7,11.289637305699483,1.007693159111323,High
CYP26A1,posterior insular cortex,0.4,0.1823834196891192,1.1330254182004336,High
ASB2,posterior insular cortex,3.6,1.0476683937823834,1.7808147567097476,High
PAK5,posterior insular cortex,12.5,6.196891191709844,1.012311552832961,High
RS1,posterior insular cortex,0.3,0.08290155440414508,1.8554914418425217,High
DRP2,posterior insular cortex,15.5,6.724352331606218,1.204800991847036,High
TAF7L,posterior insular cortex,2.1,1.0487046632124353,1.0017808852836612,High
HTR2A,posterior insular cortex,22.3,8.311917098445596,1.4237905398869874,High
