Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
CD99,posterior insular cortex,48.7,111.22124352331606,-1.1914386951596365,Low
SLC22A16,posterior insular cortex,0.0,0.11606217616580312,-30.112250740018823,Low
ZMYND10,posterior insular cortex,1.0,2.7300518134715026,-1.4489283321266102,Low
SLC25A13,posterior insular cortex,3.9,9.719689119170985,-1.3174360464798125,Low
CALCR,posterior insular cortex,0.0,0.6927461139896373,-32.68967956701979,Low
PRSS22,posterior insular cortex,0.0,0.0025906735751295338,-24.62682396729357,Low
SOX8,posterior insular cortex,22.2,50.478756476683934,-1.1851166939827502,Low
ITGAL,posterior insular cortex,0.0,0.4393782383419689,-32.03281627160973,Low
LAMP2,posterior insular cortex,59.3,121.9476683937824,-1.0401581645762394,Low
TMEM98,posterior insular cortex,16.2,48.09585492227979,-1.5699187494708542,Low
TAC1,posterior insular cortex,4.2,14.263730569948187,-1.7638901239907154,Low
TNFRSF12A,posterior insular cortex,2.3,5.321243523316062,-1.2101295678448505,Low
ALDH3B1,posterior insular cortex,1.4,3.4678756476683934,-1.3086253395781642,Low
USH1C,posterior insular cortex,2.0,4.6585492227979275,-1.219880737038122,Low
MYH13,posterior insular cortex,0.0,0.009326424870466322,-26.47482083362939,Low
ADIPOR2,posterior insular cortex,12.3,27.0020725388601,-1.1344118297341879,Low
PRSS21,posterior insular cortex,0.0,0.007772020725388601,-26.211786430889376,Low
CEACAM21,posterior insular cortex,0.2,1.1466321243523316,-2.519330697937404,Low
SLC13A2,posterior insular cortex,0.0,0.0051813471502590676,-25.626823939449558,Low
CD79B,posterior insular cortex,0.0,0.04455958549222798,-28.731160574657956,Low
TKTL1,posterior insular cortex,0.0,0.15595854922279795,-30.538515494402933,Low
TFAP2B,posterior insular cortex,0.0,0.8544041450777202,-32.9922715003245,Low
TFAP2D,posterior insular cortex,0.0,0.15492227979274611,-30.528897491847523,Low
SYPL1,posterior insular cortex,11.1,30.810880829015545,-1.4728802505026857,Low
CD9,posterior insular cortex,19.8,65.31554404145078,-1.7219259403725289,Low
HHATL,posterior insular cortex,39.3,100.72227979274612,-1.3577816255396926,Low
BTK,posterior insular cortex,0.5,1.2849740932642486,-1.36173927294253,Low
FMO1,posterior insular cortex,0.0,0.0005181347150259067,-22.3048960951583,Low
MRC2,posterior insular cortex,2.6,5.595336787564768,-1.105713347440386,Low
ANLN,posterior insular cortex,24.3,95.27927461139898,-1.9712061157548653,Low
TYROBP,posterior insular cortex,15.9,34.91502590673576,-1.134821277678878,Low
CD22,posterior insular cortex,16.8,46.670466321243524,-1.4740486494625364,Low
SEMA3B,posterior insular cortex,23.5,78.03471502590673,-1.7314553165893096,Low
LTF,posterior insular cortex,0.5,6.5595854922279795,-3.7136046518937156,Low
ALOX5,posterior insular cortex,1.3,2.90880829015544,-1.1619165930419726,Low
CLDN11,posterior insular cortex,6.7,46.5160621761658,-2.7954959697257964,Low
ISL1,posterior insular cortex,0.0,0.5512953367875648,-32.36017825248106,Low
IL20RA,posterior insular cortex,0.9,2.116580310880829,-1.233738324230515,Low
CLCA4,posterior insular cortex,2.0,4.458549222797927,-1.1565743447323462,Low
SLC11A1,posterior insular cortex,3.2,6.488082901554405,-1.0197203485900628,Low
PHLDB1,posterior insular cortex,33.5,71.87823834196891,-1.1013939548103417,Low
CD74,posterior insular cortex,188.3,415.8253886010363,-1.142944846003725,Low
PLEKHB1,posterior insular cortex,291.9,589.3922279792746,-1.0137538256484842,Low
CPS1,posterior insular cortex,1.8,4.333678756476684,-1.267595307832327,Low
DEF6,posterior insular cortex,0.3,0.8155440414507772,-1.4428002872142511,Low
CD44,posterior insular cortex,15.0,95.5119170984456,-2.6707182498663347,Low
INSRR,posterior insular cortex,0.2,1.878756476683938,-3.23170617183152,Low
VRK2,posterior insular cortex,9.0,20.188082901554406,-1.165507009566749,Low
IBSP,posterior insular cortex,0.0,0.161139896373057,-30.58566658774409,Low
MUSK,posterior insular cortex,0.8,2.27720207253886,-1.509190412645703,Low
MYOC,posterior insular cortex,0.0,0.05233160621761658,-28.96310730222681,Low
DEPDC1B,posterior insular cortex,0.3,0.6818652849740933,-1.1845242354766872,Low
SLC18A1,posterior insular cortex,0.0,0.10880829015544041,-30.01914133571021,Low
HOXC8,posterior insular cortex,0.0,0.07927461139896373,-29.5622836612307,Low
TNC,posterior insular cortex,2.7,27.999481865284974,-3.37436881768678,Low
OFD1,posterior insular cortex,0.1,0.2787564766839378,-1.4790053243633956,Low
MAGEC2,posterior insular cortex,0.0,0.0005181347150259067,-22.3048960951583,Low
CP,posterior insular cortex,3.7,9.649222797927461,-1.3828874736118684,Low
COL9A2,posterior insular cortex,11.9,33.295336787564764,-1.48435855977496,Low
UTS2,posterior insular cortex,0.4,2.8958549222797925,-2.855917422083859,Low
ELN,posterior insular cortex,24.3,86.29222797927461,-1.8282743132318964,Low
CYBA,posterior insular cortex,30.2,61.65440414507771,-1.0296554044641542,Low
PLEKHH1,posterior insular cortex,20.7,66.16321243523316,-1.6763985159313521,Low
MCOLN3,posterior insular cortex,0.1,0.2948186528497409,-1.5598278040851565,Low
ITIH1,posterior insular cortex,0.0,0.0383419689119171,-28.514349186109836,Low
GYG2,posterior insular cortex,4.9,14.601036269430052,-1.5752171097941483,Low
TMCC3,posterior insular cortex,9.4,24.821243523316063,-1.400842733168271,Low
TBXAS1,posterior insular cortex,4.2,8.40259067357513,-1.000444878040213,Low
GSC2,posterior insular cortex,0.0,0.02072538860103627,-27.626823918566547,Low
NGFR,posterior insular cortex,2.2,13.49740932642487,-2.6171070960929668,Low
BORCS8-MEF2B,posterior insular cortex,0.0,0.03212435233160622,-28.259092131596027,Low
SLC12A2,posterior insular cortex,22.3,46.41917098445596,-1.0576770471889003,Low
BCAS1,posterior insular cortex,120.4,302.70725388601034,-1.3300878553167863,Low
CHI3L2,posterior insular cortex,5.9,15.019170984455958,-1.348018322782714,Low
NTN1,posterior insular cortex,4.1,9.452331606217616,-1.2050463330031222,Low
ERBB3,posterior insular cortex,8.1,22.238341968911918,-1.4570554154798554,Low
PACC1,posterior insular cortex,6.1,14.210362694300517,-1.2200622294807262,Low
PRKCQ,posterior insular cortex,2.8,6.071502590673575,-1.1166267752545003,Low
FAM107B,posterior insular cortex,28.2,85.30155440414508,-1.5968768686079748,Low
DIP2B,posterior insular cortex,21.1,42.27823834196891,-1.0026722645336448,Low
ELOVL1,posterior insular cortex,13.7,53.09585492227979,-1.954423344173083,Low
FGFR2,posterior insular cortex,37.5,98.93367875647668,-1.3995711276371883,Low
STAG3,posterior insular cortex,0.3,0.6088082901554405,-1.0210255032191975,Low
TTC7A,posterior insular cortex,2.0,4.314507772020725,-1.1091959764288897,Low
