Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
TSPAN6,precentral gyrus,1.5,4.400518134715026,-1.5527109016869092,Low
TNMD,precentral gyrus,0.0,0.23160621761658032,-31.109026838524407,Low
DPM1,precentral gyrus,2.4,7.684974093264249,-1.679005990594955,Low
C1orf112,precentral gyrus,0.7,1.570984455958549,-1.1662420787311416,Low
GCLC,precentral gyrus,10.0,22.676683937823835,-1.181209687175421,Low
ENPP4,precentral gyrus,6.0,21.013471502590672,-1.8082801143633567,Low
CYP51A1,precentral gyrus,16.5,52.538860103626945,-1.6709188752581716,Low
KRIT1,precentral gyrus,0.6,1.2792746113989637,-1.0922915830258706,Low
CD99,precentral gyrus,49.1,111.22124352331606,-1.1796374429273098,Low
TMEM176A,precentral gyrus,7.9,22.318652849740932,-1.4983253905426914,Low
KLHL13,precentral gyrus,0.8,6.045595854922279,-2.917812633473624,Low
CYP26B1,precentral gyrus,5.5,13.907772020725387,-1.338387799630057,Low
MTMR7,precentral gyrus,5.9,16.96165803108808,-1.5234903430994597,Low
CD38,precentral gyrus,1.8,4.446632124352332,-1.304716146990288,Low
FKBP4,precentral gyrus,46.6,104.51450777202072,-1.1653013582740028,Low
NDUFAB1,precentral gyrus,16.4,45.40414507772021,-1.469128196545914,Low
PDK4,precentral gyrus,13.0,42.192746113989635,-1.6984833651279196,Low
ZMYND10,precentral gyrus,1.0,2.7300518134715026,-1.4489283321266102,Low
SLC25A13,precentral gyrus,4.6,9.719689119170985,-1.0792763092906772,Low
CDC27,precentral gyrus,7.6,23.976683937823836,-1.6575608189206672,Low
CALCR,precentral gyrus,0.0,0.6927461139896373,-32.68967956701979,Low
HCCS,precentral gyrus,3.0,6.896373056994818,-1.200875317895485,Low
PRSS22,precentral gyrus,0.0,0.0025906735751295338,-24.62682396729357,Low
SKAP2,precentral gyrus,3.4,11.908808290155442,-1.8084223989837864,Low
SLC25A5,precentral gyrus,25.0,61.59585492227979,-1.3009051734923627,Low
MCUB,precentral gyrus,0.9,2.0409326424870464,-1.1812316628140387,Low
RPAP3,precentral gyrus,4.2,10.560103626943004,-1.3301627589958127,Low
GCFC2,precentral gyrus,6.6,14.551295336787565,-1.1406096560313066,Low
