Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
SCYL3,precentral gyrus,2.9,4.762694300518135,-0.7157250502310043,Normal
FGR,precentral gyrus,4.6,5.487564766839378,-0.2545322009441753,Normal
CFH,precentral gyrus,4.4,3.8818652849740936,0.18075347165795594,Normal
FUCA2,precentral gyrus,9.5,18.162694300518137,-0.9349788130121766,Normal
NFYA,precentral gyrus,17.9,20.393264248704664,-0.1881331313902285,Normal
STPG1,precentral gyrus,3.8,5.942487046632125,-0.6450674348304511,Normal
NIPAL3,precentral gyrus,39.9,63.58549222797927,-0.6723088888985227,Normal
LAS1L,precentral gyrus,5.6,8.107772020725388,-0.5338786956185808,Normal
SEMA3F,precentral gyrus,9.3,9.034715025906737,0.04175162007721547,Normal
CFTR,precentral gyrus,0.8,0.9606217616580311,-0.26396849132729694,Normal
ANKIB1,precentral gyrus,54.3,92.06269430051813,-0.7616644669633612,Normal
RAD52,precentral gyrus,12.9,12.552331606217615,0.039415694755513576,Normal
BAD,precentral gyrus,36.5,44.86839378238342,-0.2978030747419035,Normal
LAP3,precentral gyrus,13.6,23.438341968911917,-0.7852638654715277,Normal
HS3ST1,precentral gyrus,4.8,8.067357512953368,-0.7490617859649898,Normal
AOC1,precentral gyrus,0.5,0.9020725388601036,-0.8513153553670506,Normal
WNT16,precentral gyrus,0.3,0.45906735751295336,-0.61374335039915,Normal
HECW1,precentral gyrus,23.9,21.23264248704663,0.17072668663603086,Normal
MAD1L1,precentral gyrus,19.5,13.16839378238342,0.5663947406783268,Normal
LASP1,precentral gyrus,45.1,52.163730569948186,-0.2099196163468282,Normal
SNX11,precentral gyrus,6.9,11.129533678756477,-0.6897248788185797,Normal
M6PR,precentral gyrus,23.6,45.06528497409327,-0.933229654134558,Normal
ICA1,precentral gyrus,11.9,16.170466321243524,-0.4423997100769434,Normal
DBNDD1,precentral gyrus,47.1,37.79481865284974,0.3175385930153443,Normal
ALS2,precentral gyrus,7.1,9.649740932642487,-0.44267118613015244,Normal
CASP10,precentral gyrus,7.6,7.541450777202073,0.011157331701390404,Normal
CFLAR,precentral gyrus,50.3,62.12176165803109,-0.3045403424316032,Normal
TFPI,precentral gyrus,10.4,8.954922279792745,0.21583071220654826,Normal
NDUFAF7,precentral gyrus,5.4,7.664766839378238,-0.505282498782832,Normal
RBM5,precentral gyrus,31.2,43.61139896373057,-0.4831592407543216,Normal
SLC7A2,precentral gyrus,9.0,14.484455958549223,-0.6865085909127996,Normal
ARF5,precentral gyrus,42.5,62.829533678756476,-0.5639800311795145,Normal
SARM1,precentral gyrus,8.2,7.946632124352332,0.0452803508377765,Normal
POLDIP2,precentral gyrus,31.5,36.29637305699482,-0.20447356439814557,Normal
PLXND1,precentral gyrus,26.2,28.462176165803108,-0.11947916013592508,Normal
AK2,precentral gyrus,17.2,24.96839378238342,-0.5376944507004253,Normal
KDM1A,precentral gyrus,4.1,7.800518134715026,-0.9279460457091832,Normal
RBM6,precentral gyrus,30.5,26.12642487046632,0.22329952232333516,Normal
CAMKK1,precentral gyrus,46.0,28.18860103626943,0.7065219805675256,Normal
RECQL,precentral gyrus,4.1,7.605181347150259,-0.8913587399799582,Normal
VPS50,precentral gyrus,5.2,7.686528497409326,-0.5638205509494817,Normal
