Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
TSPAN6,"premotor cortex, ventral",2.8,4.400518134715026,-0.6522465752824784,Normal
DPM1,"premotor cortex, ventral",6.3,7.684974093264249,-0.28668856785340696,Normal
SCYL3,"premotor cortex, ventral",4.5,4.762694300518135,-0.0818529490465897,Normal
C1orf112,"premotor cortex, ventral",1.3,1.570984455958549,-0.2731572827427761,Normal
FGR,"premotor cortex, ventral",3.0,5.487564766839378,-0.8712035613759427,Normal
CFH,"premotor cortex, ventral",3.1,3.8818652849740936,-0.3244818365787162,Normal
FUCA2,"premotor cortex, ventral",12.7,18.162694300518137,-0.5161497345747851,Normal
GCLC,"premotor cortex, ventral",17.7,22.676683937823835,-0.3574603268734247,Normal
NFYA,"premotor cortex, ventral",17.8,20.393264248704664,-0.1962154776880416,Normal
STPG1,"premotor cortex, ventral",6.2,5.942487046632125,0.06120136209814232,Normal
NIPAL3,"premotor cortex, ventral",49.0,63.58549222797927,-0.37591588611896937,Normal
LAS1L,"premotor cortex, ventral",5.6,8.107772020725388,-0.5338786956185808,Normal
ENPP4,"premotor cortex, ventral",14.7,21.013471502590672,-0.5154983651497416,Normal
CFTR,"premotor cortex, ventral",0.7,0.9606217616580311,-0.45661356924393065,Normal
ANKIB1,"premotor cortex, ventral",93.5,92.06269430051813,0.022349700006162206,Normal
CYP51A1,"premotor cortex, ventral",31.7,52.538860103626945,-0.7289020593687726,Normal
KRIT1,"premotor cortex, ventral",1.0,1.2792746113989637,-0.35532598895584394,Normal
RAD52,"premotor cortex, ventral",11.6,12.552331606217615,-0.11383056553891534,Normal
BAD,"premotor cortex, ventral",40.9,44.86839378238342,-0.1335986955679594,Normal
LAP3,"premotor cortex, ventral",15.5,23.438341968911917,-0.5966023014489297,Normal
HS3ST1,"premotor cortex, ventral",6.4,8.067357512953368,-0.3340242866936598,Normal
AOC1,"premotor cortex, ventral",0.8,0.9020725388601036,-0.17324345036261493,Normal
WNT16,"premotor cortex, ventral",0.4,0.45906735751295336,-0.19870585124053047,Normal
HECW1,"premotor cortex, ventral",33.3,21.23264248704663,0.6492382457248407,Normal
MAD1L1,"premotor cortex, ventral",12.7,13.16839378238342,-0.052250886295156576,Normal
LASP1,"premotor cortex, ventral",50.0,52.163730569948186,-0.061118954940435684,Normal
SNX11,"premotor cortex, ventral",8.5,11.129533678756477,-0.38885839946298284,Normal
M6PR,"premotor cortex, ventral",35.9,45.06528497409327,-0.3280326696754424,Normal
CYP26B1,"premotor cortex, ventral",10.2,13.907772020725387,-0.44732217119530804,Normal
ICA1,"premotor cortex, ventral",20.1,16.170466321243524,0.31383421778909565,Normal
DBNDD1,"premotor cortex, ventral",41.7,37.79481865284974,0.14185891684762156,Normal
ALS2,"premotor cortex, ventral",10.4,9.649740932642487,0.10802141249981029,Normal
CASP10,"premotor cortex, ventral",6.9,7.541450777202073,-0.12824572496210024,Normal
CFLAR,"premotor cortex, ventral",47.3,62.12176165803109,-0.39325855889755323,Normal
TFPI,"premotor cortex, ventral",9.2,8.954922279792745,0.03895295012427814,Normal
NDUFAF7,"premotor cortex, ventral",7.7,7.664766839378238,0.0066165397406205044,Normal
RBM5,"premotor cortex, ventral",41.1,43.61139896373057,-0.08556687593600078,Normal
MTMR7,"premotor cortex, ventral",15.1,16.96165803108808,-0.16772865315112037,Normal
SLC7A2,"premotor cortex, ventral",8.3,14.484455958549223,-0.8033222558941976,Normal
ARF5,"premotor cortex, ventral",66.9,62.829533678756476,0.09056333843564446,Normal
SARM1,"premotor cortex, ventral",8.2,7.946632124352332,0.0452803508377765,Normal
POLDIP2,"premotor cortex, ventral",34.7,36.29637305699482,-0.06488973020758554,Normal
PLXND1,"premotor cortex, ventral",20.5,28.462176165803108,-0.4734220621663982,Normal
AK2,"premotor cortex, ventral",17.5,24.96839378238342,-0.5127480935703383,Normal
CD38,"premotor cortex, ventral",2.5,4.446632124352332,-0.8307849586803174,Normal
