Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
TSPAN6,putamen,3.3,4.400518134715026,-0.41520737798943597,Normal
DPM1,putamen,6.9,7.684974093264249,-0.15544403457714565,Normal
SCYL3,putamen,4.3,4.762694300518135,-0.1474412906726755,Normal
C1orf112,putamen,1.6,1.570984455958549,0.026402999095323478,Normal
FGR,putamen,3.9,5.487564766839378,-0.49269193813331047,Normal
CFH,putamen,4.3,3.8818652849740936,0.14758660772351892,Normal
FUCA2,putamen,15.3,18.162694300518137,-0.2474465786562293,Normal
GCLC,putamen,25.9,22.676683937823835,0.19174241072755105,Normal
NFYA,putamen,18.7,20.393264248704664,-0.12505444876719296,Normal
STPG1,putamen,3.9,5.942487046632125,-0.6075927294127618,Normal
NIPAL3,putamen,53.4,63.58549222797927,-0.25185789343422865,Normal
LAS1L,putamen,6.4,8.107772020725388,-0.34123361767940513,Normal
ENPP4,putamen,14.2,21.013471502590672,-0.5654235904810785,Normal
ANKIB1,putamen,77.1,92.06269430051813,-0.2558858048534743,Normal
KRIT1,putamen,1.2,1.2792746113989637,-0.09229158314609513,Normal
RAD52,putamen,12.9,12.552331606217615,0.039415694755513576,Normal
BAD,putamen,39.0,44.86839378238342,-0.20222541475992561,Normal
LAP3,putamen,18.9,23.438341968911917,-0.3104842825037693,Normal
CD99,putamen,55.7,111.22124352331606,-0.9976831399023192,Normal
AOC1,putamen,0.8,0.9020725388601036,-0.17324345036261493,Normal
HECW1,putamen,15.6,21.23264248704663,-0.44473790247925754,Normal
MAD1L1,putamen,15.8,13.16839378238342,0.26284517510755184,Normal
LASP1,putamen,45.0,52.163730569948186,-0.21312204838516505,Normal
SNX11,putamen,11.5,11.129533678756477,0.047240715339263085,Normal
TMEM176A,putamen,14.4,22.318652849740932,-0.6321811372857252,Normal
M6PR,putamen,40.1,45.06528497409327,-0.16841427704399412,Normal
ICA1,putamen,21.4,16.170466321243524,0.4042495130108778,Normal
DBNDD1,putamen,19.9,37.79481865284974,-0.9254200360496035,Normal
ALS2,putamen,7.8,9.649740932642487,-0.30701608677440967,Normal
CASP10,putamen,7.6,7.541450777202073,0.011157331701390404,Normal
CFLAR,putamen,62.7,62.12176165803109,0.013366700564341494,Normal
TFPI,putamen,9.2,8.954922279792745,0.03895295012427814,Normal
NDUFAF7,putamen,7.0,7.664766839378238,-0.1308869840074408,Normal
RBM5,putamen,37.5,43.61139896373057,-0.2178146742341034,Normal
MTMR7,putamen,15.6,16.96165803108808,-0.12073117361425718,Normal
SLC7A2,putamen,10.7,14.484455958549223,-0.4368947008438742,Normal
ARF5,putamen,65.1,62.829533678756476,0.0512146709598783,Normal
SARM1,putamen,8.7,7.946632124352332,0.13067184206740975,Normal
POLDIP2,putamen,33.5,36.29637305699482,-0.11566429744056282,Normal
PLXND1,putamen,18.7,28.462176165803108,-0.6060077017835305,Normal
AK2,putamen,17.8,24.96839378238342,-0.4882257744364082,Normal
CD38,putamen,6.3,4.446632124352332,0.5026387750100663,Normal
FKBP4,putamen,87.2,104.51450777202072,-0.2613031781527982,Normal
KDM1A,putamen,6.8,7.800518134715026,-0.19803520909089883,Normal
RBM6,putamen,22.1,26.12642487046632,-0.24146335073368386,Normal
CAMKK1,putamen,47.4,28.18860103626943,0.7497751785213167,Normal
RECQL,putamen,6.6,7.605181347150259,-0.20451662525291708,Normal
VPS50,putamen,8.0,7.686528497409326,0.05766782578707811,Normal
HSPB6,putamen,21.9,31.811917098445594,-0.5386364465657624,Normal
ARHGAP33,putamen,22.9,20.03886010362694,0.19254715414036458,Normal
NDUFAB1,putamen,39.9,45.40414507772021,-0.18643526494683277,Normal
PDK4,putamen,36.0,42.192746113989635,-0.22899808183378936,Normal
SLC22A16,putamen,0.1,0.11606217616580312,-0.21489788458986508,Normal
ZMYND10,putamen,2.6,2.7300518134715026,-0.07041670896166163,Normal
ABCB5,putamen,0.9,0.8435233160621762,0.09349705443341307,Normal
ARX,putamen,12.2,8.053367875647668,0.5992170058536412,Normal
SLC25A13,putamen,6.9,9.719689119170985,-0.4943138085799752,Normal
ST7,putamen,20.3,25.44715025906736,-0.32602437536026085,Normal
CDC27,putamen,20.6,23.976683937823836,-0.2189878051930136,Normal
SLC4A1,putamen,0.9,0.9766839378238342,-0.11796676943304796,Normal
HCCS,putamen,5.7,6.896373056994818,-0.27487589936204104,Normal
DVL2,putamen,11.8,12.344559585492227,-0.06508850705420548,Normal
UPF1,putamen,18.4,21.89326424870466,-0.25078130766544815,Normal
SLC25A5,putamen,51.9,61.59585492227979,-0.2470987297995598,Normal
MCUB,putamen,1.4,2.0409326424870464,-0.5438017422559968,Normal
POLR2J,putamen,20.4,23.896891191709848,-0.2282537942915949,Normal
DHX33,putamen,7.8,6.769430051813472,0.20443975192012975,Normal
MEOX1,putamen,0.4,0.2601036269430052,0.6209134831233206,Normal
THSD7A,putamen,4.5,6.089119170984456,-0.4363085469501578,Normal
LIG3,putamen,8.9,8.474093264248705,0.07074632926352295,Normal
RPAP3,putamen,8.9,10.560103626943004,-0.24674675082631503,Normal
ACSM3,putamen,8.7,8.994818652849741,-0.04807879421448948,Normal
REXO5,putamen,3.0,3.5507772020725388,-0.24317233877724068,Normal
CIAPIN1,putamen,14.0,18.45181347150259,-0.39833578628221816,Normal
SPPL2B,putamen,16.5,20.760621761658033,-0.3313836272685813,Normal
ATOSB,putamen,14.0,18.606735751295336,-0.4103981530775419,Normal
COPZ2,putamen,5.0,6.445077720207254,-0.36626966103700775,Normal
MSL3,putamen,8.4,9.8,-0.22239242133399445,Normal
CREBBP,putamen,47.0,49.83523316062177,-0.08450532151478082,Normal
TSPOAP1,putamen,43.6,32.66321243523316,0.4166614477001601,Normal
MPO,putamen,0.1,0.14715025906735751,-0.5572900817743297,Normal
PON1,putamen,0.8,0.6880829015544042,0.21741760589182382,Normal
GCFC2,putamen,14.3,14.551295336787565,-0.02513243862314069,Normal
WDR54,putamen,5.8,4.3818652849740936,0.40450776909602426,Normal
CROT,putamen,6.4,5.605181347150259,0.19131085511138643,Normal
ABCB4,putamen,0.3,0.5777202072538861,-0.9454084565872545,Normal
KMT2E,putamen,20.5,23.47461139896373,-0.19547736582887354,Normal
RHBDD2,putamen,141.7,136.90362694300518,0.04967909030599899,Normal
SOX8,putamen,46.7,50.478756476683934,-0.11225382062660351,Normal
IBTK,putamen,4.3,4.437305699481866,-0.045347288414293106,Normal
ZNF195,putamen,8.4,9.22901554404145,-0.13578743639451993,Normal
MYCBP2,putamen,31.0,31.990155440414508,-0.045359787037404065,Normal
FBXL3,putamen,22.7,25.15854922279793,-0.1483564335469189,Normal
PDK2,putamen,34.2,29.965284974093265,0.1907042309033463,Normal
ITGA3,putamen,6.2,8.67979274611399,-0.48539237926920464,Normal
ZFX,putamen,30.3,30.555958549222797,-0.012135945795650369,Normal
LAMP2,putamen,100.8,121.9476683937824,-0.2747665356233282,Normal
ITGA2B,putamen,0.7,1.1580310880829014,-0.7262471566634779,Normal
ASB4,putamen,6.2,5.805699481865285,0.09479831925561966,Normal
GDE1,putamen,28.3,25.78704663212435,0.13415550106843177,Normal
REX1BD,putamen,25.4,33.72487046632124,-0.40898440494549715,Normal
CRLF1,putamen,10.6,13.183419689119171,-0.31466037934930496,Normal
OSBPL7,putamen,4.1,5.326943005181347,-0.3776839353460618,Normal
TMEM98,putamen,34.7,48.09585492227979,-0.4709768997819656,Normal
YBX2,putamen,0.4,0.7316062176165803,-0.8710673358396215,Normal
MAP3K14,putamen,9.8,6.509844559585493,0.5901586537238838,Normal
ABCC8,putamen,3.2,4.313471502590674,-0.43077751956626853,Normal
CACNG3,putamen,20.5,14.792227979274612,0.4707845447438419,Normal
TMEM132A,putamen,65.5,80.20518134715026,-0.2922005328025647,Normal
AP2B1,putamen,89.8,99.7056994818653,-0.15096053086253994,Normal
ZNF263,putamen,11.5,12.848186528497408,-0.1599308818299599,Normal
CX3CL1,putamen,44.4,32.534715025906735,0.44857975946531176,Normal
SPATA20,putamen,11.8,16.424870466321245,-0.4770951332807675,Normal
MAP3K9,putamen,10.7,21.096891191709844,-0.9794196244442609,Normal
