Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
TNMD,ventral tegmental area,0.6,0.23160621761658032,1.3732885164234594,High
KLHL13,ventral tegmental area,22.5,6.045595854922279,1.8959685575694882,High
CALCR,ventral tegmental area,4.6,0.6927461139896373,2.731235243054846,High
PRKAR2B,ventral tegmental area,10.0,3.217098445595855,1.6361680106537195,High
MPO,ventral tegmental area,0.4,0.14715025906735751,1.442709917143649,High
TAC1,ventral tegmental area,59.8,14.263730569948187,2.0677941273966916,High
AGK,ventral tegmental area,12.5,6.069948186528498,1.0421719881674432,High
CEACAM21,ventral tegmental area,4.4,1.1466321243523316,1.9401009200113344,High
CD79B,ventral tegmental area,0.1,0.04455958549222798,1.1661922807710012,High
CACNA2D2,ventral tegmental area,26.3,11.62901554404145,1.1773338290833817,High
TENM1,ventral tegmental area,12.7,6.039896373056995,1.072232794533724,High
PAX7,ventral tegmental area,4.2,1.0088082901554403,2.057737291217886,High
CD6,ventral tegmental area,3.7,1.2854922279792746,1.5252043829313622,High
MATR3,ventral tegmental area,173.5,86.07538860103627,1.011262968603868,High
MARCO,ventral tegmental area,1.6,0.782901554404145,1.0311690920091445,High
CPS1,ventral tegmental area,8.9,4.333678756476684,1.0382131216278185,High
ANK1,ventral tegmental area,50.5,16.292746113989637,1.632053599763074,High
MYOC,ventral tegmental area,0.2,0.05233160621761658,1.9342455524808002,High
SLC18A1,ventral tegmental area,3.6,0.10880829015544041,5.048136519758439,High
RAB27B,ventral tegmental area,24.3,10.964248704663213,1.1481493551813287,High
CLPTM1L,ventral tegmental area,29.3,13.632124352331607,1.1038902636314174,High
ITIH1,ventral tegmental area,0.1,0.0383419689119171,1.383003669319121,High
BCAT1,ventral tegmental area,55.3,21.49481865284974,1.3632905417903058,High
GSC2,ventral tegmental area,1.4,0.02072538860103627,6.077883857580368,High
NTN1,ventral tegmental area,46.2,9.452331606217616,2.289150703762787,High
ISOC1,ventral tegmental area,19.6,9.237823834196892,1.0852287150432334,High
REEP1,ventral tegmental area,81.3,32.22694300518135,1.3349880090889643,High
CLTCL1,ventral tegmental area,9.8,4.880829015544041,1.0056555368683062,High
SLC6A15,ventral tegmental area,33.6,15.9419689119171,1.0756314127021875,High
TRPC5,ventral tegmental area,9.0,3.6476683937823835,1.3029504200495743,High
ABCB11,ventral tegmental area,0.5,0.2290155440414508,1.1264825724225949,High
ATP2A3,ventral tegmental area,15.8,3.3854922279792743,2.2224870459736374,High
SLC12A1,ventral tegmental area,2.1,0.8844559585492228,1.2475271169246858,High
UBE2T,ventral tegmental area,5.6,2.4139896373056993,1.2140073441832258,High
