Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
PRSS22,amygdala,0.0,0.0025906735751295338,-24.62682396729357,Low
MEOX1,amygdala,0.1,0.2601036269430052,-1.3790865157946584,Low
ITGAL,amygdala,0.2,0.4393782383419689,-1.13546341690212,Low
CACNG3,amygdala,5.8,14.792227979274612,-1.3507145596161954,Low
TAC1,amygdala,2.1,14.263730569948187,-2.7638901239563656,Low
MYH13,amygdala,0.0,0.009326424870466322,-26.47482083362939,Low
PRSS21,amygdala,0.0,0.007772020725388601,-26.211786430889376,Low
CEACAM21,amygdala,0.4,1.1466321243523316,-1.5193306982980777,Low
NOS2,amygdala,0.1,0.39896373056994816,-1.9962575972330987,Low
SLC13A2,amygdala,0.0,0.0051813471502590676,-25.626823939449558,Low
CD79B,amygdala,0.0,0.04455958549222798,-28.731160574657956,Low
SCN4A,amygdala,0.0,0.06528497409326425,-29.28217574242794,Low
TKTL1,amygdala,0.0,0.15595854922279795,-30.538515494402933,Low
CACNA2D2,amygdala,4.4,11.62901554404145,-1.4021535415443203,Low
TFAP2B,amygdala,0.0,0.8544041450777202,-32.9922715003245,Low
PAX7,amygdala,0.3,1.0088082901554403,-1.7496176303931692,Low
PRSS3,amygdala,3.3,8.520725388601036,-1.3685102310694444,Low
FMO1,amygdala,0.0,0.0005181347150259067,-22.3048960951583,Low
SLC7A14,amygdala,6.9,19.301554404145076,-1.4840487691215958,Low
CD6,amygdala,0.4,1.2854922279792746,-1.6842489823759057,Low
DPEP1,amygdala,0.1,0.22487046632124352,-1.169094194375271,Low
ISL1,amygdala,0.1,0.5512953367875648,-2.4628253970521063,Low
SLAMF7,amygdala,0.0,0.1616580310880829,-30.590298036472866,Low
INSRR,amygdala,0.2,1.878756476683938,-3.23170617183152,Low
ANK1,amygdala,2.6,16.292746113989637,-2.647646259682359,Low
IBSP,amygdala,0.0,0.161139896373057,-30.58566658774409,Low
MYOC,amygdala,0.0,0.05233160621761658,-28.96310730222681,Low
MYOM2,amygdala,0.6,1.305699481865285,-1.1217884802680853,Low
SLC18A1,amygdala,0.0,0.10880829015544041,-30.01914133571021,Low
