Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
SEMA3F,"anterior cingulate cortex, supragenual-dorsal",4.2,9.034715025906737,-1.1050897682332184,Low
CD99,"anterior cingulate cortex, supragenual-dorsal",50.0,111.22124352331606,-1.1534323725799687,Low
KLHL13,"anterior cingulate cortex, supragenual-dorsal",2.0,6.045595854922279,-1.5958845386944636,Low
PDK4,"anterior cingulate cortex, supragenual-dorsal",19.9,42.192746113989635,-1.0842265576165733,Low
SLC22A16,"anterior cingulate cortex, supragenual-dorsal",0.0,0.11606217616580312,-30.112250740018823,Low
ZMYND10,"anterior cingulate cortex, supragenual-dorsal",0.7,2.7300518134715026,-1.9635015048945388,Low
SLC25A13,"anterior cingulate cortex, supragenual-dorsal",4.5,9.719689119170985,-1.1109851690173185,Low
CALCR,"anterior cingulate cortex, supragenual-dorsal",0.0,0.6927461139896373,-32.68967956701979,Low
PRSS22,"anterior cingulate cortex, supragenual-dorsal",0.0,0.0025906735751295338,-24.62682396729357,Low
SOX8,"anterior cingulate cortex, supragenual-dorsal",24.6,50.478756476683934,-1.0370180549942503,Low
ITGAL,"anterior cingulate cortex, supragenual-dorsal",0.0,0.4393782383419689,-32.03281627160973,Low
LAMP2,"anterior cingulate cortex, supragenual-dorsal",60.2,121.9476683937824,-1.0184267823625772,Low
TMEM98,"anterior cingulate cortex, supragenual-dorsal",18.5,48.09585492227979,-1.378387291840274,Low
TAC1,"anterior cingulate cortex, supragenual-dorsal",3.0,14.263730569948187,-2.2493169511472173,Low
ALDH3B1,"anterior cingulate cortex, supragenual-dorsal",1.6,3.4678756476683934,-1.1159802616486494,Low
CCL26,"anterior cingulate cortex, supragenual-dorsal",0.0,0.19896373056994818,-30.889858318164443,Low
USH1C,"anterior cingulate cortex, supragenual-dorsal",2.0,4.6585492227979275,-1.219880737038122,Low
MYH13,"anterior cingulate cortex, supragenual-dorsal",0.0,0.009326424870466322,-26.47482083362939,Low
ADIPOR2,"anterior cingulate cortex, supragenual-dorsal",12.5,27.0020725388601,-1.1111420504115286,Low
PRSS21,"anterior cingulate cortex, supragenual-dorsal",0.0,0.007772020725388601,-26.211786430889376,Low
CEACAM21,"anterior cingulate cortex, supragenual-dorsal",0.2,1.1466321243523316,-2.519330697937404,Low
DNAH9,"anterior cingulate cortex, supragenual-dorsal",4.0,8.067357512953368,-1.0120961917927724,Low
SLC13A2,"anterior cingulate cortex, supragenual-dorsal",0.0,0.0051813471502590676,-25.626823939449558,Low
CD79B,"anterior cingulate cortex, supragenual-dorsal",0.0,0.04455958549222798,-28.731160574657956,Low
SELE,"anterior cingulate cortex, supragenual-dorsal",0.7,1.7186528497409326,-1.2958513373401817,Low
