Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
SEMA3F,"anterior cingulate cortex, supragenual-ventral",3.5,9.034715025906737,-1.3681241740601424,Low
CYP51A1,"anterior cingulate cortex, supragenual-ventral",25.7,52.538860103626945,-1.0316165403132393,Low
CD99,"anterior cingulate cortex, supragenual-ventral",46.9,111.22124352331606,-1.2457725447264885,Low
HS3ST1,"anterior cingulate cortex, supragenual-ventral",3.6,8.067357512953368,-1.1640992852338148,Low
KLHL13,"anterior cingulate cortex, supragenual-ventral",2.0,6.045595854922279,-1.5958845386944636,Low
HSPB6,"anterior cingulate cortex, supragenual-ventral",15.1,31.811917098445594,-1.07501876683889,Low
ZMYND10,"anterior cingulate cortex, supragenual-ventral",1.0,2.7300518134715026,-1.4489283321266102,Low
CALCR,"anterior cingulate cortex, supragenual-ventral",0.0,0.6927461139896373,-32.68967956701979,Low
PRSS22,"anterior cingulate cortex, supragenual-ventral",0.0,0.0025906735751295338,-24.62682396729357,Low
SKAP2,"anterior cingulate cortex, supragenual-ventral",5.2,11.908808290155442,-1.1954455221077216,Low
ITGAL,"anterior cingulate cortex, supragenual-ventral",0.1,0.4393782383419689,-2.1354634161807726,Low
TAC1,"anterior cingulate cortex, supragenual-ventral",1.7,14.263730569948187,-3.068744705468622,Low
TNFRSF12A,"anterior cingulate cortex, supragenual-ventral",1.6,5.321243523316062,-1.7336915238744206,Low
ALDH3B1,"anterior cingulate cortex, supragenual-ventral",1.5,3.4678756476683934,-1.2090896660341197,Low
CCL26,"anterior cingulate cortex, supragenual-ventral",0.0,0.19896373056994818,-30.889858318164443,Low
SCIN,"anterior cingulate cortex, supragenual-ventral",4.8,9.676165803108809,-1.011401084559579,Low
MYH13,"anterior cingulate cortex, supragenual-ventral",0.0,0.009326424870466322,-26.47482083362939,Low
PRSS21,"anterior cingulate cortex, supragenual-ventral",0.0,0.007772020725388601,-26.211786430889376,Low
CEACAM21,"anterior cingulate cortex, supragenual-ventral",0.3,1.1466321243523316,-1.9343681974566969,Low
DNAH9,"anterior cingulate cortex, supragenual-ventral",3.2,8.067357512953368,-1.3340242866711176,Low
SLC13A2,"anterior cingulate cortex, supragenual-ventral",0.0,0.0051813471502590676,-25.626823939449558,Low
CD79B,"anterior cingulate cortex, supragenual-ventral",0.0,0.04455958549222798,-28.731160574657956,Low
