Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
CFTR,"anterior insular cortex, dorsal",0.4,0.9606217616580311,-1.26396849114696,Low
ZMYND10,"anterior insular cortex, dorsal",1.0,2.7300518134715026,-1.4489283321266102,Low
SLC25A13,"anterior insular cortex, dorsal",4.5,9.719689119170985,-1.1109851690173185,Low
CALCR,"anterior insular cortex, dorsal",0.1,0.6927461139896373,-2.792326711590835,Low
PRSS22,"anterior insular cortex, dorsal",0.0,0.0025906735751295338,-24.62682396729357,Low
ITGAL,"anterior insular cortex, dorsal",0.1,0.4393782383419689,-2.1354634161807726,Low
TMEM98,"anterior insular cortex, dorsal",19.6,48.09585492227979,-1.2950589082418154,Low
TAC1,"anterior insular cortex, dorsal",5.1,14.263730569948187,-1.4837822048040423,Low
MYH13,"anterior insular cortex, dorsal",0.0,0.009326424870466322,-26.47482083362939,Low
PRSS21,"anterior insular cortex, dorsal",0.0,0.007772020725388601,-26.211786430889376,Low
SLC13A2,"anterior insular cortex, dorsal",0.0,0.0051813471502590676,-25.626823939449558,Low
TFAP2B,"anterior insular cortex, dorsal",0.0,0.8544041450777202,-32.9922715003245,Low
TFAP2D,"anterior insular cortex, dorsal",0.0,0.15492227979274611,-30.528897491847523,Low
SYPL1,"anterior insular cortex, dorsal",15.0,30.810880829015545,-1.03847742636029,Low
CD9,"anterior insular cortex, dorsal",27.7,65.31554404145078,-1.2375403944050283,Low
HHATL,"anterior insular cortex, dorsal",49.4,100.72227979274612,-1.027799896214372,Low
BTK,"anterior insular cortex, dorsal",0.6,1.2849740932642486,-1.098704867156826,Low
FMO1,"anterior insular cortex, dorsal",0.0,0.0005181347150259067,-22.3048960951583,Low
ANLN,"anterior insular cortex, dorsal",27.6,95.27927461139898,-1.7874941625831873,Low
CD22,"anterior insular cortex, dorsal",20.9,46.670466321243524,-1.1590069401620988,Low
SEMA3B,"anterior insular cortex, dorsal",33.7,78.03471502590673,-1.211367481974309,Low
LTF,"anterior insular cortex, dorsal",2.0,6.5595854922279795,-1.71360465211012,Low
CLDN11,"anterior insular cortex, dorsal",13.1,46.5160621761658,-1.8281621586566386,Low
ISL1,"anterior insular cortex, dorsal",0.0,0.5512953367875648,-32.36017825248106,Low
CLCA4,"anterior insular cortex, dorsal",2.2,4.458549222797927,-1.019070820988969,Low
CPS1,"anterior insular cortex, dorsal",2.1,4.333678756476684,-1.045202886507329,Low
DEF6,"anterior insular cortex, dorsal",0.4,0.8155440414507772,-1.0277627880556317,Low
CD44,"anterior insular cortex, dorsal",45.2,95.5119170984456,-1.0793579779534537,Low
INSRR,"anterior insular cortex, dorsal",0.5,1.878756476683938,-1.9097780773769664,Low
ANK1,"anterior insular cortex, dorsal",7.3,16.292746113989637,-1.1582614189791596,Low
MUSK,"anterior insular cortex, dorsal",1.0,2.27720207253886,-1.1872623177944082,Low
DEPDC1B,"anterior insular cortex, dorsal",0.3,0.6818652849740933,-1.1845242354766872,Low
SLC18A1,"anterior insular cortex, dorsal",0.0,0.10880829015544041,-30.01914133571021,Low
HOXC8,"anterior insular cortex, dorsal",0.0,0.07927461139896373,-29.5622836612307,Low
TNC,"anterior insular cortex, dorsal",8.0,27.999481865284974,-1.807328224998286,Low
OFD1,"anterior insular cortex, dorsal",0.0,0.2787564766839378,-31.37635817979235,Low
MAGEC2,"anterior insular cortex, dorsal",0.0,0.0005181347150259067,-22.3048960951583,Low
COL9A2,"anterior insular cortex, dorsal",13.3,33.295336787564764,-1.32389388758299,Low
UTS2,"anterior insular cortex, dorsal",0.4,2.8958549222797925,-2.855917422083859,Low
EPN3,"anterior insular cortex, dorsal",2.8,6.19481865284974,-1.145635222324174,Low
PLEKHH1,"anterior insular cortex, dorsal",24.7,66.16321243523316,-1.4215182418471282,Low
ITIH1,"anterior insular cortex, dorsal",0.0,0.0383419689119171,-28.514349186109836,Low
