Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
TSPAN6,"anterior insular cortex, dorsal",4.2,4.400518134715026,-0.06728407457849724,Normal
TNMD,"anterior insular cortex, dorsal",0.3,0.23160621761658032,0.3732885166639086,Normal
DPM1,"anterior insular cortex, dorsal",6.6,7.684974093264249,-0.2195743719959109,Normal
SCYL3,"anterior insular cortex, dorsal",4.5,4.762694300518135,-0.0818529490465897,Normal
C1orf112,"anterior insular cortex, dorsal",1.1,1.570984455958549,-0.5141653822263934,Normal
FGR,"anterior insular cortex, dorsal",6.4,5.487564766839378,0.22190584298999128,Normal
FUCA2,"anterior insular cortex, dorsal",15.4,18.162694300518137,-0.23804788065404095,Normal
GCLC,"anterior insular cortex, dorsal",16.6,22.676683937823835,-0.4500264456089571,Normal
NFYA,"anterior insular cortex, dorsal",18.6,20.393264248704664,-0.13279009754675647,Normal
STPG1,"anterior insular cortex, dorsal",3.5,5.942487046632125,-0.7637119313258159,Normal
NIPAL3,"anterior insular cortex, dorsal",38.3,63.58549222797927,-0.7313532431957602,Normal
LAS1L,"anterior insular cortex, dorsal",6.6,8.107772020725388,-0.29683949832163475,Normal
ENPP4,"anterior insular cortex, dorsal",13.5,21.013471502590672,-0.6383551129344027,Normal
SEMA3F,"anterior insular cortex, dorsal",7.2,9.034715025906737,-0.32748218958397896,Normal
ANKIB1,"anterior insular cortex, dorsal",75.6,92.06269430051813,-0.2842304305473989,Normal
CYP51A1,"anterior insular cortex, dorsal",31.8,52.538860103626945,-0.7243581342238389,Normal
KRIT1,"anterior insular cortex, dorsal",0.8,1.2792746113989637,-0.6772540838071389,Normal
RAD52,"anterior insular cortex, dorsal",13.8,12.552331606217615,0.13671289610969917,Normal
BAD,"anterior insular cortex, dorsal",43.1,44.86839378238342,-0.05801166942079012,Normal
LAP3,"anterior insular cortex, dorsal",20.8,23.438341968911917,-0.17228698858444685,Normal
CD99,"anterior insular cortex, dorsal",83.6,111.22124352331606,-0.41185752516233287,Normal
HS3ST1,"anterior insular cortex, dorsal",7.2,8.067357512953368,-0.16409928525385226,Normal
AOC1,"anterior insular cortex, dorsal",1.0,0.9020725388601036,0.14868464448868,Normal
HECW1,"anterior insular cortex, dorsal",29.2,21.23264248704663,0.4596844375342041,Normal
MAD1L1,"anterior insular cortex, dorsal",13.2,13.16839378238342,0.0034585462907006843,Normal
LASP1,"anterior insular cortex, dorsal",55.3,52.163730569948186,0.08423243063190777,Normal
SNX11,"anterior insular cortex, dorsal",9.4,11.129533678756477,-0.24366048392467202,Normal
TMEM176A,"anterior insular cortex, dorsal",19.7,22.318652849740932,-0.18005431927435697,Normal
M6PR,"anterior insular cortex, dorsal",42.5,45.06528497409327,-0.08455367247405364,Normal
KLHL13,"anterior insular cortex, dorsal",3.4,6.045595854922279,-0.8303497923611891,Normal
CYP26B1,"anterior insular cortex, dorsal",17.0,13.907772020725387,0.28964342296524065,Normal
ICA1,"anterior insular cortex, dorsal",18.1,16.170466321243524,0.16262841369416556,Normal
DBNDD1,"anterior insular cortex, dorsal",31.5,37.79481865284974,-0.26283663820864317,Normal
ALS2,"anterior insular cortex, dorsal",9.8,9.649740932642487,0.022291538474775534,Normal
CASP10,"anterior insular cortex, dorsal",8.3,7.541450777202073,0.1382692496031287,Normal
CFLAR,"anterior insular cortex, dorsal",69.7,62.12176165803109,0.16605991363049458,Normal
TFPI,"anterior insular cortex, dorsal",12.5,8.954922279792745,0.4811752787252126,Normal
NDUFAF7,"anterior insular cortex, dorsal",8.4,7.664766839378238,0.1321474218229181,Normal
RBM5,"anterior insular cortex, dorsal",43.1,43.61139896373057,-0.01701740052874834,Normal
MTMR7,"anterior insular cortex, dorsal",13.6,16.96165803108808,-0.3186705512248062,Normal
SLC7A2,"anterior insular cortex, dorsal",26.3,14.484455958549223,0.8605573020392836,Normal
ARF5,"anterior insular cortex, dorsal",64.5,62.829533678756476,0.03785628810488007,Normal
SARM1,"anterior insular cortex, dorsal",8.8,7.946632124352332,0.1471599648557907,Normal
POLDIP2,"anterior insular cortex, dorsal",34.7,36.29637305699482,-0.06488973020758554,Normal
PLXND1,"anterior insular cortex, dorsal",26.5,28.462176165803108,-0.10305361222287625,Normal
AK2,"anterior insular cortex, dorsal",19.0,24.96839378238342,-0.3941035970723701,Normal
CD38,"anterior insular cortex, dorsal",2.7,4.446632124352332,-0.7197536462958483,Normal
FKBP4,"anterior insular cortex, dorsal",134.3,104.51450777202072,0.36175608649713753,Normal
KDM1A,"anterior insular cortex, dorsal",8.3,7.800518134715026,0.08954138100185242,Normal
RBM6,"anterior insular cortex, dorsal",29.8,26.12642487046632,0.1898026103353594,Normal
CAMKK1,"anterior insular cortex, dorsal",41.3,28.18860103626943,0.5510299010429525,Normal
RECQL,"anterior insular cortex, dorsal",5.8,7.605181347150259,-0.39092974948078335,Normal
VPS50,"anterior insular cortex, dorsal",7.5,7.686528497409326,-0.03544157860320119,Normal
HSPB6,"anterior insular cortex, dorsal",25.3,31.811917098445594,-0.33042993147351085,Normal
ARHGAP33,"anterior insular cortex, dorsal",26.2,20.03886010362694,0.38676636758007743,Normal
NDUFAB1,"anterior insular cortex, dorsal",34.0,45.40414507772021,-0.41728926503084945,Normal
PDK4,"anterior insular cortex, dorsal",40.0,42.192746113989635,-0.07699498838914023,Normal
SLC22A16,"anterior insular cortex, dorsal",0.1,0.11606217616580312,-0.21489788458986508,Normal
ABCB5,"anterior insular cortex, dorsal",1.1,0.8435233160621762,0.3830036715992527,Normal
ST7,"anterior insular cortex, dorsal",31.0,25.44715025906736,0.2847641127263474,Normal
CDC27,"anterior insular cortex, dorsal",22.3,23.976683937823836,-0.10458843245646122,Normal
SLC4A1,"anterior insular cortex, dorsal",0.9,0.9766839378238342,-0.11796676943304796,Normal
HCCS,"anterior insular cortex, dorsal",6.4,6.896373056994818,-0.1077659135295511,Normal
DVL2,"anterior insular cortex, dorsal",12.1,12.344559585492227,-0.028868319141755364,Normal
UPF1,"anterior insular cortex, dorsal",21.0,21.89326424870466,-0.060097746057309116,Normal
SKAP2,"anterior insular cortex, dorsal",9.0,11.908808290155442,-0.40403214393085324,Normal
SLC25A5,"anterior insular cortex, dorsal",44.5,61.59585492227979,-0.4690279323032182,Normal
MCUB,"anterior insular cortex, dorsal",2.2,2.0409326424870464,0.10827495428622395,Normal
POLR2J,"anterior insular cortex, dorsal",20.7,23.896891191709848,-0.20719217876386772,Normal
DHX33,"anterior insular cortex, dorsal",7.2,6.769430051813472,0.0889625345017352,Normal
MEOX1,"anterior insular cortex, dorsal",0.5,0.2601036269430052,0.942841577938548,Normal
THSD7A,"anterior insular cortex, dorsal",6.2,6.089119170984456,0.026034667098252178,Normal
LIG3,"anterior insular cortex, dorsal",8.9,8.474093264248705,0.07074632926352295,Normal
RPAP3,"anterior insular cortex, dorsal",8.4,10.560103626943004,-0.3301627590129875,Normal
ACSM3,"anterior insular cortex, dorsal",10.7,8.994818652849741,0.2504446963348296,Normal
REXO5,"anterior insular cortex, dorsal",3.8,3.5507772020725388,0.09786457904770207,Normal
CIAPIN1,"anterior insular cortex, dorsal",16.9,18.45181347150259,-0.12673936694676888,Normal
SPPL2B,"anterior insular cortex, dorsal",17.4,20.760621761658033,-0.25476234566612116,Normal
ATOSB,"anterior insular cortex, dorsal",15.9,18.606735751295336,-0.22679821473938425,Normal
COPZ2,"anterior insular cortex, dorsal",7.3,6.445077720207254,0.17969870805919377,Normal
PRKAR2B,"anterior insular cortex, dorsal",4.8,3.217098445595855,0.5772743216157802,Normal
MSL3,"anterior insular cortex, dorsal",10.5,9.8,0.09953567354993281,Normal
CREBBP,"anterior insular cortex, dorsal",55.9,49.83523316062177,0.16568220476292078,Normal
TSPOAP1,"anterior insular cortex, dorsal",51.0,32.66321243523316,0.6428305597816116,Normal
MPO,"anterior insular cortex, dorsal",0.1,0.14715025906735751,-0.5572900817743297,Normal
PON1,"anterior insular cortex, dorsal",0.6,0.6880829015544042,-0.1976198933269079,Normal
GCFC2,"anterior insular cortex, dorsal",13.0,14.551295336787565,-0.16263596237206676,Normal
WDR54,"anterior insular cortex, dorsal",3.8,4.3818652849740936,-0.2055457125748708,Normal
CROT,"anterior insular cortex, dorsal",6.6,5.605181347150259,0.23570497446915661,Normal
ABCB4,"anterior insular cortex, dorsal",0.8,0.5777202072538861,0.4696290423910281,Normal
KMT2E,"anterior insular cortex, dorsal",25.2,23.47461139896373,0.10232245816428422,Normal
RHBDD2,"anterior insular cortex, dorsal",129.2,136.90362694300518,-0.08355459791799615,Normal
SOX8,"anterior insular cortex, dorsal",25.5,50.478756476683934,-0.9851791234748395,Normal
IBTK,"anterior insular cortex, dorsal",4.0,4.437305699481866,-0.14968394822651238,Normal
ZNF195,"anterior insular cortex, dorsal",8.7,9.22901554404145,-0.0851613633251444,Normal
MYCBP2,"anterior insular cortex, dorsal",32.9,31.990155440414508,0.040459581423331226,Normal
FBXL3,"anterior insular cortex, dorsal",24.0,25.15854922279793,-0.06801432522965949,Normal
PDK2,"anterior insular cortex, dorsal",32.6,29.965284974093265,0.1215798702487332,Normal
ITGA3,"anterior insular cortex, dorsal",8.6,8.67979274611399,-0.01332393496047582,Normal
ZFX,"anterior insular cortex, dorsal",30.3,30.555958549222797,-0.012135945795650369,Normal
LAMP2,"anterior insular cortex, dorsal",66.1,121.9476683937824,-0.8835399976148017,Normal
ITGA2B,"anterior insular cortex, dorsal",1.6,1.1580310880829014,0.4663979211629873,Normal
