Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
ZMYND10,"anterior insular cortex, ventral",1.3,2.7300518134715026,-1.0704167089061734,Low
CALCR,"anterior insular cortex, ventral",0.0,0.6927461139896373,-32.68967956701979,Low
PRSS22,"anterior insular cortex, ventral",0.0,0.0025906735751295338,-24.62682396729357,Low
ITGAL,"anterior insular cortex, ventral",0.1,0.4393782383419689,-2.1354634161807726,Low
TAC1,"anterior insular cortex, ventral",5.1,14.263730569948187,-1.4837822048040423,Low
ALDH3B1,"anterior insular cortex, ventral",1.4,3.4678756476683934,-1.3086253395781642,Low
USH1C,"anterior insular cortex, ventral",2.3,4.6585492227979275,-1.0182468758778804,Low
MYH13,"anterior insular cortex, ventral",0.0,0.009326424870466322,-26.47482083362939,Low
PRSS21,"anterior insular cortex, ventral",0.0,0.007772020725388601,-26.211786430889376,Low
CEACAM21,"anterior insular cortex, ventral",0.3,1.1466321243523316,-1.9343681974566969,Low
SLC13A2,"anterior insular cortex, ventral",0.0,0.0051813471502590676,-25.626823939449558,Low
TFAP2B,"anterior insular cortex, ventral",0.0,0.8544041450777202,-32.9922715003245,Low
BTK,"anterior insular cortex, ventral",0.4,1.2849740932642486,-1.6836673677577574,Low
FMO1,"anterior insular cortex, ventral",0.0,0.0005181347150259067,-22.3048960951583,Low
TYROBP,"anterior insular cortex, ventral",16.9,34.91502590673576,-1.0468247966815862,Low
LTF,"anterior insular cortex, ventral",0.8,6.5595854922279795,-3.03553274688928,Low
CLDN11,"anterior insular cortex, ventral",21.3,46.5160621761658,-1.1268755399724903,Low
DPEP1,"anterior insular cortex, ventral",0.1,0.22487046632124352,-1.169094194375271,Low
ISL1,"anterior insular cortex, ventral",0.0,0.5512953367875648,-32.36017825248106,Low
CD74,"anterior insular cortex, ventral",192.2,415.8253886010363,-1.1133695098442185,Low
DEF6,"anterior insular cortex, ventral",0.3,0.8155440414507772,-1.4428002872142511,Low
CD44,"anterior insular cortex, ventral",28.6,95.5119170984456,-1.7396656035883995,Low
INSRR,"anterior insular cortex, ventral",0.2,1.878756476683938,-3.23170617183152,Low
ANK1,"anterior insular cortex, ventral",7.8,16.292746113989637,-1.0626837589981954,Low
MYOC,"anterior insular cortex, ventral",0.0,0.05233160621761658,-28.96310730222681,Low
SLC18A1,"anterior insular cortex, ventral",0.0,0.10880829015544041,-30.01914133571021,Low
HOXC8,"anterior insular cortex, ventral",0.0,0.07927461139896373,-29.5622836612307,Low
C6,"anterior insular cortex, ventral",0.0,0.1538860103626943,-30.519214938456457,Low
TNC,"anterior insular cortex, ventral",4.7,27.999481865284974,-2.574667468195349,Low
OFD1,"anterior insular cortex, ventral",0.0,0.2787564766839378,-31.37635817979235,Low
MAGEC2,"anterior insular cortex, ventral",0.0,0.0005181347150259067,-22.3048960951583,Low
CP,"anterior insular cortex, ventral",4.1,9.649222797927461,-1.2347888346265385,Low
UTS2,"anterior insular cortex, ventral",0.5,2.8958549222797925,-2.5339893272686314,Low
ELN,"anterior insular cortex, ventral",42.6,86.29222797927461,-1.0183771966143893,Low
ITIH1,"anterior insular cortex, ventral",0.0,0.0383419689119171,-28.514349186109836,Low
GYG2,"anterior insular cortex, ventral",6.5,14.601036269430052,-1.1675591408881494,Low
GSC2,"anterior insular cortex, ventral",0.0,0.02072538860103627,-27.626823918566547,Low
NGFR,"anterior insular cortex, ventral",3.8,13.49740932642487,-1.8286112013142901,Low
BORCS8-MEF2B,"anterior insular cortex, ventral",0.0,0.03212435233160622,-28.259092131596027,Low
NTN1,"anterior insular cortex, ventral",4.3,9.452331606217616,-1.1363335829207446,Low
ELOVL1,"anterior insular cortex, ventral",25.9,53.09585492227979,-1.0356471394520161,Low
STAG3,"anterior insular cortex, ventral",0.3,0.6088082901554405,-1.0210255032191975,Low
STON1-GTF2A1L,"anterior insular cortex, ventral",0.7,3.4590673575129536,-2.3049562798725227,Low
PYGM,"anterior insular cortex, ventral",9.5,19.10984455958549,-1.0083166248468935,Low
GAL,"anterior insular cortex, ventral",1.6,10.084974093264249,-2.6560635675944857,Low
ST6GALNAC2,"anterior insular cortex, ventral",0.2,1.1305699481865283,-2.4989783484617867,Low
CHAT,"anterior insular cortex, ventral",0.6,1.8943005181347152,-1.6586308169045438,Low
MS4A12,"anterior insular cortex, ventral",0.0,0.002072538860103627,-24.304895886328215,Low
PRLH,"anterior insular cortex, ventral",0.1,1.2041450777202072,-3.589937314813564,Low
