Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
SLC25A13,basal amygdala,4.0,9.719689119170985,-1.2809101704556232,Low
CALCR,basal amygdala,0.2,0.6927461139896373,-1.792326712312182,Low
PRSS22,basal amygdala,0.0,0.0025906735751295338,-24.62682396729357,Low
ITGAL,basal amygdala,0.1,0.4393782383419689,-2.1354634161807726,Low
TAC1,basal amygdala,1.7,14.263730569948187,-3.068744705468622,Low
ALDH3B1,basal amygdala,1.5,3.4678756476683934,-1.2090896660341197,Low
CCL26,basal amygdala,0.0,0.19896373056994818,-30.889858318164443,Low
CEACAM21,basal amygdala,0.4,1.1466321243523316,-1.5193306982980777,Low
NOS2,basal amygdala,0.1,0.39896373056994816,-1.9962575972330987,Low
SLC13A2,basal amygdala,0.0,0.0051813471502590676,-25.626823939449558,Low
CD79B,basal amygdala,0.0,0.04455958549222798,-28.731160574657956,Low
CACNA2D2,basal amygdala,4.2,11.62901554404145,-1.469267737401296,Low
TFAP2B,basal amygdala,0.0,0.8544041450777202,-32.9922715003245,Low
SYPL1,basal amygdala,12.6,30.810880829015545,-1.2900161933544225,Low
PAX7,basal amygdala,0.3,1.0088082901554403,-1.7496176303931692,Low
HHATL,basal amygdala,49.2,100.72227979274612,-1.0336526224597977,Low
BTK,basal amygdala,0.6,1.2849740932642486,-1.098704867156826,Low
FMO1,basal amygdala,0.0,0.0005181347150259067,-22.3048960951583,Low
ANLN,basal amygdala,38.5,95.27927461139898,-1.3073039837805722,Low
SEMA3B,basal amygdala,35.2,78.03471502590673,-1.1485406445190525,Low
CLDN11,basal amygdala,16.2,46.5160621761658,-1.5217351573115718,Low
ISL1,basal amygdala,0.0,0.5512953367875648,-32.36017825248106,Low
MARCO,basal amygdala,0.2,0.782901554404145,-1.9688309073596761,Low
CPS1,basal amygdala,1.9,4.333678756476684,-1.1895927958352723,Low
GLRX2,basal amygdala,2.4,6.2658031088082895,-1.3844650305459116,Low
DEF6,basal amygdala,0.4,0.8155440414507772,-1.0277627880556317,Low
INSRR,basal amygdala,0.2,1.878756476683938,-3.23170617183152,Low
ANK1,basal amygdala,2.6,16.292746113989637,-2.647646259682359,Low
IBSP,basal amygdala,0.0,0.161139896373057,-30.58566658774409,Low
MYOC,basal amygdala,0.0,0.05233160621761658,-28.96310730222681,Low
DEPDC1B,basal amygdala,0.2,0.6818652849740933,-1.769486735957394,Low
SLC18A1,basal amygdala,0.0,0.10880829015544041,-30.01914133571021,Low
HOXC8,basal amygdala,0.0,0.07927461139896373,-29.5622836612307,Low
TLL1,basal amygdala,1.5,4.3699481865284975,-1.542653673339369,Low
USH2A,basal amygdala,0.1,0.322279792746114,-1.6883137318674801,Low
BARX2,basal amygdala,1.0,2.151813471502591,-1.1055530241921283,Low
MAGEC2,basal amygdala,0.0,0.0005181347150259067,-22.3048960951583,Low
ROS1,basal amygdala,0.4,1.0585492227979276,-1.4040164512407631,Low
UTS2,basal amygdala,0.3,2.8958549222797925,-3.270954921242478,Low
ELN,basal amygdala,22.6,86.29222797927461,-1.932907854422043,Low
PLEKHH1,basal amygdala,30.4,66.16321243523316,-1.1219579599893155,Low
ITIH1,basal amygdala,0.0,0.0383419689119171,-28.514349186109836,Low
CREB3L3,basal amygdala,0.0,0.3974093264248705,-31.88797858458414,Low
PTPRU,basal amygdala,7.4,19.489119170984456,-1.3970717122477536,Low
BCAT1,basal amygdala,10.1,21.49481865284974,-1.0896336456809312,Low
PRDM6,basal amygdala,0.1,0.327979274611399,-1.7136046511574397,Low
GSC2,basal amygdala,0.0,0.02072538860103627,-27.626823918566547,Low
DLX3,basal amygdala,0.0,0.10466321243523316,-29.963107300848392,Low
NGFR,basal amygdala,4.2,13.49740932642487,-1.684221291982731,Low
BORCS8-MEF2B,basal amygdala,0.0,0.03212435233160622,-28.259092131596027,Low
SLC12A2,basal amygdala,22.0,46.41917098445596,-1.0772172335844574,Low
NTN1,basal amygdala,4.7,9.452331606217616,-1.0080094859480604,Low
PACC1,basal amygdala,6.6,14.210362694300517,-1.1064054476869505,Low
ASPM,basal amygdala,0.1,0.21606217616580312,-1.1114465354016103,Low
ELOVL1,basal amygdala,18.3,53.09585492227979,-1.5367555888522142,Low
FGFR2,basal amygdala,42.1,98.93367875647668,-1.2326414899544558,Low
STON1-GTF2A1L,basal amygdala,0.6,3.4590673575129536,-2.5273487011746205,Low
TRPC7,basal amygdala,0.0,0.32642487046632124,-31.604103835547427,Low
GAL,basal amygdala,1.8,10.084974093264249,-2.486138566162192,Low
ST6GALNAC2,basal amygdala,0.3,1.1305699481865283,-1.9140158479810798,Low
CHAT,basal amygdala,0.5,1.8943005181347152,-1.9216652226902478,Low
EPHA8,basal amygdala,1.1,2.4518134715025908,-1.1563457023620984,Low
MS4A12,basal amygdala,0.0,0.002072538860103627,-24.304895886328215,Low
PRLH,basal amygdala,0.0,1.2041450777202072,-33.48729017024252,Low
MYO3B,basal amygdala,0.0,0.008808290155440416,-26.392358674347353,Low
SPP2,basal amygdala,0.0,0.0010362694300518134,-23.304895955938246,Low
HMMR,basal amygdala,0.2,0.45699481865284974,-1.1921778078837844,Low
TRHDE,basal amygdala,3.6,7.274093264248705,-1.014770516744668,Low
FCGR2B,basal amygdala,0.7,1.7093264248704663,-1.2880011031175485,Low
ACAP1,basal amygdala,0.2,0.41347150259067356,-1.04778789858184,Low
NDE1,basal amygdala,9.7,19.73678756476684,-1.024830537904773,Low
DHRS9,basal amygdala,0.9,1.949222797927461,-1.1149020947265165,Low
CD5L,basal amygdala,0.0,0.050777202072538864,-28.919605663674616,Low
NOX3,basal amygdala,0.0,0.004663212435233161,-25.474820849098286,Low
SEMA3A,basal amygdala,3.3,7.326943005181347,-1.1507453687907978,Low
SEMA3C,basal amygdala,5.7,11.892746113989638,-1.0610480570046632,Low
PLD1,basal amygdala,8.5,19.084455958549224,-1.166863313794371,Low
ATP12A,basal amygdala,0.0,0.025906735751295335,-27.948752012061707,Low
FMO4,basal amygdala,0.7,1.4310880829015544,-1.0316856448270784,Low
CAPN6,basal amygdala,0.0,0.0005181347150259067,-22.3048960951583,Low
SPAG6,basal amygdala,1.2,3.0886010362694303,-1.3639191199080756,Low
TYR,basal amygdala,0.0,0.0005181347150259067,-22.3048960951583,Low
FKBP6,basal amygdala,0.0,0.029533678756476684,-28.137785835767836,Low
