Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
TFAP2D,central amygdala,0.7,0.15492227979274611,2.175810284402441,High
NPFFR2,central amygdala,2.4,0.7414507772020725,1.6946115811281037,High
PTPN3,central amygdala,16.3,6.590155440414509,1.306487565194397,High
CHRNA3,central amygdala,5.9,2.6124352331606215,1.1753196837406104,High
FETUB,central amygdala,0.1,0.043523316062176166,1.2001396126172514,High
PCDH11Y,central amygdala,11.2,5.563730569948186,1.009374269752098,High
ZNRF4,central amygdala,0.1,0.027979274611398965,1.8375695313910079,High
PPP1R17,central amygdala,14.9,4.007772020725389,1.894439981367529,High
CSF3,central amygdala,4.1,1.9917098445595853,1.0416164210751664,High
ANXA10,central amygdala,0.1,0.04974093264248705,1.0074945350892008,High
CASQ2,central amygdala,3.2,1.1134715025906736,1.5230072697558137,High
TTLL2,central amygdala,0.1,0.0227979274611399,2.133025413745293,High
CHRNA2,central amygdala,25.2,10.399481865284974,1.2769120831396403,High
MC3R,central amygdala,1.4,0.4284974093264249,1.7080684399207722,High
ZNF831,central amygdala,2.9,1.4165803108808288,1.0336405047374972,High
OR2B6,central amygdala,0.1,0.04922279792746114,1.0226014274488786,High
MYH2,central amygdala,0.1,0.02901554404145078,1.7851021116810257,High
TNFSF14,central amygdala,3.9,1.666839378238342,1.2263590354280296,High
TGM3,central amygdala,0.2,0.01606217616580311,3.6382607186206126,High
PRKCG,central amygdala,55.8,27.66321243523316,1.0122964205427645,High
CTAG2,central amygdala,0.1,0.0305699481865285,1.7098139846296097,High
APOL5,central amygdala,0.1,0.046632124352331605,1.1006039392873215,High
AP1M2,central amygdala,0.4,0.14093264248704662,1.504994195354738,High
MYO18B,central amygdala,0.5,0.22020725388601037,1.1830661007637642,High
STRA6,central amygdala,0.1,0.032642487046632127,1.6151771107911739,High
SIX3,central amygdala,11.4,2.925906735751295,1.9620781354148806,High
SYTL1,central amygdala,2.9,1.2253886010362693,1.2428135641009097,High
RGS16,central amygdala,63.5,22.647668393782382,1.4873940612504795,High
TRIM43B,central amygdala,0.1,0.0072538860103626935,3.7851020967645903,High
SYTL5,central amygdala,9.1,3.5450777202072543,1.3600492886740345,High
LRIT1,central amygdala,0.2,0.0383419689119171,2.3830036685977736,High
RGR,central amygdala,17.8,7.034715025906736,1.339313354543475,High
TCF7L2,central amygdala,69.9,34.20362694300518,1.0311431393982886,High
LYPD6B,central amygdala,3.2,1.573056994818653,1.0245009618059853,High
SLC25A31,central amygdala,0.1,0.04922279792746114,1.0226014274488786,High
PLEKHG4B,central amygdala,2.9,0.9730569948186529,1.5754566846433617,High
GALNT14,central amygdala,7.1,3.4865284974093265,1.0260277509442743,High
GPR153,central amygdala,15.9,7.5611398963730565,1.0723511128617407,High
NTNG1,central amygdala,29.8,14.66476683937824,1.0229581973541477,High
FABP1,central amygdala,0.3,0.13989637305699482,1.100603940388044,High
CXCL1,central amygdala,4.9,2.160103626943005,1.1816812245375543,High
ZDHHC19,central amygdala,0.1,0.04093264248704664,1.2886762870091135,High
ESM1,central amygdala,0.4,0.15958549222797927,1.3256704960298265,High
CARTPT,central amygdala,140.3,38.795854922279794,1.8545405855157926,High
KCNK5,central amygdala,0.2,0.0766839378238342,1.383003670479126,High
SP8,central amygdala,1.8,0.8740932642487046,1.0421377803379266,High
DCSTAMP,central amygdala,2.1,0.5253886010362695,1.998932522837604,High
SLC7A3,central amygdala,2.8,1.3072538860103629,1.0988874682905478,High
OTX2,central amygdala,5.5,2.7481865284974094,1.0009516906538867,High
SLC38A8,central amygdala,3.4,1.3808290155440415,1.3000000608098332,High
PLIN1,central amygdala,12.1,5.262694300518135,1.2011335484028358,High
KLK13,central amygdala,0.1,0.02383419689119171,2.068895076600716,High
NPNT,central amygdala,9.6,4.790673575129534,1.0028058907382082,High
SHOX2,central amygdala,9.0,3.0797927461139896,1.547091733028345,High
SOX14,central amygdala,2.6,1.1849740932642487,1.1336561049312393,High
C7orf33,central amygdala,0.1,0.017616580310880828,2.50499418927102,High
ADRA1D,central amygdala,8.7,2.869430051813471,1.600251194716183,High
PRL,central amygdala,0.6,0.23834196891191708,1.331929486680006,High
EFCAB3,central amygdala,0.2,0.05699481865284974,1.8110973219334943,High
ACOT12,central amygdala,0.9,0.3803108808290156,1.2427457856481332,High
HES3,central amygdala,0.4,0.166839378238342,1.2615401586494162,High
TRHR,central amygdala,2.8,0.9383419689119171,1.5772411282732919,High
GPR152,central amygdala,0.1,0.04870466321243524,1.037868184071009,High
UMODL1,central amygdala,0.4,0.19430051813471502,1.041710251503004,High
RBM44,central amygdala,0.1,0.03419689119170985,1.548062915133532,High
CALML3,central amygdala,0.5,0.21243523316062177,1.2349050322594135,High
CPNE7,central amygdala,20.4,9.214507772020724,1.1465901462040011,High
SEPTIN1,central amygdala,0.1,0.024870466321243522,2.007494532188783,High
GSX2,central amygdala,1.1,0.2829015544041451,1.9591315146067156,High
VCX,central amygdala,0.1,0.039378238341968914,1.3445295216035038,High
