Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
PRSS22,central amygdala,0.0,0.0025906735751295338,-24.62682396729357,Low
ITGAL,central amygdala,0.2,0.4393782383419689,-1.13546341690212,Low
CRLF1,central amygdala,5.2,13.183419689119171,-1.342141115757278,Low
TAC1,central amygdala,2.1,14.263730569948187,-2.7638901239563656,Low
ALDH3B1,central amygdala,1.7,3.4678756476683934,-1.028517420403614,Low
MYH13,central amygdala,0.0,0.009326424870466322,-26.47482083362939,Low
PRSS21,central amygdala,0.0,0.007772020725388601,-26.211786430889376,Low
NOS2,central amygdala,0.1,0.39896373056994816,-1.9962575972330987,Low
SLC13A2,central amygdala,0.0,0.0051813471502590676,-25.626823939449558,Low
CD79B,central amygdala,0.0,0.04455958549222798,-28.731160574657956,Low
SCN4A,central amygdala,0.0,0.06528497409326425,-29.28217574242794,Low
TFAP2B,central amygdala,0.0,0.8544041450777202,-32.9922715003245,Low
PAX7,central amygdala,0.4,1.0088082901554403,-1.33458013123455,Low
BTK,central amygdala,0.4,1.2849740932642486,-1.6836673677577574,Low
FMO1,central amygdala,0.0,0.0005181347150259067,-22.3048960951583,Low
SLC7A14,central amygdala,9.3,19.301554404145076,-1.0534144147971294,Low
CLDN11,central amygdala,22.1,46.5160621761658,-1.073682600807142,Low
DPEP1,central amygdala,0.1,0.22487046632124352,-1.169094194375271,Low
HGF,central amygdala,1.9,4.4689119170984455,-1.2339241906849419,Low
DEF6,central amygdala,0.3,0.8155440414507772,-1.4428002872142511,Low
INSRR,central amygdala,0.3,1.878756476683938,-2.646743671350813,Low
ANK1,central amygdala,3.6,16.292746113989637,-2.1781609763965526,Low
IBSP,central amygdala,0.0,0.161139896373057,-30.58566658774409,Low
MYOC,central amygdala,0.0,0.05233160621761658,-28.96310730222681,Low
DEPDC1B,central amygdala,0.3,0.6818652849740933,-1.1845242354766872,Low
STAP1,central amygdala,0.0,0.07823834196891193,-29.543300557887235,Low
SLC18A1,central amygdala,0.0,0.10880829015544041,-30.01914133571021,Low
HOXC8,central amygdala,0.0,0.07927461139896373,-29.5622836612307,Low
OFD1,central amygdala,0.1,0.2787564766839378,-1.4790053243633956,Low
MAGEC2,central amygdala,0.0,0.0005181347150259067,-22.3048960951583,Low
ROS1,central amygdala,0.2,1.0585492227979276,-2.4040164508800896,Low
UTS2,central amygdala,0.3,2.8958549222797925,-3.270954921242478,Low
ELN,central amygdala,32.5,86.29222797927461,-1.4087909089233583,Low
ITIH1,central amygdala,0.0,0.0383419689119171,-28.514349186109836,Low
PTPRU,central amygdala,9.4,19.489119170984456,-1.051936226203214,Low
PRDM6,central amygdala,0.1,0.327979274611399,-1.7136046511574397,Low
LTK,central amygdala,0.1,0.38238341968911915,-1.9350199677269107,Low
GSC2,central amygdala,0.0,0.02072538860103627,-27.626823918566547,Low
DLX3,central amygdala,0.0,0.10466321243523316,-29.963107300848392,Low
DMRT3,central amygdala,0.0,0.3119170984455959,-31.53851549394041,Low
BORCS8-MEF2B,central amygdala,0.0,0.03212435233160622,-28.259092131596027,Low
POU1F1,central amygdala,0.0,0.13212435233160622,-30.29924925466896,Low
GLP2R,central amygdala,0.2,1.344041450777202,-2.7485057263696113,Low
NGEF,central amygdala,25.4,52.29119170984456,-1.0417394524020585,Low
ASPM,central amygdala,0.1,0.21606217616580312,-1.1114465354016103,Low
ELOVL1,central amygdala,24.6,53.09585492227979,-1.1099409217990357,Low
POLR1H,central amygdala,0.6,1.217098445595855,-1.0204114599010468,Low
MPPED2,central amygdala,5.5,11.665284974093264,-1.0847180279380213,Low
FGFR2,central amygdala,46.0,98.93367875647668,-1.104827862076767,Low
STON1-GTF2A1L,central amygdala,0.8,3.4590673575129536,-2.112311201955889,Low
GAL,central amygdala,4.2,10.084974093264249,-1.263746144871544,Low
ST6GALNAC2,central amygdala,0.3,1.1305699481865283,-1.9140158479810798,Low
MS4A12,central amygdala,0.0,0.002072538860103627,-24.304895886328215,Low
PRLH,central amygdala,0.0,1.2041450777202072,-33.48729017024252,Low
MYO3B,central amygdala,0.0,0.008808290155440416,-26.392358674347353,Low
SPP2,central amygdala,0.0,0.0010362694300518134,-23.304895955938246,Low
ABCB11,central amygdala,0.1,0.2290155440414508,-1.1954455213106114,Low
DHRS9,central amygdala,0.7,1.949222797927461,-1.4774721740654253,Low
CD5L,central amygdala,0.0,0.050777202072538864,-28.919605663674616,Low
TBX21,central amygdala,0.0,0.07979274611398963,-29.571682359221136,Low
NUAK1,central amygdala,16.9,34.501554404145075,-1.029638114817668,Low
NOX3,central amygdala,0.0,0.004663212435233161,-25.474820849098286,Low
TXK,central amygdala,0.2,0.4212435233160622,-1.0746545044280846,Low
ATP12A,central amygdala,0.0,0.025906735751295335,-27.948752012061707,Low
