Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
TSPAN6,central amygdala,3.9,4.400518134715026,-0.17419927849236688,Normal
TNMD,central amygdala,0.3,0.23160621761658032,0.3732885166639086,Normal
DPM1,central amygdala,5.9,7.684974093264249,-0.38132544198992957,Normal
SCYL3,central amygdala,3.7,4.762694300518135,-0.3642526797403828,Normal
C1orf112,central amygdala,1.1,1.570984455958549,-0.5141653822263934,Normal
FGR,central amygdala,5.6,5.487564766839378,0.029260765050815624,Normal
CFH,central amygdala,3.5,3.8818652849740936,-0.14939513002594382,Normal
FUCA2,central amygdala,15.0,18.162694300518137,-0.2760157308528117,Normal
GCLC,central amygdala,19.1,22.676683937823835,-0.24763704892127072,Normal
NFYA,central amygdala,17.1,20.393264248704664,-0.25409639376820975,Normal
STPG1,central amygdala,5.9,5.942487046632125,-0.0103518989257084,Normal
NIPAL3,central amygdala,51.1,63.58549222797927,-0.3153743441840396,Normal
LAS1L,central amygdala,7.9,8.107772020725388,-0.03745286950658222,Normal
ENPP4,central amygdala,15.2,21.013471502590672,-0.4672431965428434,Normal
SEMA3F,central amygdala,15.9,9.034715025906737,0.8154757642471002,Normal
CFTR,central amygdala,0.7,0.9606217616580311,-0.45661356924393065,Normal
ANKIB1,central amygdala,76.6,92.06269430051813,-0.2652722728435392,Normal
CYP51A1,central amygdala,33.0,52.538860103626945,-0.6709188752625431,Normal
KRIT1,central amygdala,1.1,1.2792746113989637,-0.21782246521902432,Normal
RAD52,central amygdala,9.9,12.552331606217615,-0.34245494058474196,Normal
BAD,central amygdala,43.5,44.86839378238342,-0.044684137773828334,Normal
LAP3,central amygdala,21.4,23.438341968911917,-0.13125972032458683,Normal
CD99,central amygdala,102.0,111.22124352331606,-0.12486322038466882,Normal
HS3ST1,central amygdala,6.7,8.067357512953368,-0.2679350962368969,Normal
AOC1,central amygdala,0.8,0.9020725388601036,-0.17324345036261493,Normal
WNT16,central amygdala,0.3,0.45906735751295336,-0.61374335039915,Normal
HECW1,central amygdala,16.4,21.23264248704663,-0.37258811672387343,Normal
MAD1L1,central amygdala,11.3,13.16839378238342,-0.22075661065072713,Normal
LASP1,central amygdala,54.7,52.163730569948186,0.06849378318978588,Normal
SNX11,central amygdala,9.1,11.129533678756477,-0.29045469540310737,Normal
TMEM176A,central amygdala,23.8,22.318652849740932,0.09271162457594896,Normal
M6PR,central amygdala,34.3,45.06528497409327,-0.393807937325494,Normal
KLHL13,central amygdala,5.4,6.045595854922279,-0.16292513146377538,Normal
CYP26B1,central amygdala,11.4,13.907772020725387,-0.2868574990035505,Normal
ICA1,central amygdala,14.0,16.170466321243524,-0.2079344564417391,Normal
DBNDD1,central amygdala,42.0,37.79481865284974,0.15220086106905592,Normal
ALS2,central amygdala,7.0,9.649740932642487,-0.46313528868957765,Normal
CASP10,central amygdala,8.2,7.541450777202073,0.12078182287449943,Normal
CFLAR,central amygdala,59.0,62.12176165803109,-0.07438378798834962,Normal
TFPI,central amygdala,7.2,8.954922279792745,-0.3146840044860663,Normal
NDUFAF7,central amygdala,6.0,7.664766839378238,-0.35327940534045366,Normal
RBM5,central amygdala,34.5,43.61139896373057,-0.33810890795148074,Normal
MTMR7,central amygdala,14.5,16.96165803108808,-0.2262243024608694,Normal
SLC7A2,central amygdala,13.2,14.484455958549223,-0.1339675678891214,Normal
ARF5,central amygdala,54.1,62.829533678756476,-0.21581427837849101,Normal
SARM1,central amygdala,7.2,7.946632124352332,-0.14234665233555124,Normal
POLDIP2,central amygdala,31.2,36.29637305699482,-0.21827936392313188,Normal
PLXND1,central amygdala,20.7,28.462176165803108,-0.45941520417258724,Normal
AK2,central amygdala,20.0,24.96839378238342,-0.320103015628973,Normal
CD38,central amygdala,3.1,4.446632124352332,-0.5204448380793363,Normal
FKBP4,central amygdala,87.5,104.51450777202072,-0.25634829621003924,Normal
KDM1A,central amygdala,6.3,7.800518134715026,-0.30821812683963795,Normal
RBM6,central amygdala,22.7,26.12642487046632,-0.20281742283437315,Normal
CAMKK1,central amygdala,22.5,28.18860103626943,-0.32518687915653716,Normal
RECQL,central amygdala,6.0,7.605181347150259,-0.3420201490006662,Normal
VPS50,central amygdala,6.2,7.686528497409326,-0.31006395870817355,Normal
HSPB6,central amygdala,31.8,31.811917098445594,-0.0005405508846311232,Normal
ARHGAP33,central amygdala,20.4,20.03886010362694,0.025768708015688358,Normal
NDUFAB1,central amygdala,35.0,45.40414507772021,-0.37546908933634354,Normal
PDK4,central amygdala,44.3,42.192746113989635,0.07031171039080318,Normal
SLC22A16,central amygdala,0.1,0.11606217616580312,-0.21489788458986508,Normal
ZMYND10,central amygdala,1.4,2.7300518134715026,-0.9635015049975886,Normal
ABCB5,central amygdala,0.7,0.8435233160621762,-0.2690730249054955,Normal
ARX,central amygdala,8.6,8.053367875647668,0.09474442299780322,Normal
SLC25A13,central amygdala,5.0,9.719689119170985,-0.9589820755754742,Normal
ST7,central amygdala,19.9,25.44715025906736,-0.3547356720016456,Normal
CDC27,central amygdala,17.9,23.976683937823836,-0.4216725551109195,Normal
SLC4A1,central amygdala,0.8,0.9766839378238342,-0.28789177085532297,Normal
CALCR,central amygdala,1.0,0.6927461139896373,0.5296013819981022,Normal
HCCS,central amygdala,5.4,6.896373056994818,-0.35287841136190806,Normal
DVL2,central amygdala,10.4,12.344559585492227,-0.2472918382733087,Normal
UPF1,central amygdala,20.3,21.89326424870466,-0.10900734653801845,Normal
SKAP2,central amygdala,7.5,11.908808290155442,-0.6670665497614412,Normal
SLC25A5,central amygdala,50.7,61.59585492227979,-0.2808475211540342,Normal
MCUB,central amygdala,1.5,2.0409326424870464,-0.44426606871195234,Normal
POLR2J,central amygdala,20.7,23.896891191709848,-0.20719217876386772,Normal
DHX33,central amygdala,6.4,6.769430051813472,-0.08096246693807252,Normal
MEOX1,central amygdala,0.2,0.2601036269430052,-0.3790865165160058,Normal
THSD7A,central amygdala,7.1,6.089119170984456,0.22158547621310917,Normal
LIG3,central amygdala,7.8,8.474093264248705,-0.11958488283834061,Normal
RPAP3,central amygdala,8.1,10.560103626943004,-0.3826301789064872,Normal
ACSM3,central amygdala,8.4,8.994818652849741,-0.09870486728386507,Normal
REXO5,central amygdala,2.8,3.5507772020725388,-0.34270801232472015,Normal
CIAPIN1,central amygdala,14.3,18.45181347150259,-0.36774746644901135,Normal
SPPL2B,central amygdala,17.5,20.760621761658033,-0.24649472968256805,Normal
ATOSB,central amygdala,17.8,18.606735751295336,-0.06394773905831055,Normal
COPZ2,central amygdala,5.7,6.445077720207254,-0.17723583665053416,Normal
PRKAR2B,central amygdala,2.2,3.217098445595855,-0.5482565604325577,Normal
MSL3,central amygdala,7.9,9.8,-0.31092909593456475,Normal
CREBBP,central amygdala,45.9,49.83523316062177,-0.11867192466589908,Normal
TSPOAP1,central amygdala,45.5,32.66321243523316,0.4781998580091542,Normal
MPO,central amygdala,0.1,0.14715025906735751,-0.5572900817743297,Normal
PON1,central amygdala,0.6,0.6880829015544042,-0.1976198933269079,Normal
GCFC2,central amygdala,12.9,14.551295336787565,-0.17377651997718108,Normal
WDR54,central amygdala,3.0,4.3818652849740936,-0.5465826303998135,Normal
CROT,central amygdala,4.5,5.605181347150259,-0.3168360485494213,Normal
ABCB4,central amygdala,0.4,0.5777202072538861,-0.530370957428635,Normal
KMT2E,central amygdala,19.3,23.47461139896373,-0.28250042806580156,Normal
RHBDD2,central amygdala,134.5,136.90362694300518,-0.025554495167978475,Normal
SOX8,central amygdala,40.5,50.478756476683934,-0.3177544625638055,Normal
IBTK,central amygdala,3.4,4.437305699481866,-0.38414920185717055,Normal
ZNF195,central amygdala,7.0,9.22901554404145,-0.39882184222487876,Normal
MYCBP2,central amygdala,24.6,31.990155440414508,-0.3789696869711909,Normal
FBXL3,central amygdala,21.3,25.15854922279793,-0.2401953006115778,Normal
PDK2,central amygdala,28.2,29.965284974093265,-0.0875969315828607,Normal
ITGA3,central amygdala,7.2,8.67979274611399,-0.26966368821699943,Normal
ZFX,central amygdala,26.3,30.555958549222797,-0.2163909399755749,Normal
LAMP2,central amygdala,90.0,121.9476683937824,-0.4382652679060358,Normal
ITGA2B,central amygdala,1.1,1.1580310880829014,-0.07417046015872977,Normal
ASB4,central amygdala,4.8,5.805699481865285,-0.27443549040331267,Normal
GDE1,central amygdala,23.5,25.78704663212435,-0.13398579519740964,Normal
REX1BD,central amygdala,32.6,33.72487046632124,-0.04894093748783963,Normal
OSBPL7,central amygdala,4.7,5.326943005181347,-0.18064708829100007,Normal
TMEM98,central amygdala,33.6,48.09585492227979,-0.5174513295813301,Normal
YBX2,central amygdala,0.6,0.7316062176165803,-0.2861048352386901,Normal
MAP3K14,central amygdala,7.4,6.509844559585493,0.1849021752423997,Normal
ABCC8,central amygdala,3.4,4.313471502590674,-0.3433146783185811,Normal
CACNG3,central amygdala,12.2,14.792227979274612,-0.27795821719392994,Normal
TMEM132A,central amygdala,89.1,80.20518134715026,0.15172999229396128,Normal
AP2B1,central amygdala,83.6,99.7056994818653,-0.25417303352268517,Normal
ZNF263,central amygdala,10.6,12.848186528497408,-0.2775004782100708,Normal
CX3CL1,central amygdala,34.1,32.534715025906735,0.06779182214035993,Normal
SPATA20,central amygdala,15.8,16.424870466321245,-0.05595743446860117,Normal
CACNA1G,central amygdala,22.6,16.619689119170985,0.4434293767167368,Normal
TNFRSF12A,central amygdala,4.2,5.321243523316062,-0.34137410115147887,Normal
DLX6,central amygdala,3.2,1.7507772020725387,0.8700764020669601,Normal
MAP3K9,central amygdala,17.6,21.096891191709844,-0.2614549922133966,Normal
RALA,central amygdala,14.9,20.43419689119171,-0.4556732126996704,Normal
BAIAP2L1,central amygdala,1.7,1.850259067357513,-0.1221925400607541,Normal
KDM7A,central amygdala,4.2,5.381347150259067,-0.35757805003341336,Normal
ETV1,central amygdala,15.5,16.318134715025906,-0.07420794038914873,Normal
AGK,central amygdala,4.9,6.069948186528498,-0.30890245236153424,Normal
TTC22,central amygdala,1.8,2.0,-0.15200309343703497,Normal
PHTF2,central amygdala,7.4,9.587046632124352,-0.3735611789698172,Normal
CCL26,central amygdala,0.1,0.19896373056994818,-0.9925054627354852,Normal
FARP2,central amygdala,16.4,19.60880829015544,-0.2578060446972155,Normal
USH1C,central amygdala,2.9,4.6585492227979275,-0.6838278368202989,Normal
GGCT,central amygdala,5.5,5.934715025906736,-0.10974713733043251,Normal
DBF4,central amygdala,0.6,0.8575129533678757,-0.5151959636331362,Normal
TBXA2R,central amygdala,2.9,3.1445595854922277,-0.11680507287991751,Normal
IFRD1,central amygdala,21.1,25.630569948186526,-0.2806225613298387,Normal
LGALS14,central amygdala,4.8,5.540932642487047,-0.20709442340536277,Normal
COX10,central amygdala,3.4,3.7497409326424873,-0.14125617774747623,Normal
GTF2IRD1,central amygdala,12.0,13.02020725388601,-0.11771800747478693,Normal
PAF1,central amygdala,20.7,26.097927461139893,-0.33430447354199705,Normal
VPS41,central amygdala,28.6,38.99274611398964,-0.44719061495094764,Normal
ARHGAP44,central amygdala,36.2,33.82331606217616,0.09797158776927839,Normal
ELAC2,central amygdala,22.6,28.532124352331607,-0.33626439378281553,Normal
SCIN,central amygdala,6.1,9.676165803108809,-0.6656262477242545,Normal
ARSD,central amygdala,4.2,4.445077720207253,-0.08181931626351581,Normal
PNPLA4,central amygdala,10.5,12.185492227979276,-0.2147752014216844,Normal
ADIPOR2,central amygdala,19.8,27.0020725388601,-0.4475697149982613,Normal
CDKL3,central amygdala,2.7,3.354922279792746,-0.3133199380192987,Normal
UPP2,central amygdala,3.4,3.3321243523316064,0.02909250437878773,Normal
MARK4,central amygdala,25.9,24.82176165803109,0.0613465873944161,Normal
PROM1,central amygdala,2.7,3.2419689119170987,-0.2639108492588568,Normal
CCDC124,central amygdala,45.4,51.00259067357513,-0.16787823303805322,Normal
CEACAM21,central amygdala,0.7,1.1466321243523316,-0.7119757763950482,Normal
PAFAH1B1,central amygdala,59.0,76.47979274611399,-0.37436365926518894,Normal
DNAH9,central amygdala,6.2,8.067357512953368,-0.37982797630605747,Normal
BLTP2,central amygdala,40.9,47.364766839378234,-0.2117134394349371,Normal
GAS7,central amygdala,67.4,115.06269430051813,-0.7715996612623001,Normal
TRAPPC6A,central amygdala,13.9,16.359067357512956,-0.23500561856619168,Normal
MATK,central amygdala,18.1,19.688082901554406,-0.12133294043753964,Normal
ST7L,central amygdala,4.2,5.650259067357513,-0.4279276894724554,Normal
TKTL1,central amygdala,0.1,0.15595854922279795,-0.6411626389739771,Normal
PAX6,central amygdala,11.5,11.151295336787564,0.044422557533382714,Normal
RPUSD1,central amygdala,11.4,12.950777202072539,-0.18400485513654785,Normal
RHBDF1,central amygdala,6.9,6.1735751295336785,0.16049016296615592,Normal
LUC7L,central amygdala,10.1,11.959067357512954,-0.2437495906072643,Normal
CACNA2D2,central amygdala,7.9,11.62901554404145,-0.5578044120190413,Normal
BAIAP3,central amygdala,80.7,55.08756476683938,0.5508419858117563,Normal
TSR3,central amygdala,30.4,31.701554404145075,-0.06048225726888773,Normal
PIGQ,central amygdala,22.9,23.848186528497408,-0.058531966196983524,Normal
CRAMP1,central amygdala,16.9,16.09015544041451,0.07084498309129174,Normal
