Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
TSPAN6,corticomedial amygdala,4.0,4.400518134715026,-0.13767340246817764,Normal
TNMD,corticomedial amygdala,0.3,0.23160621761658032,0.3732885166639086,Normal
DPM1,corticomedial amygdala,5.8,7.684974093264249,-0.40598749622377717,Normal
SCYL3,corticomedial amygdala,3.6,4.762694300518135,-0.40378104392593706,Normal
C1orf112,corticomedial amygdala,1.0,1.570984455958549,-0.651668905963213,Normal
FGR,corticomedial amygdala,4.2,5.487564766839378,-0.38577673421944075,Normal
CFH,corticomedial amygdala,2.1,3.8818652849740936,-0.88636072416467,Normal
FUCA2,corticomedial amygdala,13.6,18.162694300518137,-0.4173715800973631,Normal
GCLC,corticomedial amygdala,17.1,22.676683937823835,-0.4072133620702382,Normal
NFYA,corticomedial amygdala,17.4,20.393264248704664,-0.22900541280552486,Normal
STPG1,corticomedial amygdala,3.6,5.942487046632125,-0.723069946829615,Normal
NIPAL3,corticomedial amygdala,38.0,63.58549222797927,-0.7426982167897397,Normal
LAS1L,corticomedial amygdala,5.7,8.107772020725388,-0.508343603511895,Normal
ENPP4,corticomedial amygdala,11.8,21.013471502590672,-0.8325276606218526,Normal
SEMA3F,corticomedial amygdala,7.1,9.034715025906737,-0.3476600715213271,Normal
CFTR,corticomedial amygdala,0.5,0.9606217616580311,-0.9420403963317324,Normal
ANKIB1,corticomedial amygdala,65.2,92.06269430051813,-0.4977447005370893,Normal
CYP51A1,corticomedial amygdala,27.7,52.538860103626945,-0.9234989234583345,Normal
KRIT1,corticomedial amygdala,0.8,1.2792746113989637,-0.6772540838071389,Normal
RAD52,corticomedial amygdala,10.5,12.552331606217615,-0.2575660429990617,Normal
BAD,corticomedial amygdala,40.0,44.86839378238342,-0.16569953873490406,Normal
LAP3,corticomedial amygdala,19.2,23.438341968911917,-0.2877642060038051,Normal
CD99,corticomedial amygdala,89.7,111.22124352331606,-0.3102524823240716,Normal
HS3ST1,corticomedial amygdala,5.3,8.067357512953368,-0.6061038321257822,Normal
AOC1,corticomedial amygdala,0.9,0.9020725388601036,-0.0033184489403400184,Normal
WNT16,corticomedial amygdala,0.6,0.45906735751295336,0.386256649360401,Normal
HECW1,corticomedial amygdala,17.2,21.23264248704663,-0.30387536664026826,Normal
MAD1L1,corticomedial amygdala,11.0,13.16839378238342,-0.25957585954090723,Normal
LASP1,corticomedial amygdala,56.7,52.163730569948186,0.12030168533936506,Normal
SNX11,corticomedial amygdala,8.3,11.129533678756477,-0.42320990425335064,Normal
TMEM176A,corticomedial amygdala,21.7,22.318652849740932,-0.040554906286928774,Normal
M6PR,corticomedial amygdala,37.3,45.06528497409327,-0.2728408832434068,Normal
KLHL13,corticomedial amygdala,5.3,6.045595854922279,-0.18989217906354086,Normal
CYP26B1,corticomedial amygdala,9.7,13.907772020725387,-0.5198346709789466,Normal
ICA1,corticomedial amygdala,15.3,16.170466321243524,-0.07982963069492927,Normal
DBNDD1,corticomedial amygdala,30.4,37.79481865284974,-0.3141171431521709,Normal
ALS2,corticomedial amygdala,6.9,9.649740932642487,-0.4838938488560762,Normal
CASP10,corticomedial amygdala,7.2,7.541450777202073,-0.06684518029882805,Normal
CFLAR,corticomedial amygdala,64.8,62.12176165803109,0.06089507064685244,Normal
TFPI,corticomedial amygdala,7.8,8.954922279792745,-0.1992067870676717,Normal
NDUFAF7,corticomedial amygdala,6.3,7.664766839378238,-0.28289007745020084,Normal
RBM5,corticomedial amygdala,36.9,43.61139896373057,-0.24108445355688807,Normal
MTMR7,corticomedial amygdala,15.8,16.96165803108808,-0.10235264429951958,Normal
SLC7A2,corticomedial amygdala,15.4,14.484455958549223,0.08842485344576527,Normal
ARF5,corticomedial amygdala,61.7,62.829533678756476,-0.026172383056216976,Normal
SARM1,corticomedial amygdala,8.2,7.946632124352332,0.0452803508377765,Normal
POLDIP2,corticomedial amygdala,30.2,36.29637305699482,-0.26527684346014835,Normal
PLXND1,corticomedial amygdala,22.4,28.462176165803108,-0.34554723961483713,Normal
AK2,corticomedial amygdala,18.2,24.96839378238342,-0.456164565204288,Normal
CD38,corticomedial amygdala,2.8,4.446632124352332,-0.6672862264036212,Normal
FKBP4,corticomedial amygdala,95.1,104.51450777202072,-0.13618597206929867,Normal
KDM1A,corticomedial amygdala,6.6,7.800518134715026,-0.241103930982142,Normal
RBM6,corticomedial amygdala,26.1,26.12642487046632,-0.0014599135562314706,Normal
CAMKK1,corticomedial amygdala,39.4,28.18860103626943,0.4830837490800518,Normal
RECQL,corticomedial amygdala,5.4,7.605181347150259,-0.4940232424430444,Normal
VPS50,corticomedial amygdala,6.0,7.686528497409326,-0.35736967348575466,Normal
