Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
ARX,frontal eye field,17.9,8.053367875647668,1.1522954455512455,High
CRLF1,frontal eye field,30.4,13.183419689119171,1.2053466795222167,High
CACNG3,frontal eye field,31.2,14.792227979274612,1.0767066640982306,High
NPC1L1,frontal eye field,2.1,0.900518134715026,1.2215620931409332,High
MYOM2,frontal eye field,2.9,1.305699481865285,1.1512300139476295,High
ROS1,frontal eye field,2.8,1.0585492227979276,1.403338470507692,High
R3HDM1,frontal eye field,115.3,57.293782383419696,1.0089420240648979,High
LZTS1,frontal eye field,22.4,10.565803108808291,1.0840963012962685,High
LTK,frontal eye field,0.8,0.38238341968911915,1.0649800310107311,High
BORCS8-MEF2B,frontal eye field,0.1,0.03212435233160622,1.63826072383293,High
NGEF,frontal eye field,113.0,52.29119170984456,1.111682918123923,High
ADAM7,frontal eye field,2.5,1.245077720207254,1.0056922938547743,High
CAMK2A,frontal eye field,385.1,192.0,1.0041268121880906,High
GSDMB,frontal eye field,5.7,2.577720207253886,1.1448662410837913,High
MOXD1,frontal eye field,7.9,3.9207253886010367,1.0107320556343944,High
GRHL2,frontal eye field,0.5,0.19430051813471502,1.3636383463182316,High
ANKRD24,frontal eye field,23.8,11.83782383419689,1.0075576810879536,High
FETUB,frontal eye field,0.1,0.043523316062176166,1.2001396126172514,High
CDC6,frontal eye field,3.4,1.594818652849741,1.0921423621421804,High
ASB2,frontal eye field,2.4,1.0476683937823834,1.1958522560086289,High
RS1,frontal eye field,0.2,0.08290155440414508,1.270528941361815,High
CKM,frontal eye field,2.6,1.2917098445595856,1.0092295878614714,High
THEG,frontal eye field,1.4,0.3207253886010363,2.126016359764647,High
KCNN1,frontal eye field,35.8,17.79740932642487,1.0082923364024292,High
EPHB6,frontal eye field,41.1,17.231088082901554,1.2541245883205288,High
POU6F2,frontal eye field,1.5,0.5419689119170985,1.4686804964596418,High
GALNTL5,frontal eye field,0.2,0.06787564766839378,1.5590340343264806,High
LHX2,frontal eye field,57.4,23.671502590673576,1.2778994502878898,High
KCNT1,frontal eye field,39.2,17.619689119170985,1.153665184685312,High
ATRNL1,frontal eye field,185.1,84.5,1.1312816487000994,High
PKD2L1,frontal eye field,1.2,0.37253886010362697,1.687571577282903,High
KRT23,frontal eye field,0.1,0.009844559585492229,3.3445295106124457,High
CCL1,frontal eye field,0.2,0.09637305699481866,1.0532982253844068,High
PPY,frontal eye field,0.1,0.007772020725388601,3.685566424539581,High
RCVRN,frontal eye field,2.4,0.9010362694300519,1.4133773205826463,High
CYP27B1,frontal eye field,0.1,0.04818652849740933,1.0532982246087639,High
FGF6,frontal eye field,0.7,0.26632124352331604,1.3941874097961933,High
GYS2,frontal eye field,0.2,0.08186528497409327,1.2886762880500455,High
HDGFL1,frontal eye field,0.5,0.18186528497409327,1.4590579113461442,High
PRSS16,frontal eye field,0.2,0.09170984455958549,1.1248514863333228,High
SMYD1,frontal eye field,0.8,0.33471502590673574,1.2570666823234704,High
TNNT2,frontal eye field,7.3,1.8476683937823835,1.9821906084647838,High
ZC2HC1B,frontal eye field,0.2,0.0761658031088083,1.392784691258913,High
SATB2,frontal eye field,63.0,24.27979274611399,1.3755957219012096,High
TAS2R8,frontal eye field,0.2,0.06528497409326425,1.6151771122796694,High
H2BW1,frontal eye field,0.1,0.01450777202072539,2.7851021067088806,High
KCNS1,frontal eye field,19.2,6.872020725388601,1.4823000183005344,High
IRGC,frontal eye field,0.7,0.25129533678756477,1.4779710218831903,High
OR2B6,frontal eye field,0.1,0.04922279792746114,1.0226014274488786,High
TRIM51,frontal eye field,0.5,0.1689119170984456,1.5656569773587932,High
NPBWR2,frontal eye field,1.4,0.44455958549222796,1.6549781216046662,High
OVOL2,frontal eye field,0.3,0.14248704663212436,1.0741317290456032,High
C20orf173,frontal eye field,1.7,0.8471502590673575,1.0048449580475394,High
BPIFB1,frontal eye field,0.5,0.21398963730569948,1.2243871603503473,High
METTL25,frontal eye field,173.7,75.81709844559586,1.1960026039566354,High
APOL5,frontal eye field,0.1,0.046632124352331605,1.1006039392873215,High
LBP,frontal eye field,0.2,0.08549222797927461,1.2261348220560964,High
TNNT3,frontal eye field,0.1,0.0383419689119171,1.383003669319121,High
RBBP8NL,frontal eye field,0.2,0.02849740932642487,2.8110973194022204,High
NUTM2F,frontal eye field,0.3,0.12383419689119173,1.2765527293243648,High
LILRB2,frontal eye field,0.3,0.12642487046632125,1.2466821997661002,High
TEX101,frontal eye field,0.2,0.09533678756476684,1.0688950804191537,High
ATP1A4,frontal eye field,0.2,0.08808290155440414,1.1830661002138434,High
TESPA1,frontal eye field,57.8,19.55440414507772,1.56357591727607,High
MIP,frontal eye field,0.1,0.018134715025906734,2.4631740138103764,High
KCNH3,frontal eye field,41.7,17.78341968911917,1.2295146076331909,High
EMX1,frontal eye field,29.2,10.949740932642488,1.4150716325686334,High
TBR1,frontal eye field,40.7,16.684455958549222,1.2865241501417704,High
FLOT1,frontal eye field,14.5,4.976165803108808,1.542946439033556,High
FXYD2,frontal eye field,2.7,1.344041450777202,1.0063817751259425,High
ITPKA,frontal eye field,22.3,9.949222797927462,1.1643879737776253,High
THUMPD2,frontal eye field,0.6,0.2761658031088083,1.119427814948108,High
TRIM54,frontal eye field,3.8,1.5139896373056994,1.3276440878508422,High
PLA2G12B,frontal eye field,0.3,0.10518134715025908,1.5120836199133325,High
OIT3,frontal eye field,0.5,0.2295336787564767,1.1232222432604302,High
B4GALNT3,frontal eye field,3.0,1.405699481865285,1.0936743005401908,High
RLBP1,frontal eye field,4.3,1.9595854922279792,1.1337881439803454,High
ZFHX3,frontal eye field,54.1,17.135751295336785,1.6586191476636962,High
KIF2B,frontal eye field,0.2,0.08134715025906736,1.297836287324297,High
GATA6,frontal eye field,0.1,0.04404145077720207,1.1830660992973074,High
GPR32,frontal eye field,0.1,0.035751295336787565,1.483932577897242,High
CELA2A,frontal eye field,0.7,0.3077720207253886,1.1854928382622634,High
CRNN,frontal eye field,0.1,0.018134715025906734,2.4631740138103764,High
GDF7,frontal eye field,2.6,1.233160621761658,1.0761508971523632,High
MLIP,frontal eye field,36.7,14.991709844559585,1.291615127169299,High
TRIM50,frontal eye field,0.1,0.03730569948186529,1.4225320334012386,High
SLC39A4,frontal eye field,6.7,2.5295336787564766,1.4052896479091979,High
ANKRD30A,frontal eye field,0.1,0.031606217616580314,1.6617196965832965,High
HABP2,frontal eye field,0.8,0.26580310880829017,1.589642021298595,High
SLC25A31,frontal eye field,0.1,0.04922279792746114,1.0226014274488786,High
TDO2,frontal eye field,0.5,0.24196891191709846,1.0471063921380883,High
TMEM132D,frontal eye field,13.2,6.5310880829015545,1.0151426588694716,High
MCHR2,frontal eye field,4.6,1.95440414507772,1.234905032607542,High
FEZF2,frontal eye field,21.0,6.220725388601036,1.755234602290984,High
ADGRF4,frontal eye field,0.2,0.0538860103626943,1.8920173171710268,High
TEX29,frontal eye field,4.2,1.3715025906735752,1.6146319804806013,High
ASB17,frontal eye field,1.0,0.32020725388601035,1.6429221039447872,High
NRGN,frontal eye field,1018.1,421.39896373056996,1.2726206015069956,High
PDZD9,frontal eye field,0.1,0.031088082901554404,1.6855664384615878,High
OTOA,frontal eye field,0.2,0.06424870466321243,1.638260725357068,High
KIF5A,frontal eye field,593.5,273.7632124352332,1.1163194357291402,High
CABP1,frontal eye field,202.1,71.75284974093263,1.493961285505733,High
POM121L2,frontal eye field,0.1,0.02072538860103627,2.2705289368624095,High
FGF17,frontal eye field,17.3,8.041968911917097,1.1051513736606433,High
HIPK4,frontal eye field,2.4,1.1735751295336787,1.0321242029928197,High
COL26A1,frontal eye field,13.0,6.382901554404145,1.0262273213257365,High
MSLNL,frontal eye field,0.3,0.10725388601036269,1.4839325796256884,High
PKDCC,frontal eye field,9.8,4.727461139896373,1.0517161500553556,High
PF4,frontal eye field,0.2,0.06010362694300518,1.73447604046151,High
RHO,frontal eye field,0.5,0.19896373056994818,1.329422630997721,High
SMIM43,frontal eye field,6.5,2.6740932642487047,1.2813899349807294,High
ADGRV1,frontal eye field,47.9,22.730569948186528,1.075391797094333,High
SP8,frontal eye field,2.3,0.8740932642487046,1.395774734935203,High
SOHLH1,frontal eye field,7.4,2.9844559585492227,1.310057306538511,High
OTOGL,frontal eye field,1.7,0.777720207253886,1.1282116167970926,High
WDR72,frontal eye field,0.1,0.023834196891191713,2.0688950766007155,High
HTR3A,frontal eye field,0.4,0.19844559585492227,1.0112564549767993,High
MS4A5,frontal eye field,0.1,0.0036269430051813476,4.785102076876009,High
RBFOX3,frontal eye field,159.0,77.68341968911916,1.0333481495984886,High
NIBAN3,frontal eye field,0.2,0.09067357512953368,1.1412459245660127,High
SRP68,frontal eye field,69.2,19.560103626943004,1.8228580243313504,High
MGAT5B,frontal eye field,36.2,17.193264248704665,1.0741462218107503,High
KCNJ4,frontal eye field,38.9,17.47357512953368,1.1545953383682572,High
MYL1,frontal eye field,0.2,0.09481865284974093,1.0767571981838548,High
NPIPB12,frontal eye field,4.5,1.81139896373057,1.3128206640495712,High
