Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
WNT16,habenula,0.2,0.45906735751295336,-1.1987058508798567,Low
CYP26B1,habenula,2.2,13.907772020725387,-2.660315894478073,Low
SLC22A16,habenula,0.0,0.11606217616580312,-30.112250740018823,Low
ARX,habenula,1.3,8.053367875647668,-2.6310806134690017,Low
CALCR,habenula,0.2,0.6927461139896373,-1.792326712312182,Low
PRSS22,habenula,0.0,0.0025906735751295338,-24.62682396729357,Low
ITGAL,habenula,0.0,0.4393782383419689,-32.03281627160973,Low
ITGA2B,habenula,0.5,1.1580310880829014,-1.21167398375128,Low
CRLF1,habenula,4.1,13.183419689119171,-1.685028829272843,Low
TMEM98,habenula,23.4,48.09585492227979,-1.0394040327748144,Low
TAC1,habenula,0.7,14.263730569948187,-4.348852624540123,Low
DLX6,habenula,0.5,1.7507772020725387,-1.8079955028022228,Low
MYH13,habenula,0.0,0.009326424870466322,-26.47482083362939,Low
PRSS21,habenula,0.0,0.007772020725388601,-26.211786430889376,Low
NOS2,habenula,0.0,0.39896373056994816,-31.893610452662056,Low
SLC13A2,habenula,0.0,0.0051813471502590676,-25.626823939449558,Low
MATK,habenula,6.5,19.688082901554406,-1.5988110144780658,Low
CD79B,habenula,0.0,0.04455958549222798,-28.731160574657956,Low
SCN4A,habenula,0.0,0.06528497409326425,-29.28217574242794,Low
SELE,habenula,0.5,1.7186528497409326,-1.7812781644279836,Low
CAMK1G,habenula,4.7,16.364248704663215,-1.7998147067311894,Low
TFAP2B,habenula,0.1,0.8544041450777202,-3.0949186448955457,Low
TFAP2D,habenula,0.0,0.15492227979274611,-30.528897491847523,Low
PRSS3,habenula,4.0,8.520725388601036,-1.0909762555481861,Low
FMO1,habenula,0.0,0.0005181347150259067,-22.3048960951583,Low
ANLN,habenula,42.3,95.27927461139898,-1.171504766243223,Low
CD22,habenula,19.1,46.670466321243524,-1.288937244206582,Low
ALOX5,habenula,1.3,2.90880829015544,-1.1619165930419726,Low
CLDN11,habenula,21.1,46.5160621761658,-1.140485971491079,Low
CD6,habenula,0.3,1.2854922279792746,-2.099286481534525,Low
ISL1,habenula,0.0,0.5512953367875648,-32.36017825248106,Low
VSIG2,habenula,1.4,3.770984455958549,-1.42951437645119,Low
HGF,habenula,2.2,4.4689119170984455,-1.0224200855015841,Low
NRXN3,habenula,29.8,68.53523316062176,-1.2015335207133413,Low
