Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
TSPAN6,habenula,6.7,4.400518134715026,0.6064876930876979,Normal
TNMD,habenula,0.4,0.23160621761658032,0.7883260158225278,Normal
DPM1,habenula,7.7,7.684974093264249,0.002818049337414355,Normal
SCYL3,habenula,4.5,4.762694300518135,-0.0818529490465897,Normal
C1orf112,habenula,1.4,1.570984455958549,-0.16624207883419137,Normal
FGR,habenula,3.5,5.487564766839378,-0.6488111400463648,Normal
CFH,habenula,3.7,3.8818652849740936,-0.0692247813441884,Normal
FUCA2,habenula,20.1,18.162694300518137,0.14621726982779576,Normal
GCLC,habenula,28.0,22.676683937823835,0.3042171399855461,Normal
NFYA,habenula,15.7,20.393264248704664,-0.3773281597617283,Normal
STPG1,habenula,11.5,5.942487046632125,0.9524951026449182,Normal
NIPAL3,habenula,61.1,63.58549222797927,-0.05752525530339339,Normal
LAS1L,habenula,6.5,8.107772020725388,-0.3188658046512973,Normal
ENPP4,habenula,19.4,21.013471502590672,-0.11525786780135627,Normal
CFTR,habenula,0.5,0.9606217616580311,-0.9420403963317324,Normal
ANKIB1,habenula,83.6,92.06269430051813,-0.13911372268777128,Normal
CYP51A1,habenula,54.0,52.538860103626945,0.0395745075407716,Normal
KRIT1,habenula,1.6,1.2792746113989637,0.32274591610269265,Normal
RAD52,habenula,10.5,12.552331606217615,-0.2575660429990617,Normal
BAD,habenula,56.9,44.86839378238342,0.3427291137958818,Normal
LAP3,habenula,25.5,23.438341968911917,0.12162673013204052,Normal
CD99,habenula,143.4,111.22124352331606,0.36661265145796956,Normal
HS3ST1,habenula,9.9,8.067357512953368,0.2953323333779803,Normal
AOC1,habenula,1.1,0.9020725388601036,0.2861881682254996,Normal
HECW1,habenula,30.3,21.23264248704663,0.5130338621269583,Normal
MAD1L1,habenula,9.0,13.16839378238342,-0.5490824767329775,Normal
LASP1,habenula,69.7,52.163730569948186,0.4181116062650849,Normal
SNX11,habenula,11.0,11.129533678756477,-0.016889622079882316,Normal
TMEM176A,habenula,28.8,22.318652849740932,0.36781886270926534,Normal
M6PR,habenula,44.2,45.06528497409327,-0.02797014410781655,Normal
KLHL13,habenula,9.6,6.045595854922279,0.6671498670822236,Normal
ICA1,habenula,22.3,16.170466321243524,0.46368242652976355,Normal
ALS2,habenula,8.6,9.649740932642487,-0.1661535509362807,Normal
CASP10,habenula,6.3,7.541450777202073,-0.25949025823836147,Normal
CFLAR,habenula,53.0,62.12176165803109,-0.22910638278671494,Normal
TFPI,habenula,7.4,8.954922279792745,-0.27515564029997025,Normal
NDUFAF7,habenula,7.3,7.664766839378238,-0.07034544207323698,Normal
RBM5,habenula,38.3,43.61139896373057,-0.18736087769247006,Normal
MTMR7,habenula,20.3,16.96165803108808,0.25920252470652944,Normal
SLC7A2,habenula,13.1,14.484455958549223,-0.14493868571004095,Normal
ARF5,habenula,74.0,62.829533678756476,0.2360823983102887,Normal
SARM1,habenula,7.9,7.946632124352332,-0.0084909056025361,Normal
POLDIP2,habenula,42.0,36.29637305699482,0.21056393487955333,Normal
PLXND1,habenula,19.3,28.462176165803108,-0.5604451244033263,Normal
AK2,habenula,22.4,24.96839378238342,-0.15660428334686635,Normal
CD38,habenula,5.2,4.446632124352332,0.22579856965608622,Normal
FKBP4,habenula,128.7,104.51450777202072,0.3003088352904434,Normal
KDM1A,habenula,7.9,7.800518134715026,0.01828269783291051,Normal
RBM6,habenula,25.3,26.12642487046632,-0.04637233543163113,Normal
CAMKK1,habenula,17.0,28.18860103626943,-0.729577134233798,Normal
RECQL,habenula,6.9,7.605181347150259,-0.14038628783415172,Normal
VPS50,habenula,6.5,7.686528497409326,-0.24189245606766818,Normal
HSPB6,habenula,21.9,31.811917098445594,-0.5386364465657624,Normal
ARHGAP33,habenula,16.9,20.03886010362694,-0.24577719767215847,Normal
