Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
CAMKK1,"hippocampus, CA1",60.0,28.18860103626943,1.0898506201182994,High
CACNG3,"hippocampus, CA1",43.0,14.792227979274612,1.5394972948241739,High
USH1C,"hippocampus, CA1",11.2,4.6585492227979275,1.2655460900728661,High
MYH13,"hippocampus, CA1",0.1,0.009326424870466322,3.422532021799566,High
UPP2,"hippocampus, CA1",7.5,3.3321243523316064,1.170448353601133,High
DNAH9,"hippocampus, CA1",18.5,8.067357512953368,1.1973571738079083,High
IDS,"hippocampus, CA1",838.2,325.56528497409323,1.3643476482332988,High
NME1-NME2,"hippocampus, CA1",9.2,4.44300518134715,1.0500980373607665,High
NCDN,"hippocampus, CA1",637.7,245.82538860103628,1.3752439576864175,High
TOMM34,"hippocampus, CA1",69.6,20.261658031088082,1.7803350699676863,High
MIPEP,"hippocampus, CA1",25.4,5.982383419689119,2.0860362140140256,High
LRRC7,"hippocampus, CA1",64.0,24.11139896373057,1.4083565453553526,High
SLC4A7,"hippocampus, CA1",47.2,14.621761658031089,1.690669719138485,High
APBA2,"hippocampus, CA1",32.1,14.517098445595856,1.1448201688334538,High
STAP1,"hippocampus, CA1",1.1,0.07823834196891193,3.8134839148674784,High
TLL1,"hippocampus, CA1",19.6,4.3699481865284975,2.1651655750785017,High
RTN4R,"hippocampus, CA1",33.2,16.298963730569948,1.0264029990924832,High
TG,"hippocampus, CA1",3.5,0.527979274611399,2.7288017178152044,High
ATP6V1H,"hippocampus, CA1",96.9,33.865803108808294,1.516667456758659,High
ARHGAP6,"hippocampus, CA1",10.1,3.705699481865285,1.4465374988119097,High
CELF2,"hippocampus, CA1",132.1,65.58704663212436,1.0101476491410701,High
NEDD4L,"hippocampus, CA1",62.9,31.167875647668392,1.013000190564268,High
THOC3,"hippocampus, CA1",124.8,28.208808290155442,2.145400309994489,High
NNAT,"hippocampus, CA1",185.7,46.44922279792746,1.9992474529467021,High
CYFIP2,"hippocampus, CA1",284.4,120.16994818652849,1.2428453095310465,High
MCOLN3,"hippocampus, CA1",4.1,0.2948186528497409,3.79772419912542,High
