Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
STPG1,"hippocampus, CA1",2.2,5.942487046632125,-1.4335633296091277,Low
CFTR,"hippocampus, CA1",0.4,0.9606217616580311,-1.26396849114696,Low
HECW1,"hippocampus, CA1",9.1,21.23264248704663,-1.2223454811362038,Low
CYP26B1,"hippocampus, CA1",6.9,13.907772020725387,-1.0112230563818696,Low
HSPB6,"hippocampus, CA1",15.5,31.811917098445594,-1.037299100889978,Low
CALCR,"hippocampus, CA1",0.1,0.6927461139896373,-2.792326711590835,Low
PRSS22,"hippocampus, CA1",0.0,0.0025906735751295338,-24.62682396729357,Low
ITGAL,"hippocampus, CA1",0.0,0.4393782383419689,-32.03281627160973,Low
CACNA1G,"hippocampus, CA1",6.1,16.619689119170985,-1.4460122481182975,Low
ALDH3B1,"hippocampus, CA1",1.6,3.4678756476683934,-1.1159802616486494,Low
CCL26,"hippocampus, CA1",0.0,0.19896373056994818,-30.889858318164443,Low
PRSS21,"hippocampus, CA1",0.0,0.007772020725388601,-26.211786430889376,Low
SLC13A2,"hippocampus, CA1",0.0,0.0051813471502590676,-25.626823939449558,Low
CD79B,"hippocampus, CA1",0.0,0.04455958549222798,-28.731160574657956,Low
CACNA2D2,"hippocampus, CA1",2.9,11.62901554404145,-2.003604165037086,Low
TFAP2B,"hippocampus, CA1",0.0,0.8544041450777202,-32.9922715003245,Low
PAX7,"hippocampus, CA1",0.5,1.0088082901554403,-1.0126520364193226,Low
FMO1,"hippocampus, CA1",0.0,0.0005181347150259067,-22.3048960951583,Low
TSPAN9,"hippocampus, CA1",4.7,11.205181347150258,-1.2534333360143395,Low
ANLN,"hippocampus, CA1",42.3,95.27927461139898,-1.171504766243223,Low
CLDN11,"hippocampus, CA1",21.8,46.5160621761658,-1.0934008354215574,Low
ISL1,"hippocampus, CA1",0.0,0.5512953367875648,-32.36017825248106,Low
MARCO,"hippocampus, CA1",0.3,0.782901554404145,-1.3838684068789695,Low
OSBPL5,"hippocampus, CA1",12.7,25.93575129533679,-1.030113664653295,Low
CPS1,"hippocampus, CA1",2.0,4.333678756476684,-1.115592214395292,Low
INSRR,"hippocampus, CA1",0.1,1.878756476683938,-4.231706171110172,Low
SH2D2A,"hippocampus, CA1",0.2,0.7134715025906735,-1.8348558063477438,Low
ANK1,"hippocampus, CA1",3.2,16.292746113989637,-2.3480859778338554,Low
