Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
STPG1,hippocampus,2.5,5.942487046632125,-1.2491387584795697,Low
CFTR,hippocampus,0.4,0.9606217616580311,-1.26396849114696,Low
HECW1,hippocampus,8.6,21.23264248704663,-1.3038753666318803,Low
CYP26B1,hippocampus,5.2,13.907772020725387,-1.4193077950121111,Low
SLC22A16,hippocampus,0.0,0.11606217616580312,-30.112250740018823,Low
CALCR,hippocampus,0.1,0.6927461139896373,-2.792326711590835,Low
PRSS22,hippocampus,0.0,0.0025906735751295338,-24.62682396729357,Low
ITGAL,hippocampus,0.1,0.4393782383419689,-2.1354634161807726,Low
ITGA2B,hippocampus,0.5,1.1580310880829014,-1.21167398375128,Low
CACNA1G,hippocampus,4.9,16.619689119170985,-1.7620397415601834,Low
PRSS21,hippocampus,0.0,0.007772020725388601,-26.211786430889376,Low
SLC13A2,hippocampus,0.0,0.0051813471502590676,-25.626823939449558,Low
CACNA2D2,hippocampus,3.1,11.62901554404145,-1.9073888497809923,Low
TFAP2B,hippocampus,0.0,0.8544041450777202,-32.9922715003245,Low
TFAP2D,hippocampus,0.0,0.15492227979274611,-30.528897491847523,Low
FMO1,hippocampus,0.0,0.0005181347150259067,-22.3048960951583,Low
TSPAN9,hippocampus,4.7,11.205181347150258,-1.2534333360143395,Low
ANLN,hippocampus,42.7,95.27927461139898,-1.157926359742714,Low
KDM5D,hippocampus,8.4,17.36217616580311,-1.0474865527216641,Low
CLDN11,hippocampus,21.3,46.5160621761658,-1.1268755399724903,Low
CCDC88C,hippocampus,1.8,3.975647668393782,-1.1431930008084097,Low
ISL1,hippocampus,0.0,0.5512953367875648,-32.36017825248106,Low
CYP24A1,hippocampus,0.2,0.5637305699481865,-1.4950058035168303,Low
OSBPL5,hippocampus,12.4,25.93575129533679,-1.0646020410383106,Low
CPS1,hippocampus,2.0,4.333678756476684,-1.115592214395292,Low
INSRR,hippocampus,0.1,1.878756476683938,-4.231706171110172,Low
SH2D2A,hippocampus,0.3,0.7134715025906735,-1.249893305867037,Low
ANK1,hippocampus,3.2,16.292746113989637,-2.3480859778338554,Low
IBSP,hippocampus,0.0,0.161139896373057,-30.58566658774409,Low
MYOC,hippocampus,0.0,0.05233160621761658,-28.96310730222681,Low
DEPDC1B,hippocampus,0.3,0.6818652849740933,-1.1845242354766872,Low
OTC,hippocampus,0.0,0.16321243523316062,-30.604103835989395,Low
SLC18A1,hippocampus,0.0,0.10880829015544041,-30.01914133571021,Low
