Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
TSPAN6,hippocampus,4.5,4.400518134715026,0.03225159897012705,Normal
TNMD,hippocampus,0.2,0.23160621761658032,-0.21167398381679844,Normal
DPM1,hippocampus,8.6,7.684974093264249,0.16229626334265007,Normal
SCYL3,hippocampus,4.2,4.762694300518135,-0.18138862259521413,Normal
C1orf112,hippocampus,1.2,1.570984455958549,-0.3886345001534642,Normal
FGR,hippocampus,5.0,5.487564766839378,-0.13423796722897244,Normal
CFH,hippocampus,3.9,3.8818652849740936,0.006724071887110435,Normal
FUCA2,hippocampus,15.7,18.162694300518137,-0.21021367245749442,Normal
GCLC,hippocampus,18.4,22.676683937823835,-0.3015039208997194,Normal
NFYA,hippocampus,16.5,20.393264248704664,-0.3056266944079851,Normal
NIPAL3,hippocampus,36.0,63.58549222797927,-0.8207007287908019,Normal
LAS1L,hippocampus,6.3,8.107772020725388,-0.363953694179131,Normal
ENPP4,hippocampus,14.7,21.013471502590672,-0.5154983651497416,Normal
SEMA3F,hippocampus,5.2,9.034715025906737,-0.7969674728774924,Normal
ANKIB1,hippocampus,70.9,92.06269430051813,-0.3768310375288286,Normal
CYP51A1,hippocampus,35.3,52.538860103626945,-0.5737167162374636,Normal
KRIT1,hippocampus,1.2,1.2792746113989637,-0.09229158314609513,Normal
RAD52,hippocampus,11.1,12.552331606217615,-0.17739569431582128,Normal
BAD,hippocampus,47.4,44.86839378238342,0.0791875203880671,Normal
LAP3,hippocampus,23.0,23.438341968911917,-0.027236655781827296,Normal
CD99,hippocampus,111.8,111.22124352331606,0.007487815599539343,Normal
HS3ST1,hippocampus,4.7,8.067357512953368,-0.7794354350078692,Normal
AOC1,hippocampus,0.9,0.9020725388601036,-0.0033184489403400184,Normal
WNT16,hippocampus,0.3,0.45906735751295336,-0.61374335039915,Normal
MAD1L1,hippocampus,10.8,13.16839378238342,-0.2860480709018552,Normal
LASP1,hippocampus,49.7,52.163730569948186,-0.06980119804021917,Normal
SNX11,hippocampus,10.1,11.129533678756477,-0.14003785285157852,Normal
TMEM176A,hippocampus,20.4,22.318652849740932,-0.12968079675948893,Normal
M6PR,hippocampus,46.9,45.06528497409327,0.05757140901594038,Normal
KLHL13,hippocampus,3.5,6.045595854922279,-0.7885296166677743,Normal
ICA1,hippocampus,11.5,16.170466321243524,-0.4917274224400901,Normal
DBNDD1,hippocampus,27.5,37.79481865284974,-0.458756848183234,Normal
ALS2,hippocampus,8.8,9.649740932642487,-0.1329866870014625,Normal
CASP10,hippocampus,7.5,7.541450777202073,-0.00795149124606113,Normal
CFLAR,hippocampus,70.8,62.12176165803109,0.18865061784503653,Normal
TFPI,hippocampus,9.2,8.954922279792745,0.03895295012427814,Normal
NDUFAF7,hippocampus,7.9,7.664766839378238,0.043610747222347646,Normal
RBM5,hippocampus,37.7,43.61139896373057,-0.2101407463487026,Normal
MTMR7,hippocampus,13.8,16.96165803108808,-0.2976089356971302,Normal
SLC7A2,hippocampus,23.4,14.484455958549223,0.6920030323310655,Normal
ARF5,hippocampus,68.0,62.829533678756476,0.11409187393185034,Normal
SARM1,hippocampus,8.0,7.946632124352332,0.009656441107495032,Normal
POLDIP2,hippocampus,35.5,36.29637305699482,-0.032006368393895784,Normal
PLXND1,hippocampus,16.6,28.462176165803108,-0.777862730323266,Normal
AK2,hippocampus,20.0,24.96839378238342,-0.320103015628973,Normal
CD38,hippocampus,6.0,4.446632124352332,0.4322494471198134,Normal
FKBP4,hippocampus,100.1,104.51450777202072,-0.062261244093944464,Normal
KDM1A,hippocampus,9.0,7.800518134715026,0.20635504598325038,Normal
RBM6,hippocampus,25.6,26.12642487046632,-0.029365910126007904,Normal
CAMKK1,hippocampus,42.5,28.18860103626943,0.5923509606484726,Normal
RECQL,hippocampus,6.6,7.605181347150259,-0.20451662525291708,Normal
VPS50,hippocampus,8.0,7.686528497409326,0.05766782578707811,Normal
HSPB6,hippocampus,16.4,31.811917098445594,-0.9558715015466428,Normal
ARHGAP33,hippocampus,17.8,20.03886010362694,-0.17092320298837652,Normal
NDUFAB1,hippocampus,41.3,45.40414507772021,-0.13668222974985592,Normal
PDK4,hippocampus,32.3,42.192746113989635,-0.38546082346908017,Normal
ZMYND10,hippocampus,1.4,2.7300518134715026,-0.9635015049975886,Normal
ABCB5,hippocampus,0.8,0.8435233160621762,-0.07642794698886177,Normal
ARX,hippocampus,11.8,8.053367875647668,0.5511227176529973,Normal
SLC25A13,hippocampus,4.9,9.719689119170985,-0.988128421234402,Normal
ST7,hippocampus,23.0,25.44715025906736,-0.14587024160189627,Normal
CDC27,hippocampus,23.5,23.976683937823836,-0.02897138581209674,Normal
SLC4A1,hippocampus,0.9,0.9766839378238342,-0.11796676943304796,Normal
HCCS,hippocampus,7.5,6.896373056994818,0.12105277696302345,Normal
DVL2,hippocampus,10.7,12.344559585492227,-0.20626457001364304,Normal
UPF1,hippocampus,19.8,21.89326424870466,-0.14498664364340566,Normal
SKAP2,hippocampus,8.0,11.908808290155442,-0.5739571453711618,Normal
SLC25A5,hippocampus,53.6,61.59585492227979,-0.20060026769975622,Normal
MCUB,hippocampus,1.9,2.0409326424870464,-0.10322915089713387,Normal
POLR2J,hippocampus,23.8,23.896891191709848,-0.005861372956157183,Normal
DHX33,hippocampus,6.7,6.769430051813472,-0.014873276481309318,Normal
MEOX1,hippocampus,0.3,0.2601036269430052,0.20587598396470116,Normal
THSD7A,hippocampus,6.5,6.089119170984456,0.09420616973875733,Normal
LIG3,hippocampus,8.0,8.474093264248705,-0.08305900681368888,Normal
RPAP3,hippocampus,8.1,10.560103626943004,-0.3826301789064872,Normal
ACSM3,hippocampus,7.6,8.994818652849741,-0.24309477661723217,Normal
REXO5,hippocampus,2.1,3.5507772020725388,-0.757745511586389,Normal
CIAPIN1,hippocampus,16.4,18.45181347150259,-0.17006679861060933,Normal
SPPL2B,hippocampus,17.5,20.760621761658033,-0.24649472968256805,Normal
ATOSB,hippocampus,17.7,18.606735751295336,-0.07207561994166525,Normal
COPZ2,hippocampus,7.1,6.445077720207254,0.13962126868441513,Normal
PRKAR2B,hippocampus,2.5,3.217098445595855,-0.3638319893029997,Normal
MSL3,hippocampus,10.4,9.8,0.0857298740250346,Normal
CREBBP,hippocampus,47.5,49.83523316062177,-0.06923856486150266,Normal
TSPOAP1,hippocampus,51.9,32.66321243523316,0.6680678512805852,Normal
MPO,hippocampus,0.1,0.14715025906735751,-0.5572900817743297,Normal
PON1,hippocampus,0.7,0.6880829015544042,0.02477252797519002,Normal
GCFC2,hippocampus,12.4,14.551295336787565,-0.23080746501310895,Normal
WDR54,hippocampus,5.2,4.3818652849740936,0.24696649211241462,Normal
CROT,hippocampus,5.4,5.605181347150259,-0.0538016427209707,Normal
ABCB4,hippocampus,0.5,0.5777202072538861,-0.2084428626134076,Normal
KMT2E,hippocampus,19.0,23.47461139896373,-0.3051018570028161,Normal
RHBDD2,hippocampus,171.5,136.90362694300518,0.3250479084479783,Normal
SOX8,hippocampus,33.9,50.478756476683934,-0.5743910971987551,Normal
IBTK,hippocampus,3.5,4.437305699481866,-0.3423290261637557,Normal
ZNF195,hippocampus,8.5,9.22901554404145,-0.11871392303578049,Normal
MYCBP2,hippocampus,31.2,31.990155440414508,-0.03608197344942311,Normal
FBXL3,hippocampus,23.0,25.15854922279793,-0.12941486989354142,Normal
PDK2,hippocampus,33.9,29.965284974093265,0.17799317915382964,Normal
ITGA3,hippocampus,7.5,8.67979274611399,-0.2107699991642325,Normal
ZFX,hippocampus,27.1,30.555958549222797,-0.1731608879141675,Normal
LAMP2,hippocampus,95.2,121.9476683937824,-0.35722869581521693,Normal
ASB4,hippocampus,5.1,5.805699481865285,-0.18697264915474135,Normal
GDE1,hippocampus,26.4,25.78704663212435,0.03389137759536979,Normal
REX1BD,hippocampus,33.8,33.72487046632124,0.003210344563109767,Normal
CRLF1,hippocampus,7.8,13.183419689119171,-0.75717861504537,Normal
OSBPL7,hippocampus,4.9,5.326943005181347,-0.120526095854682,Normal
TMEM98,hippocampus,28.6,48.09585492227979,-0.7498974155809505,Normal
YBX2,hippocampus,1.3,0.7316062176165803,0.8293723820517733,Normal
MAP3K14,hippocampus,7.2,6.509844559585493,0.14537381105630373,Normal
ABCC8,hippocampus,4.9,4.313471502590674,0.1839323245332983,Normal
CACNG3,hippocampus,27.5,14.792227979274612,0.8945922536486265,Normal
TMEM132A,hippocampus,67.1,80.20518134715026,-0.25738267302724643,Normal
AP2B1,hippocampus,109.7,99.7056994818653,0.13781564479921452,Normal
TAC1,hippocampus,7.2,14.263730569948187,-0.986282545341476,Normal
ZNF263,hippocampus,13.2,12.848186528497408,0.038973186582502616,Normal
CX3CL1,hippocampus,44.0,32.534715025906735,0.43552360663989487,Normal
