Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
TSPAN6,lateral amygdala,3.2,4.400518134715026,-0.4596014973465231,Normal
TNMD,lateral amygdala,0.2,0.23160621761658032,-0.21167398381679844,Normal
DPM1,lateral amygdala,5.2,7.684974093264249,-0.5635287732073869,Normal
SCYL3,lateral amygdala,3.4,4.762694300518135,-0.4862432041155529,Normal
C1orf112,lateral amygdala,1.1,1.570984455958549,-0.5141653822263934,Normal
FGR,lateral amygdala,6.2,5.487564766839378,0.1761021533775937,Normal
CFH,lateral amygdala,2.8,3.8818652849740936,-0.4713232249030012,Normal
FUCA2,lateral amygdala,13.0,18.162694300518137,-0.4824666083187584,Normal
GCLC,lateral amygdala,17.1,22.676683937823835,-0.4072133620702382,Normal
NFYA,lateral amygdala,18.1,20.393264248704664,-0.17210302157136828,Normal
STPG1,lateral amygdala,4.4,5.942487046632125,-0.43356332964191624,Normal
NIPAL3,lateral amygdala,48.7,63.58549222797927,-0.3847758630391796,Normal
LAS1L,lateral amygdala,8.6,8.107772020725388,0.08503113701692615,Normal
ENPP4,lateral amygdala,13.7,21.013471502590672,-0.617138627024863,Normal
SEMA3F,lateral amygdala,11.7,9.034715025906737,0.37295752854940634,Normal
CFTR,lateral amygdala,0.7,0.9606217616580311,-0.45661356924393065,Normal
ANKIB1,lateral amygdala,80.7,92.06269430051813,-0.19004799149081164,Normal
CYP51A1,lateral amygdala,28.2,52.538860103626945,-0.8976897371088215,Normal
KRIT1,lateral amygdala,0.9,1.2792746113989637,-0.5073290823848641,Normal
RAD52,lateral amygdala,10.0,12.552331606217615,-0.32795537088977267,Normal
BAD,lateral amygdala,42.0,44.86839378238342,-0.09531021084367795,Normal
LAP3,lateral amygdala,17.7,23.438341968911917,-0.405121156641327,Normal
CD99,lateral amygdala,81.0,111.22124352331606,-0.457438559471173,Normal
HS3ST1,lateral amygdala,6.9,8.067357512953368,-0.2254998299171244,Normal
AOC1,lateral amygdala,0.7,0.9020725388601036,-0.36588852827924856,Normal
WNT16,lateral amygdala,0.3,0.45906735751295336,-0.61374335039915,Normal
HECW1,lateral amygdala,15.5,21.23264248704663,-0.4540157160672084,Normal
MAD1L1,lateral amygdala,11.3,13.16839378238342,-0.22075661065072713,Normal
LASP1,lateral amygdala,51.5,52.163730569948186,-0.018474617532026092,Normal
SNX11,lateral amygdala,9.3,11.129533678756477,-0.25909052449411296,Normal
TMEM176A,lateral amygdala,19.3,22.318652849740932,-0.209649101462501,Normal
M6PR,lateral amygdala,31.2,45.06528497409327,-0.5304704846356402,Normal
KLHL13,lateral amygdala,4.6,6.045595854922279,-0.394250677565585,Normal
CYP26B1,lateral amygdala,17.0,13.907772020725387,0.28964342296524065,Normal
ICA1,lateral amygdala,11.6,16.170466321243524,-0.47923647825700144,Normal
DBNDD1,lateral amygdala,37.6,37.79481865284974,-0.0074558049190274304,Normal
ALS2,lateral amygdala,6.8,9.649740932642487,-0.5049554643835985,Normal
CASP10,lateral amygdala,8.1,7.541450777202073,0.1030798211412578,Normal
