Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
HS3ST1,nucleus accumbens,3.5,8.067357512953368,-1.2047412697300157,Low
WNT16,nucleus accumbens,0.1,0.45906735751295336,-2.1987058501585093,Low
CYP26B1,nucleus accumbens,5.9,13.907772020725387,-1.2371044637946538,Low
PRSS22,nucleus accumbens,0.0,0.0025906735751295338,-24.62682396729357,Low
ITGAL,nucleus accumbens,0.1,0.4393782383419689,-2.1354634161807726,Low
YBX2,nucleus accumbens,0.3,0.7316062176165803,-1.286104834998241,Low
CACNA1G,nucleus accumbens,5.0,16.619689119170985,-1.7328933959012558,Low
TNFRSF12A,nucleus accumbens,2.4,5.321243523316062,-1.1487290231833207,Low
MYH13,nucleus accumbens,0.0,0.009326424870466322,-26.47482083362939,Low
CEACAM21,nucleus accumbens,0.4,1.1466321243523316,-1.5193306982980777,Low
SLC13A2,nucleus accumbens,0.0,0.0051813471502590676,-25.626823939449558,Low
TFAP2B,nucleus accumbens,0.0,0.8544041450777202,-32.9922715003245,Low
TFAP2D,nucleus accumbens,0.0,0.15492227979274611,-30.528897491847523,Low
PAX7,nucleus accumbens,0.1,1.0088082901554403,-3.334580130152529,Low
BTK,nucleus accumbens,0.6,1.2849740932642486,-1.098704867156826,Low
FMO1,nucleus accumbens,0.0,0.0005181347150259067,-22.3048960951583,Low
SLC6A7,nucleus accumbens,1.2,9.71139896373057,-3.016644730349919,Low
LTF,nucleus accumbens,0.6,6.5595854922279795,-3.4505702461080117,Low
CD6,nucleus accumbens,0.5,1.2854922279792746,-1.3623208875606783,Low
DPEP1,nucleus accumbens,0.1,0.22487046632124352,-1.169094194375271,Low
SLC11A1,nucleus accumbens,2.4,6.488082901554405,-1.4347578478538787,Low
MARCO,nucleus accumbens,0.3,0.782901554404145,-1.3838684068789695,Low
SYT13,nucleus accumbens,8.6,30.581865284974093,-1.8302678389899223,Low
HGF,nucleus accumbens,1.9,4.4689119170984455,-1.2339241906849419,Low
GABRA1,nucleus accumbens,19.7,42.71813471502591,-1.1166530235165288,Low
CD44,nucleus accumbens,38.3,95.5119170984456,-1.3183363584431096,Low
INSRR,nucleus accumbens,0.7,1.878756476683938,-1.4243512502891642,Low
SH2D2A,nucleus accumbens,0.3,0.7134715025906735,-1.249893305867037,Low
ANK1,nucleus accumbens,2.7,16.292746113989637,-2.593198475662038,Low
IBSP,nucleus accumbens,0.0,0.161139896373057,-30.58566658774409,Low
MYOC,nucleus accumbens,0.0,0.05233160621761658,-28.96310730222681,Low
DEPDC1B,nucleus accumbens,0.2,0.6818652849740933,-1.769486735957394,Low
SLC18A1,nucleus accumbens,0.0,0.10880829015544041,-30.01914133571021,Low
