Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
ARX,"orbitofrontal gyrus, anterior",20.5,8.053367875647668,1.3479597677914132,High
MEOX1,"orbitofrontal gyrus, anterior",0.6,0.2601036269430052,1.2058759837242519,High
SCN4A,"orbitofrontal gyrus, anterior",0.2,0.06528497409326425,1.6151771122796694,High
GPRC5A,"orbitofrontal gyrus, anterior",37.0,15.253886010362693,1.2783484468344588,High
HMGB3,"orbitofrontal gyrus, anterior",18.7,9.203108808290155,1.022845079399684,High
STAG3,"orbitofrontal gyrus, anterior",1.5,0.6088082901554405,1.3009025912834462,High
PKP1,"orbitofrontal gyrus, anterior",0.9,0.31813471502590673,1.5002871930470272,High
REM1,"orbitofrontal gyrus, anterior",1.1,0.24300518134715024,2.1784445429274664,High
CPXM1,"orbitofrontal gyrus, anterior",1.0,0.2792746113989637,1.8402436690306203,High
FETUB,"orbitofrontal gyrus, anterior",0.2,0.043523316062176166,2.2001396118959042,High
NLRP1,"orbitofrontal gyrus, anterior",15.2,4.888082901554404,1.636730665162046,High
TPSD1,"orbitofrontal gyrus, anterior",1.4,0.43989637305699486,1.670191215547733,High
RS1,"orbitofrontal gyrus, anterior",0.2,0.08290155440414508,1.270528941361815,High
THEG,"orbitofrontal gyrus, anterior",1.0,0.3207253886010363,1.640589532635625,High
PKD2L1,"orbitofrontal gyrus, anterior",0.9,0.37253886010362697,1.272534078044134,High
DLX4,"orbitofrontal gyrus, anterior",0.2,0.09378238341968913,1.0926111493678794,High
SLC6A12,"orbitofrontal gyrus, anterior",20.2,8.61658031088083,1.2291679718356423,High
PRR4,"orbitofrontal gyrus, anterior",0.1,0.0051813471502590676,4.2705289159793995,High
TULP1,"orbitofrontal gyrus, anterior",0.1,0.04248704663212436,1.23490503069708,High
C7,"orbitofrontal gyrus, anterior",2.7,1.1694300518134715,1.2071538361697787,High
CD207,"orbitofrontal gyrus, anterior",0.1,0.01139896373056995,3.133025407417108,High
CR2,"orbitofrontal gyrus, anterior",0.3,0.14352331606217616,1.0636773714157475,High
TNNT2,"orbitofrontal gyrus, anterior",6.2,1.8476683937823835,1.746562359975148,High
TNN,"orbitofrontal gyrus, anterior",0.1,0.046632124352331605,1.1006039392873215,High
IL22,"orbitofrontal gyrus, anterior",0.1,0.03678756476683938,1.4427099152844012,High
EPO,"orbitofrontal gyrus, anterior",0.1,0.02849740932642487,1.8110973201235676,High
TNNT3,"orbitofrontal gyrus, anterior",0.1,0.0383419689119171,1.383003669319121,High
TNNI2,"orbitofrontal gyrus, anterior",0.2,0.038860103626943004,2.363638343781012,High
LILRB2,"orbitofrontal gyrus, anterior",0.3,0.12642487046632125,1.2466821997661002,High
COX4I2,"orbitofrontal gyrus, anterior",1.8,0.8378238341968911,1.1032780751446856,High
TEX101,"orbitofrontal gyrus, anterior",4.6,0.09533678756476684,5.592457035786182,High
CHIT1,"orbitofrontal gyrus, anterior",0.7,0.316580310880829,1.144783389257342,High
MYH11,"orbitofrontal gyrus, anterior",7.1,3.500518134715026,1.0202505439504825,High
DSG1,"orbitofrontal gyrus, anterior",0.1,0.011917098445595856,3.0688950705476694,High
LACRT,"orbitofrontal gyrus, anterior",0.1,0.026424870466321245,1.920031691279669,High
FGFBP2,"orbitofrontal gyrus, anterior",0.3,0.13523316062176166,1.14951354083343,High
STRA6,"orbitofrontal gyrus, anterior",0.1,0.032642487046632127,1.6151771107911739,High
ERP27,"orbitofrontal gyrus, anterior",5.4,2.5761658031088084,1.067733958349779,High
ZFHX3,"orbitofrontal gyrus, anterior",39.0,17.135751295336785,1.1864646775875238,High
GATA6,"orbitofrontal gyrus, anterior",0.1,0.04404145077720207,1.1830660992973074,High
OSR1,"orbitofrontal gyrus, anterior",1.2,0.42020725388601043,1.5138614335488585,High
PRSS35,"orbitofrontal gyrus, anterior",2.0,0.8378238341968911,1.2552811685817205,High
DNAJC5B,"orbitofrontal gyrus, anterior",0.1,0.049740932642487044,1.0074945350892013,High
CDKN2A,"orbitofrontal gyrus, anterior",7.6,3.594300518134715,1.080288381446418,High
ANKRD30A,"orbitofrontal gyrus, anterior",0.1,0.031606217616580314,1.6617196965832965,High
