Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
TSPAN6,posterior insular cortex,3.2,4.400518134715026,-0.4596014973465231,Normal
TNMD,posterior insular cortex,0.2,0.23160621761658032,-0.21167398381679844,Normal
DPM1,posterior insular cortex,6.1,7.684974093264249,-0.33323115378968654,Normal
SCYL3,posterior insular cortex,4.1,4.762694300518135,-0.21615404075505312,Normal
C1orf112,posterior insular cortex,1.1,1.570984455958549,-0.5141653822263934,Normal
FGR,posterior insular cortex,3.3,5.487564766839378,-0.7337000376303795,Normal
CFH,posterior insular cortex,3.2,3.8818652849740936,-0.27867814696704585,Normal
FUCA2,posterior insular cortex,13.1,18.162694300518137,-0.4714114198098474,Normal
GCLC,posterior insular cortex,14.9,22.676683937823835,-0.6058973564927286,Normal
NFYA,posterior insular cortex,17.1,20.393264248704664,-0.25409639376820975,Normal
STPG1,posterior insular cortex,5.9,5.942487046632125,-0.0103518989257084,Normal
NIPAL3,posterior insular cortex,41.0,63.58549222797927,-0.6330737256155196,Normal
LAS1L,posterior insular cortex,6.7,8.107772020725388,-0.27514442722264193,Normal
ENPP4,posterior insular cortex,13.1,21.013471502590672,-0.681747708447457,Normal
SEMA3F,posterior insular cortex,5.3,9.034715025906737,-0.769486736455909,Normal
CFTR,posterior insular cortex,0.5,0.9606217616580311,-0.9420403963317324,Normal
ANKIB1,posterior insular cortex,77.3,92.06269430051813,-0.25214825084366604,Normal
CYP51A1,posterior insular cortex,31.6,52.538860103626945,-0.7334603413310625,Normal
KRIT1,posterior insular cortex,1.1,1.2792746113989637,-0.21782246521902432,Normal
RAD52,posterior insular cortex,13.8,12.552331606217615,0.13671289610969917,Normal
BAD,posterior insular cortex,44.1,44.86839378238342,-0.024920882952443543,Normal
LAP3,posterior insular cortex,15.3,23.438341968911917,-0.6153388640303937,Normal
HS3ST1,posterior insular cortex,8.0,8.067357512953368,-0.012096191810806097,Normal
AOC1,posterior insular cortex,0.9,0.9020725388601036,-0.0033184489403400184,Normal
WNT16,posterior insular cortex,0.8,0.45906735751295336,0.8012941485791325,Normal
HECW1,posterior insular cortex,39.0,21.23264248704663,0.8771901924025561,Normal
MAD1L1,posterior insular cortex,12.6,13.16839378238342,-0.06365564956731586,Normal
