Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
SLC22A16,precentral gyrus,0.3,0.11606217616580312,1.3700646151694944,High
MEOX1,precentral gyrus,0.8,0.2601036269430052,1.6209134829429837,High
CRLF1,precentral gyrus,31.8,13.183419689119171,1.2703021213627779,High
MATK,precentral gyrus,45.9,19.688082901554406,1.2211715158882355,High
ROS1,precentral gyrus,2.5,1.0585492227979276,1.2398397382309954,High
DLX3,precentral gyrus,0.4,0.10466321243523316,1.9342455534985432,High
DMRT3,precentral gyrus,1.0,0.3119170984455959,1.6807654550774849,High
SLC12A3,precentral gyrus,1.4,0.5699481865284974,1.2965241507635845,High
GSDMB,precentral gyrus,5.9,2.577720207253886,1.194619276280033,High
TFAP2C,precentral gyrus,1.9,0.8124352331606218,1.2256747064948121,High
SIRPG,precentral gyrus,0.4,0.14352331606217616,1.4787148705743667,High
TBX5,precentral gyrus,0.3,0.1067357512953368,1.4909190099352652,High
CHRD,precentral gyrus,10.8,5.0025906735751295,1.1102839955780557,High
CPA1,precentral gyrus,0.3,0.1316062176165803,1.1887348506017479,High
NCR2,precentral gyrus,0.7,0.15284974093264247,2.195240814338715,High
MT4,precentral gyrus,0.1,0.035233160621761656,1.504994193365728,High
CCL17,precentral gyrus,0.5,0.244559585492228,1.0317420824922245,High
ENTREP2,precentral gyrus,5.7,1.6176165803108808,1.8170922293910372,High
ESRP1,precentral gyrus,0.1,0.03730569948186529,1.4225320334012386,High
AMH,precentral gyrus,2.6,1.2642487046632125,1.0402313229002973,High
FCER2,precentral gyrus,0.5,0.2155440414507772,1.2139454136335621,High
KCNN1,precentral gyrus,44.9,17.79740932642487,1.3350481938785033,High
ATP4A,precentral gyrus,0.5,0.16476683937823836,1.6015021762840282,High
CRHR2,precentral gyrus,7.2,2.5414507772020727,1.5023446175670625,High
EPHB6,precentral gyrus,47.7,17.231088082901554,1.4689754606438716,High
RLN1,precentral gyrus,0.3,0.1067357512953368,1.4909190099352652,High
KCNT1,precentral gyrus,49.1,17.619689119170985,1.478534554884055,High
CCL1,precentral gyrus,0.2,0.09637305699481866,1.0532982253844068,High
DLX4,precentral gyrus,0.5,0.09378238341968913,2.414539243822433,High
PPY,precentral gyrus,0.1,0.007772020725388601,3.685566424539581,High
VWF,precentral gyrus,76.9,37.36787564766839,1.0411850489082182,High
CUX2,precentral gyrus,21.4,10.169948186528497,1.0732984675935555,High
TLX2,precentral gyrus,1.2,0.572538860103627,1.067588883578685,High
TPO,precentral gyrus,1.4,0.5129533678756477,1.4485272441805093,High
CD207,precentral gyrus,0.1,0.01139896373056995,3.133025407417108,High
ATP6V1B1,precentral gyrus,2.1,0.9046632124352332,1.2149366163266273,High
TNNT2,precentral gyrus,7.1,1.8476683937823835,1.9421131690900053,High
PCDHB8,precentral gyrus,7.0,3.316580310880829,1.077658460924483,High
TAS2R8,precentral gyrus,0.4,0.06528497409326425,2.6151771119189955,High
XPNPEP2,precentral gyrus,0.1,0.0015544041450777204,6.007494445176241,High
OPN4,precentral gyrus,2.1,0.7316062176165803,1.5212500866471645,High
H2BW1,precentral gyrus,0.1,0.01450777202072539,2.7851021067088806,High
KCNS1,precentral gyrus,18.6,6.872020725388601,1.436496328687652,High
RBPJL,precentral gyrus,0.1,0.005699481865284975,4.133025394760738,High
PCK1,precentral gyrus,1.8,0.6284974093264248,1.5180182034404857,High
NPBWR2,precentral gyrus,3.2,0.44455958549222796,2.847623199489097,High
OVOL2,precentral gyrus,0.3,0.14248704663212436,1.0741317290456032,High
C20orf173,precentral gyrus,1.9,0.8471502590673575,1.1653096302318524,High
BPIFB1,precentral gyrus,0.6,0.21398963730569948,1.487421566136051,High
SIX1,precentral gyrus,0.3,0.14093264248704665,1.0899566961961182,High
FGFRL1,precentral gyrus,65.5,32.16165803108808,1.0261531229055567,High
METTL25,precentral gyrus,169.3,75.81709844559586,1.158986823141906,High
APOL5,precentral gyrus,0.1,0.046632124352331605,1.1006039392873215,High
LIF,precentral gyrus,3.8,0.8088082901554404,2.2321297285933497,High
KLK14,precentral gyrus,3.5,1.6274611398963732,1.104731826513655,High
ANGPTL8,precentral gyrus,5.5,2.3248704663212436,1.2422812820805706,High
EPO,precentral gyrus,0.1,0.02849740932642487,1.8110973201235676,High
CACNG6,precentral gyrus,1.0,0.4191709844559586,1.2543892395255563,High
RBBP8NL,precentral gyrus,0.1,0.02849740932642487,1.8110973201235676,High
NUTM2F,precentral gyrus,0.3,0.12383419689119173,1.2765527293243648,High
CCL25,precentral gyrus,0.2,0.08186528497409327,1.2886762880500455,High
KCNC3,precentral gyrus,84.2,26.612953367875647,1.6616916112120064,High
