Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
CRLF1,"premotor cortex, dorsal",28.4,13.183419689119171,1.1071662855836473,High
CACNG3,"premotor cortex, dorsal",29.6,14.792227979274612,1.0007578108651825,High
NOS2,"premotor cortex, dorsal",1.1,0.39896373056994816,1.4631740200926577,High
MYOM2,"premotor cortex, dorsal",3.4,1.305699481865285,1.3807118600630812,High
ROS1,"premotor cortex, dorsal",3.4,1.0585492227979276,1.6834463896913345,High
ITIH1,"premotor cortex, dorsal",0.1,0.0383419689119171,1.383003669319121,High
LZTS1,"premotor cortex, dorsal",23.9,10.565803108808291,1.177608187219009,High
NGEF,"premotor cortex, dorsal",108.2,52.29119170984456,1.0490606446482447,High
CAMK2A,"premotor cortex, dorsal",389.0,192.0,1.0186638442646552,High
FKBP6,"premotor cortex, dorsal",0.1,0.029533678756476684,1.7595670196611188,High
MOXD1,"premotor cortex, dorsal",8.5,3.9207253886010367,1.116342243593704,High
FETUB,"premotor cortex, dorsal",0.1,0.043523316062176166,1.2001396126172514,High
SLC26A4,"premotor cortex, dorsal",15.4,7.021761658031088,1.1330254186196054,High
TPSD1,"premotor cortex, dorsal",1.1,0.43989637305699486,1.322267912155531,High
SMIM24,"premotor cortex, dorsal",2.4,1.1476683937823835,1.0643285544812613,High
SPINT3,"premotor cortex, dorsal",0.7,0.3207253886010363,1.1260163598676964,High
PAGE4,"premotor cortex, dorsal",0.1,0.02901554404145078,1.7851021116810257,High
RS1,"premotor cortex, dorsal",0.2,0.08290155440414508,1.270528941361815,High
ESRP1,"premotor cortex, dorsal",0.1,0.03730569948186529,1.4225320334012386,High
FGL1,"premotor cortex, dorsal",1.1,0.5238341968911917,1.0703213738581066,High
THEG,"premotor cortex, dorsal",1.3,0.3207253886010363,2.019101155856062,High
EPHB6,"premotor cortex, dorsal",48.3,17.231088082901554,1.4870093834740956,High
POU6F2,"premotor cortex, dorsal",1.2,0.5419689119170985,1.1467524015963244,High
GALNTL5,"premotor cortex, dorsal",0.2,0.06787564766839378,1.5590340343264806,High
