Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
CD99,"premotor cortex, dorsal",51.3,111.22124352331606,-1.116401641635075,Low
TMEM176A,"premotor cortex, dorsal",10.7,22.318652849740932,-1.0606391523234262,Low
KLHL13,"premotor cortex, dorsal",2.4,6.045595854922279,-1.3328501328726923,Low
ZMYND10,"premotor cortex, dorsal",0.7,2.7300518134715026,-1.9635015048945388,Low
CALCR,"premotor cortex, dorsal",0.0,0.6927461139896373,-32.68967956701979,Low
PRSS22,"premotor cortex, dorsal",0.0,0.0025906735751295338,-24.62682396729357,Low
ITGAL,"premotor cortex, dorsal",0.0,0.4393782383419689,-32.03281627160973,Low
TAC1,"premotor cortex, dorsal",2.4,14.263730569948187,-2.5712450460225575,Low
TNFRSF12A,"premotor cortex, dorsal",1.8,5.321243523316062,-1.5637665224421269,Low
MYH13,"premotor cortex, dorsal",0.0,0.009326424870466322,-26.47482083362939,Low
PRSS21,"premotor cortex, dorsal",0.0,0.007772020725388601,-26.211786430889376,Low
CEACAM21,"premotor cortex, dorsal",0.4,1.1466321243523316,-1.5193306982980777,Low
SLC13A2,"premotor cortex, dorsal",0.0,0.0051813471502590676,-25.626823939449558,Low
CD79B,"premotor cortex, dorsal",0.0,0.04455958549222798,-28.731160574657956,Low
SELE,"premotor cortex, dorsal",0.8,1.7186528497409326,-1.103206259423548,Low
TFAP2B,"premotor cortex, dorsal",0.0,0.8544041450777202,-32.9922715003245,Low
TFAP2D,"premotor cortex, dorsal",0.0,0.15492227979274611,-30.528897491847523,Low
BTK,"premotor cortex, dorsal",0.4,1.2849740932642486,-1.6836673677577574,Low
FMO1,"premotor cortex, dorsal",0.0,0.0005181347150259067,-22.3048960951583,Low
ANOS1,"premotor cortex, dorsal",6.2,13.462176165803108,-1.118571520366946,Low
TYROBP,"premotor cortex, dorsal",13.7,34.91502590673576,-1.3496721500012494,Low
LTF,"premotor cortex, dorsal",0.9,6.5595854922279795,-2.8656077454670053,Low
DPEP1,"premotor cortex, dorsal",0.1,0.22487046632124352,-1.169094194375271,Low
ISL1,"premotor cortex, dorsal",0.0,0.5512953367875648,-32.36017825248106,Low
SLC11A1,"premotor cortex, dorsal",2.2,6.488082901554405,-1.5602887299322725,Low
CD74,"premotor cortex, dorsal",137.1,415.8253886010363,-1.6007492748384413,Low
RUNX3,"premotor cortex, dorsal",0.8,1.6585492227979275,-1.051849924184149,Low
DEF6,"premotor cortex, dorsal",0.1,0.8155440414507772,-3.0277627869736103,Low
RNASET2,"premotor cortex, dorsal",6.8,16.83937823834197,-1.3082322191594729,Low
CD44,"premotor cortex, dorsal",20.0,95.5119170984456,-2.2556807505898955,Low
INSRR,"premotor cortex, dorsal",0.3,1.878756476683938,-2.646743671350813,Low
IBSP,"premotor cortex, dorsal",0.0,0.161139896373057,-30.58566658774409,Low
MYOC,"premotor cortex, dorsal",0.0,0.05233160621761658,-28.96310730222681,Low
DEPDC1B,"premotor cortex, dorsal",0.3,0.6818652849740933,-1.1845242354766872,Low
SLC18A1,"premotor cortex, dorsal",0.0,0.10880829015544041,-30.01914133571021,Low
HOXC8,"premotor cortex, dorsal",0.0,0.07927461139896373,-29.5622836612307,Low
TLL1,"premotor cortex, dorsal",1.8,4.3699481865284975,-1.279619267521605,Low
DNAH5,"premotor cortex, dorsal",0.6,1.2528497409326425,-1.062178991134591,Low
TNC,"premotor cortex, dorsal",4.5,27.999481865284974,-2.6374032235419476,Low
ZPBP,"premotor cortex, dorsal",0.0,0.07512953367875648,-29.48480490865339,Low
