Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
TSPAN6,"premotor cortex, dorsal",3.0,4.400518134715026,-0.5527109017349991,Normal
TNMD,"premotor cortex, dorsal",0.2,0.23160621761658032,-0.21167398381679844,Normal
DPM1,"premotor cortex, dorsal",6.4,7.684974093264249,-0.26396849135368117,Normal
SCYL3,"premotor cortex, dorsal",4.6,4.762694300518135,-0.05014408931994867,Normal
C1orf112,"premotor cortex, dorsal",1.6,1.570984455958549,0.026402999095323478,Normal
FGR,"premotor cortex, dorsal",3.9,5.487564766839378,-0.49269193813331047,Normal
CFH,"premotor cortex, dorsal",3.3,3.8818652849740936,-0.23428402760995867,Normal
FUCA2,"premotor cortex, dorsal",14.1,18.162694300518137,-0.3652830689492851,Normal
GCLC,"premotor cortex, dorsal",18.7,22.676683937823835,-0.2781714170692214,Normal
NFYA,"premotor cortex, dorsal",19.1,20.393264248704664,-0.09452008061924237,Normal
STPG1,"premotor cortex, dorsal",6.4,5.942487046632125,0.10700505171054002,Normal
NIPAL3,"premotor cortex, dorsal",55.3,63.58549222797927,-0.20141815488716833,Normal
LAS1L,"premotor cortex, dorsal",6.9,8.107772020725388,-0.23270916090286944,Normal
ENPP4,"premotor cortex, dorsal",15.9,21.013471502590672,-0.40228775470249134,Normal
SEMA3F,"premotor cortex, dorsal",5.5,9.034715025906737,-0.7160474774954383,Normal
CFTR,"premotor cortex, dorsal",1.2,0.9606217616580311,0.3209940093337468,Normal
ANKIB1,"premotor cortex, dorsal",92.9,92.06269430051813,0.013061931613826345,Normal
CYP51A1,"premotor cortex, dorsal",35.8,52.538860103626945,-0.5534253122444446,Normal
KRIT1,"premotor cortex, dorsal",1.3,1.2792746113989637,0.023185634264592914,Normal
RAD52,"premotor cortex, dorsal",12.1,12.552331606217615,-0.052948323392406856,Normal
BAD,"premotor cortex, dorsal",45.0,44.86839378238342,0.0042254627070074146,Normal
LAP3,"premotor cortex, dorsal",15.5,23.438341968911917,-0.5966023014489297,Normal
HS3ST1,"premotor cortex, dorsal",5.2,8.067357512953368,-0.6335845685473658,Normal
AOC1,"premotor cortex, dorsal",0.9,0.9020725388601036,-0.0033184489403400184,Normal
WNT16,"premotor cortex, dorsal",0.5,0.45906735751295336,0.12322224357469697,Normal
HECW1,"premotor cortex, dorsal",31.0,21.23264248704663,0.5459842839281375,Normal
MAD1L1,"premotor cortex, dorsal",13.6,13.16839378238342,0.046527268182265116,Normal
LASP1,"premotor cortex, dorsal",54.4,52.163730569948186,0.060559601647583096,Normal
SNX11,"premotor cortex, dorsal",10.0,11.129533678756477,-0.15439314582850572,Normal
M6PR,"premotor cortex, dorsal",39.3,45.06528497409327,-0.19748720124023492,Normal
CYP26B1,"premotor cortex, dorsal",10.0,13.907772020725387,-0.4758913233917958,Normal
ICA1,"premotor cortex, dorsal",19.8,16.170466321243524,0.29213914668988533,Normal
DBNDD1,"premotor cortex, dorsal",46.0,37.79481865284974,0.28344539434700955,Normal
ALS2,"premotor cortex, dorsal",10.1,9.649740932642487,0.0657931771109247,Normal
CASP10,"premotor cortex, dorsal",6.5,7.541450777202073,-0.21440236871052817,Normal
CFLAR,"premotor cortex, dorsal",48.7,62.12176165803109,-0.3511769701546938,Normal
TFPI,"premotor cortex, dorsal",8.6,8.954922279792745,-0.05834425122954271,Normal
NDUFAF7,"premotor cortex, dorsal",7.5,7.664766839378238,-0.031351310457900426,Normal
RBM5,"premotor cortex, dorsal",36.4,43.61139896373057,-0.26076681941853413,Normal
MTMR7,"premotor cortex, dorsal",15.0,16.96165803108808,-0.17731470198025467,Normal
SLC7A2,"premotor cortex, dorsal",11.4,14.484455958549223,-0.3454716730811072,Normal
ARF5,"premotor cortex, dorsal",65.5,62.829533678756476,0.06005203421904198,Normal
SARM1,"premotor cortex, dorsal",8.1,7.946632124352332,0.027578349104534598,Normal
POLDIP2,"premotor cortex, dorsal",37.5,36.29637305699482,0.04706520259708631,Normal
PLXND1,"premotor cortex, dorsal",24.3,28.462176165803108,-0.22808965806716383,Normal
