Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
CRLF1,"premotor cortex, ventral",26.7,13.183419689119171,1.018115097766843,High
CACNG3,"premotor cortex, ventral",33.9,14.792227979274612,1.196445908371958,High
NOS2,"premotor cortex, ventral",1.0,0.39896373056994816,1.3256704963558381,High
CD79B,"premotor cortex, ventral",0.1,0.04455958549222798,1.1661922807710012,High
VSIG2,"premotor cortex, ventral",7.7,3.770984455958549,1.029917242101794,High
ROS1,"premotor cortex, ventral",3.2,1.0585492227979276,1.5959835484436473,High
R3HDM1,"premotor cortex, ventral",125.6,57.293782383419696,1.1323859753046503,High
LZTS1,"premotor cortex, ventral",23.6,10.565803108808291,1.1593844286001787,High
LTK,"premotor cortex, ventral",1.0,0.38238341968911915,1.3869081258620262,High
DMRT3,"premotor cortex, ventral",1.1,0.3119170984455959,1.8182689788143045,High
BORCS8-MEF2B,"premotor cortex, ventral",0.1,0.03212435233160622,1.63826072383293,High
NGEF,"premotor cortex, ventral",126.0,52.29119170984456,1.26878387920852,High
CAMK2A,"premotor cortex, ventral",427.5,192.0,1.1548181090516902,High
MEF2C,"premotor cortex, ventral",161.9,71.37564766839378,1.1815991488604707,High
PKP1,"premotor cortex, ventral",0.8,0.31813471502590673,1.3303621916247526,High
GRHL2,"premotor cortex, ventral",0.4,0.19430051813471502,1.041710251503004,High
FETUB,"premotor cortex, ventral",0.1,0.043523316062176166,1.2001396126172514,High
SLC26A4,"premotor cortex, ventral",14.4,7.021761658031088,1.0361638793676669,High
SMIM24,"premotor cortex, ventral",2.5,1.1476683937823835,1.1232222435324255,High
CHGA,"premotor cortex, ventral",119.5,55.986010362694294,1.0938723377390045,High
ASB2,"premotor cortex, ventral",2.5,1.0476683937823834,1.254745945059793,High
PAGE4,"premotor cortex, ventral",0.1,0.02901554404145078,1.7851021116810257,High
RS1,"premotor cortex, ventral",0.2,0.08290155440414508,1.270528941361815,High
THEG,"premotor cortex, ventral",1.0,0.3207253886010363,1.640589532635625,High
ATP4A,"premotor cortex, ventral",0.5,0.16476683937823836,1.6015021762840282,High
EPHB6,"premotor cortex, ventral",44.1,17.231088082901554,1.3557648501961277,High
POU6F2,"premotor cortex, ventral",1.5,0.5419689119170985,1.4686804964596418,High
GALNTL5,"premotor cortex, ventral",0.2,0.06787564766839378,1.5590340343264806,High
ATRNL1,"premotor cortex, ventral",172.2,84.5,1.0270618962264275,High
CCL1,"premotor cortex, ventral",0.3,0.09637305699481866,1.6382607258651136,High
RCVRN,"premotor cortex, ventral",2.0,0.9010362694300519,1.150342914760875,High
CUX2,"premotor cortex, ventral",23.1,10.169948186528497,1.1835805226079703,High
HDGFL1,"premotor cortex, ventral",0.5,0.18186528497409327,1.4590579113461442,High
PRSS16,"premotor cortex, ventral",0.2,0.09170984455958549,1.1248514863333228,High
CDX1,"premotor cortex, ventral",0.1,0.0036269430051813476,4.785102076876009,High
HGD,"premotor cortex, ventral",0.6,0.2694300518134715,1.1550517246657692,High
SMYD1,"premotor cortex, ventral",0.7,0.33471502590673574,1.064421604406837,High
ACTL8,"premotor cortex, ventral",0.1,0.006217616580310881,4.007494514786274,High
RGS4,"premotor cortex, ventral",125.3,55.95854922279793,1.1629559497629585,High
TNNT2,"premotor cortex, ventral",6.4,1.8476683937823835,1.7923660495875458,High
SATB2,"premotor cortex, ventral",59.2,24.27979274611399,1.2858410691430275,High
RGSL1,"premotor cortex, ventral",0.1,0.02849740932642487,1.8110973201235676,High
KCNS1,"premotor cortex, ventral",25.5,6.872020725388601,1.8916909544363796,High
MATN4,"premotor cortex, ventral",0.1,0.023834196891191713,2.0688950766007155,High
TRIM51,"premotor cortex, ventral",0.5,0.1689119170984456,1.5656569773587932,High
NPBWR2,"premotor cortex, ventral",1.4,0.44455958549222796,1.6549781216046662,High
OVOL2,"premotor cortex, ventral",0.3,0.14248704663212436,1.0741317290456032,High
SIX1,"premotor cortex, ventral",0.3,0.14093264248704665,1.0899566961961182,High
IL22,"premotor cortex, ventral",0.1,0.03678756476683938,1.4427099152844012,High
APOL5,"premotor cortex, ventral",0.1,0.046632124352331605,1.1006039392873215,High
CHN1,"premotor cortex, ventral",393.2,196.36735751295336,1.0017081937982084,High
AP1M2,"premotor cortex, ventral",0.3,0.14093264248704662,1.0899566961961187,High
TNNT3,"premotor cortex, ventral",0.1,0.0383419689119171,1.383003669319121,High
CCL25,"premotor cortex, ventral",0.2,0.08186528497409327,1.2886762880500455,High
DSC1,"premotor cortex, ventral",1.1,0.3735751295336787,1.5580332064095235,High
TCN1,"premotor cortex, ventral",0.2,0.09948186528497409,1.007494535818063,High
LACRT,"premotor cortex, ventral",0.1,0.026424870466321245,1.920031691279669,High
TESPA1,"premotor cortex, ventral",63.9,19.55440414507772,1.7083223557221472,High
EMX1,"premotor cortex, ventral",34.9,10.949740932642488,1.6723302998974616,High
TBR1,"premotor cortex, ventral",48.9,16.684455958549222,1.5513298208271626,High
ITPKA,"premotor cortex, ventral",20.2,9.949222797927462,1.0216995566097877,High
TRIM54,"premotor cortex, ventral",3.6,1.5139896373056994,1.2496415758516783,High
KIF2B,"premotor cortex, ventral",0.2,0.08134715025906736,1.297836287324297,High
STAC2,"premotor cortex, ventral",45.6,22.651295336787562,1.009440269809572,High
GPR32,"premotor cortex, ventral",0.1,0.035751295336787565,1.483932577897242,High
GPA33,"premotor cortex, ventral",0.1,0.03989637305699482,1.3256704943997684,High
KCNH1,"premotor cortex, ventral",16.8,8.372538860103628,1.0047241608446196,High
S100A7,"premotor cortex, ventral",0.6,0.205699481865285,1.544424340385367,High
PTH2R,"premotor cortex, ventral",3.1,1.494818652849741,1.0522977440721364,High
AHSG,"premotor cortex, ventral",0.1,0.029533678756476684,1.7595670196611188,High
SPINK7,"premotor cortex, ventral",0.2,0.08704663212435233,1.2001396135532862,High
MLIP,"premotor cortex, ventral",31.6,14.991709844559585,1.0757596225038235,High
TIAM2,"premotor cortex, ventral",19.4,9.324870466321244,1.056901062555913,High
FATE1,"premotor cortex, ventral",0.4,0.12383419689119173,1.691590228482984,High
RSPO2,"premotor cortex, ventral",14.0,5.699999999999999,1.2963930027652195,High
SLC39A4,"premotor cortex, ventral",6.1,2.5295336787564766,1.2699377950164294,High
HABP2,"premotor cortex, ventral",0.9,0.26580310880829017,1.7595670227208697,High
TKTL2,"premotor cortex, ventral",0.1,0.04870466321243524,1.037868184071009,High
SLC25A31,"premotor cortex, ventral",0.1,0.04922279792746114,1.0226014274488786,High
TDO2,"premotor cortex, ventral",0.8,0.24196891191709846,1.7251782971425238,High
MCHR2,"premotor cortex, ventral",5.7,1.95440414507772,1.5442330907092183,High
CLEC4F,"premotor cortex, ventral",0.1,0.0305699481865285,1.7098139846296097,High
TEX29,"premotor cortex, ventral",3.0,1.3715025906735752,1.1292051533240992,High
ASB17,"premotor cortex, ventral",0.8,0.32020725388601035,1.3209940090934924,High
NRGN,"premotor cortex, ventral",1293.6,421.39896373056996,1.6181329124079185,High
ODF1,"premotor cortex, ventral",0.1,0.03316062176165803,1.5924570343601483,High
PDZD9,"premotor cortex, ventral",0.1,0.031088082901554404,1.6855664384615878,High
WIF1,"premotor cortex, ventral",18.5,8.366321243523316,1.1448599710872127,High
ART3,"premotor cortex, ventral",3.6,1.5010362694300519,1.262038069383951,High
KCNS2,"premotor cortex, ventral",9.6,4.6150259067357515,1.0566956592651922,High
CLEC18A,"premotor cortex, ventral",0.9,0.21917098445595853,2.0378681850924916,High
CABP1,"premotor cortex, ventral",186.2,71.75284974093263,1.3757450366848523,High
POM121L2,"premotor cortex, ventral",0.1,0.02072538860103627,2.2705289368624095,High
LCN1,"premotor cortex, ventral",0.2,0.07823834196891191,1.354052296820375,High
CYP3A7,"premotor cortex, ventral",0.2,0.061658031088082904,1.6976392723416514,High
COL26A1,"premotor cortex, ventral",13.0,6.382901554404145,1.0262273213257365,High
LRRC53,"premotor cortex, ventral",1.0,0.48860103626943,1.0332711713293452,High
C1orf115,"premotor cortex, ventral",35.0,17.235751295336787,1.0219507358266624,High
RTP3,"premotor cortex, ventral",0.2,0.08393782383419689,1.252607033386037,High
RHO,"premotor cortex, ventral",0.5,0.19896373056994818,1.329422630997721,High
SMIM43,"premotor cortex, ventral",8.3,2.6740932642487047,1.6340615532943863,High
SUN3,"premotor cortex, ventral",0.4,0.19585492227979276,1.0302146126710674,High
PKNOX2,"premotor cortex, ventral",24.9,12.289119170984456,1.0187642287894456,High
