Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
TNMD,"premotor cortex, ventral",0.1,0.23160621761658032,-1.211673983095451,Low
SEMA3F,"premotor cortex, ventral",4.5,9.034715025906737,-1.005554094684594,Low
CD99,"premotor cortex, ventral",39.8,111.22124352331606,-1.4825920366976677,Low
TMEM176A,"premotor cortex, ventral",8.8,22.318652849740932,-1.3426745200843646,Low
KLHL13,"premotor cortex, ventral",2.0,6.045595854922279,-1.5958845386944636,Low
PDK4,"premotor cortex, ventral",20.7,42.192746113989635,-1.027364220661177,Low
ZMYND10,"premotor cortex, ventral",0.8,2.7300518134715026,-1.7708564269779052,Low
CALCR,"premotor cortex, ventral",0.0,0.6927461139896373,-32.68967956701979,Low
PRSS22,"premotor cortex, ventral",0.0,0.0025906735751295338,-24.62682396729357,Low
ITGAL,"premotor cortex, ventral",0.1,0.4393782383419689,-2.1354634161807726,Low
TAC1,"premotor cortex, ventral",2.8,14.263730569948187,-2.348852624694697,Low
TNFRSF12A,"premotor cortex, ventral",1.5,5.321243523316062,-1.826800928259891,Low
ALDH3B1,"premotor cortex, ventral",1.6,3.4678756476683934,-1.1159802616486494,Low
MYH13,"premotor cortex, ventral",0.0,0.009326424870466322,-26.47482083362939,Low
PRSS21,"premotor cortex, ventral",0.0,0.007772020725388601,-26.211786430889376,Low
CEACAM21,"premotor cortex, ventral",0.3,1.1466321243523316,-1.9343681974566969,Low
SLC13A2,"premotor cortex, ventral",0.0,0.0051813471502590676,-25.626823939449558,Low
TKTL1,"premotor cortex, ventral",0.0,0.15595854922279795,-30.538515494402933,Low
SELE,"premotor cortex, ventral",0.6,1.7186528497409326,-1.5182437586422797,Low
TFAP2B,"premotor cortex, ventral",0.0,0.8544041450777202,-32.9922715003245,Low
TFAP2D,"premotor cortex, ventral",0.0,0.15492227979274611,-30.528897491847523,Low
SYPL1,"premotor cortex, ventral",14.9,30.810880829015545,-1.0481275963939447,Low
BTK,"premotor cortex, ventral",0.4,1.2849740932642486,-1.6836673677577574,Low
FMO1,"premotor cortex, ventral",0.0,0.0005181347150259067,-22.3048960951583,Low
MRC2,"premotor cortex, ventral",2.4,5.595336787564768,-1.221190564855698,Low
ANOS1,"premotor cortex, ventral",6.0,13.462176165803108,-1.1658772351445272,Low
