Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
CFTR,putamen,2.6,0.9606217616580311,1.4364712266889466,High
WNT16,putamen,1.3,0.45906735751295336,1.5017338666508642,High
KLHL13,putamen,17.5,6.045595854922279,1.533398478186612,High
PRKAR2B,putamen,6.8,3.217098445595855,1.0797746621361235,High
TAC1,putamen,66.9,14.263730569948187,2.229654853839792,High
DLX6,putamen,13.7,1.7507772020725387,2.968108484992933,High
TTC22,putamen,5.1,2.0,1.3504972470402867,High
PRSS21,putamen,0.1,0.007772020725388601,3.685566424539581,High
SCN4A,putamen,0.2,0.06528497409326425,1.6151771122796694,High
CAMK1G,putamen,36.3,16.364248704663215,1.1494221795602024,High
LDAF1,putamen,6.6,2.889119170984456,1.1918363107300343,High
CCDC88C,putamen,34.6,3.975647668393782,3.1215102253100224,High
ISL1,putamen,1.8,0.5512953367875648,1.707099603027661,High
VSIG2,putamen,8.9,3.770984455958549,1.238864132370764,High
NCDN,putamen,615.8,245.82538860103628,1.3248279438715878,High
LRRC7,putamen,56.5,24.11139896373057,1.2285355077708395,High
CYP46A1,putamen,118.4,33.141450777202074,1.8369604174901957,High
DTNBP1,putamen,48.4,22.561139896373057,1.1011670860851368,High
LMO3,putamen,89.8,41.891709844559585,1.1000506747748489,High
NNAT,putamen,125.4,46.44922279792746,1.4328109858136941,High
MCOLN3,putamen,0.6,0.2948186528497409,1.0251346954337537,High
ITIH1,putamen,0.1,0.0383419689119171,1.383003669319121,High
LAMC2,putamen,1.5,0.5440414507772021,1.4631740201541124,High
CAMK2B,putamen,190.6,91.87305699481865,1.0528343802485822,High
PSD,putamen,209.5,104.64507772020725,1.0014457920117321,High
LZTS1,putamen,22.6,10.565803108808291,1.0969203416537954,High
DGAT2,putamen,14.9,3.843523316062176,1.9548110051993792,High
LTK,putamen,1.4,0.38238341968911915,1.872334952991048,High
SEZ6,putamen,66.7,26.572020725388597,1.3277788166175193,High
FAR2,putamen,6.5,3.0492227979274613,1.09199815034561,High
POU1F1,putamen,0.3,0.13212435233160622,1.1830661005193548,High
COL17A1,putamen,1.2,0.49740932642487046,1.2705289422109007,High
SLC9A7,putamen,68.0,19.35181347150259,1.813065977726833,High
NGEF,putamen,259.1,52.29119170984456,2.308869161000747,High
EML1,putamen,65.8,21.377720207253883,1.6219795765972929,High
INPP5A,putamen,116.8,32.41243523316062,1.849420950827713,High
RASGRP2,putamen,43.0,11.105699481865285,1.9530363972905134,High
CHAT,putamen,5.5,1.8943005181347152,1.5377663956847412,High
ATP2B1,putamen,190.7,56.410362694300524,1.757272725656802,High
ACTN1,putamen,67.0,32.31968911917098,1.0517477745943384,High
SCARB1,putamen,31.8,13.829533678756476,1.2012742547628215,High
ATP2A3,putamen,10.4,3.3854922279792743,1.6191460159423678,High
CA12,putamen,62.0,6.107772020725388,3.3435500973970242,High
WSCD2,putamen,24.0,9.811917098445596,1.2904274561939038,High
CACNG4,putamen,43.0,12.350259067357513,1.7997953547355783,High
RAP1GAP,putamen,188.7,55.41865284974093,1.767650876485247,High
RARB,putamen,21.8,4.727461139896373,2.20519063070897,High
