Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
TNMD,putamen,0.1,0.23160621761658032,-1.211673983095451,Low
SEMA3F,putamen,4.3,9.034715025906737,-1.0711424363106798,Low
CYP51A1,putamen,24.4,52.538860103626945,-1.106503751943932,Low
HS3ST1,putamen,2.4,8.067357512953368,-1.7490617859349336,Low
CYP26B1,putamen,4.0,13.907772020725387,-1.7978194182575178,Low
CALCR,putamen,0.0,0.6927461139896373,-32.68967956701979,Low
PRSS22,putamen,0.0,0.0025906735751295338,-24.62682396729357,Low
SKAP2,putamen,5.7,11.908808290155442,-1.0629952260865059,Low
ITGAL,putamen,0.0,0.4393782383419689,-32.03281627160973,Low
CACNA1G,putamen,4.1,16.619689119170985,-2.019197581051563,Low
TNFRSF12A,putamen,1.5,5.321243523316062,-1.826800928259891,Low
MYH13,putamen,0.0,0.009326424870466322,-26.47482083362939,Low
CEACAM21,putamen,0.2,1.1466321243523316,-2.519330697937404,Low
SLC13A2,putamen,0.0,0.0051813471502590676,-25.626823939449558,Low
CD79B,putamen,0.0,0.04455958549222798,-28.731160574657956,Low
BAIAP3,putamen,18.6,55.08756476683938,-1.5664240663520241,Low
SELE,putamen,0.6,1.7186528497409326,-1.5182437586422797,Low
TFAP2B,putamen,0.0,0.8544041450777202,-32.9922715003245,Low
TFAP2D,putamen,0.0,0.15492227979274611,-30.528897491847523,Low
MMP25,putamen,0.2,0.46632124352331605,-1.221324153536987,Low
PAX7,putamen,0.1,1.0088082901554403,-3.334580130152529,Low
MLXIPL,putamen,4.9,13.048704663212435,-1.4130529441058113,Low
PRSS3,putamen,3.7,8.520725388601036,-1.203450984803674,Low
BTK,putamen,0.4,1.2849740932642486,-1.6836673677577574,Low
FMO1,putamen,0.0,0.0005181347150259067,-22.3048960951583,Low
SLC6A7,putamen,0.3,9.71139896373057,-5.016644729989245,Low
GABRA3,putamen,2.2,10.769948186528497,-2.291435880278583,Low
LTF,putamen,2.1,6.5595854922279795,-1.643215324222157,Low
EHD3,putamen,15.2,35.582901554404145,-1.227112834133478,Low
CD6,putamen,0.4,1.2854922279792746,-1.6842489823759057,Low
TACC3,putamen,0.6,1.2611398963730571,-1.0716939145984388,Low
DPEP1,putamen,0.0,0.22487046632124352,-31.06644704980423,Low
STMN4,putamen,58.9,123.44352331606217,-1.0675116057361853,Low
SLC11A1,putamen,1.7,6.488082901554405,-1.932257507299943,Low
SYT13,putamen,4.5,30.581865284974093,-2.764679497347061,Low
SNAI2,putamen,0.5,1.0968911917098445,-1.1334204216951334,Low
CD74,putamen,196.1,415.8253886010363,-1.084388310425835,Low
HGF,putamen,1.2,4.4689119170984455,-1.8968892033630778,Low
SAMD4A,putamen,19.2,49.20310880829016,-1.3576431615364712,Low
GABRA1,putamen,19.3,42.71813471502591,-1.146247805704673,Low
TYMP,putamen,7.4,17.90103626943005,-1.2744459299196491,Low
CD44,putamen,20.6,95.5119170984456,-2.213036413181612,Low
KCNG1,putamen,1.8,10.934715025906737,-2.602846810474196,Low
INSRR,putamen,0.8,1.878756476683938,-1.2317061723725307,Low
TNFRSF1B,putamen,8.0,16.08341968911917,-1.0075022827386595,Low
ANK1,putamen,2.5,16.292746113989637,-2.7042297880465074,Low
IBSP,putamen,0.0,0.161139896373057,-30.58566658774409,Low
MYOC,putamen,0.0,0.05233160621761658,-28.96310730222681,Low
DEPDC1B,putamen,0.2,0.6818652849740933,-1.769486735957394,Low
STAP1,putamen,0.0,0.07823834196891193,-29.543300557887235,Low
TIMP2,putamen,67.1,145.19585492227978,-1.1136155960614182,Low
MYOM2,putamen,0.6,1.305699481865285,-1.1217884802680853,Low
SLC18A1,putamen,0.0,0.10880829015544041,-30.01914133571021,Low
HOXC8,putamen,0.0,0.07927461139896373,-29.5622836612307,Low
DNAH5,putamen,0.5,1.2528497409326425,-1.3252133969202948,Low
C6,putamen,0.0,0.1538860103626943,-30.519214938456457,Low
RTN4R,putamen,4.2,16.298963730569948,-1.956319009445677,Low
CDH10,putamen,5.5,11.081347150259067,-1.0106297555352193,Low
RAB27B,putamen,3.6,10.964248704663213,-1.606738146948002,Low
MYO16,putamen,0.9,4.325388601036269,-2.2648328463224967,Low
TNC,putamen,11.9,27.999481865284974,-1.234438556583615,Low
ZPBP,putamen,0.0,0.07512953367875648,-29.48480490865339,Low
ADAM28,putamen,5.7,12.330051813471501,-1.113145037857914,Low
ZIC2,putamen,4.9,14.303626943005181,-1.5455273604217556,Low
OFD1,putamen,0.0,0.2787564766839378,-31.37635817979235,Low
MAGEC2,putamen,0.0,0.0005181347150259067,-22.3048960951583,Low
ROS1,putamen,0.1,1.0585492227979276,-3.404016450158742,Low
HDAC9,putamen,9.4,20.098445595854923,-1.0963512664648853,Low
UTS2,putamen,0.3,2.8958549222797925,-3.270954921242478,Low
EPN3,putamen,1.6,6.19481865284974,-1.9529901443431341,Low
PTGER3,putamen,0.2,2.5367875647668394,-3.6649308047600946,Low
COL23A1,putamen,0.5,2.618134715025907,-2.388539332229075,Low
MSMO1,putamen,25.4,56.81917098445596,-1.1615492851544795,Low
OPN3,putamen,1.2,2.9367875647668393,-1.2912045048576823,Low
CBLN4,putamen,1.3,7.594818652849741,-2.5465038934872593,Low
CCDC85A,putamen,4.7,13.312435233160622,-1.502041844521787,Low
GYG2,putamen,5.3,14.601036269430052,-1.4620064993483795,Low
