Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
ARX,ventral tegmental area,2.2,8.053367875647668,-1.872088713018196,Low
PRSS22,ventral tegmental area,0.0,0.0025906735751295338,-24.62682396729357,Low
ITGAL,ventral tegmental area,0.1,0.4393782383419689,-2.1354634161807726,Low
CRLF1,ventral tegmental area,3.5,13.183419689119171,-1.9132978169399282,Low
DLX6,ventral tegmental area,0.8,1.7507772020725387,-1.129923597797787,Low
MYH13,ventral tegmental area,0.0,0.009326424870466322,-26.47482083362939,Low
PRSS21,ventral tegmental area,0.0,0.007772020725388601,-26.211786430889376,Low
SLC13A2,ventral tegmental area,0.0,0.0051813471502590676,-25.626823939449558,Low
TFAP2D,ventral tegmental area,0.0,0.15492227979274611,-30.528897491847523,Low
STAB1,ventral tegmental area,8.0,17.084455958549224,-1.094612401854788,Low
FMO1,ventral tegmental area,0.0,0.0005181347150259067,-22.3048960951583,Low
SLC6A7,ventral tegmental area,4.3,9.71139896373057,-1.175342476455651,Low
NPC1L1,ventral tegmental area,0.2,0.900518134715026,-2.1707553289851793,Low
HGF,ventral tegmental area,2.2,4.4689119170984455,-1.0224200855015841,Low
DEF6,ventral tegmental area,0.4,0.8155440414507772,-1.0277627880556317,Low
VIM,ventral tegmental area,75.8,158.88652849740933,-1.0677270546636182,Low
INSRR,ventral tegmental area,0.4,1.878756476683938,-2.231706172192194,Low
HOXC8,ventral tegmental area,0.0,0.07927461139896373,-29.5622836612307,Low
C6,ventral tegmental area,0.0,0.1538860103626943,-30.519214938456457,Low
RTN4R,ventral tegmental area,7.0,16.298963730569948,-1.2193534152932108,Low
TG,ventral tegmental area,0.2,0.527979274611399,-1.4004812984496344,Low
ZIC2,ventral tegmental area,3.2,14.303626943005181,-2.1602372045213225,Low
MAGEC2,ventral tegmental area,0.0,0.0005181347150259067,-22.3048960951583,Low
ROS1,ventral tegmental area,0.2,1.0585492227979276,-2.4040164508800896,Low
POLQ,ventral tegmental area,0.2,0.5989637305699481,-1.582468644752116,Low
MCOLN3,ventral tegmental area,0.0,0.2948186528497409,-31.457180659514112,Low
MSH4,ventral tegmental area,0.7,1.75699481865285,-1.3276831095757589,Low
LZTS1,ventral tegmental area,3.8,10.565803108808291,-1.4753311072862247,Low
WNT8A,ventral tegmental area,0.3,1.0005181347150258,-1.7377129106247102,Low
LTK,ventral tegmental area,0.1,0.38238341968911915,-1.9350199677269107,Low
DLX3,ventral tegmental area,0.0,0.10466321243523316,-29.963107300848392,Low
DMRT3,ventral tegmental area,0.0,0.3119170984455959,-31.53851549394041,Low
BORCS8-MEF2B,ventral tegmental area,0.0,0.03212435233160622,-28.259092131596027,Low
NGEF,ventral tegmental area,15.5,52.29119170984456,-1.7542997338963588,Low
ASPM,ventral tegmental area,0.1,0.21606217616580312,-1.1114465354016103,Low
GAL,ventral tegmental area,2.2,10.084974093264249,-2.19663194898178,Low
PTPN3,ventral tegmental area,3.0,6.590155440414509,-1.135349993388923,Low
CAMK2A,ventral tegmental area,60.9,192.0,-1.6565921777005683,Low
MS4A12,ventral tegmental area,0.0,0.002072538860103627,-24.304895886328215,Low
PRLH,ventral tegmental area,0.0,1.2041450777202072,-33.48729017024252,Low
MYO3B,ventral tegmental area,0.0,0.008808290155440416,-26.392358674347353,Low
SPP2,ventral tegmental area,0.0,0.0010362694300518134,-23.304895955938246,Low
TRHDE,ventral tegmental area,3.3,7.274093264248705,-1.1403013988248838,Low
FNDC8,ventral tegmental area,0.0,0.1544041450777202,-30.524064338114705,Low
GSDMB,ventral tegmental area,0.8,2.577720207253886,-1.688023772925924,Low
CD5L,ventral tegmental area,0.0,0.050777202072538864,-28.919605663674616,Low
PTGS2,ventral tegmental area,0.5,1.3010362694300517,-1.379661180938406,Low
SCARF1,ventral tegmental area,0.1,0.24404145077720207,-1.2871262114931759,Low
NOX3,ventral tegmental area,0.0,0.004663212435233161,-25.474820849098286,Low
ATP12A,ventral tegmental area,0.0,0.025906735751295335,-27.948752012061707,Low
CAPN6,ventral tegmental area,0.0,0.0005181347150259067,-22.3048960951583,Low
SPAG6,ventral tegmental area,1.5,3.0886010362694303,-1.0419910250447582,Low
TYR,ventral tegmental area,0.0,0.0005181347150259067,-22.3048960951583,Low
ACTN2,ventral tegmental area,0.6,1.3062176165803108,-1.1223608647393022,Low
FKBP6,ventral tegmental area,0.0,0.029533678756476684,-28.137785835767836,Low
RBFOX1,ventral tegmental area,28.5,64.36683937823834,-1.1753557102744192,Low
HOXA9,ventral tegmental area,0.0,0.05958549222797927,-29.150385870083774,Low
BPIFB2,ventral tegmental area,0.0,0.0010362694300518134,-23.304895955938246,Low
MOXD1,ventral tegmental area,0.9,3.9207253886010367,-2.123123690958359,Low
RDH8,ventral tegmental area,0.0,0.0005181347150259067,-22.3048960951583,Low
AFP,ventral tegmental area,0.0,0.0005181347150259067,-22.3048960951583,Low
IL12RB2,ventral tegmental area,0.8,1.9119170984455958,-1.256948063574799,Low
FAT2,ventral tegmental area,2.0,7.69481865284974,-1.9438873262769296,Low
SIRPG,ventral tegmental area,0.0,0.14352331606217616,-30.41863798377257,Low
KCNH4,ventral tegmental area,0.7,1.9181347150259067,-1.4542772204140038,Low
FETUB,ventral tegmental area,0.0,0.043523316062176166,-28.697213242811706,Low
THPO,ventral tegmental area,0.6,1.655958549222798,-1.4646321547854124,Low
CHRD,ventral tegmental area,1.5,5.0025906735751295,-1.737712910894073,Low
SLC26A4,ventral tegmental area,3.5,7.021761658031088,-1.004478105098478,Low
SLC26A3,ventral tegmental area,0.0,0.12797927461139896,-30.253263049430146,Low
CEBPE,ventral tegmental area,0.0,0.0072538860103626935,-26.112250758664366,Low
DAZL,ventral tegmental area,0.0,0.0025906735751295338,-24.62682396729357,Low
KRT31,ventral tegmental area,0.0,0.11191709844559586,-30.059783320170723,Low
NCR2,ventral tegmental area,0.0,0.15284974093264247,-30.509466961911247,Low
MKNK2,ventral tegmental area,42.0,96.11761658031088,-1.1944115466418819,Low
MMP11,ventral tegmental area,0.0,0.006735751295336788,-26.005335556277746,Low
PRODH,ventral tegmental area,9.4,21.52642487046632,-1.195376073295721,Low
PLA2G3,ventral tegmental area,0.2,0.4119170984455959,-1.042354012532529,Low
CYP2D6,ventral tegmental area,0.2,0.4450777202072539,-1.15405728347318,Low
CTSG,ventral tegmental area,0.0,0.0005181347150259067,-22.3048960951583,Low
ASB2,ventral tegmental area,0.3,1.0476683937823834,-1.804147743570585,Low
SERPINA4,ventral tegmental area,0.0,0.004663212435233161,-25.474820849098286,Low
BDKRB1,ventral tegmental area,0.1,0.21917098445595853,-1.132056815067425,Low
MYBL2,ventral tegmental area,0.0,0.07046632124352332,-29.392358660015873,Low
AVP,ventral tegmental area,1.7,115.73056994818653,-6.089091442494977,Low
OXT,ventral tegmental area,1.4,27.98341968911917,-4.321073544170146,Low
SPINT3,ventral tegmental area,0.1,0.3207253886010363,-1.6813385609533118,Low
ST8SIA5,ventral tegmental area,5.3,12.521761658031087,-1.2403732812135948,Low
GUCY2F,ventral tegmental area,0.0,0.0051813471502590676,-25.626823939449558,Low
PAGE4,ventral tegmental area,0.0,0.02901554404145078,-28.112250743747932,Low
RS1,ventral tegmental area,0.0,0.08290155440414508,-29.626823913345795,Low
VGLL1,ventral tegmental area,0.0,0.0036269430051813476,-25.112250778552948,Low
ACOD1,ventral tegmental area,0.0,0.007772020725388601,-26.211786430889376,Low
MT4,ventral tegmental area,0.0,0.035233160621761656,-28.392358662063227,Low
ZP2,ventral tegmental area,0.0,0.19689119170984457,-30.874751425781866,Low
AQP8,ventral tegmental area,0.1,0.31088082901554404,-1.6363616522491724,Low
SLC6A2,ventral tegmental area,0.4,1.1730569948186529,-1.552201205326114,Low
AQP9,ventral tegmental area,0.4,1.162176165803109,-1.5387568675816554,Low
TRPA1,ventral tegmental area,0.1,0.40880829015544046,-2.0314244516555857,Low
JPH1,ventral tegmental area,1.8,3.8378238341968913,-1.092291583110987,Low
ESRP1,ventral tegmental area,0.0,0.03730569948186529,-28.474820822027716,Low
GML,ventral tegmental area,0.0,0.2088082901554404,-30.959531845937065,Low
ADAM2,ventral tegmental area,0.0,0.0036269430051813468,-25.112250778552948,Low
TULP2,ventral tegmental area,0.3,0.7005181347150259,-1.2234598980179963,Low
CKM,ventral tegmental area,0.5,1.2917098445595856,-1.3692820351592079,Low
SLC17A7,ventral tegmental area,25.3,129.0279792746114,-2.3504746530058807,Low
DKKL1,ventral tegmental area,0.0,0.14818652849740932,-30.464767154470138,Low
FCER2,ventral tegmental area,0.1,0.2155440414507772,-1.1079826800996442,Low
CLC,ventral tegmental area,0.0,0.02383419689119171,-27.82845777882824,Low
ICAM5,ventral tegmental area,5.3,16.277720207253886,-1.6188343908167595,Low
ZNRF4,ventral tegmental area,0.0,0.027979274611398965,-28.059783324037948,Low
THEG,ventral tegmental area,0.0,0.3207253886010363,-31.578691416382267,Low
SLC5A5,ventral tegmental area,1.1,2.3108808290155443,-1.0709393388335657,Low
COMP,ventral tegmental area,0.0,0.0694300518134715,-29.370985009253864,Low
ATP4A,ventral tegmental area,0.0,0.16476683937823836,-30.617778772878133,Low
DNAH11,ventral tegmental area,0.5,1.3518134715025905,-1.434896096480193,Low
DLX5,ventral tegmental area,0.4,1.0606217616580311,-1.40683834953068,Low
NPVF,ventral tegmental area,0.0,0.0549222797927461,-29.032816273908175,Low
HOXA1,ventral tegmental area,0.1,0.23264248704663212,-1.2181145966505054,Low
HOXA2,ventral tegmental area,0.3,1.2227979274611398,-2.0271516058970516,Low
HOXA3,ventral tegmental area,0.8,2.7,-1.7548875020365649,Low
HOXA5,ventral tegmental area,0.7,5.830051813471503,-3.0580818778076617,Low
HOXA6,ventral tegmental area,0.5,1.982901554404145,-1.9876130532972707,Low
EVX1,ventral tegmental area,0.1,0.20362694300518133,-1.02592846425633,Low
